id,ac_id_09,booth_id_14,electors_14,missing_percent_14,age_avg_14,age_stddev_14,age_muslim_avg_14,age_muslim_stddev_14,women_percent_14,women_muslim_percent_14,muslim_percent_14,buddhist_percent_14,age_buddhist_avg_14,age_buddhist_stddev_14,women_buddhist_percent_14,hindu_percent_14,age_hindu_avg_14,age_hindu_stddev_14,women_hindu_percent_14,jain_percent_14,age_jain_avg_14,age_jain_stddev_14,women_jain_percent_14,parsi_percent_14,age_parsi_avg_14,age_parsi_stddev_14,women_parsi_percent_14,sikh_percent_14,age_sikh_avg_14,age_sikh_stddev_14,women_sikh_percent_14,christian_percent_14,age_christian_avg_14,age_christian_stddev_14,women_christian_percent_14
28,1,28,1257,5.4,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,48.27,0.0,0.0,0.0,1.93,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11,0.0,0.0,0.0
29,1,29,900,8.22,0.0,0.0,0.0,0.0,0.0,0.0,29.29,0.0,0.0,0.0,0.0,56.29,0.0,0.0,0.0,3.02,0.0,0.0,0.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0
30,1,30,990,5.45,0.0,0.0,0.0,0.0,0.0,0.0,43.48,0.0,0.0,0.0,0.0,48.61,0.0,0.0,0.0,2.24,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0
31,1,31,776,5.67,0.0,0.0,0.0,0.0,0.0,0.0,13.38,0.0,0.0,0.0,0.0,73.08,0.0,0.0,0.0,1.22,0.0,0.0,0.0,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.01,0.0,0.0,0.0
32,1,32,1050,5.71,0.0,0.0,0.0,0.0,0.0,0.0,34.14,0.0,0.0,0.0,0.0,51.31,0.0,0.0,0.0,2.32,0.0,0.0,0.0,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.49,0.0,0.0,0.0
33,1,33,1129,4.78,0.0,0.0,0.0,0.0,0.0,0.0,26.13,0.0,0.0,0.0,0.0,67.62,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.09,0.0,0.0,0.0,4.74,0.0,0.0,0.0
34,1,34,900,3.77,0.0,0.0,0.0,0.0,0.0,0.0,44.68,0.0,0.0,0.0,0.0,43.53,0.0,0.0,0.0,2.88,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,0.0,0.0,0.0
35,1,35,1050,3.9,0.0,0.0,0.0,0.0,0.0,0.0,63.72,0.0,0.0,0.0,0.0,28.93,0.0,0.0,0.0,2.57,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,0.0,0.0,0.0
36,1,36,960,4.47,0.0,0.0,0.0,0.0,0.0,0.0,49.18,0.0,0.0,0.0,0.0,45.14,0.0,0.0,0.0,2.72,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0,0.0
37,1,37,1200,5.83,0.0,0.0,0.0,0.0,0.0,0.0,52.03,0.0,0.0,0.0,0.0,40.44,0.0,0.0,0.0,4.42,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.08,0.0,0.0,0.0,2.38,0.0,0.0,0.0
38,1,38,1320,6.43,0.0,0.0,0.0,0.0,0.0,0.0,23.96,0.0,0.0,0.0,0.0,71.74,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0
39,1,39,690,4.2,0.0,0.0,0.0,0.0,0.0,0.0,37.82,0.0,0.0,0.0,0.0,55.21,0.0,0.0,0.0,3.02,0.0,0.0,0.0,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0
40,1,40,1163,4.81,0.0,0.0,0.0,0.0,0.0,0.0,51.12,0.0,0.0,0.0,0.0,40.74,0.0,0.0,0.0,2.52,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23,0.0,0.0,0.0
41,1,41,992,5.24,0.0,0.0,0.0,0.0,0.0,0.0,21.91,0.0,0.0,0.0,0.0,72.65,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,0.0,0.0,0.0
42,1,42,984,4.67,0.0,0.0,0.0,0.0,0.0,0.0,38.59,0.0,0.0,0.0,0.0,56.39,0.0,0.0,0.0,2.13,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0
43,1,43,1110,5.58,0.0,0.0,0.0,0.0,0.0,0.0,31.87,0.0,0.0,0.0,0.0,62.59,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0
44,1,44,1147,4.88,0.0,0.0,0.0,0.0,0.0,0.0,48.21,0.0,0.0,0.0,0.0,48.39,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0
45,1,45,1260,6.19,0.0,0.0,0.0,0.0,0.0,0.0,29.1,0.0,0.0,0.0,0.0,66.15,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,0.0,0.0,0.0
46,1,46,780,3.97,0.0,0.0,0.0,0.0,0.0,0.0,30.84,0.0,0.0,0.0,0.0,64.88,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0
47,1,47,1014,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.76,0.0,0.0,0.0,0.0,67.44,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0
48,1,48,1170,6.58,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,69.89,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0
49,1,49,1154,4.59,0.0,0.0,0.0,0.0,0.0,0.0,45.41,0.0,0.0,0.0,0.0,48.77,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,0.0,0.0,0.0
50,1,50,870,5.4,0.0,0.0,0.0,0.0,0.0,0.0,57.59,0.0,0.0,0.0,0.0,37.66,0.0,0.0,0.0,0.72,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0
51,1,51,1018,4.71,0.0,0.0,0.0,0.0,0.0,0.0,50.3,0.0,0.0,0.0,0.0,44.02,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,0.0,0.0,0.0
52,1,52,1500,5.0,0.0,0.0,0.0,0.0,0.0,0.0,34.87,0.0,0.0,0.0,0.0,57.33,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0
53,1,53,750,3.73,0.0,0.0,0.0,0.0,0.0,0.0,62.04,0.0,0.0,0.0,0.0,29.91,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0
54,1,54,810,4.69,0.0,0.0,0.0,0.0,0.0,0.0,50.64,0.0,0.0,0.0,0.0,43.52,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27,0.0,0.0,0.0
55,1,55,900,5.0,0.0,0.0,0.0,0.0,0.0,0.0,24.56,0.0,0.0,0.0,0.0,68.53,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.0,0.0
56,1,56,1424,4.77,0.0,0.0,0.0,0.0,0.0,0.0,47.86,0.0,0.0,0.0,0.0,42.25,0.0,0.0,0.0,2.94,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67,0.0,0.0,0.0
57,1,57,1350,6.22,0.0,0.0,0.0,0.0,0.0,0.0,15.48,0.0,0.0,0.0,0.0,75.75,0.0,0.0,0.0,0.94,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,0.0,0.0,0.0
58,1,58,1134,3.7,0.0,0.0,0.0,0.0,0.0,0.0,77.38,0.0,0.0,0.0,0.0,18.13,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0
59,1,59,1161,4.9,0.0,0.0,0.0,0.0,0.0,0.0,73.55,0.0,0.0,0.0,0.0,21.28,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0
60,1,60,1210,4.04,0.0,0.0,0.0,0.0,0.0,0.0,80.44,0.0,0.0,0.0,0.0,16.02,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0
61,1,61,1350,5.77,0.0,0.0,0.0,0.0,0.0,0.0,76.8,0.0,0.0,0.0,0.0,19.1,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0
62,1,62,870,5.51,0.0,0.0,0.0,0.0,0.0,0.0,64.35,0.0,0.0,0.0,0.0,32.23,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0,0.0
