Serial No. of Polling Station,Number of Valid Votes Cast in Favour of,,,,,,,,,,,,,,Total of valid votes,No. of Rejected Votes,NOTA,Total,Total No. of tendered votes
131,4,275,480,0,1,0,0,0,0,1,0,0,0,2,763,0,13,776,0
132,1,203,209,0,2,0,1,0,0,0,1,0,3,1,421,0,12,433,0
133,1,157,329,1,0,0,1,0,0,1,0,1,0,1,492,0,10,502,0
134,1,90,314,2,0,0,0,0,1,1,0,0,0,1,410,0,9,419,0
135,4,318,278,9,1,1,1,2,1,0,1,3,5,4,628,0,4,632,0
136,4,348,222,7,1,1,0,4,1,0,5,3,3,11,610,0,10,620,0
137,0,195,445,0,6,0,3,1,0,0,0,0,0,0,650,0,18,668,0
138,1,172,491,5,0,0,1,0,1,0,0,0,0,4,675,0,17,692,0
139,2,278,501,6,2,1,1,1,2,3,0,4,0,2,803,0,22,825,0
140,0,125,434,1,2,0,2,0,0,1,0,0,0,0,565,0,11,576,0
141,2,86,785,2,0,0,0,0,0,0,0,0,0,0,875,0,21,896,0
142,2,117,585,3,0,0,1,0,0,0,0,1,0,1,710,0,11,721,0
143,3,237,402,3,0,0,1,0,0,0,0,2,1,4,653,0,1,654,0
144,5,234,599,6,0,0,1,1,1,1,1,0,2,0,851,0,10,861,0
145,4,485,191,5,1,1,4,2,1,0,2,4,9,13,722,0,19,741,0
146,9,516,344,1,0,0,1,1,0,2,0,1,1,2,878,0,13,891,0
147,0,75,458,3,0,1,0,0,1,0,0,0,1,1,540,0,3,543,0
148,1,48,437,0,0,0,0,0,0,0,0,0,0,0,486,0,4,490,0
149,2,107,585,0,1,0,1,1,0,0,0,0,0,1,698,0,14,712,0
150,2,68,649,2,1,0,0,2,0,0,0,0,0,0,724,0,17,741,0
151,1,69,489,4,1,0,0,0,0,0,0,0,0,1,565,0,12,577,0
152,1,149,410,3,3,1,2,0,0,0,0,2,0,0,571,0,9,580,0
153,0,77,374,1,0,0,0,0,0,0,0,0,0,1,453,0,15,468,0
154,1,52,414,1,0,0,0,0,2,0,1,0,0,0,471,0,10,481,0
155,1,275,514,1,7,1,0,2,1,0,1,1,2,5,811,0,25,836,0
156,4,256,268,1,51,0,0,0,0,0,0,0,0,1,581,0,11,592,0
157,1,84,638,3,0,0,0,0,0,0,1,0,2,2,731,0,7,738,0
158,3,110,551,1,2,1,1,1,0,0,1,0,0,0,671,0,9,680,0
158-A,2,133,190,0,2,0,0,0,0,0,0,0,0,0,327,0,0,327,0
159,16,408,220,12,2,1,1,1,2,2,2,0,1,6,674,0,15,689,0
160,9,484,251,5,1,1,0,1,3,6,3,4,11,15,794,0,7,801,0
161,7,205,259,2,0,1,0,5,0,2,1,2,0,2,486,0,10,496,0
162,2,104,466,3,3,0,2,0,1,0,2,1,3,1,588,0,2,590,0
163,6,303,201,3,0,1,2,0,1,1,1,2,4,5,530,0,5,535,0
164,2,219,277,2,0,2,0,1,0,1,0,0,0,0,504,0,1,505,0
165,7,176,273,1,0,0,2,0,0,0,1,2,2,1,465,0,2,467,0
166,3,185,80,0,0,0,0,2,0,0,0,0,2,0,272,0,1,273,0
167,4,302,134,1,1,0,1,2,1,4,0,1,2,2,455,0,5,460,0
168,6,271,388,3,3,0,0,1,4,1,0,1,1,4,683,0,7,690,0
169,2,35,596,2,0,0,2,0,0,0,0,1,3,0,641,0,3,644,0
170,3,159,84,0,1,0,1,3,1,2,0,0,1,1,256,0,0,256,0
171,4,379,85,4,0,0,1,2,0,1,0,1,1,2,480,0,3,483,0
172,4,123,174,0,0,0,1,1,1,1,0,1,2,5,313,0,6,319,0
173,1,32,488,3,0,0,0,0,1,1,0,0,4,0,530,0,2,532,0
174,6,53,530,6,1,0,2,0,3,4,4,4,14,4,631,0,7,638,0
175,2,437,155,5,2,0,0,2,0,0,2,4,5,6,620,0,11,631,0
176,6,408,217,7,3,1,2,5,2,2,4,1,12,22,692,0,11,703,0
177,1,177,243,5,1,0,0,2,2,1,0,3,7,4,446,0,5,451,0
178,1,197,179,0,0,0,3,3,1,1,1,1,3,5,395,0,0,395,0
179,0,0,487,0,0,0,0,0,0,0,0,0,0,0,487,0,0,487,0
180,1,86,369,4,0,1,16,0,1,0,1,0,1,2,482,0,3,485,0
181,2,157,217,0,0,0,0,1,2,0,0,0,5,4,388,0,2,390,0
182,1,184,277,1,3,1,0,0,0,0,0,1,1,6,475,0,6,481,0
183,3,234,459,1,0,0,0,0,0,0,0,1,1,2,701,0,4,705,0
184,1,26,221,1,0,0,7,0,0,1,0,0,1,1,259,0,1,260,0
185,6,237,563,3,8,0,1,1,1,1,1,1,1,3,827,0,12,839,0
186,28,336,350,3,19,1,0,1,4,4,3,2,8,5,764,0,17,781,0
187,5,397,219,0,4,0,0,0,1,0,0,0,1,1,628,0,5,633,0
188,6,296,384,5,1,2,0,0,3,1,3,0,5,3,709,0,15,724,0
189,2,169,171,1,1,1,0,1,1,2,1,1,2,2,355,0,11,366,0
190,5,120,121,1,1,0,0,0,1,1,1,0,1,1,253,0,9,262,0
191,4,122,138,4,1,1,3,0,0,1,0,1,2,1,278,0,6,284,0
192,2,86,35,3,0,0,1,0,0,0,0,1,0,3,131,0,2,133,0
193,2,102,91,2,1,0,0,1,1,0,0,0,0,1,201,0,0,201,0
194,5,332,221,2,0,0,1,2,0,0,0,4,4,7,578,0,10,588,0
195,0,250,176,2,0,0,0,1,2,1,1,0,0,3,436,0,2,438,0
196,4,205,160,0,0,0,0,0,1,0,2,1,4,2,379,0,3,382,0
197,5,15,347,4,2,0,0,0,0,0,0,0,2,1,376,0,2,378,0
198,2,65,296,2,0,0,0,0,1,1,2,0,1,1,371,0,0,371,0
199,3,71,310,3,0,0,0,1,0,1,1,4,5,2,401,0,6,407,0
200,4,89,300,3,1,0,0,1,0,1,2,0,1,3,405,0,7,412,0
201,12,639,106,2,3,1,0,1,1,0,3,2,2,15,787,0,6,793,0
202,7,212,191,1,1,0,0,2,3,0,0,1,3,6,427,0,4,431,0
203,4,271,350,4,3,0,0,1,0,0,0,0,7,3,643,0,3,646,0
204,3,183,203,3,0,0,0,1,0,0,0,1,5,3,402,0,4,406,0
205,0,114,122,2,0,0,0,1,0,0,1,1,1,5,247,0,5,252,0
206,1,24,365,0,0,0,0,0,0,1,1,0,3,1,396,0,0,396,0
207,2,288,278,3,1,0,1,1,1,0,0,1,4,0,580,0,6,586,0
208,5,318,143,3,24,1,0,1,0,2,1,1,2,3,504,0,6,510,0
209,4,364,225,2,0,1,0,3,1,2,1,7,12,9,631,0,12,643,0
210,2,118,262,2,1,0,1,0,1,0,0,0,5,1,393,0,4,397,0
211,2,192,276,2,1,0,0,0,0,0,0,1,2,1,477,0,9,486,0
212,1,100,342,0,0,0,0,0,0,0,0,0,2,1,446,0,4,450,0
213,0,55,244,2,2,0,0,0,0,0,0,0,1,0,304,0,1,305,0
214,4,345,212,2,2,0,0,2,1,0,0,1,1,4,574,0,5,579,0
215,2,190,482,4,0,0,1,0,1,1,0,1,5,1,688,0,5,693,0
216,5,268,338,5,1,2,3,1,0,0,1,0,1,2,627,0,8,635,0
217,4,161,330,4,1,0,0,0,1,1,0,0,0,2,504,0,3,507,0
218,3,418,144,0,0,3,0,1,1,0,0,0,2,4,576,0,2,578,0
219,5,438,121,1,0,0,1,1,0,1,0,0,1,3,572,0,6,578,0
220,6,57,305,8,0,1,2,1,0,0,1,0,1,2,384,0,3,387,0
221,5,99,183,2,1,0,0,0,0,0,0,0,1,1,292,0,3,295,0
222,1,322,405,6,0,1,0,1,3,4,0,8,7,12,770,0,11,781,0
223,2,204,249,2,5,0,0,5,2,0,0,2,1,5,477,0,6,483,0
224,8,397,262,9,0,0,0,2,1,0,3,2,4,11,699,0,4,703,0
225,4,192,120,0,1,1,0,1,1,0,1,0,0,1,322,0,1,323,0
226,6,240,175,5,1,1,0,1,3,0,2,0,6,4,444,0,4,448,0
227,94,283,239,2,0,0,1,1,0,0,0,0,0,0,620,0,2,622,0
228,1,16,440,6,0,0,2,0,1,0,0,0,2,1,469,0,1,470,0
229,2,191,274,6,1,1,1,1,1,1,0,0,2,2,483,0,6,489,0
230,1,223,198,1,0,0,0,1,1,1,1,1,2,3,433,0,3,436,0
231,6,237,311,2,0,2,0,0,3,0,1,6,4,3,575,0,7,582,0
232,7,202,131,6,1,2,0,0,1,0,0,1,2,1,354,0,1,355,0
233,2,76,359,2,0,1,0,0,0,1,0,1,5,5,452,0,10,462,0
234,3,211,271,5,1,0,0,2,0,0,0,2,0,1,496,0,4,500,0
235,2,131,212,3,2,0,1,2,4,2,1,1,10,6,377,0,3,380,0
236,2,121,330,5,0,0,1,1,1,0,0,0,3,1,465,0,4,469,0
237,5,196,590,2,1,0,0,0,0,0,2,0,4,3,803,0,6,809,0
238,4,227,470,10,2,4,1,0,4,0,0,1,3,4,730,0,5,735,0
239,1,55,704,2,0,0,0,0,0,0,0,0,0,0,762,0,3,765,0
240,7,376,409,4,0,0,0,0,0,1,2,0,0,3,802,0,2,804,0
241,8,82,246,4,0,1,0,0,1,2,0,0,2,3,349,0,6,355,0
242,7,320,280,4,3,0,1,0,2,1,2,0,5,3,628,0,6,634,0
243,7,238,387,3,1,0,0,1,2,0,3,3,5,4,654,0,13,667,0
244,5,104,374,3,0,1,0,0,1,2,0,1,10,3,504,0,5,509,0
245,4,230,188,2,0,0,0,0,1,0,0,1,1,8,435,0,3,438,0
246,3,258,281,4,1,2,0,1,0,0,0,0,2,1,553,0,7,560,0
247,2,206,194,0,0,0,1,0,1,0,0,0,0,1,405,0,1,406,0
248,1,523,74,1,0,0,0,1,0,0,0,0,1,0,601,0,3,604,0
249,4,281,41,0,17,0,0,1,0,0,2,0,0,1,347,0,2,349,0
250,5,210,347,2,2,0,2,2,2,0,2,1,6,1,582,0,12,594,0
251,4,166,550,2,1,0,1,0,4,1,1,0,1,5,736,0,7,743,0
252,0,64,320,1,0,0,0,0,0,0,0,0,2,0,387,0,2,389,0
253,7,181,397,5,2,0,1,0,0,2,1,1,0,0,597,0,6,603,0
254,3,174,143,1,0,0,1,1,0,1,0,2,2,2,330,0,5,335,0
255,2,191,166,1,1,2,1,0,0,0,1,4,2,4,375,0,2,377,0
256,0,63,233,0,0,0,0,0,0,1,0,1,0,0,298,0,4,302,0
257,6,124,215,2,0,0,1,0,1,0,0,0,1,0,350,0,4,354,0
258,1,142,280,4,1,1,1,0,2,0,0,0,2,0,434,0,5,439,0
259,0,88,325,1,1,1,0,0,1,0,0,0,1,0,418,0,4,422,0
260,4,231,382,5,0,0,1,0,2,1,2,1,1,2,632,0,7,639,0
261,4,48,446,4,0,0,13,0,0,0,0,1,1,1,518,0,4,522,0
262,1,155,274,2,1,1,0,0,0,0,0,0,2,3,439,0,7,446,0
263,1,65,138,1,0,0,0,0,1,0,0,0,1,1,208,0,3,211,0
264,6,274,250,5,2,0,1,0,3,0,2,4,3,1,551,0,8,559,0
