Serial No. of Polling Station,NO. OF VALID VOTES CAST IN FAVOUR OF CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHA,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
52,122,574,1,0,18,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,721,0,17,738,
53,125,221,3,0,2,0,0,0,0,0,0,1,1,0,1,5,3,0,0,0,0,0,0,1,1,364,0,4,368,
54,122,644,0,0,9,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,1,781,0,18,799,
55,114,523,1,0,10,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,653,0,10,663,
56,42,236,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,3,283,
57,77,474,2,0,10,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,568,0,11,579,
58,64,288,0,0,5,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,361,0,6,367,
59,122,504,0,1,16,0,2,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,650,0,13,663,
60,79,460,2,0,5,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,550,0,12,562,
61,65,296,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,368,0,7,375,
62,81,560,0,0,5,0,0,1,0,0,0,0,1,0,1,0,3,3,0,1,0,0,0,0,0,656,0,7,663,
63,35,225,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,262,0,1,263,
64,101,773,1,0,15,1,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,899,0,13,912,
65,110,629,2,1,7,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,753,0,11,764,
66,134,450,0,0,11,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,599,0,9,608,
67,336,302,8,1,9,0,0,1,1,0,0,1,0,0,2,2,4,0,1,0,0,0,0,0,0,668,0,14,682,
68,486,140,39,2,2,3,1,1,0,2,0,0,3,2,50,16,2,0,1,0,1,0,0,1,0,752,0,8,760,
69,332,133,43,1,3,0,1,0,0,0,0,2,1,0,16,1,8,0,0,0,0,0,1,0,0,542,0,8,550,
70,238,146,15,1,4,1,0,1,0,1,0,1,1,0,1,1,6,3,0,1,0,0,0,0,0,421,0,2,423,
71,445,225,6,2,9,0,0,1,1,0,0,0,0,1,2,4,8,3,0,0,1,0,0,0,1,709,0,3,712,
72,278,291,2,1,8,0,0,0,2,0,0,2,0,1,5,13,6,7,0,0,0,1,0,0,0,617,0,2,619,
73,789,75,2,1,2,2,0,1,0,0,0,2,2,1,3,9,3,1,1,0,0,0,0,1,1,896,0,2,898,
74,194,525,12,0,3,0,0,0,1,2,1,0,0,2,2,6,4,3,1,1,0,0,0,0,3,760,0,4,764,
75,298,212,2,1,1,0,1,0,0,0,1,0,0,0,3,6,3,1,0,0,1,0,1,0,4,535,0,4,539,
76,123,199,3,0,2,0,0,0,0,0,0,2,0,1,5,5,3,4,0,0,0,0,0,0,0,347,0,1,348,
77,563,42,2,1,2,4,1,1,0,1,1,1,1,1,2,23,25,3,3,1,0,4,0,7,6,695,0,8,703,
78,343,219,13,1,3,2,0,0,0,0,2,1,0,0,5,10,0,2,0,0,0,0,1,1,1,604,0,1,605,
79,405,220,3,0,3,3,1,1,0,0,2,1,4,1,5,13,6,1,3,0,0,0,0,0,1,673,0,5,678,
80,580,88,2,0,3,1,1,0,1,0,0,0,1,0,2,14,16,1,0,0,0,0,0,0,1,711,0,8,719,
81,685,131,9,2,10,2,4,1,2,0,4,3,4,1,4,25,10,3,2,1,2,2,0,4,3,914,0,0,914,
82,123,181,6,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,9,326,
83,191,350,5,1,9,0,1,0,1,0,3,0,0,0,3,2,0,1,0,0,0,0,0,0,0,567,0,2,569,
84,280,100,31,2,9,0,0,1,2,0,0,2,0,0,3,3,4,0,1,1,2,1,2,1,1,446,0,3,449,
85,158,282,3,0,4,2,1,1,0,0,2,1,1,0,6,13,4,5,0,2,2,0,1,0,3,491,0,5,496,
86,110,341,4,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,6,472,
87,330,190,65,3,5,0,0,2,0,1,0,1,2,2,3,7,3,1,3,0,0,0,1,0,2,621,0,5,626,
88,149,558,3,1,8,0,0,0,1,0,1,3,2,2,5,8,7,4,1,0,1,0,0,0,1,755,0,2,757,
89,109,701,2,0,7,0,0,0,0,0,1,0,0,1,1,1,1,2,0,0,0,0,0,0,0,826,0,14,840,
90,166,285,2,1,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,1,0,0,0,0,463,0,1,464,
91,470,297,2,1,2,2,0,1,0,1,0,1,1,3,9,8,4,4,1,0,0,0,1,0,0,808,0,6,814,
92,203,524,9,0,13,0,0,1,0,1,0,1,1,1,1,7,2,2,1,2,0,0,0,0,0,769,0,0,769,
93,225,368,5,2,3,0,0,0,0,0,2,0,0,0,1,3,6,4,0,0,0,0,0,1,1,621,0,2,623,
94,126,408,0,2,3,0,1,0,0,0,1,0,0,0,2,2,1,5,0,0,0,0,0,0,0,551,0,1,552,
95,229,623,4,0,5,1,0,0,0,1,0,1,1,1,0,7,9,6,2,0,0,0,1,0,2,893,0,8,901,
96,121,414,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,551,0,7,558,
97,407,194,174,3,8,1,2,3,0,1,0,3,0,0,5,8,10,4,1,0,0,0,0,0,0,824,0,2,826,
98,179,270,6,2,2,0,1,1,1,0,0,0,1,0,2,4,8,2,1,1,0,1,0,1,3,486,0,10,496,
99,157,576,4,0,16,1,0,0,3,0,0,0,4,3,2,9,7,5,0,1,0,1,3,2,4,798,0,9,807,
100,338,211,42,0,9,4,2,2,2,1,0,2,3,4,11,26,7,1,0,0,0,0,0,0,5,670,0,6,676,
101,91,456,2,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,2,0,0,561,0,4,565,
102,100,377,0,0,9,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,491,0,4,495,
103,71,404,1,0,2,1,3,0,0,0,0,0,0,0,2,1,3,3,0,1,0,0,0,0,0,492,0,6,498,
104,256,90,56,0,2,0,0,0,1,0,0,2,0,0,1,5,0,1,1,1,0,2,0,1,1,420,0,3,423,
105,177,356,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,544,0,3,547,
106,324,235,221,4,3,0,0,1,1,1,0,1,0,3,7,7,8,2,1,0,1,1,1,0,0,822,0,6,828,
107,189,233,34,0,9,0,1,0,1,0,1,0,1,1,1,3,5,5,0,2,0,0,0,3,1,490,0,3,493,
108,156,437,0,1,8,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,608,0,8,616,
109,156,406,0,0,6,1,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,575,0,7,582,
110,120,535,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,667,0,8,675,
111,102,609,2,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,722,0,14,736,
