No Polling St.,,,,,,,,,,,,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,Chuhan Kesavbhai Malabhai (Master),C. R. Patil,Maksu d Mirza,Asla m Mistr y,Patel Bhupen drakum ar Dhirubh ai,Pyarel al Bharti,Mehul Patel,Warde Rajub hai Bhimr ao,Sonal Kellog g,Arun S. Pathak (Journal ist),Kesha vji L. Sarad va,Percy Munshi,Ramjan Mansuri (Journali st),Ravsha heb Bhimra v Patil (Bandh,Rohit Gandhi,Lataben Ashokku mar Dwivedi,Vimal Patel (Endh al),Saiyed Mehmu d Ahmed,Hasan Shaikh,,,,,
155,16,398,76,0,1,0,4,18,1,1,4,1,0,1,2,4,3,0,1,531,0,6,537,0
156,2,286,24,2,0,0,1,0,1,0,0,1,1,0,1,1,1,4,1,326,0,1,327,0
157,8,356,65,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,438,0,2,440,0
158,7,868,63,1,0,0,5,5,3,4,0,1,0,1,1,7,2,0,0,968,0,5,973,0
159,7,720,62,2,2,0,6,2,1,1,0,4,0,1,0,5,2,4,1,820,0,2,822,0
160,4,505,49,3,0,0,3,3,0,1,1,1,0,1,1,4,1,0,2,579,0,2,581,0
161,6,451,31,0,1,0,0,1,1,0,0,1,0,0,1,2,0,3,1,499,0,1,500,0
162,0,377,13,0,0,0,3,2,0,1,0,0,0,0,1,1,0,13,1,412,0,5,417,0
163,3,419,44,4,0,0,5,10,0,0,0,3,0,0,0,4,0,0,0,492,0,2,494,0
164,2,321,47,3,0,0,2,2,1,0,1,2,0,0,1,1,0,0,1,384,0,2,386,0
165,2,519,46,1,0,0,17,1,1,0,0,1,0,1,2,3,0,1,1,596,0,2,598,0
166,11,605,55,1,0,0,9,3,2,1,1,1,2,2,3,6,1,2,2,707,0,5,712,0
167,7,452,50,1,0,0,7,0,1,1,1,1,0,1,1,2,0,0,1,526,0,0,526,0
168,4,345,57,1,0,0,1,0,0,1,1,0,0,1,0,2,0,6,0,419,0,1,420,0
169,11,550,66,1,0,1,16,0,0,0,0,1,1,1,1,2,1,0,0,652,0,0,652,0
170,3,394,44,0,0,0,11,0,1,0,0,0,0,1,1,2,2,3,0,462,0,4,466,0
171,19,316,85,0,0,1,4,2,1,0,0,2,0,1,2,3,1,1,1,439,0,7,446,0
172,2,809,132,2,1,0,7,0,1,1,0,2,0,1,0,2,1,1,0,962,0,4,966,0
173,14,582,46,0,0,1,20,1,1,0,1,2,0,1,0,5,0,1,1,676,0,1,677,0
174,4,436,51,0,0,0,8,4,1,0,0,0,0,0,0,2,0,1,0,507,0,4,511,0
175,0,130,63,0,0,0,16,0,0,0,0,2,0,0,1,1,0,1,1,215,0,1,216,0
176,4,168,61,0,0,1,10,0,0,0,0,1,0,0,0,0,0,1,0,246,0,2,248,0
177,10,558,109,0,0,0,11,1,1,1,0,0,2,3,2,5,2,4,0,709,0,3,712,0
178,15,645,56,0,0,0,6,1,0,0,0,2,0,1,0,5,1,0,0,732,0,2,734,0
179,14,395,82,3,1,0,6,23,0,1,0,1,1,1,2,6,1,5,5,547,0,4,551,0
180,8,706,86,3,0,0,8,4,1,1,1,1,0,3,1,7,0,2,0,832,0,0,832,0
181,14,688,152,4,0,2,11,2,1,0,2,1,1,4,1,4,3,5,1,896,0,5,901,0
182,18,437,94,2,0,0,5,1,1,1,1,0,0,0,1,2,0,2,1,566,0,0,566,0
183,4,300,46,1,0,1,5,0,0,1,1,1,0,0,0,2,1,1,1,365,0,6,371,0
184,0,723,128,2,0,1,16,0,2,0,1,0,1,0,1,5,0,0,0,880,0,7,887,0
184,1,170,5,1,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,183,0,1,184,0
185,2,503,52,0,0,0,3,0,0,1,1,0,2,1,1,1,0,1,2,570,0,3,573,0
186,16,484,71,0,0,1,3,5,0,0,1,0,1,1,1,3,0,9,1,597,0,4,601,0
187,16,482,58,2,1,0,13,3,0,0,0,0,0,0,0,1,0,1,0,577,0,4,581,0
188,20,709,62,0,2,1,7,6,0,1,0,1,1,0,0,1,0,3,0,814,0,3,817,0
189,2,387,69,0,0,0,3,2,1,0,0,1,1,1,1,1,0,5,0,474,0,3,477,0
190,12,627,55,0,2,0,5,1,0,0,0,0,1,0,1,1,0,0,0,705,0,5,710,0
191,31,607,70,4,1,0,11,7,0,0,0,1,2,0,1,2,1,2,0,740,0,2,742,0
192,34,320,72,4,0,1,8,11,0,3,3,1,0,0,0,3,2,3,0,465,0,2,467,0
193,2,249,104,0,1,0,4,0,1,0,0,1,0,0,2,3,1,1,1,370,0,3,373,0
194,4,517,48,0,1,0,7,0,0,1,0,1,0,3,1,3,0,3,1,590,0,2,592,0
195,27,465,117,1,3,0,5,1,1,0,1,2,1,0,1,5,0,0,1,631,0,2,633,0
196,20,433,256,2,4,2,29,1,0,1,1,1,3,6,4,6,4,3,0,776,0,3,779,0
197,17,730,160,1,0,2,33,4,0,1,1,2,0,2,0,6,0,3,2,964,0,2,966,0
198,3,482,106,0,3,1,6,0,0,0,0,0,0,0,1,0,2,2,0,606,0,4,610,0
199,13,531,50,1,1,0,1,1,1,0,0,1,1,0,2,5,0,7,1,616,0,0,616,0
200,11,409,59,3,0,0,7,2,0,4,1,2,0,2,1,2,0,5,1,509,0,1,510,0
201,9,661,82,1,9,0,11,1,1,1,1,0,1,0,3,4,0,5,0,790,0,4,794,0
202,6,453,107,1,0,3,11,0,1,0,2,0,0,2,0,1,1,6,1,595,0,4,599,0
203,8,308,102,5,1,1,22,1,1,1,1,1,0,0,2,2,0,0,1,457,0,0,457,0
204,11,348,61,0,0,0,7,1,0,0,1,0,0,1,0,4,1,4,1,440,0,2,442,0
205,12,393,234,2,2,1,20,1,1,1,4,1,4,1,5,8,3,2,3,698,0,9,707,0
206,8,625,242,1,1,0,21,0,1,1,0,0,3,1,3,5,0,4,2,918,0,6,924,0
207,2,748,82,1,1,0,11,1,0,0,0,0,0,0,1,3,0,1,0,851,0,10,861,0
208,2,522,15,0,0,0,5,2,0,0,0,0,1,0,1,0,0,1,0,549,0,2,551,0
208,2,484,19,0,0,0,4,0,0,0,0,0,0,0,0,2,1,1,0,513,0,2,515,0
209,2,605,29,1,0,0,11,0,0,0,0,0,0,0,0,2,0,0,0,650,0,3,653,0
210,8,622,101,2,0,1,5,4,1,1,0,1,1,0,1,0,2,0,0,750,0,8,758,1
