No Polling St.,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
162,2,262,39,0,12,0,0,0,315,0,6,321,0
163,20,607,274,10,21,2,6,14,954,0,18,972,0
164,0,788,40,3,18,0,0,1,850,0,17,867,0
165,1,382,16,0,4,2,0,0,405,0,12,417,0
166,3,587,164,2,15,2,0,4,777,0,18,795,0
167,2,744,52,1,23,0,1,0,823,-4,20,839,0
168,4,707,50,0,23,0,0,0,784,-3,22,803,0
169,1,511,168,0,15,1,0,0,696,0,8,704,0
170,1,553,41,1,3,0,0,0,599,0,15,614,0
171,8,351,130,0,15,1,0,7,512,0,10,522,0
172,1,453,30,0,6,0,0,0,490,0,6,496,0
173,4,749,68,0,21,0,0,0,842,0,10,852,0
174,0,829,57,1,14,1,0,0,902,0,20,922,0
175,1,466,29,0,12,0,0,0,508,0,6,514,0
176,1,644,34,0,10,1,0,1,691,0,18,709,0
177,1,627,33,1,5,0,0,0,667,0,18,685,0
178,1,650,34,2,19,1,0,0,707,0,22,729,0
179,1,766,54,0,13,1,1,1,837,0,14,851,0
180,0,781,38,0,8,0,2,0,829,0,21,850,0
181,1,704,27,1,8,0,0,0,741,0,16,757,0
182,0,763,33,2,19,0,1,0,818,0,27,845,0
183,3,507,173,3,19,0,4,1,710,0,9,719,0
184,3,455,63,0,24,1,1,1,548,0,12,560,0
185,0,664,40,1,13,0,0,0,718,0,7,725,0
186,0,435,31,0,9,0,0,0,475,0,6,481,0
187,0,525,24,0,3,1,0,0,553,0,9,562,0
188,0,623,64,1,10,0,2,0,700,0,11,711,0
189,1,513,28,0,11,1,0,0,554,0,7,561,0
190,2,837,48,0,25,0,0,0,912,0,24,936,0
191,0,1077,42,0,11,0,0,0,1130,0,14,1144,0
192,2,712,41,0,14,0,0,0,769,0,23,792,0
193,2,722,35,1,16,0,0,0,776,0,16,792,0
194,2,500,15,1,8,0,0,0,526,0,12,538,0
195,1,595,25,0,26,1,0,0,648,0,15,663,0
196,1,714,33,0,12,0,0,1,761,0,6,767,0
197,1,437,13,0,4,0,0,0,455,0,8,463,0
198,2,367,42,1,5,0,0,1,418,0,4,422,0
199,0,708,27,0,20,0,2,0,757,0,11,768,0
200,6,776,34,1,12,1,0,0,830,0,22,852,0
201,1,783,34,0,14,1,0,0,833,0,12,845,0
202,2,811,37,2,16,0,0,0,868,0,19,887,0
203,2,658,73,0,14,0,1,0,748,0,10,758,0
204,1,599,141,1,16,0,2,0,760,0,9,769,0
205,2,537,58,0,15,0,1,0,613,0,9,622,0
206,4,41,469,3,14,1,0,0,532,0,6,538,0
207,6,62,470,8,15,1,1,4,567,0,8,575,0
208,1,525,33,0,6,1,0,0,566,0,8,574,0
,574,114958,25912,255,3439,107,133,165,145543,-16,2262,147789,0
,0,0,0,0,0,0,0,0,0,0,0,0,0
,574,114958,25912,255,3439,107,133,165,145543,-16,2262,147789,0
