No and Name of Polling station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,Total of valid votes,No. of rejected/ missing votes,N O T A,Total,No. of tendered votes
,GITA CHETAN PAUNDA (ADVOCATE GITABA JADEJA),DR. BHARATI BEN DHIRU BHAI SHIYAL,RATHOD PRAVIN BHAI JINABHAI,DR. KANUBHAI V. KALSARIYA,KAGADA RAMESH BHAI PUNA BHAI,KHADRANI ASIMBHAI PIRBHAI,GOHIL PRAVIN SINH DHIRU BHAI,GOHEL BHARAT BHAI BHIMA BHAI,JAGDISH BHAI AMARA BHAI VEGAD,BHAVES GHANSHYAM BHAI RAJYAGURU,MEHTA YASHVANT RAY ODHAVJI BHAI,MARU MANHAR VALJI BHAI,RASID KHAN HASAN KHAN PATHAN,RATHOD PRAVIN SINH CHANDRA SINH,VAGHELA NARENDRA BHAI SHAVJI BHAI,VEGAD NATHA BHAI (PRAGNA CHAKSHU CANDIDATE),,,,,
27,9,396,36,16,3,0,0,0,0,2,1,0,0,1,0,0,464,0,1,465,0
28,7,571,47,20,0,1,0,0,2,0,1,1,0,3,0,0,653,0,1,654,0
29,6,353,80,22,0,1,1,0,1,0,0,0,1,0,1,4,470,0,10,480,0
30,7,569,44,11,2,0,0,0,3,0,0,1,1,0,1,3,642,0,6,648,0
31,18,568,111,24,3,0,1,1,0,0,0,1,0,4,7,4,742,0,7,749,0
32,6,652,79,17,3,1,3,3,3,18,0,3,2,8,4,11,813,0,13,826,0
33,3,442,87,10,0,1,1,2,2,1,6,6,2,3,3,3,572,0,9,581,0
34,5,536,24,4,0,0,1,3,0,0,0,1,2,2,9,4,591,0,1,592,0
35,2,526,27,10,2,1,2,0,0,1,0,0,1,0,6,7,585,0,1,586,0
36,2,400,26,12,1,0,1,1,0,0,0,0,0,2,2,3,450,0,1,451,0
37,2,416,37,11,0,0,2,3,0,1,0,0,0,4,3,2,481,0,6,487,0
38,0,33,28,659,5,0,1,3,3,2,2,2,5,2,0,2,747,0,3,750,0
39,11,408,58,68,2,0,3,2,0,2,2,1,1,2,4,5,569,0,2,571,0
40,9,566,59,20,1,2,0,0,1,0,1,1,2,2,5,6,675,0,15,690,0
41,9,71,49,162,2,0,7,1,0,2,1,0,2,5,4,5,320,0,4,324,0
42,3,21,38,312,3,0,2,3,1,1,2,1,2,2,2,3,396,0,1,397,0
43,4,493,62,27,1,0,1,1,1,2,0,1,6,1,2,9,611,0,2,613,0
44,4,327,18,13,0,1,0,0,1,1,1,0,1,1,1,1,370,0,1,371,0
45,9,409,64,33,1,2,1,3,0,6,0,0,2,5,5,3,543,0,6,549,0
46,4,302,90,13,2,0,1,1,1,1,1,2,1,1,2,9,431,0,6,437,0
47,9,451,127,10,4,0,2,3,0,5,1,3,0,6,2,9,632,0,3,635,0
48,1,87,56,1,0,0,0,0,0,1,1,0,2,1,3,4,157,0,3,160,0
49,7,130,102,5,1,0,1,0,0,1,1,0,1,2,4,2,257,0,1,258,0
50,12,398,75,2,3,0,1,2,2,2,2,2,1,2,4,3,511,0,0,511,0
51,5,245,90,5,2,0,0,1,0,0,1,2,3,5,7,7,373,0,2,375,0
52,2,261,106,6,1,0,0,4,0,2,3,1,3,2,6,4,401,0,2,403,0
53,2,249,148,8,1,2,4,0,1,2,3,2,2,1,1,3,429,0,2,431,0
54,2,145,132,2,1,0,0,0,0,0,0,0,0,3,1,2,288,0,1,289,0
55,8,227,94,10,2,0,0,4,1,2,2,1,4,1,3,7,366,0,8,374,0
56,16,516,112,25,5,0,3,4,5,3,2,4,6,5,15,9,730,0,16,746,0
57,5,103,67,4,0,0,1,0,0,1,2,1,0,3,0,2,189,0,8,197,0
58,19,485,343,12,5,4,1,1,1,2,1,2,2,4,7,6,895,0,20,915,0
59,3,102,43,2,1,0,2,0,0,1,0,1,0,1,3,1,160,0,3,163,0
60,6,153,270,6,1,0,0,1,1,1,3,1,1,4,3,4,455,0,1,456,0
61,3,193,158,5,1,2,1,1,2,1,3,1,6,9,8,12,406,0,4,410,0
62,17,190,236,2,0,2,0,1,0,1,3,1,3,11,6,19,492,0,4,496,0
