Serial No. of Polling Station,NO. OF VALID VOTES CAST IN FAVOUR OF CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
153,172,295,4,0,38,1,0,0,1,0,0,0,0,1,2,2,1,2,1,0,2,0,0,0,2,524,0,3,527,0
154,218,403,4,1,1,1,0,1,0,1,1,2,2,4,5,13,11,8,0,1,2,1,3,3,8,694,0,10,704,0
155,101,324,7,0,5,0,0,0,0,0,1,0,0,0,2,6,1,0,1,1,0,0,0,0,0,449,0,3,452,0
156,226,276,10,2,2,1,0,1,0,1,0,2,1,2,2,11,3,0,0,0,1,1,1,2,1,546,0,5,551,0
157,352,235,3,1,3,2,1,2,0,0,0,2,0,1,2,7,7,0,0,1,0,0,0,1,0,620,0,4,624,0
158,133,437,0,0,6,0,1,0,0,1,2,1,0,0,0,2,1,0,0,0,0,1,0,1,0,586,0,10,596,0
159,131,492,3,0,2,1,0,0,0,0,1,3,0,0,1,4,1,0,2,0,0,0,0,0,1,642,0,2,644,0
160,337,228,4,2,0,0,1,0,0,0,0,0,0,1,3,10,2,2,0,0,0,0,0,1,0,591,0,3,594,0
161,105,435,5,0,2,0,1,0,0,0,0,1,1,0,2,5,0,4,1,0,0,0,0,0,0,562,0,1,563,0
162,97,412,2,0,0,0,0,1,0,0,1,1,0,0,2,5,3,3,1,0,0,0,1,2,1,532,0,0,532,0
163,112,234,2,0,1,0,0,0,0,0,0,1,0,1,1,5,0,0,2,0,0,0,0,0,0,359,0,3,362,0
164,76,217,2,0,7,0,0,1,1,0,0,1,0,1,1,3,1,0,0,0,0,0,0,0,0,311,0,0,311,0
165,375,249,5,1,0,0,2,1,0,3,0,0,0,2,3,6,3,3,1,0,0,0,0,3,0,657,0,2,659,0
166,42,244,4,1,2,3,0,1,0,1,1,1,1,1,1,4,1,2,0,0,0,0,0,0,0,310,0,0,310,0
167,49,447,4,2,2,0,1,0,0,0,1,0,0,0,3,1,0,4,1,2,1,1,2,2,0,523,0,1,524,0
168,97,243,0,1,0,0,0,0,1,0,0,1,1,1,0,2,1,0,0,1,1,0,0,0,2,352,0,2,354,0
169,81,461,4,0,3,1,0,0,0,1,0,0,2,1,3,6,0,5,1,0,0,0,2,0,1,572,0,4,576,0
170,22,280,0,0,1,0,0,0,0,0,1,0,0,0,3,1,0,2,0,1,0,0,0,0,1,312,0,0,312,0
171,322,189,2,0,1,1,1,1,0,1,0,2,1,1,0,15,8,3,1,0,0,0,1,2,0,552,0,5,557,0
172,92,91,1,2,0,0,1,0,0,1,1,2,3,1,2,4,6,0,1,0,0,1,1,0,2,212,0,3,215,0
173,316,184,2,1,0,0,1,0,0,0,1,2,0,0,0,0,5,2,0,0,0,0,1,0,0,515,0,0,515,0
174,70,389,5,0,1,0,0,0,0,0,2,1,1,0,6,3,2,1,1,0,0,0,0,0,0,482,0,4,486,0
175,319,220,2,0,3,0,1,0,0,0,0,0,0,0,8,4,5,2,0,0,1,0,1,0,1,567,0,3,570,0
176,93,303,1,0,1,0,1,1,0,2,0,1,2,0,3,5,4,3,0,1,2,1,1,1,1,427,0,2,429,0
177,112,327,7,0,6,0,1,1,1,0,1,0,1,2,2,0,5,3,1,0,1,1,0,1,1,474,0,4,478,0
178,67,248,4,2,5,0,0,1,2,0,2,1,3,3,6,9,4,1,0,1,2,2,0,0,1,364,0,6,370,0
