Serial No of polling station,NO. OF VALID VOTES CAST IN FAVOUR OF,,,,,,,,,,,,,,,,,,,,,
,Koli Patel Somabhai Gandalal,Parmar Minaxiben Vijaybhai,Fatepara Devjibhai Govindbhai,Jethabhai Manjibhai Patel,Bar Ajmalbhai Karmanbhai,Majethiya Samaratbhai Jerambhai,Chavda Palabhai Nanjibhai,Parmar Prabhubhai Gokalbhai,Parmar Vashrambhai Bavalbhai,Makwana Ukabhai Amrabhai,Makwana Vasharambhai Karshanbhai,Mansinh Shivubha Zala,Vadaliya Kalubhai Malubhai,Vaghela Prakashbhai Bachubhai,Vora Bhavanbhai Devjibhai,Sapara Vipulbhai Rameshbhai,Sankaliya Gangarambhai Tapubhai,Total of Valid votes,No. of rejected Votes,Nota,Total,No. of tender ed votes
86,274,6,489,10,0,0,2,0,0,1,0,3,1,20,2,16,10,834,0,7,841,
87,241,5,556,12,0,0,0,0,0,0,0,4,2,4,2,2,6,834,0,6,840,
88,216,10,641,10,3,0,1,0,1,1,0,1,5,17,4,4,14,928,0,9,937,
89,392,21,241,6,1,1,1,7,0,1,3,1,3,1,4,14,14,711,0,10,721,
90,75,6,516,9,1,0,1,0,0,1,1,1,4,11,1,7,2,636,0,7,643,
91,85,5,448,5,2,2,0,3,2,0,0,0,2,6,2,7,1,570,0,7,577,
92,87,9,334,8,0,1,0,2,0,1,0,0,0,10,1,5,4,462,0,4,466,
92,54,3,429,18,3,0,1,0,0,1,0,3,3,3,2,9,5,534,0,8,542,
93,36,3,347,2,1,0,0,1,0,1,1,0,0,10,2,2,0,406,0,3,409,
94,75,2,162,3,0,0,0,0,0,0,0,0,1,8,0,1,1,253,0,2,255,
95,127,5,234,11,2,1,1,0,0,1,3,3,3,4,6,11,1,413,0,3,416,
96,142,7,270,6,1,1,1,2,0,0,1,1,2,1,2,7,2,446,0,2,448,
97,120,3,301,34,6,0,0,0,1,1,1,5,0,0,0,9,3,484,0,3,487,
98,127,7,193,34,2,2,1,0,1,1,1,1,0,2,0,5,2,379,0,10,389,
99,74,8,180,13,0,0,0,1,0,1,1,0,1,2,0,2,1,284,0,6,290,
100,174,7,369,19,1,1,1,0,3,3,3,3,3,3,4,11,0,605,0,3,608,
101,163,8,398,6,0,0,0,0,3,0,0,0,6,2,3,4,6,599,0,9,608,
102,117,8,470,9,1,3,3,1,2,1,2,0,0,7,1,6,9,640,0,2,642,
103,34,1,145,0,0,0,1,1,0,0,0,0,0,1,0,3,1,187,0,1,188,
