Serial No. of Polling Station,Number of Valid Votes Cast in Favour of,,,,,,,,,,,,,,Total of valid votes,No. of Rejected Votes,NOTA,Total,Total No. of tendered votes
78,122,261,0,1,7,0,1,2,1,1,1,0,1,7,405,0,6,411,0
79,284,78,0,2,12,0,26,1,8,2,1,0,3,2,419,0,7,426,0
80,212,181,2,1,11,1,5,0,1,1,2,1,5,5,428,0,3,431,0
81,110,238,4,0,7,0,4,0,2,0,1,1,0,2,369,0,8,377,0
82,308,206,3,0,0,0,2,1,7,4,1,1,4,2,539,0,7,546,0
83,193,211,3,1,0,0,0,1,12,0,0,2,4,4,431,0,11,442,0
84,651,93,6,0,5,1,1,1,1,5,0,0,3,5,772,0,17,789,0
85,345,184,2,0,3,0,0,1,1,2,1,0,1,6,546,0,9,555,0
86,289,398,6,0,1,0,2,0,1,0,2,0,3,8,710,0,12,722,0
87,677,130,3,0,0,0,0,1,0,1,0,1,7,0,820,0,18,838,0
88,356,95,1,0,1,0,1,1,2,0,0,0,3,1,461,0,9,470,0
89,303,204,3,1,0,1,2,1,3,4,1,3,0,8,534,0,13,547,0
90,431,140,0,1,2,1,0,0,1,0,2,3,2,3,586,0,23,609,0
91,463,155,2,0,3,1,0,2,5,0,1,1,1,7,641,0,14,655,0
92,602,34,2,1,2,0,0,0,3,2,0,0,0,0,646,0,14,660,0
93,675,52,1,0,5,0,0,0,1,1,0,0,3,6,744,0,22,766,0
94,333,55,2,0,7,0,1,0,0,0,0,0,3,6,407,0,8,415,0
95,368,61,1,0,3,0,0,0,0,0,1,1,1,1,437,0,11,448,0
96,702,77,0,1,3,0,0,1,1,3,0,1,1,6,796,0,12,808,0
97,538,115,2,0,3,0,0,2,0,1,2,1,0,4,668,0,8,676,0
98,541,65,1,1,5,0,1,1,2,0,1,0,0,3,621,0,13,634,0
99,441,69,2,1,16,0,2,0,4,0,0,0,2,1,538,0,5,543,0
100,520,43,1,0,10,0,0,0,0,0,0,0,1,1,576,0,7,583,0
101,573,62,1,0,6,0,0,0,0,0,0,1,1,1,645,0,10,655,0
102,401,381,1,0,9,1,1,0,1,0,1,0,2,3,801,0,15,816,0
103,417,194,1,1,20,0,0,0,1,1,1,1,0,2,639,0,7,646,0
104,423,141,4,2,9,1,0,0,0,2,0,0,0,2,584,0,9,593,0
105,288,300,2,5,13,0,0,0,0,1,0,0,1,1,611,0,6,617,0
106,311,294,4,18,16,0,0,0,1,1,1,2,1,0,649,0,12,661,0
107,351,71,0,3,31,1,2,0,0,0,0,0,0,1,460,0,13,473,0
108,456,97,0,0,19,0,0,0,0,0,0,0,2,1,575,0,6,581,0
109,534,114,2,0,12,0,0,0,0,0,0,0,0,0,662,0,9,671,0
110,521,42,0,0,14,0,0,0,0,1,0,0,1,0,579,0,6,585,0
111,746,107,1,0,14,0,0,1,1,0,0,0,1,1,872,0,8,880,0
112,683,89,0,0,24,0,2,0,1,0,0,0,0,1,800,0,16,816,0
113,652,78,1,0,16,0,1,1,0,0,1,1,2,5,758,0,24,782,0
114,700,96,0,0,15,1,0,0,1,1,0,0,1,0,815,0,10,825,0
115,574,150,2,0,7,0,0,0,17,0,0,0,1,3,754,0,12,766,0
116,244,299,2,1,10,0,0,0,1,0,0,0,2,2,561,0,3,564,0
117,499,253,9,0,10,0,0,2,1,3,0,0,1,2,780,0,17,797,0
118,508,131,3,0,8,0,1,0,5,1,0,3,0,4,664,0,10,674,0
119,517,94,1,0,5,0,0,0,0,0,0,0,0,0,617,0,8,625,0
120,350,155,0,0,9,0,0,0,2,0,0,0,0,1,517,0,9,526,0
121,555,208,2,1,14,0,0,0,1,1,1,0,2,2,787,0,17,804,0
122,649,59,0,0,10,0,1,0,1,0,0,0,0,0,720,0,17,737,0
123,245,315,3,1,16,0,1,0,4,1,0,1,2,3,592,0,4,596,0
124,814,74,0,0,21,0,0,0,2,0,0,0,0,0,911,0,11,922,0
125,368,115,1,1,0,2,0,0,3,1,2,3,1,4,501,0,13,514,0
126,132,390,3,8,7,1,2,1,0,0,0,2,1,2,549,0,8,557,0
127,299,194,0,1,36,0,0,1,2,0,0,1,1,4,539,0,2,541,0
128,540,121,4,0,14,0,0,1,1,2,0,1,0,3,687,0,18,705,0
129,305,211,6,3,2,0,1,0,4,0,0,4,4,5,545,0,19,564,0
130,383,165,1,0,12,0,1,0,9,1,0,1,0,1,574,0,12,586,0
131,271,126,2,1,8,0,1,0,13,0,0,0,0,0,422,0,6,428,0
132,363,219,2,0,7,0,0,0,13,1,0,2,0,0,607,0,6,613,0
133,141,32,4,0,10,0,0,0,0,0,0,0,1,0,188,0,4,192,0
134,230,120,0,0,1,0,0,0,6,0,2,2,2,3,366,0,8,374,0
135,319,149,4,1,2,0,1,1,2,3,0,2,4,5,493,0,20,513,0
136,674,66,3,2,26,0,0,0,0,0,1,1,0,0,773,0,15,788,0
137,648,104,4,1,36,2,2,0,4,1,2,0,2,4,810,0,34,844,0
138,567,101,0,2,39,0,0,0,0,0,0,0,1,0,710,0,13,723,0
139,705,54,0,0,21,0,0,0,0,0,0,1,0,0,781,0,11,792,0
140,329,177,2,0,6,0,1,2,8,0,0,0,0,1,526,0,7,533,0
141,525,73,1,0,9,0,1,1,5,1,1,0,0,1,618,0,10,628,0
142,459,60,0,0,8,0,0,0,1,1,0,1,0,1,531,0,5,536,0
143,419,42,2,1,5,0,0,0,22,1,0,2,1,2,497,0,7,504,0
144,606,121,0,1,31,0,0,0,0,0,0,0,2,1,762,0,3,765,0
145,98,715,2,3,10,0,0,0,1,2,0,0,2,2,835,0,6,841,0
146,562,203,1,0,23,2,1,0,4,1,0,0,1,1,799,0,18,817,0
147,95,657,5,1,9,0,1,0,1,0,0,1,1,6,777,0,7,784,0
148,269,125,0,0,6,1,1,0,0,0,0,0,0,1,403,0,7,410,0
149,73,577,2,0,1,0,0,0,0,0,0,0,1,3,657,0,4,661,0
150,31,702,2,1,11,0,0,0,0,0,0,0,0,3,750,0,11,761,0
151,34,481,6,3,10,0,0,0,0,0,0,0,0,0,534,0,1,535,0
152,59,588,5,1,2,0,1,0,0,0,0,0,2,3,661,0,9,670,0
153,319,301,4,1,12,0,0,0,0,0,2,0,0,1,640,0,10,650,0
154,57,527,1,0,13,0,1,1,0,0,0,0,3,4,607,0,7,614,0
155,164,187,2,0,3,0,0,0,1,1,0,0,0,1,359,0,4,363,0
156,113,409,5,10,9,0,0,0,0,0,0,0,0,0,546,0,2,548,0
157,244,367,5,1,5,0,0,1,0,1,0,1,2,3,630,0,18,648,0
158,268,474,5,0,5,1,0,0,0,0,0,0,0,5,758,0,25,783,0
159,91,496,6,3,6,0,0,0,0,1,0,2,2,2,609,0,2,611,0
160,27,731,3,0,9,0,0,1,0,0,1,0,3,6,781,0,7,788,0
161,614,173,1,0,38,0,0,0,2,2,0,1,2,1,834,0,15,849,0
162,471,231,4,1,9,0,0,0,0,1,1,0,1,2,721,0,16,737,0
163,468,132,1,2,8,0,2,0,10,3,0,0,2,1,629,0,7,636,0
164,432,333,2,1,7,0,1,0,1,0,1,0,3,0,781,0,9,790,0
165,331,431,3,2,13,0,0,1,1,1,0,1,6,8,798,0,20,818,0
166,228,417,4,1,11,1,1,1,3,1,2,0,0,2,672,0,12,684,0
167,423,233,0,0,10,0,0,0,0,0,1,2,0,3,672,0,15,687,0
168,54,696,3,1,16,0,0,1,0,0,0,1,2,14,788,0,6,794,0
169,431,281,4,1,7,0,1,0,0,0,0,1,7,6,739,0,21,760,0
170,228,502,2,0,10,0,0,3,0,1,2,1,3,7,759,0,8,767,0
171,588,137,2,0,5,0,0,1,1,2,0,1,4,3,744,0,26,770,0
172,417,41,0,0,3,0,0,0,0,0,0,0,0,2,463,0,9,472,0
173,489,32,1,0,11,0,0,0,0,1,0,0,0,2,536,0,10,546,0
174,365,50,0,0,17,0,0,0,0,1,0,0,0,0,433,0,9,442,0
175,382,40,1,0,7,0,0,0,2,0,0,0,0,0,432,0,7,439,0
176,565,138,0,0,33,0,1,0,0,0,0,0,0,2,739,0,12,751,0
177,597,98,1,0,8,0,1,0,2,0,0,1,2,0,710,0,8,718,0
178,67,165,1,0,9,0,0,0,0,0,0,0,0,1,243,0,4,247,0
179,369,172,6,0,10,0,1,0,1,2,0,0,5,3,569,0,19,588,0
180,312,426,2,1,2,0,1,0,0,0,0,0,0,1,745,0,9,754,0
181,303,236,3,0,15,0,0,0,0,0,0,0,1,6,564,0,8,572,0
182,48,432,1,0,8,0,1,0,0,2,1,0,3,4,500,0,2,502,0
183,588,216,2,1,5,0,0,2,9,1,0,3,5,6,838,0,17,855,0
184,223,136,1,0,5,0,0,1,1,1,1,0,0,1,370,0,3,373,0
185,301,126,1,1,5,0,1,0,1,1,0,1,1,2,441,0,5,446,0
186,242,67,0,1,8,0,0,1,3,0,0,0,0,1,323,0,8,331,0
187,34,134,1,0,1,0,0,0,7,0,0,0,0,0,177,0,0,177,0
188,226,311,2,6,22,0,1,0,5,2,2,3,1,7,588,0,8,596,0
189,498,173,2,2,17,0,3,0,0,0,1,0,4,5,705,0,8,713,0
190,172,409,2,6,6,0,3,2,1,0,0,1,1,3,606,0,10,616,0
191,292,64,1,2,0,0,0,0,3,0,1,2,1,2,368,0,7,375,0
192,205,159,2,0,3,0,0,0,0,1,0,0,0,3,373,0,6,379,0
193,384,213,1,1,3,0,1,0,1,1,0,1,7,3,616,0,11,627,0
194,38,75,14,0,0,0,0,0,0,0,0,0,1,0,128,0,0,128,0
195,95,37,1,0,0,0,0,2,0,0,0,0,1,4,140,0,3,143,0
196,386,104,1,0,5,0,0,0,0,0,1,0,0,3,500,0,12,512,0
197,247,203,0,0,2,0,1,0,0,0,0,2,1,3,459,0,8,467,0
198,184,139,0,1,3,0,0,0,7,1,2,0,0,1,338,0,1,339,0
199,563,147,15,5,10,1,1,0,0,2,3,0,4,4,755,0,17,772,0
200,472,84,2,0,3,0,1,0,2,0,1,0,0,0,565,0,13,578,0
201,307,252,3,0,9,1,0,3,0,0,0,1,2,10,588,0,9,597,0
202,128,222,3,3,7,1,2,2,5,1,1,1,0,3,379,0,3,382,0
203,241,256,1,2,4,0,1,0,6,0,1,1,2,0,515,0,3,518,0
204,5,372,1,0,0,0,1,0,0,0,0,1,0,0,380,0,2,382,0
205,567,141,3,1,3,0,1,3,18,2,1,4,2,7,753,0,15,768,0
206,483,44,0,1,1,0,0,0,5,1,0,0,2,8,545,0,15,560,0
207,294,152,3,3,0,0,0,0,36,0,1,2,6,3,500,0,9,509,0
208,187,206,2,0,9,0,0,0,0,0,0,1,4,7,416,0,9,425,0
209,306,112,3,2,2,0,0,0,4,0,0,0,3,6,438,0,13,451,0
210,319,113,1,0,4,0,0,1,16,0,0,0,2,5,461,0,20,481,0
211,448,199,2,1,10,0,3,2,1,3,1,0,1,4,675,0,11,686,0
212,378,233,0,1,16,0,1,1,4,0,1,0,2,5,642,0,14,656,0
213,281,228,5,0,18,0,0,0,0,2,0,0,1,8,543,0,7,550,0
214,439,137,3,0,5,0,0,0,2,0,0,0,3,6,595,0,13,608,0
215,236,254,3,1,9,0,1,0,2,0,0,1,1,2,510,0,5,515,0
216,433,101,1,0,8,0,0,0,0,0,0,0,1,2,546,0,7,553,0
217,220,170,3,0,3,0,2,3,46,1,0,3,4,4,459,0,20,479,0
218,270,152,3,2,1,1,5,1,1,3,2,2,5,5,453,0,12,465,0
219,243,129,5,2,2,0,1,0,42,1,1,1,5,5,437,0,22,459,0
220,275,50,1,1,1,0,3,1,8,7,1,0,2,7,357,0,10,367,0
221,249,187,3,1,2,1,11,0,1,2,1,3,1,7,469,0,24,493,0
222,362,94,3,3,3,0,3,1,1,7,5,3,6,9,500,0,21,521,0
223,131,322,9,1,1,0,9,2,3,3,1,2,8,8,500,0,6,506,0
224,178,132,2,0,3,0,0,0,0,2,0,0,0,0,317,0,4,321,0
225,250,265,1,1,1,1,1,1,0,1,2,1,2,5,532,0,11,543,0
226,271,118,4,0,4,1,1,1,1,1,0,1,4,0,407,0,8,415,0
227,350,75,0,0,3,0,0,0,0,0,0,0,3,1,432,0,6,438,0
228,250,180,5,0,0,0,0,0,0,0,0,1,2,4,442,0,9,451,0
229,249,122,1,0,1,0,0,0,0,1,0,2,2,1,379,0,7,386,0
230,139,172,0,0,3,0,1,0,0,0,1,0,1,1,318,0,7,325,0
231,148,162,1,0,5,0,1,2,1,2,1,2,1,1,327,0,8,335,0
232,209,129,2,0,0,1,0,0,0,1,0,0,0,0,342,0,5,347,0
233,140,147,2,0,1,0,0,0,5,0,1,0,2,3,301,0,6,307,0
234,312,118,0,0,2,0,0,0,0,0,0,1,3,1,437,0,4,441,0
235,158,247,6,2,3,1,1,1,0,2,2,1,3,8,435,0,15,450,0
236,175,79,2,1,0,0,1,0,1,0,0,1,1,2,263,0,8,271,0
237,447,98,2,0,4,0,0,2,3,0,1,1,2,7,567,0,13,580,0
238,182,32,0,2,0,0,0,0,0,1,1,1,0,2,221,0,4,225,0
239,205,82,6,2,2,0,1,1,0,2,3,2,2,7,315,0,12,327,0
240,324,74,4,0,1,1,0,1,0,1,1,1,1,3,412,0,7,419,0
241,249,121,2,1,2,1,0,0,1,0,0,0,0,0,377,0,7,384,0
242,237,163,3,0,2,0,1,0,3,3,0,1,4,2,419,0,11,430,0
243,74,369,0,2,2,0,0,0,0,1,0,1,1,0,450,0,3,453,0
244,408,65,1,10,0,0,0,1,2,2,0,2,5,6,502,0,34,536,0
245,424,153,2,14,1,1,1,0,1,4,2,7,5,6,621,0,29,650,0
