polling station,,,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
220,13,378,16,346,4,2,1,4,9,12,785,0,12,797,0
221,7,472,11,209,9,0,3,4,2,1,718,0,11,729,0
222,3,306,10,138,8,1,0,1,1,5,473,0,3,476,0
223,3,289,3,66,2,0,0,0,2,4,369,0,4,373,0
224,4,537,14,157,6,2,0,3,2,3,728,0,7,735,0
225,8,467,12,133,2,0,1,3,4,4,634,0,18,652,0
226,8,451,9,114,3,1,0,3,4,6,599,0,10,609,0
227,5,530,7,75,2,0,1,2,3,6,631,0,10,641,0
228,18,241,6,389,8,1,1,5,2,12,683,0,30,713,0
229,8,234,10,225,4,0,3,7,0,6,497,0,13,510,0
230,3,375,8,219,1,1,1,0,1,4,613,0,13,626,0
231,14,391,2,191,5,0,0,3,4,7,617,0,11,628,0
232,6,304,10,205,4,2,0,3,1,4,539,0,6,545,0
233,7,208,6,83,5,0,1,3,2,3,318,0,6,324,0
234,6,487,7,221,3,0,0,4,1,5,734,0,13,747,0
235,22,429,15,247,8,1,1,3,11,14,751,0,24,775,0
236,10,262,13,453,1,1,1,6,10,5,762,0,22,784,0
237,3,177,12,465,16,2,3,3,4,3,688,0,4,692,0
238,24,341,24,378,13,3,1,11,10,5,810,0,21,831,0
239,11,245,14,263,13,0,0,3,6,7,562,0,17,579,0
240,8,186,5,179,0,1,0,4,1,1,385,0,6,391,0
241,17,346,14,337,6,5,1,4,6,8,744,0,20,764,0
242,9,372,13,226,2,1,0,3,4,4,634,0,9,643,0
243,11,256,16,149,7,0,5,3,10,6,463,0,15,478,0
244,16,279,11,198,1,2,2,0,3,3,515,0,5,520,0
245,5,368,15,245,7,2,4,5,4,6,661,0,24,685,0
246,8,275,12,106,2,1,2,1,1,5,413,0,7,420,0
