Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA option,Total Votes,Total No. of Tendered Votes
119,255,69,2,22,1,0,0,2,1,1,2,3,6,3,367,0,7,374,0
120,236,85,4,13,1,1,1,0,1,1,5,2,5,3,358,0,7,365,0
121,329,63,3,2,0,1,1,3,1,1,2,6,6,3,421,0,17,438,0
122,186,312,14,3,0,4,19,3,2,1,0,5,14,12,575,0,15,590,0
123,133,54,3,6,0,3,12,1,0,0,1,2,3,0,218,0,7,225,0
124,184,85,5,17,0,0,19,2,0,1,1,4,3,1,322,0,9,331,0
125,139,99,3,1,0,1,0,2,0,1,0,1,2,5,254,0,4,258,0
126,280,37,4,0,0,0,2,0,0,0,1,0,1,4,329,0,12,341,0
127,271,144,12,5,0,0,13,4,2,2,2,6,8,5,474,0,11,485,0
128,234,93,3,18,1,4,2,2,0,1,3,2,2,3,368,0,4,372,0
129,257,114,1,10,1,0,2,0,0,0,2,1,6,2,396,0,12,408,0
130,98,416,8,1,2,0,1,4,0,1,2,2,5,12,552,0,6,558,0
131,79,161,4,39,2,0,1,0,0,1,2,2,2,8,301,0,14,315,0
132,90,41,1,0,0,0,0,0,1,0,0,0,0,4,137,0,5,142,0
133,114,104,3,53,0,1,8,4,2,0,3,2,6,7,307,0,8,315,0
134,212,170,12,9,1,4,7,5,1,2,2,5,9,7,446,0,10,456,0
135,196,281,10,13,0,4,13,2,3,3,2,2,11,19,559,0,32,591,0
136,216,165,2,16,1,0,38,4,3,2,1,6,18,14,486,0,18,504,0
137,167,175,8,10,0,2,29,1,3,1,6,5,27,11,445,0,13,458,0
138,169,87,6,6,2,1,2,1,0,1,3,0,2,3,283,0,1,284,0
139,246,49,4,1,0,0,1,0,0,1,1,4,2,1,310,0,3,313,0
140,170,104,6,5,0,1,2,1,4,1,1,5,6,6,312,0,8,320,0
141,169,124,2,4,0,0,2,2,0,2,2,1,6,2,316,0,2,318,0
142,337,120,10,12,2,2,10,5,3,8,2,7,11,9,538,0,16,554,0
143,410,168,3,8,3,2,9,2,1,2,2,7,11,6,634,0,15,649,0
144,107,101,3,0,0,1,2,1,2,1,1,1,2,3,225,0,6,231,0
145,66,121,1,0,0,2,3,0,0,1,1,0,2,2,199,0,8,207,0
146,158,97,6,2,2,3,54,2,2,0,0,4,22,6,358,0,9,367,0
147,237,72,1,0,0,1,18,1,0,0,2,1,3,2,338,0,10,348,0
148,183,104,4,2,1,1,10,0,0,1,1,2,4,8,321,0,15,336,0
149,286,162,8,2,0,2,13,2,1,2,3,1,5,5,492,0,6,498,0
150,241,96,5,3,2,4,3,4,3,6,5,5,7,13,397,0,18,415,0
151,368,151,9,15,2,2,3,2,2,7,6,8,5,12,592,0,21,613,0
152,68,284,4,1,3,0,0,0,1,1,1,3,6,5,377,0,7,384,0
153,154,96,4,1,2,2,5,0,2,3,0,1,3,2,275,0,4,279,0
154,237,69,4,6,5,2,25,6,1,1,3,1,6,6,372,0,7,379,0
155,338,113,7,7,1,3,6,3,2,7,5,4,11,3,510,0,18,528,0
156,392,31,0,0,0,1,1,0,0,0,0,0,0,0,425,0,4,429,0
157,415,58,2,14,3,4,39,4,2,1,7,2,20,8,579,0,18,597,0
158,177,106,6,13,3,4,18,2,2,0,4,1,8,6,350,0,10,360,0
159,300,100,1,25,0,1,20,1,3,2,3,1,8,1,466,0,8,474,0
160,529,80,6,12,1,0,11,3,1,6,5,3,9,11,677,0,19,696,0
161,82,11,0,0,0,1,15,0,0,0,1,2,3,2,117,0,3,120,0
162,68,94,6,2,3,5,6,3,0,1,3,2,1,14,208,0,4,212,0
163,130,81,4,3,0,1,1,0,1,0,3,1,1,2,228,0,7,235,0
164,430,31,4,3,3,1,1,2,2,2,8,13,7,3,510,0,11,521,0
165,487,124,5,38,3,3,1,1,2,6,11,3,7,12,703,0,28,731,0
166,411,80,6,41,1,0,2,2,3,2,2,3,6,2,561,0,18,579,0
167,475,82,4,35,3,5,6,5,3,2,8,5,6,9,648,0,19,667,0
168,693,53,7,6,3,1,2,8,4,7,4,5,6,12,811,0,24,835,0
169,395,95,4,12,1,3,0,3,0,2,1,3,5,13,537,0,19,556,0
170,265,242,5,43,3,1,4,2,4,3,3,3,6,12,596,0,10,606,0
171,292,104,5,33,4,3,3,1,1,0,3,2,7,5,463,0,3,466,0
172,393,129,4,39,4,1,6,5,0,2,7,3,11,14,618,0,28,646,0
173,446,176,7,14,3,4,3,2,0,4,3,4,5,2,673,0,12,685,0
174,523,149,10,34,2,1,7,2,3,4,4,3,13,6,761,0,16,777,0
175,376,121,10,23,2,5,4,6,0,2,5,3,8,9,574,0,10,584,0
176,440,57,5,5,0,0,0,1,1,1,2,1,2,6,521,0,12,533,0
177,150,25,3,4,0,0,68,2,0,1,1,2,11,1,268,0,7,275,0
178,230,45,6,6,1,1,54,3,3,2,1,1,9,4,366,0,5,371,0
179,420,77,8,1,1,0,7,1,1,0,1,1,5,1,524,0,12,536,0
180,220,52,4,4,1,0,54,2,0,1,1,2,4,4,349,0,9,358,0
181,46,131,0,0,1,0,14,0,1,0,0,0,0,0,193,0,3,196,0
182,369,112,2,4,1,2,5,0,0,3,38,3,5,3,547,0,5,552,0
183,369,124,4,7,0,0,5,3,2,0,3,2,7,3,529,0,11,540,0
184,250,210,7,2,0,0,4,3,1,2,4,1,4,4,492,0,14,506,0
185,360,139,2,4,3,2,6,2,0,1,1,3,3,7,533,0,6,539,0
186,290,139,6,4,1,1,3,3,3,2,2,2,4,12,472,0,16,488,0
187,194,66,3,0,1,1,0,1,0,0,4,3,2,3,278,0,15,293,0
188,524,90,7,12,1,1,1,2,4,2,3,5,8,4,664,0,20,684,0
189,220,99,7,3,2,2,23,4,0,0,7,5,12,3,387,0,8,395,0
190,568,98,5,5,1,3,17,5,1,2,5,3,19,9,741,0,20,761,0
191,385,171,9,3,7,5,7,1,1,0,2,5,14,10,620,0,18,638,0
192,457,63,6,11,1,0,2,0,1,0,3,1,5,2,552,0,24,576,0
193,335,120,8,2,1,2,4,4,2,0,1,2,6,3,490,0,8,498,0
194,338,119,2,3,0,2,16,3,2,3,3,2,10,4,507,0,11,518,0
195,408,90,7,4,1,1,14,4,1,1,2,0,13,5,551,0,12,563,0
196,480,76,2,20,1,3,5,3,1,3,3,8,11,8,624,0,23,647,0
197,550,71,8,23,2,1,6,2,3,1,3,1,4,6,681,0,19,700,0
198,525,101,6,5,1,3,13,1,1,2,3,0,6,5,672,0,3,675,0
199,440,166,10,11,2,1,10,2,5,4,11,8,20,14,704,0,25,729,0
200,385,55,4,9,2,1,28,3,2,2,4,6,13,2,516,0,8,524,0
201,316,36,0,8,4,0,6,3,6,1,2,1,4,2,389,0,10,399,0
202,466,64,2,1,2,0,2,2,1,1,2,0,3,2,548,0,3,551,0
203,303,47,7,151,1,4,18,2,2,3,20,13,27,17,615,0,36,651,0
204,335,34,6,60,2,3,54,5,2,3,9,4,18,6,541,0,19,560,0
205,321,39,6,111,1,2,11,4,2,2,7,4,5,3,518,0,8,526,0
206,361,65,7,44,2,5,2,8,1,4,6,6,11,10,532,0,10,542,0
207,452,50,6,98,0,3,0,2,3,3,4,5,1,10,637,0,10,647,0
208,319,63,6,9,1,3,0,3,1,0,0,2,3,4,414,0,4,418,0
209,330,101,10,5,1,2,1,2,3,1,3,4,7,8,478,0,13,491,0
210,194,69,0,7,0,0,0,1,0,0,1,2,1,6,281,0,6,287,0
211,423,48,4,86,1,2,2,6,1,2,12,5,2,2,596,0,15,611,0
212,573,53,1,24,2,0,11,1,0,2,3,1,8,8,687,0,16,703,0
213,424,106,11,6,1,3,10,2,1,3,3,6,9,6,591,0,8,599,0
214,225,9,0,3,1,0,0,0,1,0,1,0,1,4,245,0,4,249,0
