Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes
15,385,142,3,0,0,0,1,1,0,1,2,2,2,3,1,14,1,3,0,561,0,561,0,0
16,355,136,7,1,0,2,0,2,0,2,1,0,3,2,3,15,4,2,2,537,0,537,0,0
17,375,254,2,0,0,0,0,13,0,0,0,0,0,0,0,3,0,1,10,658,0,658,0,0
18,296,210,4,1,1,1,0,8,0,2,1,1,1,0,0,1,0,1,12,540,0,540,0,0
19,235,166,2,0,0,0,0,17,0,0,1,0,0,0,0,3,1,3,5,433,0,433,0,0
20,297,228,6,2,0,0,2,13,0,0,0,0,0,0,1,1,0,1,10,561,0,561,0,0
21,401,218,5,1,2,0,0,3,1,0,0,0,2,2,1,9,1,0,2,648,0,648,0,0
22,270,171,4,41,1,1,0,14,0,2,1,0,2,0,0,3,4,3,2,519,0,519,0,0
23,187,254,3,1,0,0,0,2,1,1,0,0,1,2,0,3,1,1,0,457,0,457,0,0
24,672,59,0,0,0,0,0,14,0,1,0,0,1,0,0,1,4,0,6,758,0,758,0,0
25,864,50,0,0,0,0,1,9,0,0,0,1,0,0,0,1,2,0,12,940,0,940,0,0
26,475,143,6,0,1,2,0,17,1,0,1,0,0,0,0,3,13,3,11,676,0,676,0,0
27,485,47,0,1,0,1,0,2,0,0,0,0,0,0,1,3,2,0,5,547,0,547,0,0
28,273,136,9,0,1,1,3,1,2,0,1,1,2,0,6,8,2,6,3,455,0,455,0,0
29,222,167,8,9,2,0,0,1,0,0,0,0,0,2,0,1,8,1,2,423,0,423,0,0
30,185,119,0,0,0,0,1,4,0,0,1,1,2,0,4,5,2,3,7,332,0,332,0,0
31,580,173,6,2,3,0,0,28,0,1,1,1,2,0,5,7,1,1,9,818,0,818,0,0
32,429,37,1,0,0,0,0,12,0,0,0,0,0,0,0,1,1,0,7,488,0,488,0,0
33,788,51,2,0,0,0,0,6,0,0,0,0,0,0,0,3,2,0,9,861,0,861,0,0
34,974,58,6,0,1,0,1,27,0,0,0,0,0,0,0,0,4,0,16,1087,0,1087,0,0
35,701,28,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,8,752,0,752,0,0
36,233,52,2,0,0,0,0,10,0,0,0,1,1,0,2,6,5,0,1,312,0,312,0,0
37,530,181,11,0,0,0,0,10,0,1,1,0,1,0,3,3,9,3,6,759,0,759,0,0
38,565,167,0,0,0,0,1,19,1,2,0,2,2,1,1,7,2,0,5,773,0,773,0,0
39,522,100,1,0,1,2,0,9,0,0,0,1,1,0,1,9,2,0,5,653,0,653,0,0
40,268,106,3,0,0,0,0,10,0,0,0,0,0,2,0,3,1,0,2,396,0,396,0,0
41,361,142,4,1,2,0,0,5,1,2,0,1,1,1,1,1,2,1,1,528,0,528,0,0
42,326,117,0,1,1,0,0,9,1,0,0,1,1,0,1,3,7,4,0,472,0,472,0,0
43,396,119,5,0,1,2,0,3,1,1,0,1,1,2,3,4,6,4,3,554,0,554,0,0
44,589,104,3,0,0,0,0,5,0,0,1,2,3,2,0,9,7,3,1,728,0,728,0,0
45,364,155,6,2,0,0,0,0,0,0,0,0,0,0,5,6,4,1,3,546,0,546,0,0
46,383,79,2,0,1,0,0,6,0,0,0,0,0,0,0,3,2,0,7,483,0,483,0,0
47,237,248,3,0,1,1,0,9,0,0,1,1,2,1,3,6,2,1,1,517,0,517,0,0
48,139,115,2,0,0,1,0,0,0,0,0,0,0,0,3,9,3,7,3,283,0,283,0,0
49,477,54,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,536,0,536,0,0
50,669,70,0,1,0,0,0,12,0,0,0,0,0,0,0,2,8,1,6,769,0,769,0,0
51,387,305,8,0,1,0,0,12,2,0,1,1,2,2,4,11,5,8,4,751,0,751,0,0
52,985,133,1,1,0,0,0,32,1,0,0,0,0,1,2,6,2,0,10,1175,0,1175,0,0
53,893,49,0,0,0,0,0,14,0,0,0,0,0,0,1,5,1,0,9,972,0,972,0,0
54,932,53,0,0,0,0,1,13,0,0,0,0,0,0,0,1,2,0,8,1010,0,1010,0,0
55,621,164,4,0,0,1,0,11,0,0,1,2,3,0,4,7,2,1,12,830,0,830,0,0
56,811,52,2,0,0,0,0,14,0,0,0,0,0,1,0,5,2,0,12,899,0,899,0,0
57,541,44,0,0,0,0,0,12,0,0,1,0,1,0,0,1,2,0,6,607,0,607,0,0
58,795,48,0,0,0,0,0,27,0,0,0,1,1,0,0,2,1,0,11,885,0,885,0,0
59,354,177,4,0,0,0,0,3,0,1,1,0,1,3,7,11,5,1,3,571,0,571,0,0
60,281,137,2,1,1,0,0,2,1,0,0,0,0,4,5,25,3,3,2,468,0,468,0,0
61,395,182,2,1,0,0,0,4,1,0,0,1,1,2,6,6,6,2,5,613,0,613,0,0
62,188,57,1,0,1,1,0,0,1,0,0,1,1,1,0,5,1,1,1,260,0,260,0,0
63,269,284,6,3,1,0,0,1,3,0,0,1,1,2,7,26,9,3,2,619,0,619,0,0
64,256,179,2,1,0,0,1,13,0,2,1,0,1,1,2,4,5,0,2,469,0,469,0,0
65,214,226,5,2,0,0,0,6,1,0,0,1,1,1,1,2,2,2,4,468,0,468,0,0
66,541,56,0,0,0,0,0,22,0,0,0,0,0,0,1,2,0,1,22,645,0,645,0,0
67,685,119,0,0,0,0,1,35,2,0,0,0,0,1,0,8,2,0,8,862,0,862,0,0
68,288,445,2,3,1,1,0,24,1,0,1,1,2,2,4,5,3,6,8,797,0,797,0,0
69,654,151,2,0,0,0,0,44,0,0,0,0,0,0,1,4,9,0,6,871,0,871,0,0
70,1030,66,0,0,0,0,1,53,0,0,0,0,0,0,0,3,2,2,13,1170,0,1170,0,0
71,937,73,4,1,0,0,1,50,0,1,1,1,2,1,1,2,1,0,20,1095,0,1095,0,0
72,699,63,1,0,0,0,0,12,1,0,0,0,0,0,0,4,1,0,6,787,0,787,0,0
73,297,134,3,1,1,0,1,9,1,0,1,0,1,1,1,5,1,2,5,464,0,464,0,0
74,231,280,5,2,5,0,2,17,1,0,2,0,2,0,1,5,3,4,1,559,0,559,0,0
75,670,177,2,2,3,1,0,8,0,1,1,0,1,1,2,9,4,3,5,889,0,889,0,0
76,366,52,1,0,0,0,0,16,0,0,0,0,0,0,1,1,0,0,7,444,0,444,0,0
77,374,115,1,0,0,0,0,8,0,0,0,0,0,0,0,4,4,0,1,507,0,507,0,0
78,410,92,4,0,0,1,0,26,0,0,0,0,0,0,0,0,0,1,2,536,0,536,0,0
79,307,188,4,1,0,0,0,9,0,2,1,1,2,3,4,15,4,3,6,550,0,550,0,0
80,580,77,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,17,699,0,699,0,0
81,409,81,1,0,0,0,0,19,0,1,0,0,0,0,0,7,0,0,10,528,0,528,0,0
82,489,98,2,0,0,0,0,12,0,1,0,0,0,0,0,1,1,1,11,616,0,616,0,0
83,635,107,2,0,1,1,0,39,0,2,1,0,1,0,0,2,2,0,15,807,0,807,0,0
84,392,67,1,0,0,0,0,12,0,0,0,0,0,0,0,3,1,0,7,483,0,483,0,0
85,356,38,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,2,412,0,412,0,0
86,263,250,8,0,3,0,1,5,0,2,1,0,1,3,4,7,3,4,4,558,0,558,0,0
87,704,51,1,0,0,0,1,27,0,0,0,0,0,0,0,0,4,3,25,816,0,816,0,0
88,670,77,1,0,1,0,0,4,1,1,1,0,1,0,0,0,2,0,13,771,0,771,0,0
89,639,54,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,8,715,0,715,0,0
90,636,44,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,2,690,0,690,0,0
91,710,71,0,1,0,0,0,16,0,0,0,0,0,0,0,2,1,1,12,814,0,814,0,0
92,760,84,1,0,0,0,0,6,0,0,0,0,0,0,1,1,6,0,15,874,0,874,0,0
93,817,54,0,1,0,0,0,13,0,1,0,0,0,0,0,1,2,0,17,906,0,906,0,0
94,628,26,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,8,674,0,674,0,0
95,751,71,0,0,0,0,0,23,0,0,0,0,0,0,0,3,2,1,18,869,0,869,0,0
96,658,167,2,1,1,0,0,5,0,0,0,0,0,2,1,5,3,3,8,858,0,858,0,0
97,662,171,2,0,1,0,1,7,0,1,0,1,1,1,1,2,4,3,5,864,0,864,0,0
98,671,68,0,1,0,0,0,6,0,0,0,0,0,0,0,1,1,0,12,760,0,760,0,0
99,582,67,1,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,15,696,0,696,0,0
100,473,62,0,0,0,0,0,10,0,0,0,0,0,0,0,1,2,0,5,553,0,553,0,0
101,611,63,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,1,17,721,0,721,0,0
102,616,81,3,0,0,0,0,12,0,2,0,0,0,0,0,2,4,2,18,740,0,740,0,0
103,736,88,0,0,0,0,1,24,0,0,0,0,0,0,0,4,0,0,13,866,0,866,0,0
104,711,84,2,0,0,0,0,14,1,0,0,0,0,2,0,0,1,0,16,831,0,831,0,0
105,434,49,0,1,0,0,0,21,0,0,1,0,1,0,0,1,0,0,15,522,0,522,0,0
106,502,53,0,0,0,0,0,30,0,0,0,0,0,1,0,2,0,0,6,594,0,594,0,0
107,731,56,1,0,0,0,0,36,0,0,1,0,1,0,0,1,1,0,8,835,0,835,0,0
108,700,49,0,0,0,0,0,32,0,0,0,1,1,0,0,3,1,0,5,791,0,791,0,0
109,655,70,1,0,0,0,0,7,0,1,0,0,0,0,1,3,0,0,6,744,0,744,0,0
110,646,60,0,0,0,0,0,17,0,1,0,0,0,0,0,1,2,0,13,740,0,740,0,0
111,351,197,5,3,1,0,1,15,0,0,0,4,4,3,4,5,5,2,4,603,0,603,0,0
112,740,224,2,1,1,0,0,29,0,2,1,0,1,1,2,8,9,8,6,1035,0,1035,0,0
113,534,95,2,0,0,0,0,32,0,0,0,1,1,0,0,1,0,0,4,669,0,669,0,0
114,632,147,2,0,1,2,0,33,0,1,1,0,1,1,1,4,1,0,12,838,0,838,0,0
115,760,58,0,5,0,0,0,21,0,1,0,0,0,0,0,1,2,0,6,854,0,854,0,0
116,738,49,1,0,0,0,0,37,0,0,0,0,0,0,0,2,0,0,14,841,0,841,0,0
117,710,66,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,10,807,0,807,0,0
118,638,52,1,0,0,0,1,28,0,1,0,0,0,0,0,4,0,0,16,741,0,741,0,0
119,767,76,1,0,1,1,1,23,1,0,0,0,0,0,2,1,0,0,13,887,0,887,0,0
120,561,37,0,0,0,1,0,28,1,0,1,0,1,0,0,1,0,1,6,637,0,637,0,0
121,551,41,0,1,0,0,0,17,0,0,1,0,1,1,0,0,0,0,14,626,0,626,0,0
122,535,72,0,0,0,1,0,35,0,0,1,0,1,1,0,2,0,0,12,661,0,661,0,0
123,498,42,1,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,11,564,0,564,0,0
124,599,41,0,0,0,0,0,19,0,0,0,0,0,0,1,4,2,0,12,678,0,678,0,0
125,323,176,3,2,0,1,0,2,1,0,0,0,0,1,3,3,8,0,2,525,0,525,0,0
126,628,59,0,0,0,0,0,25,0,0,0,0,0,0,0,4,2,0,12,730,0,730,0,0
127,623,41,0,0,0,0,0,39,0,0,1,0,1,0,1,3,1,0,17,726,0,726,0,0
128,633,36,1,0,0,0,1,29,0,0,0,0,0,0,0,2,0,0,18,720,0,720,0,0
129,718,56,0,0,0,0,0,57,0,0,0,0,0,0,0,0,2,0,17,851,0,851,0,0
130,470,32,0,0,0,0,0,23,0,0,0,0,0,1,0,2,0,0,12,540,0,540,0,0
131,724,63,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2,10,819,0,819,0,0
132,691,72,1,0,0,1,0,20,0,1,0,0,0,0,0,7,1,1,12,808,0,808,0,0
133,880,100,0,0,0,0,1,27,2,0,1,0,1,0,0,5,0,0,10,1026,0,1026,0,0
134,682,63,1,0,0,1,0,28,0,0,0,0,0,0,1,3,5,0,22,806,0,806,0,0
135,740,75,0,0,1,0,0,22,1,0,0,0,0,0,0,2,5,1,25,872,0,872,0,0
136,481,32,2,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,7,536,0,536,0,0
137,583,46,1,0,0,0,0,31,0,0,0,1,1,0,0,1,1,0,9,673,0,673,0,0
138,522,57,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,2,9,618,0,618,0,0
139,668,90,0,0,0,0,0,23,2,0,0,0,0,0,1,1,1,0,11,797,0,797,0,0
140,774,90,1,0,0,0,1,18,0,0,0,0,0,1,1,1,5,1,23,916,0,916,0,0
141,449,124,6,0,0,1,1,8,1,1,0,0,0,0,2,9,9,5,5,623,0,623,0,0
142,378,218,8,0,0,3,1,11,0,1,0,2,2,1,1,5,4,1,5,639,0,639,0,0
143,577,53,0,0,0,0,1,13,0,0,0,0,0,0,0,0,3,0,7,655,0,655,0,0
144,313,67,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,6,391,0,391,0,0
145,646,98,0,0,0,0,0,6,0,0,0,0,0,1,0,1,6,1,19,778,0,778,0,0
146,571,73,0,0,0,0,0,11,0,0,0,0,0,0,0,4,13,2,17,691,0,691,0,0
147,555,46,0,0,0,0,0,23,0,0,1,1,2,0,0,0,1,0,16,643,0,643,0,0
148,583,92,3,0,0,0,1,15,0,0,0,0,0,0,1,2,1,0,8,707,0,707,0,0
149,481,65,1,0,0,0,0,9,0,0,0,0,0,0,1,1,1,1,7,567,0,567,0,0
150,350,43,2,1,0,0,0,17,0,0,0,0,0,0,0,1,3,0,9,426,0,426,0,0
151,756,67,3,0,1,0,0,33,0,0,0,2,2,0,0,4,1,0,11,878,0,878,0,0
152,712,51,2,0,0,0,1,8,0,0,0,1,1,0,0,2,6,0,15,798,0,798,0,0
153,556,44,0,0,0,0,0,21,0,0,0,0,0,0,1,4,1,0,7,635,0,635,0,0
154,879,133,5,0,0,0,0,53,0,0,1,0,1,0,1,2,1,0,18,1093,0,1093,0,0
155,575,72,5,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,6,679,0,679,0,0
156,854,61,1,0,0,0,0,27,0,0,0,0,0,0,0,1,2,0,18,964,0,964,0,0
157,593,68,0,0,0,0,0,26,0,0,0,0,0,0,0,0,2,0,13,702,0,702,0,0
158,744,57,1,0,0,0,0,23,0,0,0,0,0,0,1,0,1,0,14,841,0,841,0,0
159,821,72,1,0,0,0,0,20,0,1,1,0,1,0,0,1,3,1,25,946,0,946,0,0
160,949,63,2,0,0,1,0,27,0,0,0,0,0,0,0,2,1,0,16,1061,0,1061,0,0
161,834,51,0,0,0,0,0,24,0,0,0,0,0,0,0,2,1,1,8,921,0,921,0,0
162,1023,62,0,0,0,0,0,21,0,0,0,0,0,0,1,1,5,2,17,1132,0,1132,0,0
163,571,82,1,0,1,0,0,5,1,0,0,0,0,1,0,6,2,2,5,677,0,677,0,0
164,548,111,2,1,0,1,1,4,0,0,0,0,0,2,1,5,4,1,8,689,0,689,0,0
165,282,280,3,0,0,0,0,3,2,1,1,4,5,2,8,13,10,14,9,632,0,632,0,0
166,867,154,2,1,0,0,1,21,1,1,1,1,2,0,2,7,3,3,8,1073,0,1073,0,0
167,478,159,3,0,6,0,0,0,2,1,0,0,0,0,3,9,9,1,4,675,0,675,0,0
168,672,75,1,0,0,0,0,25,0,0,1,0,1,0,0,2,2,0,4,783,0,783,0,0
169,955,82,0,0,0,1,0,13,0,0,0,0,0,0,1,0,4,1,14,1071,0,1071,0,0
170,558,80,0,0,0,0,0,15,1,0,0,0,0,0,0,3,3,0,17,677,0,677,0,0
171,381,17,0,0,1,0,0,3,0,0,0,0,0,0,0,1,8,3,6,420,0,420,0,0
172,944,52,1,0,0,1,0,18,0,0,0,0,0,0,0,0,1,0,19,1036,0,1036,0,0
173,663,31,0,0,1,0,0,22,0,0,0,0,0,0,0,0,0,1,8,726,0,726,0,0
174,438,66,1,0,1,0,0,15,0,0,0,0,0,0,1,3,0,0,5,531,0,531,0,0
175,753,226,8,1,2,0,0,17,2,0,0,1,1,1,5,5,3,9,13,1048,0,1048,0,0
176,427,133,2,0,0,1,0,4,0,0,0,1,1,0,2,8,3,2,3,586,0,586,0,0
177,386,183,3,0,0,0,0,2,7,0,3,2,5,4,3,12,10,3,8,628,0,628,0,0
178,669,172,4,0,0,1,0,8,0,1,2,0,2,3,2,14,4,1,3,884,0,884,0,0
179,699,122,2,1,1,0,1,5,0,0,1,1,2,2,5,9,4,3,3,861,0,861,0,0
180,606,201,1,0,0,1,0,4,1,1,0,0,0,1,0,6,3,0,6,831,0,831,0,0
181,616,115,7,1,2,0,0,10,0,1,0,0,0,0,1,1,22,5,10,791,0,791,0,0
182,570,56,0,0,0,1,0,6,0,0,1,0,1,0,1,3,2,0,7,647,0,647,0,0
183,294,35,0,0,1,0,0,7,0,0,0,0,0,0,1,1,1,0,7,347,0,347,0,0
184,569,51,2,0,0,0,0,9,1,1,0,1,1,0,1,2,2,0,6,645,0,645,0,0
185,388,63,1,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,10,467,0,467,0,0
186,179,67,3,0,0,0,0,2,1,1,1,0,1,1,2,6,1,2,2,268,0,268,0,0
187,478,67,0,0,0,0,0,4,0,1,0,0,0,2,1,12,3,1,2,571,0,571,0,0
188,312,51,2,0,0,1,0,5,0,0,0,0,0,0,0,1,3,0,3,378,0,378,0,0
189,382,185,5,1,0,1,0,8,0,0,1,0,1,0,1,9,1,3,2,599,0,599,0,0
190,332,95,0,0,0,1,0,1,0,0,0,0,0,0,1,2,7,2,4,445,0,445,0,0
191,257,82,0,0,0,0,0,4,0,0,0,0,0,1,0,0,3,0,2,350,0,350,0,0
192,454,122,2,2,1,0,1,11,0,0,1,1,2,3,3,7,3,0,3,616,0,616,0,0
193,350,75,5,0,2,1,0,0,0,0,0,0,0,0,2,3,1,0,0,439,0,439,0,0
194,371,73,1,0,0,1,0,5,0,1,0,0,0,0,0,4,3,2,5,466,0,466,0,0
195,338,303,4,0,0,0,1,2,0,2,1,0,1,3,9,8,2,2,3,680,0,680,0,0
196,576,96,0,0,0,0,0,8,0,0,0,0,0,0,1,3,0,0,4,688,0,688,0,0
197,692,54,1,0,0,0,0,11,0,0,0,0,0,0,0,1,1,0,10,770,0,770,0,0
198,354,50,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,6,418,0,418,0,0
199,296,117,3,0,0,0,0,4,0,0,0,0,0,0,1,0,1,1,1,425,0,425,0,0
200,344,86,1,0,0,0,1,3,0,1,1,0,1,3,0,5,2,2,5,454,0,454,0,0
201,503,115,4,0,0,1,0,10,0,0,2,0,2,0,0,1,1,0,11,649,0,649,0,0
202,430,99,0,0,1,0,0,7,0,0,0,0,0,0,1,2,1,0,3,544,0,544,0,0
203,482,146,6,0,0,0,0,11,4,0,0,0,0,1,0,2,5,2,11,671,0,671,0,0
204,684,91,1,1,0,1,0,2,0,0,0,0,0,0,1,1,2,2,8,794,0,794,0,0
205,632,62,0,0,0,0,0,10,0,0,0,0,0,0,0,2,1,0,5,712,0,712,0,0
206,736,74,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,13,843,0,843,0,0
207,512,65,1,0,1,0,0,7,0,0,1,0,1,1,1,4,5,3,12,613,0,613,0,0
208,790,71,0,0,0,0,0,19,0,0,0,0,0,0,2,5,2,0,15,905,0,905,0,0
209,562,31,0,0,0,1,0,6,0,0,0,0,0,0,1,1,1,1,19,623,0,623,0,0
210,640,77,1,0,1,1,2,8,2,0,0,1,1,0,0,8,8,1,8,758,0,758,0,0
211,619,111,1,2,0,0,0,9,1,0,1,0,1,1,1,7,3,1,6,763,0,763,0,0
212,559,33,0,1,1,0,0,10,0,0,0,0,0,0,1,1,4,0,9,619,0,619,0,0
213,625,53,1,1,0,1,0,4,0,0,0,0,0,1,1,2,2,0,6,698,0,698,0,0
214,903,58,1,0,0,0,0,19,0,0,0,0,0,0,0,3,0,1,13,999,0,999,0,0
215,615,38,1,1,0,0,2,5,0,0,0,0,0,0,0,2,0,0,9,673,0,673,0,0
216,842,98,0,0,0,0,2,13,0,0,0,0,0,0,0,4,1,0,8,968,0,968,0,0
217,807,106,0,0,0,0,0,18,0,0,1,0,1,1,0,2,1,1,21,959,0,959,0,0
218,776,49,0,0,0,0,0,19,0,0,0,0,0,0,0,1,8,0,19,872,0,872,0,0
219,595,33,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,13,650,0,650,0,0
220,527,53,0,0,0,0,0,15,0,0,0,0,0,0,1,1,1,0,11,609,0,609,0,0
221,790,54,0,0,0,0,0,18,0,0,0,0,0,0,0,0,3,0,15,880,0,880,0,0
222,686,47,1,0,0,0,0,8,0,0,0,0,0,0,0,1,1,0,14,758,0,758,0,0
223,758,70,1,0,0,0,2,19,0,1,0,0,0,0,0,6,1,0,20,878,0,878,0,0
224,701,63,0,0,1,1,0,9,0,0,0,0,0,0,0,0,1,0,9,785,0,785,0,0
225,527,91,3,0,0,1,0,7,0,0,0,0,0,0,1,4,0,2,6,642,0,642,0,0
226,687,79,0,1,0,0,0,15,0,1,1,0,0,1,0,2,9,1,17,814,0,814,0,0
227,646,100,2,1,0,0,1,12,0,0,0,1,0,0,1,1,3,0,14,782,0,782,0,0
228,651,100,3,1,0,0,0,12,0,0,1,0,0,2,0,3,7,0,12,792,0,792,0,0
229,544,70,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,11,635,0,635,0,0
230,141,275,10,2,0,0,0,5,1,1,2,1,3,7,5,9,0,2,1,465,0,465,0,0
231,361,59,0,0,0,0,0,10,0,0,0,0,0,0,0,3,6,1,7,447,0,447,0,0
232,485,115,1,0,0,0,0,11,0,0,1,0,1,2,3,3,0,0,5,627,0,627,0,0
233,446,241,2,1,0,1,1,11,0,0,1,0,0,0,1,3,3,2,13,726,0,726,0,0
234,526,102,0,0,0,0,0,10,0,0,0,0,0,0,1,6,0,0,5,650,0,650,0,0
235,694,80,0,0,0,0,0,21,0,0,0,0,0,0,0,4,0,0,12,811,0,811,0,0
236,241,238,5,0,0,0,0,8,0,1,0,0,5,3,3,10,5,12,7,538,0,538,0,0
237,592,222,5,1,0,0,1,7,0,1,0,0,1,0,2,8,5,4,12,861,0,861,0,0
238,703,94,0,0,0,0,0,18,0,2,0,0,0,0,0,1,3,0,10,831,0,831,0,0
239,639,106,1,0,0,0,0,12,1,0,0,0,0,0,1,3,3,1,8,775,0,775,0,0
240,788,82,0,0,1,0,0,15,0,0,1,0,0,2,1,2,4,0,9,905,0,905,0,0
241,494,191,3,0,0,1,0,8,2,0,0,0,0,0,1,5,4,2,3,714,0,714,0,0
242,604,173,3,0,1,0,1,12,0,0,0,0,0,0,5,1,8,2,6,816,0,816,0,0
243,564,69,2,3,2,4,3,14,2,4,2,2,6,2,2,5,3,2,7,698,0,698,0,0
244,570,30,0,1,0,1,0,12,0,0,0,0,0,1,1,2,3,0,7,628,0,628,0,0
245,562,43,1,0,0,0,0,4,0,0,0,0,1,0,0,2,2,1,10,626,0,626,0,0
246,666,60,1,0,1,0,0,24,0,0,0,1,0,0,1,2,0,0,10,766,0,766,0,0
247,625,51,0,0,0,1,2,9,0,0,0,0,0,0,0,3,2,0,17,710,0,710,0,0
248,698,58,0,0,0,0,0,19,0,0,0,0,0,0,0,2,2,2,16,797,0,797,0,0
249,697,75,6,1,0,1,0,18,0,0,0,0,0,0,1,0,6,1,21,827,0,827,0,0
250,732,50,0,0,0,0,0,16,0,0,0,0,0,0,0,3,3,0,12,816,0,816,0,0
251,553,50,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,11,630,0,630,0,0
252,721,44,0,0,0,0,0,14,1,0,0,0,0,0,0,4,4,1,12,801,0,801,0,0
253,753,59,1,0,0,0,0,5,0,0,0,0,1,0,0,7,1,1,6,834,0,834,0,0
254,470,26,1,0,1,1,0,9,0,0,0,0,0,0,0,1,2,0,5,516,0,516,0,0
255,774,45,0,0,0,0,1,11,0,0,0,0,0,0,0,1,8,1,7,848,0,848,0,0
256,600,47,0,1,0,0,0,14,0,0,0,0,0,0,0,0,1,1,12,676,0,676,0,0
257,794,53,0,0,1,0,0,37,0,0,0,0,0,0,0,1,6,2,16,910,0,910,0,0
258,657,54,1,0,0,1,0,16,0,0,0,0,0,0,0,0,4,0,8,741,0,741,0,0
259,556,129,3,2,0,1,0,5,1,1,0,1,0,1,2,2,3,1,3,711,0,711,0,0
260,485,42,2,0,0,0,0,6,2,0,0,0,0,0,1,3,3,2,4,550,0,550,0,0
261,436,44,1,1,0,1,0,5,0,0,0,0,0,0,1,5,3,0,2,499,0,499,0,0
262,508,60,2,0,0,1,0,6,0,1,0,2,0,1,2,9,2,1,4,599,0,599,0,0
263,638,91,0,1,0,2,0,30,0,0,0,1,0,0,0,0,9,1,9,782,0,782,0,0
264,792,87,0,0,0,0,0,25,0,0,0,0,0,0,0,3,6,1,17,931,0,931,0,0
265,635,56,2,0,0,0,1,17,0,0,0,0,0,0,1,3,1,0,5,721,0,721,0,0
266,760,154,2,0,0,0,3,27,0,0,1,0,0,0,0,5,6,1,12,971,0,971,0,0
267,276,137,4,3,0,0,0,3,0,0,1,0,3,0,3,8,1,2,8,449,0,449,0,0
268,510,79,1,0,0,0,0,7,0,1,4,0,0,0,1,1,0,2,5,611,0,611,0,0
269,591,194,4,0,1,0,0,11,0,0,2,0,0,2,1,6,2,3,9,826,0,826,0,0
