Serial No of polling station,,,,,,,,,,,,,,,,,,,,,,
,Koli Patel Somabhai Gandalal,Parmar Minaxiben Vijaybhai,Fatepara Devjibhai Govindbhai,Jethabhai Manjibhai Patel,Bar Ajmalbhai Karmanbhai,Majethiya Samaratbhai Jerambhai,Chavda Palabhai Nanajibhai,Parmar Prabhubhai Gokalbha,Parmar Vasharambhai Bavalbhai,Makvana Ukabhai Amrabhai,Makvana Vasharambhai Karshanbhai,Mansinh Shivubha Zala,Vadaliya Kalubhai Malubhai,Vaghela Prakashbhai Bachubhai,Vora Bhavanbhai Devajibhai,Sapara Vipulbhai Rameshbhai,Sankaliya Gangarambhai Tapubhai,valid,No. of rejected Votes (test votes),"Votes for ""NOTA"" option",Total,No. of tendered votes
76,45,2,189,20,1,1,1,0,1,1,0,1,2,2,3,2,0,271,0,7,278,0
77,120,3,340,14,3,0,1,2,1,2,0,2,1,1,4,6,2,502,0,4,506,0
78,80,1,309,13,0,1,0,0,0,0,0,0,1,0,1,3,1,410,0,14,424,0
79,62,3,207,3,2,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,277,0
80,74,5,388,16,0,0,0,5,2,2,2,3,2,5,2,5,2,513,0,6,519,0
81,184,2,237,12,0,0,0,0,0,0,0,0,0,3,0,6,1,445,0,8,453,0
82,30,7,394,55,4,1,0,1,4,0,2,3,6,11,8,13,0,539,0,5,544,0
83,210,3,248,9,0,1,0,0,1,0,1,0,1,1,2,5,5,487,0,2,489,0
84,182,3,148,16,0,0,0,0,0,0,0,0,1,0,1,4,1,356,0,1,357,0
85,91,7,300,7,2,2,0,1,3,0,1,1,4,9,3,11,5,447,0,5,452,0
86,55,3,292,6,1,0,0,0,0,0,0,0,1,3,0,2,2,365,0,3,368,0
87,107,18,182,7,1,1,2,3,1,1,1,0,1,3,3,9,7,347,0,0,347,0
88,61,5,347,4,2,0,0,0,0,0,0,0,0,4,1,0,3,427,0,2,429,0
89,170,2,136,13,2,0,0,3,0,0,2,0,0,0,2,3,3,336,0,1,337,0
90,153,5,222,6,2,0,0,1,0,0,0,2,1,3,4,3,6,408,0,8,416,0
91,49,3,245,42,0,1,0,0,2,0,0,0,2,2,4,2,3,355,0,3,358,0
92,91,2,141,3,0,8,2,44,0,0,0,0,1,1,0,7,3,303,0,2,305,0
93,94,2,169,2,2,2,1,5,0,0,1,1,3,8,1,7,2,300,0,2,302,0
94,30,2,157,0,0,0,2,31,1,0,0,0,1,1,0,5,1,231,0,2,233,0
95,87,3,117,5,1,0,0,37,0,0,0,2,3,0,0,5,3,263,0,4,267,0
96,51,8,328,6,0,0,2,2,1,1,0,4,0,3,3,8,5,422,0,5,427,0
97,218,8,226,35,0,0,0,0,3,0,0,1,0,1,2,4,12,510,0,0,510,0
98,245,21,40,2,3,0,0,17,0,0,0,1,0,0,1,4,4,338,0,3,341,0
99,190,2,168,10,0,0,0,0,0,0,0,0,0,3,4,5,4,386,0,3,389,0
100,255,3,459,15,1,0,1,0,2,3,2,1,4,8,3,4,15,776,0,3,779,0
101,151,6,305,3,1,0,1,1,0,0,2,3,1,2,4,22,5,507,0,9,516,0
102,206,8,244,2,0,0,1,1,1,0,1,0,1,2,2,9,8,486,0,4,490,0
103,143,13,427,15,1,2,0,4,4,2,2,0,7,8,13,15,6,662,0,11,673,0
104,188,15,322,7,2,2,0,3,2,1,0,0,1,9,2,5,1,560,0,4,564,0
105,134,1,277,6,2,0,0,3,0,1,0,0,1,1,2,4,6,438,0,3,441,0
106,200,10,333,20,1,0,0,0,1,0,2,1,2,4,3,11,7,595,0,6,601,0
107,76,9,135,12,1,2,0,0,0,0,1,0,3,4,2,13,5,263,0,3,266,0
108,215,7,304,15,1,1,1,2,0,0,0,3,1,3,0,4,2,559,0,0,559,0
109,204,9,366,23,1,0,2,1,1,1,0,0,1,1,7,10,10,637,0,8,645,0
110,165,10,176,11,1,0,0,0,0,0,2,1,0,1,2,5,2,376,0,4,380,0
111,53,6,378,18,0,0,1,0,2,1,0,2,0,0,1,4,1,467,0,7,474,0
112,169,0,200,5,1,0,0,2,0,0,0,0,2,1,2,4,5,391,0,7,398,0
113,20,3,200,1,2,1,0,0,1,1,1,2,2,0,3,4,1,242,0,2,244,0
