No Polling St.,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Chuhan Kesavbhai Malabhai (Master),C.R.Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakuma r Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
48,13,449,159,0,0,0,7,0,1,0,0,2,1,1,1,2,1,1,1,639,0,2,641,0
49,11,366,391,6,1,0,1,1,0,1,1,3,3,3,7,6,2,3,3,809,0,3,812,0
50,18,281,209,1,0,2,5,0,1,0,0,0,1,4,5,5,0,3,2,537,0,3,540,0
51,14,371,198,3,1,0,6,2,0,2,1,0,1,1,1,7,6,2,2,618,0,6,624,0
52,9,219,104,2,1,0,8,1,1,1,1,0,1,1,2,0,1,2,1,355,0,0,355,0
53,18,399,214,2,0,0,4,1,3,1,1,1,1,1,1,1,7,5,7,667,0,1,668,0
54,18,332,351,2,3,1,2,3,2,1,1,3,1,3,1,3,5,7,11,750,0,2,752,0
55,31,139,102,3,0,0,3,1,0,0,0,1,0,0,1,2,3,2,1,289,0,2,291,0
56,4,352,100,1,0,0,6,2,0,0,0,1,1,1,1,2,2,1,1,475,0,1,476,0
57,6,272,258,2,1,0,3,0,0,0,1,3,7,2,0,10,5,5,2,577,0,5,582,0
58,9,540,147,1,1,1,8,1,1,0,2,0,0,1,2,5,2,6,2,729,0,3,732,0
59,13,179,115,0,0,0,4,8,0,0,2,2,0,1,2,5,0,3,0,334,0,1,335,0
60,4,116,228,1,0,0,2,1,0,2,0,1,1,5,0,4,1,0,1,367,0,2,369,0
61,4,59,478,6,1,0,8,0,1,0,0,0,1,0,1,1,5,1,3,569,0,6,575,0
62,0,68,341,5,0,0,6,1,1,0,0,0,0,1,0,2,1,0,1,427,0,1,428,0
63,3,56,381,2,1,0,4,0,0,0,0,0,1,0,0,4,1,0,2,455,0,1,456,0
64,3,153,232,5,0,0,1,1,0,0,0,0,0,1,0,5,0,1,0,402,0,3,405,0
65,61,390,125,1,0,0,4,160,2,1,2,4,0,1,4,3,1,0,2,761,0,3,764,0
66,48,207,140,2,1,0,1,114,0,0,2,3,4,2,2,5,3,2,3,539,0,0,539,0
67,153,272,226,5,1,1,6,108,2,1,3,1,2,5,2,11,1,1,1,802,0,0,802,0
68,15,348,137,2,1,0,6,2,1,3,0,1,1,1,2,6,9,3,3,541,0,4,545,0
