polling station,,,,,,,,,,,,,,,,total,No. of Rejected Votes,Total,Number of tendered votes
,Parmar Maganbhai Amarabhai,Rathod Bhavsinhbhai Dahyabha,Liladharbhai Khodaji Vaghela,Govindji Okhaji Thakor,Jakasiji Jogaji Thakor,Parmar Bhaichandbhai Somabhai,Babubhai Karshanbhai Rabari,Imrankhan Mahmadkhan Nagori,Chhaganbhai Naranbhai Prajapati,Jagrala Imran Mahemud,Desai Ishwarbhai Mahadevbhai,Bhoraniya Soyabbhai Hasambhai,Molapiya Abdulkudus Abdulmajid,Vaghda Jivabhai Devabhai,None Of The Above,,,,
122,3,133,499,3,0,0,3,2,0,0,0,0,1,2,3,649,0,649,0
123,2,71,599,0,0,0,0,0,0,1,0,0,1,1,5,680,0,680,0
124,5,205,545,4,2,0,2,0,1,0,1,1,1,2,2,771,0,771,0
125,2,296,393,4,0,0,2,0,2,1,2,1,2,3,7,715,0,715,0
126,3,71,598,3,0,0,1,1,0,1,0,0,0,1,5,684,0,684,0
127,5,175,449,1,2,0,0,0,2,1,0,0,2,2,5,644,0,644,0
128,2,72,182,1,0,0,0,0,0,0,0,0,0,0,1,258,0,258,0
129,10,327,405,5,1,0,2,1,4,3,3,0,5,5,4,775,0,775,0
130,10,241,474,2,0,0,0,2,0,1,0,2,2,2,4,740,0,740,0
131,4,223,171,1,0,0,1,0,0,0,2,0,1,4,5,412,0,412,0
132,5,208,363,1,0,0,0,1,4,0,1,0,2,3,13,601,0,601,0
133,0,6,205,0,1,0,0,0,0,0,0,0,0,0,1,213,0,213,0
134,0,28,652,0,0,0,0,2,3,0,1,1,3,2,3,695,0,695,0
135,4,138,424,3,0,0,0,1,1,2,0,1,1,5,5,585,0,585,0
136,11,333,156,1,1,0,1,0,1,3,2,2,1,2,8,522,0,522,0
137,0,88,297,2,0,0,1,0,1,0,1,0,2,1,2,395,0,395,0
138,2,177,372,5,0,0,0,0,0,1,1,1,3,1,10,573,0,573,0
139,5,180,359,1,0,0,0,1,0,0,0,1,1,5,4,557,0,557,0
140,0,80,211,0,0,0,0,0,0,0,0,0,0,0,1,292,0,292,0
141,2,159,96,0,2,0,0,0,0,0,0,0,0,1,4,264,0,264,0
142,0,22,218,0,0,0,0,0,1,0,0,0,0,1,0,242,0,242,0
143,2,49,179,1,1,0,1,0,1,0,0,0,1,1,5,241,0,241,0
144,0,86,305,3,2,0,0,0,0,1,1,0,1,5,4,408,0,408,0
145,4,193,474,2,1,1,0,1,2,2,0,0,1,1,3,685,0,685,0
146,6,194,585,4,1,0,2,1,0,0,0,1,3,5,3,805,0,805,0
147,9,343,239,3,3,1,1,3,3,2,3,3,4,5,6,628,0,628,0
148,6,271,326,3,0,0,2,0,0,0,1,1,2,3,10,625,0,625,0
149,4,105,230,1,0,0,0,0,0,0,0,0,0,1,2,343,0,343,0
150,3,324,328,3,3,2,0,1,3,0,2,0,3,6,6,684,0,684,0
151,4,115,289,2,0,1,1,0,1,0,1,1,1,3,3,422,0,422,0
152,6,120,124,1,0,0,5,0,1,0,1,0,1,2,3,264,0,264,0
153,5,255,101,0,1,0,2,0,1,1,0,0,0,0,2,368,0,368,0
154,2,42,148,3,0,0,3,0,0,0,0,0,0,1,1,200,0,200,0
155,2,113,358,1,0,0,0,0,1,0,2,1,0,1,1,480,0,480,0
156,0,20,53,2,0,0,0,1,1,1,0,0,0,0,0,78,0,78,0
157,2,58,332,4,1,0,1,0,0,0,0,0,0,1,1,400,0,400,0
158,10,411,401,2,3,1,1,1,1,2,3,1,5,0,3,845,0,845,0
159,4,180,599,4,1,1,0,3,0,0,0,0,0,14,4,810,0,810,0
160,11,272,161,4,1,1,1,1,2,0,0,0,0,3,9,466,0,466,0
161,2,98,73,0,0,0,0,1,0,0,0,1,0,2,0,177,0,177,0
162,7,97,527,0,1,0,3,0,0,0,2,2,4,1,4,648,0,648,0
163,2,181,170,0,0,1,0,0,0,0,0,0,1,4,1,360,0,360,0
164,2,69,365,3,1,0,0,0,1,1,0,2,1,3,1,449,0,449,0
165,4,188,479,7,0,2,1,0,2,2,0,2,14,9,9,719,0,719,0
166,6,243,269,4,0,2,1,1,3,4,1,1,4,3,4,546,0,546,0
167,11,366,327,6,4,1,2,1,6,1,5,5,15,12,8,770,0,770,0
168,2,401,224,3,0,0,0,0,6,4,2,3,3,8,13,669,0,669,0
169,1,288,247,2,0,1,1,3,0,0,1,2,0,3,8,557,0,557,0
170,3,149,261,5,1,1,2,1,1,0,2,2,2,6,9,445,0,445,0
171,2,90,450,2,1,0,0,0,1,0,2,0,2,1,3,554,0,554,0
172,7,429,230,0,2,0,0,3,0,2,1,4,1,4,10,693,0,693,0
173,7,159,493,1,1,0,1,1,1,1,1,1,1,2,6,676,0,676,0
174,4,539,277,1,2,0,0,4,2,1,2,0,3,3,1,839,0,839,0
175,11,232,190,5,4,1,9,0,3,2,2,0,2,1,2,464,0,464,0
176,2,208,286,2,1,3,2,4,0,1,1,0,4,5,5,524,0,524,0
177,5,367,204,4,0,0,3,0,2,2,1,2,5,5,6,606,0,606,0
178,6,282,177,3,2,0,2,0,1,0,0,2,3,6,5,489,0,489,0
179,11,255,235,2,2,0,2,4,1,1,1,0,2,6,14,536,0,536,0
180,5,398,292,0,1,0,0,1,0,0,1,1,1,7,3,710,0,710,0
181,4,245,92,4,0,1,0,0,1,0,0,0,1,1,2,351,0,351,0
182,2,285,60,0,0,0,0,3,0,0,0,0,0,1,1,352,0,352,0
183,0,210,235,2,0,1,0,0,0,2,1,0,1,4,4,460,0,460,0
184,1,65,409,2,0,0,0,0,1,0,0,1,0,5,0,484,0,484,0
185,1,301,216,1,0,0,1,2,0,0,1,0,2,2,2,529,0,529,0
186,0,70,222,1,0,0,0,0,1,0,0,0,1,5,1,301,0,301,0
187,6,399,189,1,0,2,1,2,1,6,1,2,6,8,11,635,0,635,0
188,2,115,543,1,1,1,1,1,1,0,0,0,0,2,2,670,0,670,0
189,1,92,594,2,0,2,0,0,2,0,0,1,1,2,3,700,0,700,0
190,2,289,126,1,0,0,0,1,1,0,1,0,1,2,0,424,0,424,0
191,2,103,44,0,0,0,0,0,0,1,0,1,0,3,4,158,0,158,0
192,2,136,401,2,0,0,0,0,0,0,0,0,3,1,3,548,0,548,0
193,8,549,340,6,2,0,0,0,2,1,0,2,0,4,5,919,0,919,0
194,8,225,407,2,0,1,2,0,0,0,0,1,2,4,5,657,0,657,0
195,22,235,351,5,2,0,2,3,2,3,2,3,8,9,19,666,0,666,0
196,24,49,395,9,6,1,3,1,4,1,3,1,4,2,16,519,0,519,0
197,4,154,250,0,2,1,0,0,0,0,0,2,0,2,3,418,0,418,0
198,4,110,297,11,2,4,3,1,1,1,3,4,2,6,10,459,0,459,0
199,20,163,261,12,4,1,1,2,2,1,0,0,2,1,5,475,0,475,0
200,6,213,259,2,0,1,1,1,1,1,0,1,2,7,2,497,0,497,0
201,14,243,236,4,3,1,0,0,4,1,3,4,6,15,21,555,0,555,0
202,11,190,405,7,2,0,0,1,2,2,0,2,10,14,3,649,0,649,0
203,3,307,114,1,0,1,2,2,0,2,0,2,6,6,7,453,0,453,0
204,4,144,153,3,0,0,0,1,2,1,1,3,1,4,3,320,0,320,0
205,3,118,157,8,3,0,0,0,2,4,1,0,1,4,2,303,0,303,0
206,5,151,358,7,0,0,0,2,0,0,1,0,3,3,10,540,0,540,0
