Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA option,Total Votes,Total No. of Tendered Votes
29,636,74,8,13,2,1,6,4,2,1,2,4,14,15,782,0,27,809,0
30,257,86,3,9,0,1,65,0,2,2,0,2,34,6,467,0,6,473,0
31,68,24,1,5,0,2,205,1,0,0,2,4,39,4,355,0,5,360,0
32,365,130,3,7,3,3,47,5,2,0,0,4,20,15,604,0,17,621,0
33,424,170,8,12,2,3,46,3,3,4,1,0,24,8,708,0,15,723,0
34,163,44,1,2,1,0,11,2,1,0,1,1,1,0,228,0,3,231,0
35,500,117,9,6,0,3,32,3,0,6,3,4,12,7,702,0,22,724,0
36,631,172,8,6,4,4,10,5,5,4,2,7,17,9,884,0,18,902,0
37,516,258,6,7,3,3,16,1,5,3,5,7,17,28,875,0,17,892,0
38,464,112,9,1,3,2,15,1,3,4,3,2,13,7,639,0,20,659,0
39,593,142,0,4,2,1,19,2,4,0,4,3,6,5,785,0,18,803,0
40,497,135,4,7,2,1,5,4,2,3,4,8,13,5,690,0,16,706,0
41,510,253,8,6,4,1,9,4,0,8,3,3,14,46,869,0,23,892,0
42,173,25,0,0,0,0,1,0,0,0,2,0,0,2,203,0,9,212,0
43,203,39,1,7,1,1,0,4,1,1,0,1,1,3,263,0,6,269,0
44,144,138,7,0,0,2,9,3,1,0,3,2,12,5,326,0,4,330,0
45,79,117,1,0,0,0,6,1,2,2,4,3,13,7,235,0,9,244,0
46,347,66,6,28,2,1,2,2,4,2,9,9,8,10,496,0,18,514,0
47,91,50,3,10,0,0,7,0,0,0,2,2,1,2,168,0,2,170,0
48,179,85,3,20,3,0,1,2,4,2,0,6,8,7,320,0,17,337,0
49,477,59,6,29,9,6,18,1,1,6,11,15,16,12,666,0,27,693,0
50,449,65,7,14,0,2,14,4,5,1,6,9,14,14,604,0,27,631,0
51,217,214,4,1,1,3,11,2,4,3,3,3,13,13,492,0,22,514,0
52,193,180,7,1,0,4,20,3,1,1,1,0,4,8,423,0,12,435,0
53,278,115,7,3,2,1,68,8,3,5,3,5,27,7,532,0,11,543,0
54,230,96,4,6,2,2,140,1,2,1,3,5,40,5,537,0,13,550,0
55,449,129,6,70,2,0,30,6,4,0,12,5,20,14,747,0,16,763,0
56,465,102,13,37,2,3,8,5,4,6,5,3,15,11,679,0,29,708,0
57,642,100,4,8,3,2,6,1,1,1,2,3,4,3,780,0,11,791,0
58,508,94,5,28,1,2,9,4,2,4,3,3,5,8,676,0,32,708,0
59,286,13,2,10,0,1,11,0,0,2,0,0,5,1,331,0,4,335,0
60,324,77,3,6,0,1,118,4,0,1,2,4,44,10,594,0,12,606,0
61,269,118,4,12,1,1,44,0,2,1,1,1,15,3,472,0,8,480,0
62,338,92,4,3,2,1,14,3,1,3,2,7,12,5,487,0,9,496,0
63,230,111,4,19,2,3,126,5,3,7,6,9,64,13,602,0,21,623,0
64,149,51,14,9,1,6,182,4,2,3,7,8,82,7,525,0,19,544,0
65,350,56,6,3,1,0,146,2,1,2,3,1,48,8,627,0,11,638,0
66,184,170,3,3,1,3,90,5,3,2,8,4,54,10,540,0,20,560,0
67,199,172,5,10,5,3,123,5,4,5,3,4,31,8,577,0,5,582,0
68,183,34,2,6,2,3,318,1,1,2,8,7,146,6,719,0,9,728,0
69,228,43,5,9,2,3,249,2,4,6,4,4,127,10,696,0,12,708,0
70,373,72,6,7,4,3,134,4,0,11,10,8,61,9,702,0,26,728,0
71,281,33,8,4,1,1,135,4,8,6,5,13,85,7,591,0,11,602,0
72,147,74,4,6,0,2,123,7,2,2,1,7,60,10,445,0,20,465,0
73,279,54,10,4,3,5,132,10,5,5,5,10,68,12,602,0,24,626,0
74,360,87,11,11,6,7,173,11,7,20,11,19,99,24,846,0,48,894,0
75,210,61,3,7,3,1,45,3,11,9,4,7,35,14,413,0,20,433,0
76,325,90,16,8,2,5,53,7,8,9,15,20,47,19,624,0,34,658,0
77,677,50,3,0,1,1,14,1,0,1,3,2,22,9,784,0,28,812,0
78,674,23,2,0,1,1,2,0,1,2,0,3,3,4,716,0,28,744,0
79,606,33,5,3,0,0,3,2,0,1,4,3,10,7,677,0,22,699,0
80,600,33,8,2,2,2,2,1,0,4,1,3,8,2,668,0,11,679,0
81,458,14,2,5,2,1,3,0,0,1,0,2,9,9,506,0,10,516,0
82,429,49,6,3,3,0,5,2,3,2,2,3,9,8,524,0,16,540,0
83,473,188,3,9,0,0,19,1,1,1,0,4,8,5,712,0,11,723,0
84,197,502,1,1,1,2,24,2,2,0,1,1,9,3,746,0,15,761,0
85,101,282,1,1,0,0,5,1,2,0,0,2,1,2,398,0,5,403,0
86,75,355,3,2,2,2,1,1,0,0,1,1,4,7,454,0,3,457,0
87,142,180,7,4,1,0,5,1,0,0,0,1,5,7,353,0,4,357,0
88,329,218,5,1,1,3,11,4,2,7,1,4,20,9,615,0,26,641,0
89,312,320,7,3,3,2,6,1,1,3,1,7,9,14,689,0,8,697,0
90,396,172,9,6,1,1,14,3,6,3,4,1,8,10,634,0,22,656,0
91,159,541,3,0,1,0,12,3,2,1,1,1,8,6,738,0,9,747,0
92,295,474,1,4,1,1,14,1,0,1,1,0,5,6,804,0,9,813,0
93,472,184,1,6,2,1,21,1,1,0,0,0,4,0,693,0,11,704,0
94,554,81,0,3,1,0,12,2,0,1,1,0,8,0,663,0,12,675,0
95,173,330,2,1,1,4,13,0,0,0,34,1,9,4,572,0,8,580,0
96,538,189,2,0,1,2,15,3,1,1,1,0,5,4,762,0,18,780,0
97,36,299,2,0,0,1,6,1,0,0,0,0,3,3,351,0,8,359,0
98,142,278,2,1,0,2,14,0,1,0,0,1,7,1,449,0,4,453,0
99,20,375,2,0,0,0,5,0,0,1,2,1,2,7,415,0,8,423,0
100,15,460,2,0,0,0,7,2,0,0,1,0,7,4,498,0,5,503,0
101,86,311,1,2,0,1,21,1,1,0,0,1,3,2,430,0,3,433,0
102,359,130,2,2,1,0,8,0,0,0,3,4,4,6,519,0,9,528,0
103,50,492,6,0,1,0,4,0,0,1,0,1,3,9,567,0,8,575,0
104,231,79,2,2,1,0,2,0,0,0,1,2,0,0,320,0,4,324,0
105,467,181,4,1,0,2,4,2,2,1,4,4,9,16,697,0,19,716,0
106,201,477,8,5,1,3,16,2,1,3,3,4,4,10,738,0,20,758,0
107,448,122,2,2,2,0,24,0,1,0,2,2,4,2,611,0,13,624,0
108,638,99,0,2,1,2,19,1,0,1,0,1,6,2,772,0,11,783,0
109,688,54,0,2,1,2,12,1,2,2,6,2,11,4,787,0,27,814,0
110,361,53,0,2,0,0,5,0,0,0,1,0,4,2,428,0,9,437,0
111,484,120,2,7,0,0,15,3,1,0,0,1,6,8,647,0,18,665,0
112,441,121,2,6,0,1,6,0,0,2,3,2,3,5,592,0,17,609,0
113,606,79,3,14,1,0,13,0,1,3,1,3,6,3,733,0,13,746,0
114,626,166,1,13,2,5,16,1,1,4,3,8,12,8,866,0,28,894,0
115,603,110,1,5,0,0,13,1,1,0,2,0,9,2,747,0,7,754,0
116,506,118,1,4,1,2,10,2,3,2,3,2,10,5,669,0,15,684,0
117,403,154,3,4,0,0,12,2,4,1,4,2,4,4,597,0,13,610,0
118,478,122,4,9,3,1,11,1,2,0,1,2,8,8,650,0,15,665,0
119,697,85,6,7,1,2,10,1,2,4,2,5,10,7,839,0,19,858,0
120,477,66,5,13,0,0,14,0,0,0,0,0,1,0,576,0,11,587,0
121,365,110,1,0,0,0,16,0,0,0,0,0,6,2,500,0,8,508,0
122,577,77,1,0,0,0,23,0,0,0,0,1,7,1,687,0,11,698,0
123,498,97,2,6,1,0,43,0,0,0,0,1,4,1,653,0,9,662,0
124,578,111,1,7,0,0,16,1,1,2,2,0,9,3,731,0,24,755,0
125,547,71,2,5,2,2,21,0,0,0,0,0,4,1,655,0,8,663,0
126,558,83,2,1,1,1,20,0,2,0,2,0,4,1,675,0,10,685,0
127,459,72,2,14,0,0,13,0,0,1,0,0,5,2,568,0,11,579,0
128,702,103,1,5,1,1,14,0,1,5,1,5,12,5,856,0,35,891,0
129,537,69,6,6,1,2,21,5,4,6,7,3,23,8,698,0,31,729,0
130,443,146,0,3,0,0,9,1,1,0,1,0,4,2,610,0,11,621,0
131,701,83,2,3,1,1,16,0,1,0,0,0,2,1,811,0,11,822,0
132,525,96,0,2,0,0,24,0,0,0,0,0,4,0,651,0,18,669,0
133,680,105,1,6,1,0,13,0,2,0,2,0,5,2,817,0,17,834,0
134,355,87,5,3,1,2,11,1,2,4,6,4,10,4,495,0,17,512,0
135,250,43,2,2,1,1,5,2,1,1,2,5,3,3,321,0,10,331,0
136,408,10,2,3,1,2,14,4,0,0,0,0,1,2,447,0,6,453,0
137,287,314,4,2,1,3,15,1,0,1,2,3,11,3,647,0,15,662,0
138,36,260,1,0,0,0,17,1,0,1,1,0,3,0,320,0,4,324,0
139,44,481,1,0,0,1,14,1,0,0,0,0,4,1,547,0,9,556,0
140,89,499,3,3,0,2,20,1,0,1,0,1,6,5,630,0,9,639,0
141,187,207,5,0,0,1,4,2,1,0,1,1,5,12,426,0,18,444,0
142,12,292,4,2,0,1,4,3,2,0,0,1,4,2,327,0,4,331,0
143,240,216,0,1,0,1,2,0,1,2,2,1,3,5,474,0,10,484,0
144,324,62,9,4,1,3,3,2,0,2,1,4,8,4,427,0,10,437,0
145,367,123,3,2,0,1,7,2,1,2,2,1,5,9,525,0,5,530,0
146,366,143,20,2,2,3,68,3,2,1,0,1,17,11,639,0,13,652,0
147,460,70,8,2,3,1,67,0,4,1,1,3,32,11,663,0,9,672,0
148,253,88,4,3,0,0,4,1,1,1,0,2,8,6,371,0,7,378,0
149,320,129,3,1,0,1,14,4,0,0,2,3,10,3,490,0,11,501,0
150,386,66,1,8,1,3,46,8,3,4,5,5,24,6,566,0,17,583,0
151,189,50,1,0,4,1,2,1,0,3,0,1,3,3,258,0,10,268,0
152,422,54,4,23,0,2,9,5,3,2,3,4,7,5,543,0,7,550,0
153,310,34,4,27,0,0,13,3,0,3,2,4,7,7,414,0,8,422,0
154,344,105,4,7,3,5,52,2,3,2,2,2,12,7,550,0,5,555,0
155,315,90,7,4,1,0,47,0,3,2,3,2,11,3,488,0,10,498,0
156,140,42,1,40,0,3,9,2,0,3,0,5,7,4,256,0,10,266,0
157,154,20,3,302,4,1,5,1,2,3,19,12,9,6,541,0,5,546,0
158,349,48,5,95,1,1,6,3,3,5,9,6,4,4,539,0,9,548,0
159,540,51,4,75,1,1,7,2,0,4,2,3,4,4,698,0,17,715,0
160,260,51,1,16,0,0,2,5,1,2,2,1,6,7,354,0,3,357,0
161,191,74,1,2,0,0,0,0,1,1,2,1,2,4,279,0,1,280,0
162,164,18,1,0,0,0,5,1,1,1,1,1,1,2,196,0,6,202,0
163,293,81,3,2,0,4,8,0,1,1,2,3,8,7,413,0,13,426,0
164,439,68,2,4,0,3,85,5,0,0,2,6,31,7,652,0,14,666,0
165,313,75,2,0,0,2,87,4,0,0,5,2,29,4,523,0,7,530,0
166,282,42,1,8,3,2,76,1,1,1,2,5,29,13,466,0,22,488,0
167,342,87,6,15,1,3,74,6,1,2,1,3,28,7,576,0,9,585,0
168,204,297,12,7,1,3,36,3,2,4,2,5,12,15,603,0,23,626,0
169,382,112,7,2,4,1,31,3,4,1,2,4,19,10,582,0,42,624,0
170,330,112,10,5,1,3,20,7,2,5,17,1,12,8,533,0,13,546,0
171,220,17,3,0,1,0,14,0,1,0,0,0,4,0,260,0,6,266,0
172,290,35,1,0,1,1,65,1,1,1,2,2,14,4,418,0,8,426,0
173,395,64,3,0,0,1,11,2,0,1,2,4,6,4,493,0,12,505,0
174,220,63,7,12,0,0,2,3,0,0,5,1,0,1,314,0,5,319,0
175,216,50,0,9,1,0,4,0,1,0,0,1,3,1,286,0,15,301,0
176,271,56,8,23,1,0,1,1,0,0,2,3,5,7,378,0,8,386,0
177,245,43,1,9,1,0,5,0,0,1,2,1,1,2,311,0,13,324,0
178,317,97,4,6,3,0,4,1,2,2,1,5,6,4,452,0,11,463,0
179,234,48,6,16,1,0,28,3,2,3,3,2,18,5,369,0,12,381,0
180,425,30,8,99,2,2,10,4,1,3,6,3,8,13,614,0,20,634,0
181,363,70,6,89,4,5,31,4,2,4,12,5,18,17,630,0,26,656,0
182,312,112,4,24,0,3,88,4,3,8,6,9,58,23,654,0,25,679,0
183,455,80,9,28,3,2,70,3,3,5,7,8,18,7,698,0,18,716,0
184,182,79,5,9,3,0,54,3,1,0,2,2,17,4,361,0,5,366,0
185,261,63,3,13,2,2,79,2,0,0,1,2,12,1,441,0,10,451,0
186,263,53,3,6,1,1,31,4,3,2,4,7,34,7,419,0,13,432,0
187,272,81,6,17,3,6,66,4,3,7,6,8,38,8,525,0,24,549,0
188,345,52,4,3,0,2,90,5,1,2,4,5,31,7,551,0,16,567,0
189,284,65,8,4,3,3,54,3,2,6,9,6,25,10,482,0,23,505,0
190,333,75,0,5,1,1,145,2,2,3,3,3,43,9,625,0,19,644,0
191,246,113,4,29,1,0,15,3,1,2,1,3,7,4,429,0,6,435,0
192,254,77,2,13,4,2,18,1,1,3,4,4,8,2,393,0,3,396,0
193,264,135,3,45,1,0,14,3,0,1,3,7,12,7,495,0,16,511,0
194,298,82,4,38,5,1,14,0,3,3,6,3,7,7,471,0,23,494,0
195,196,108,0,27,1,1,10,3,1,3,4,0,8,6,368,0,2,370,0
196,206,84,4,32,3,0,16,1,2,2,4,0,2,0,356,0,7,363,0
197,396,61,2,9,0,1,6,6,4,2,6,6,13,12,524,0,20,544,0
198,342,48,3,1,1,1,57,2,1,1,0,3,32,4,496,0,12,508,0
199,500,35,5,2,3,1,39,1,1,0,1,6,11,4,609,0,16,625,0
200,326,26,5,5,2,0,12,4,2,0,0,8,12,8,410,0,11,421,0
201,92,32,0,1,0,0,0,0,0,0,0,0,0,1,126,0,2,128,0
