Serial No. of Polling Station,,,,,,,,,,,,,,,,,,,,,,,,,,valid,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
92,179,48,3,0,2,0,0,0,0,0,1,2,1,1,1,12,4,0,0,0,1,0,1,0,0,256,0,2,258,
93,137,159,4,0,3,0,1,0,0,1,0,1,1,2,3,7,3,4,0,0,1,0,1,0,2,330,0,5,335,
94,173,16,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,197,0,0,197,
95,197,128,2,0,0,1,0,0,0,0,1,0,1,0,3,8,2,2,0,0,1,0,1,0,0,347,0,3,350,
96,281,112,2,0,0,0,1,1,1,0,1,2,0,0,1,3,0,1,0,0,0,0,2,0,0,408,0,4,412,
97,310,204,2,2,2,0,0,0,0,0,0,0,0,2,0,5,5,6,1,0,0,1,0,1,0,541,0,3,544,
98,199,276,7,0,1,0,0,1,0,0,1,1,3,3,3,2,4,7,1,0,0,0,1,0,2,512,0,3,515,
99,68,166,2,1,0,1,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,2,247,0,0,247,
100,328,265,3,0,3,0,0,2,2,0,2,2,1,1,9,7,6,3,0,2,0,2,0,0,1,639,0,3,642,
101,328,87,2,2,0,0,0,0,0,1,1,1,1,2,2,4,6,1,1,0,1,2,0,0,0,442,0,4,446,
102,222,142,0,0,0,0,0,0,0,0,0,1,0,1,2,8,2,0,0,0,0,0,0,0,0,378,0,2,380,
103,88,242,2,1,4,0,0,0,0,0,0,0,0,0,1,3,2,1,0,1,0,0,0,0,0,345,0,2,347,
104,321,131,3,3,0,1,0,1,0,0,0,0,1,1,1,3,6,2,0,0,0,0,0,0,1,475,0,2,477,
105,269,129,6,0,0,0,2,0,0,1,1,2,1,0,2,9,5,1,0,0,0,1,0,0,2,431,0,8,439,
106,45,77,2,0,1,0,0,1,1,0,0,3,0,0,5,1,0,1,1,0,0,0,0,1,0,139,0,3,142,
107,68,110,4,0,0,0,0,0,0,0,0,2,0,2,1,1,0,3,0,0,0,0,0,0,1,192,0,1,193,
108,94,246,4,2,4,1,0,0,1,2,0,2,0,7,2,7,5,6,0,0,0,2,0,0,1,386,0,2,388,
109,159,221,3,0,4,1,3,2,1,0,0,2,1,2,2,8,8,10,1,0,2,1,0,0,0,431,0,5,436,
110,182,126,4,0,1,0,0,0,1,0,1,1,3,2,3,7,12,3,0,0,0,1,1,0,0,348,0,2,350,
111,133,224,1,1,7,1,1,0,0,0,1,2,0,0,1,6,7,6,2,3,1,2,1,1,0,401,0,11,412,
112,82,223,3,1,4,0,2,0,0,0,0,3,2,1,2,3,2,2,0,1,1,0,0,0,1,333,0,1,334,
113,303,204,3,0,1,0,0,0,0,0,1,2,0,2,2,9,5,5,1,1,0,0,1,1,0,541,0,2,543,
114,98,44,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,150,0,0,150,
115,249,403,8,0,1,1,1,0,2,0,0,0,0,0,2,4,3,6,0,0,0,1,1,0,2,684,0,4,688,
116,346,271,7,1,1,0,1,0,0,1,0,0,0,0,2,10,7,2,2,0,1,1,0,0,1,654,0,2,656,
117,157,100,0,0,0,0,0,0,0,0,0,0,1,0,1,6,5,4,2,0,0,0,0,0,0,276,0,0,276,
118,113,28,0,0,0,0,0,0,0,0,1,2,0,0,1,7,1,3,0,0,0,0,0,0,0,156,0,3,159,
119,285,140,2,1,0,3,1,0,0,0,1,1,1,3,2,7,2,4,1,0,0,1,0,0,0,455,0,0,455,
120,173,28,0,0,1,0,0,1,0,0,1,1,0,1,4,5,2,1,0,0,1,1,0,0,0,220,0,0,220,
121,17,61,4,0,0,1,1,2,0,1,0,0,1,1,2,4,0,1,0,0,0,0,0,0,0,96,0,0,96,
122,124,122,2,1,1,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,256,0,0,256,
