Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA option,Total Votes,Total No. of Tendered Votes
35,131,352,6,3,6,1,10,1,0,1,2,3,8,9,533,0,13,546,0
36,111,440,8,0,0,0,0,1,0,1,0,0,1,2,564,0,11,575,0
37,183,129,5,2,1,0,2,0,2,0,0,0,6,4,334,0,7,341,0
38,222,92,1,1,2,0,2,1,0,2,0,1,4,3,331,0,7,338,0
39,171,125,1,0,0,0,2,0,0,0,0,0,2,2,303,0,5,308,0
40,136,177,1,0,0,2,0,1,0,2,1,0,3,6,329,0,5,334,0
41,184,320,11,20,0,1,3,1,1,1,2,0,7,3,554,0,7,561,0
42,314,86,1,0,1,0,1,0,0,0,0,1,1,4,409,0,5,414,0
43,306,186,2,1,0,0,0,0,0,0,0,0,0,3,498,0,6,504,0
44,83,102,3,1,1,1,1,3,0,0,0,1,1,1,198,0,3,201,0
45,153,168,6,1,1,0,6,2,0,1,1,1,5,3,348,0,14,362,0
46,100,88,2,0,0,1,1,0,0,0,0,0,0,1,193,0,1,194,0
47,143,136,7,0,0,0,8,1,0,1,0,0,6,2,304,0,4,308,0
48,365,169,4,1,0,1,2,0,0,1,3,0,5,4,555,0,7,562,0
49,339,254,5,1,1,1,2,2,1,1,1,6,4,5,623,0,15,638,0
50,150,254,6,0,1,1,8,2,1,0,0,1,9,7,440,0,6,446,0
51,109,392,4,0,0,0,6,0,0,0,0,0,4,1,516,0,4,520,0
52,274,259,24,5,1,1,8,4,2,3,1,10,0,9,601,0,18,619,0
53,222,272,6,2,0,4,11,2,1,2,1,1,10,7,541,0,12,553,0
54,109,156,2,0,1,1,0,0,1,1,2,1,6,6,286,0,5,291,0
55,112,176,6,3,0,4,1,0,1,1,0,3,8,9,324,0,6,330,0
56,172,104,3,1,0,1,1,0,0,0,0,1,1,1,285,0,5,290,0
57,199,160,0,1,0,0,1,1,2,3,1,0,4,4,376,0,12,388,0
58,194,163,2,0,1,0,1,0,0,0,1,1,6,3,372,0,9,381,0
59,230,127,1,1,1,0,11,2,2,0,0,2,4,6,387,0,12,399,0
60,131,225,5,0,0,0,5,3,0,0,1,1,3,5,379,0,6,385,0
61,203,287,6,1,2,0,0,0,0,0,1,0,6,5,511,0,4,515,0
62,202,217,8,3,2,1,3,1,1,0,0,1,4,8,451,0,10,461,0
63,167,99,2,1,0,0,11,1,0,0,2,3,6,5,297,0,9,306,0
64,112,113,1,0,0,0,0,0,0,0,0,0,1,1,228,0,1,229,0
65,141,146,0,0,0,0,3,1,1,0,0,0,1,3,296,0,5,301,0
66,352,169,3,0,0,2,4,0,0,0,2,0,2,5,539,0,11,550,0
67,238,236,3,0,0,0,3,0,2,2,0,1,5,10,500,0,14,514,0
68,186,228,5,1,0,2,4,2,0,1,0,0,0,3,432,0,7,439,0
69,246,220,6,2,1,1,7,0,0,0,0,1,3,5,492,0,5,497,0
70,230,480,8,6,0,0,5,2,1,1,1,1,9,4,748,0,11,759,0
71,121,355,3,2,2,1,0,0,0,2,0,2,3,7,498,0,13,511,0
72,146,174,1,1,0,1,2,1,0,0,1,2,1,0,330,0,10,340,0
73,161,268,2,1,0,2,6,2,0,0,0,1,7,3,453,0,4,457,0
74,79,155,3,0,0,1,4,0,0,0,0,0,1,2,245,0,3,248,0
75,108,222,1,1,0,0,3,1,0,0,0,2,1,3,342,0,6,348,0
76,207,216,2,2,0,0,4,0,0,2,0,2,3,6,444,0,10,454,0
77,259,301,3,1,0,2,2,0,0,1,0,2,2,5,578,0,15,593,0
78,184,232,4,3,1,2,1,0,1,0,1,0,1,1,431,0,6,437,0
79,128,303,7,0,0,1,1,0,0,0,0,4,1,4,449,0,7,456,0
80,192,106,3,0,3,0,5,1,0,2,2,2,2,3,321,0,9,330,0
81,196,114,4,0,1,0,3,0,0,0,3,1,5,2,329,0,13,342,0
82,135,171,5,1,0,1,2,4,1,0,1,0,4,6,331,0,13,344,0
83,179,345,11,3,1,1,5,1,0,3,1,2,5,4,561,0,7,568,0
84,155,167,2,2,1,1,3,1,3,1,1,1,1,5,344,0,8,352,0
85,67,101,5,0,0,0,3,0,1,0,0,0,1,0,178,0,2,180,0
86,149,241,11,2,1,1,0,1,0,0,0,1,1,3,411,0,10,421,0
87,77,196,3,2,0,0,0,0,1,1,0,2,2,5,289,0,4,293,0
88,379,138,5,1,0,1,4,1,3,3,0,2,3,5,545,0,15,560,0
89,244,206,6,2,0,2,4,1,0,2,0,0,5,3,475,0,14,489,0
90,176,184,7,4,0,2,9,1,2,2,1,0,1,4,393,0,7,400,0
91,91,149,3,0,0,0,2,1,1,0,2,2,3,4,258,0,12,270,0
92,148,126,0,0,0,0,3,2,0,2,1,2,2,1,287,0,4,291,0
93,209,153,4,1,0,1,3,1,2,0,1,3,2,3,383,0,8,391,0
94,117,113,3,2,2,1,6,1,0,0,2,0,5,3,255,0,8,263,0
95,376,121,1,1,3,0,4,1,1,1,2,2,2,3,518,0,21,539,0
96,400,231,13,2,0,1,2,0,0,4,3,1,6,5,668,0,13,681,0
97,212,238,4,1,1,0,7,2,0,4,2,1,3,7,482,0,9,491,0
98,365,167,4,1,0,1,5,1,0,1,2,3,2,7,559,0,17,576,0
99,227,134,1,1,1,1,5,0,0,1,4,0,1,2,378,0,15,393,0
100,220,297,0,0,0,1,8,1,2,0,0,1,2,4,536,0,9,545,0
101,406,147,4,4,0,4,14,0,0,3,2,3,8,3,598,0,16,614,0
102,44,216,5,0,0,1,5,1,0,0,2,3,6,5,288,0,7,295,0
103,40,28,1,0,0,0,3,0,0,0,1,1,0,1,75,0,3,78,0
104,416,120,1,1,0,0,2,1,0,0,0,3,3,4,551,0,12,563,0
105,242,168,11,1,0,1,1,2,0,1,0,1,3,2,433,0,10,443,0
106,207,131,1,1,1,1,2,0,0,2,1,2,3,5,357,0,11,368,0
107,349,82,1,0,0,1,1,2,1,0,1,2,2,0,442,0,11,453,0
108,220,158,6,1,0,1,2,1,0,0,0,1,4,9,403,0,6,409,0
109,217,192,5,0,0,0,9,0,2,1,0,1,3,2,432,0,8,440,0
110,233,153,3,1,0,2,10,1,0,1,1,0,1,2,408,0,12,420,0
111,66,201,3,0,0,0,1,0,0,2,2,1,2,10,288,0,0,288,0
112,319,208,7,1,1,2,6,1,1,2,3,0,7,4,562,0,12,574,0
113,276,268,5,4,0,2,8,3,0,1,0,3,0,1,571,0,10,581,0
114,364,184,4,1,0,0,6,0,0,0,0,0,2,1,562,0,3,565,0
115,205,190,0,0,0,0,1,0,0,0,1,1,2,5,405,0,10,415,0
116,194,261,5,2,0,3,7,0,1,1,0,1,7,6,488,0,10,498,0
117,167,81,1,2,0,0,1,0,1,1,2,0,0,2,258,0,2,260,0
118,120,122,0,0,0,0,3,1,1,0,1,0,1,0,249,0,1,250,0
119,120,212,5,0,0,0,1,1,1,1,0,1,4,1,347,0,6,353,0
120,204,134,1,0,1,0,3,1,0,0,2,0,4,1,351,0,5,356,0
121,274,197,4,2,1,1,5,1,0,0,2,2,4,2,495,0,7,502,0
122,85,216,21,0,3,2,6,0,0,0,0,1,5,7,346,0,15,361,0
123,156,145,7,0,0,3,31,0,3,2,2,2,9,5,365,0,6,371,0
124,217,259,4,0,0,1,17,1,2,2,1,3,6,5,518,0,9,527,0
125,224,177,4,0,0,0,3,1,0,1,4,1,2,5,422,0,6,428,0
126,195,224,6,0,2,0,9,0,0,1,3,0,4,5,449,0,8,457,0
127,173,149,2,0,0,1,6,0,0,0,0,0,3,4,338,0,10,348,0
128,271,72,2,0,0,0,5,1,0,0,2,0,2,2,357,0,3,360,0
129,211,82,0,0,1,0,8,0,0,1,1,0,3,1,308,0,3,311,0
130,193,149,1,0,2,0,10,0,0,0,0,0,0,1,356,0,2,358,0
131,193,52,0,1,0,0,3,0,0,0,0,0,2,2,253,0,2,255,0
132,120,53,0,3,0,0,33,0,0,2,0,2,11,0,224,0,11,235,0
133,108,195,0,8,1,1,9,0,0,0,3,2,4,4,335,0,8,343,0
134,340,103,3,2,0,1,6,0,0,1,3,1,3,5,468,0,15,483,0
135,242,137,1,0,0,0,2,0,0,1,0,2,4,12,401,0,14,415,0
136,255,154,3,0,3,1,8,1,0,1,2,1,2,1,432,0,12,444,0
137,103,35,0,0,1,0,0,0,0,1,0,1,0,5,146,0,3,149,0
138,291,128,0,3,1,0,2,1,0,0,0,3,2,1,432,0,9,441,0
139,164,239,7,0,0,1,7,0,0,1,3,1,2,5,430,0,7,437,0
140,126,47,1,0,0,0,5,0,0,1,0,1,0,0,181,0,1,182,0
141,214,237,8,1,2,0,21,0,0,0,1,2,0,4,490,0,10,500,0
142,304,158,2,0,0,1,8,0,0,0,0,0,8,3,484,0,9,493,0
143,169,173,2,0,1,1,3,2,0,0,1,1,6,9,368,0,13,381,0
144,201,241,2,0,1,0,0,0,0,1,5,1,6,7,465,0,13,478,0
145,303,164,3,15,0,0,21,1,2,0,0,0,7,3,519,0,8,527,0
146,377,216,7,48,0,2,6,1,1,0,2,2,5,2,669,0,13,682,0
147,129,244,3,1,0,1,2,1,1,0,1,3,3,7,396,0,9,405,0
148,182,279,4,0,0,0,3,0,0,1,0,2,2,2,475,0,2,477,0
149,319,119,1,20,1,1,6,0,0,1,0,0,2,1,471,0,11,482,0
150,184,106,1,70,0,3,5,1,1,3,4,2,4,5,389,0,6,395,0
151,235,247,6,2,0,0,2,1,0,0,6,1,5,0,505,0,5,510,0
152,131,224,4,1,1,0,2,0,1,2,0,0,4,2,372,0,3,375,0
153,353,279,9,0,1,1,4,0,2,1,5,2,3,4,664,0,11,675,0
154,135,187,4,2,0,0,11,0,1,0,4,4,4,3,355,0,11,366,0
155,200,369,9,2,1,4,16,2,1,1,3,3,4,10,625,0,15,640,0
156,122,112,2,1,0,2,8,0,0,0,0,1,1,1,250,0,9,259,0
157,123,160,2,0,0,1,0,1,0,0,0,0,1,3,291,0,3,294,0
158,300,220,2,0,1,0,2,0,0,0,1,0,3,3,532,0,6,538,0
159,109,224,7,3,1,3,5,1,2,1,2,6,9,15,388,0,19,407,0
160,348,46,1,0,0,1,3,0,0,1,1,1,4,0,406,0,7,413,0
161,569,27,0,1,0,1,5,0,0,0,0,0,1,0,604,0,4,608,0
162,831,19,2,0,0,1,3,2,0,0,0,0,3,0,861,0,12,873,0
163,229,108,1,0,0,1,11,0,0,0,0,2,2,1,355,0,10,365,0
164,464,214,4,9,0,0,17,0,0,0,1,1,3,4,717,0,8,725,0
165,357,202,2,0,0,0,10,2,3,1,1,3,4,7,592,0,22,614,0
166,498,250,3,1,0,1,8,1,0,0,3,1,6,5,777,0,14,791,0
167,178,111,0,1,0,0,9,1,1,0,2,4,3,10,320,0,11,331,0
168,274,144,7,1,0,1,11,1,1,0,0,1,6,6,453,0,10,463,0
169,315,179,1,9,0,1,25,1,0,1,1,0,10,8,551,0,17,568,0
170,301,140,3,9,0,0,11,1,0,0,1,1,6,1,474,0,4,478,0
171,258,112,5,0,0,0,11,1,2,1,1,0,7,4,402,0,9,411,0
172,149,186,6,2,0,0,3,0,1,1,3,1,7,10,369,0,14,383,0
173,208,637,4,0,0,0,12,0,0,0,1,0,0,5,867,0,7,874,0
174,238,539,2,1,0,2,15,0,4,1,1,0,5,4,812,0,13,825,0
175,109,641,2,1,0,0,10,0,0,3,0,0,3,5,774,0,11,785,0
176,111,728,4,0,0,0,6,0,1,1,2,1,2,3,859,0,13,872,0
177,137,209,4,2,0,0,5,0,1,0,0,1,3,1,363,0,10,373,0
178,459,174,4,1,0,1,19,0,0,0,1,0,6,1,666,0,28,694,0
179,379,233,4,2,2,0,15,0,0,1,0,1,1,2,640,0,22,662,0
180,152,347,7,2,0,0,10,0,0,0,0,0,1,1,520,0,19,539,0
181,520,191,0,0,1,0,15,0,0,0,0,0,0,0,727,0,28,755,0
182,107,372,6,2,0,1,7,0,0,0,0,0,7,10,512,0,4,516,0
183,42,681,1,2,0,2,16,0,0,0,1,0,6,7,758,0,6,764,0
184,419,132,0,0,0,0,13,0,0,1,0,0,3,1,569,0,14,583,0
185,336,259,5,1,1,0,16,0,0,0,0,0,5,0,623,0,15,638,0
186,215,322,10,4,0,0,7,0,0,0,0,1,3,2,564,0,19,583,0
187,522,268,1,1,1,0,20,0,1,0,0,0,7,2,823,0,13,836,0
188,133,309,2,0,0,0,9,0,0,0,0,0,1,0,454,0,10,464,0
189,259,163,1,0,0,0,9,0,0,0,1,0,1,0,434,0,13,447,0
190,121,139,1,0,0,1,5,0,0,0,1,1,3,1,273,0,5,278,0
191,347,151,2,0,0,1,8,0,1,0,0,0,2,1,513,0,13,526,0
192,326,192,0,0,0,0,11,1,0,0,1,0,1,1,533,0,22,555,0
193,421,155,0,9,0,1,16,0,0,0,0,0,3,0,605,0,21,626,0
194,200,87,0,0,0,0,5,0,0,1,0,0,1,0,294,0,11,305,0
195,295,143,1,1,0,0,14,1,0,0,0,0,1,1,457,0,16,473,0
196,425,105,2,2,0,0,9,1,1,0,0,0,1,1,547,0,16,563,0
197,337,106,1,0,0,0,12,0,0,0,0,0,2,0,458,0,18,476,0
198,329,203,0,3,0,0,17,0,0,0,0,0,1,1,554,0,19,573,0
199,353,370,3,0,0,0,4,1,0,0,1,0,3,3,738,0,16,754,0
200,252,651,8,3,0,0,4,1,0,1,0,1,2,10,933,0,11,944,0
201,420,79,0,0,1,0,7,1,0,0,0,1,0,2,511,0,10,521,0
202,123,320,5,0,0,0,14,0,0,0,0,2,2,4,470,0,7,477,0
203,49,609,2,1,0,0,11,0,1,0,2,1,3,4,683,0,10,693,0
204,349,308,1,2,1,2,5,0,0,0,3,2,2,8,683,0,27,710,0
205,420,168,0,1,1,0,11,0,0,0,0,0,0,1,602,0,15,617,0
206,234,473,15,0,1,1,12,0,0,0,1,3,11,7,758,0,14,772,0
207,377,289,3,1,1,1,19,0,0,0,1,1,6,2,701,0,14,715,0
208,411,291,3,1,0,0,26,0,0,0,0,0,2,2,736,0,8,744,0
209,377,270,0,0,0,0,20,0,1,0,0,0,4,1,673,0,19,692,0
210,162,449,17,4,2,0,10,1,0,0,2,0,7,13,667,0,19,686,0
211,356,379,9,20,1,1,19,0,0,0,4,5,6,7,807,0,15,822,0
212,377,196,2,0,0,1,7,0,0,0,1,0,1,1,586,0,10,596,0
213,417,215,1,6,2,1,16,1,1,1,0,2,4,2,669,0,17,686,0
214,350,193,1,2,0,2,22,0,0,0,0,0,7,2,579,0,11,590,0
215,351,139,0,2,1,2,27,0,0,0,0,0,4,2,528,0,10,538,0
216,293,188,2,2,0,0,30,0,0,0,0,2,9,3,529,0,10,539,0
217,262,112,1,0,1,0,7,0,0,1,0,0,3,1,388,0,10,398,0
218,316,158,0,0,0,0,21,0,0,0,1,0,5,2,503,0,6,509,0
219,374,173,3,2,0,0,13,0,0,1,0,0,5,1,572,0,11,583,0
220,234,375,5,0,1,1,5,1,0,0,1,1,3,2,629,0,6,635,0
221,115,347,2,2,0,0,7,0,0,0,0,0,3,1,477,0,4,481,0
222,444,203,2,3,0,1,18,0,0,0,1,0,1,1,674,0,14,688,0
223,331,105,1,1,0,0,12,0,0,0,1,0,0,1,452,0,9,461,0
224,433,193,0,1,1,1,20,0,0,0,0,0,7,0,656,0,14,670,0
225,500,144,1,0,0,1,27,0,0,0,0,1,1,2,677,0,18,695,0
226,359,187,1,2,0,0,16,1,0,0,2,0,1,7,576,0,25,601,0
227,577,164,0,1,0,0,30,1,0,0,0,0,0,0,773,0,19,792,0
228,233,153,2,10,0,2,8,0,2,0,3,2,4,6,425,0,8,433,0
229,257,162,2,9,2,0,12,0,0,0,0,2,8,2,456,0,9,465,0
230,303,139,0,1,0,0,14,0,1,0,0,0,2,5,465,0,0,465,0
231,211,177,1,0,0,0,13,1,0,0,1,1,6,2,413,0,10,423,0
232,310,197,1,0,0,0,18,1,0,0,1,3,0,1,532,0,12,544,0
233,208,335,7,3,0,1,9,0,0,0,1,2,9,7,582,0,12,594,0
234,265,168,2,0,1,0,7,1,0,0,1,0,5,7,457,0,17,474,0
235,228,154,7,0,0,3,12,1,0,2,0,0,6,6,419,0,13,432,0
236,265,164,3,0,0,0,8,0,0,0,1,1,2,0,444,0,10,454,0
237,443,191,1,1,1,1,18,1,0,0,0,1,2,2,662,0,17,679,0
238,724,85,4,0,0,0,4,1,1,2,0,3,3,5,832,0,23,855,0
239,87,100,4,0,1,0,4,0,1,2,5,0,1,2,207,0,7,214,0
240,244,127,4,1,0,2,4,1,0,0,0,0,10,3,396,0,8,404,0
241,267,139,2,2,0,0,8,0,0,0,0,1,10,2,431,0,22,453,0
242,107,147,3,2,0,1,48,0,1,0,10,0,11,3,333,0,3,336,0
243,128,79,1,0,0,0,63,4,0,1,1,0,8,0,285,0,4,289,0
244,211,156,7,0,1,0,4,1,1,1,4,2,4,9,401,0,12,413,0
245,177,104,0,0,0,2,1,1,0,1,0,1,2,2,291,0,9,300,0
246,175,211,18,1,1,1,0,0,0,0,1,3,3,6,420,0,14,434,0
247,122,220,6,1,0,2,8,0,0,0,0,1,4,0,364,0,2,366,0
248,102,105,2,0,0,1,13,1,0,0,1,2,1,3,231,0,3,234,0
249,243,215,6,0,2,0,10,2,0,0,18,1,4,6,507,0,9,516,0
250,231,184,5,0,1,0,11,3,1,0,6,0,6,9,457,0,7,464,0
251,181,184,4,0,1,2,3,1,1,0,1,4,1,4,387,0,6,393,0
252,133,279,8,2,1,1,1,6,2,2,8,5,5,9,462,0,24,486,0
253,267,285,5,0,2,1,4,0,0,0,0,1,6,7,578,0,7,585,0
254,187,167,3,0,0,0,4,0,0,0,1,0,1,1,364,0,2,366,0
255,208,174,4,0,0,0,4,0,0,1,0,0,5,7,403,0,8,411,0
256,205,111,2,7,1,0,3,1,0,0,1,0,2,1,334,0,4,338,0
257,285,240,7,1,0,3,10,2,1,1,1,1,1,6,559,0,17,576,0
258,213,302,6,0,0,1,17,1,1,0,19,2,3,1,566,0,12,578,0
259,256,326,2,3,1,0,10,4,2,0,6,0,7,4,621,0,7,628,0
260,139,279,4,0,0,1,11,2,0,0,0,2,2,2,442,0,8,450,0
261,256,181,4,0,0,0,56,0,0,1,0,2,8,2,510,0,7,517,0
262,130,141,1,0,2,2,3,0,1,2,0,1,2,3,288,0,8,296,0
263,165,173,10,1,0,0,20,1,0,1,2,2,3,3,381,0,9,390,0
264,192,144,2,1,1,2,31,2,0,0,1,0,4,1,381,0,6,387,0
265,257,169,1,7,1,0,27,0,1,0,1,0,6,2,472,0,5,477,0
266,94,511,8,0,1,0,7,0,0,0,10,0,3,4,638,0,2,640,0
267,218,211,11,2,0,1,54,1,0,1,4,3,20,5,531,0,15,546,0
268,152,221,2,0,1,0,5,1,0,0,0,0,2,2,386,0,3,389,0
269,191,305,10,3,1,0,3,0,2,0,2,2,11,9,539,0,15,554,0
270,120,287,4,0,4,1,7,1,0,1,11,1,5,5,447,0,6,453,0
271,206,245,3,1,0,1,16,0,0,0,0,2,4,4,482,0,8,490,0
272,261,185,5,1,1,0,11,1,0,1,1,1,3,3,474,0,11,485,0
273,255,211,7,1,1,1,6,2,0,1,4,3,4,5,501,0,12,513,0
274,124,300,3,0,1,1,5,0,0,0,2,5,3,10,454,0,13,467,0
275,236,168,5,1,0,2,3,0,0,1,2,1,4,4,427,0,2,429,0
276,58,215,6,4,0,1,6,2,0,0,1,1,1,5,300,0,3,303,0
277,69,43,2,5,0,2,301,3,0,1,1,1,46,1,475,0,4,479,0
278,98,222,3,8,1,0,205,3,1,0,2,2,39,7,591,0,7,598,0
279,262,143,3,0,1,0,4,2,1,1,2,4,1,4,428,0,9,437,0
280,235,140,7,1,0,1,32,1,2,1,0,2,4,3,429,0,9,438,0
281,97,137,2,0,1,1,11,1,0,0,0,1,2,0,253,0,6,259,0
282,110,146,3,2,0,0,7,0,0,1,1,1,6,2,279,0,7,286,0
283,166,151,6,1,1,0,4,1,0,1,2,0,2,3,338,0,8,346,0
284,105,135,2,0,0,1,4,1,0,0,1,0,4,4,257,0,8,265,0
285,32,152,2,1,0,4,9,0,0,0,0,0,2,1,203,0,3,206,0
286,79,254,5,2,0,1,2,1,2,0,0,1,6,5,358,0,3,361,0
287,115,154,19,1,0,1,29,0,1,0,1,1,7,7,336,0,5,341,0
288,71,182,5,1,0,1,1,1,0,1,1,2,1,4,271,0,6,277,0
