No. of Polling Station,No. of Valid Votes cast in favour of,,,,,,,,,,,,,,Total No. of Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Voters
,Patel Himmatsingh Prahladsingh,Paresh Rawal,Rohit Rajubhai Virjibhai Alias Manojbhai Sontariya,Aditya Raval,Khalifa Samsuddin Nasiruddin (Jugnu),Dutt Aakash - Advocate,Dinesh Vaghela,Naranbhai T. Sengal (Dr. N.T. Sengal),Buddhpriya Jasvant Somabhai,Vijaykumar M. Vadhel,Atikbhai Mev,Anilkumar Sharma,Dashrathbhai M. Devda,Roshan Priyavadan Shah,,,,,
198,38,397,1,0,0,0,1,0,0,0,0,1,2,1,441,0,4,445,
199,29,708,1,0,0,0,12,0,0,0,1,0,0,0,751,0,8,759,
200,46,366,1,0,0,0,0,0,1,0,1,1,0,0,416,0,5,421,
201,51,657,1,0,3,0,4,0,0,1,1,0,0,0,718,0,18,736,
202,409,302,3,1,1,0,1,1,22,1,2,3,3,3,752,0,23,775,
203,38,690,0,1,0,0,10,1,0,0,1,0,1,0,742,0,12,754,
204,48,879,2,0,1,0,7,0,1,0,0,0,0,0,938,0,9,947,
205,12,535,1,0,0,0,9,0,0,0,0,1,0,0,558,0,2,560,
206,38,420,0,0,0,0,3,0,0,0,0,0,0,1,462,0,3,465,
207,26,588,2,0,0,1,4,0,0,0,0,0,0,1,622,0,6,628,
208,32,730,0,0,0,1,2,0,0,0,1,0,0,1,767,0,4,771,
209,48,779,2,0,0,0,3,0,0,0,1,1,1,0,835,0,7,842,
210,27,536,0,1,0,0,3,0,1,0,0,0,0,1,569,0,8,577,
211,16,489,0,1,0,0,8,0,0,0,0,0,0,0,514,0,5,519,
212,693,50,1,2,1,0,3,0,0,0,1,0,2,2,755,0,6,761,
213,219,382,3,0,1,1,22,0,1,0,1,0,4,1,635,0,9,644,
214,47,766,2,0,1,0,6,0,0,0,0,0,0,1,823,0,16,839,
215,50,793,3,0,1,0,4,0,0,0,0,0,0,2,853,0,7,860,
216,66,695,0,1,0,0,6,0,0,0,0,0,0,0,768,0,10,778,
217,63,658,1,1,0,0,5,0,0,0,0,0,2,0,730,0,8,738,
218,95,675,1,0,0,0,17,1,0,0,0,1,1,0,791,0,22,813,
219,299,570,7,0,1,0,7,2,1,0,1,0,6,2,896,0,16,912,
220,39,618,0,0,1,0,1,1,0,0,0,0,0,0,660,0,5,665,
221,258,598,4,0,1,2,8,0,1,1,2,1,4,3,883,0,11,894,
222,156,196,1,0,0,0,3,0,0,2,0,1,0,0,359,0,2,361,
223,26,237,1,0,1,0,4,0,0,0,0,0,0,0,269,0,4,273,
224,93,708,2,0,0,0,15,0,0,1,0,0,0,1,820,0,7,827,
225,51,538,0,0,0,0,5,0,0,0,0,0,0,0,594,0,10,604,
226,53,877,2,0,0,2,7,1,0,2,0,0,1,0,945,0,8,953,
227,21,519,0,1,1,1,8,1,1,0,0,0,0,0,553,0,1,554,
228,73,554,2,0,0,1,12,0,0,1,0,0,1,0,644,0,5,649,
229,105,658,3,1,0,0,10,0,0,0,0,0,0,0,777,0,10,787,
230,40,534,4,0,0,0,8,0,0,0,0,0,0,0,586,0,4,590,
231,117,644,0,1,0,0,12,0,1,0,0,0,1,0,776,0,8,784,
232,125,383,5,0,0,0,11,1,0,0,0,0,1,0,526,0,4,530,
233,77,695,3,1,1,1,15,0,0,0,0,0,2,0,795,0,2,797,
234,78,117,0,0,1,0,3,0,0,0,0,0,0,0,199,0,3,202,
235,126,442,5,1,1,0,13,0,0,1,0,0,1,1,591,0,15,606,
236,154,509,8,0,0,1,12,1,1,0,0,0,0,1,687,0,6,693,
237,25,113,0,1,0,0,4,0,0,0,0,0,0,0,143,0,0,143,
238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
