polling station,No.of valid votes cast in favour of,,,,,,,,,,,Total Valid Votes,No. of Reject votes,NOTA,Total,No.of tender votes
46,371,14,0,0,0,1,12,0,1,2,0,401,0,8,409,0
47,501,23,0,1,0,0,15,0,0,0,0,540,0,7,547,0
48,430,27,1,0,0,1,34,0,0,0,2,495,0,7,502,0
49,551,31,0,0,1,2,15,0,0,2,0,602,0,5,607,0
50,256,17,1,0,0,1,18,0,0,0,0,293,0,2,295,0
51,553,38,0,1,0,0,21,0,0,0,0,613,0,1,614,0
52,415,43,0,1,0,0,13,0,1,0,1,474,0,5,479,0
53,559,38,1,0,0,0,8,0,0,1,0,607,0,2,609,0
54,262,142,1,0,0,0,3,0,0,1,1,410,0,3,413,0
55,499,67,0,1,0,0,2,1,1,1,1,573,0,7,580,0
56,396,65,3,0,1,0,1,1,0,1,0,468,0,2,470,0
57,333,8,0,0,1,0,6,0,0,0,0,348,0,3,351,0
58,537,44,0,0,0,0,7,1,0,0,1,590,0,9,599,0
59,339,116,5,2,0,0,2,0,3,0,0,467,0,2,469,0
60,722,51,0,0,0,1,9,1,0,0,0,784,0,1,785,0
61,40,569,5,1,0,1,2,0,1,0,8,627,0,17,644,0
62,16,306,2,0,0,0,0,2,0,1,7,334,0,10,344,0
63,433,12,0,0,1,0,10,0,0,0,0,456,0,14,470,0
64,533,9,0,1,0,0,19,0,0,0,0,562,0,2,564,0
65,487,13,0,0,0,0,14,0,0,0,0,514,0,4,518,0
66,427,15,0,0,1,0,9,0,0,0,0,452,0,5,457,0
67,489,37,0,4,0,1,18,0,0,2,0,551,0,10,561,0
68,462,6,0,0,0,0,15,0,1,0,0,484,0,2,486,0
69,336,13,0,0,0,0,23,1,0,0,0,373,0,7,380,0
70,515,18,0,1,0,1,17,0,0,2,1,555,0,11,566,0
71,581,25,0,0,0,0,9,0,0,0,0,615,0,2,617,0
72,653,10,0,1,1,0,10,0,0,0,0,675,0,4,679,0
73,451,11,0,1,1,0,15,1,0,0,0,480,0,10,490,0
74,725,20,0,1,1,0,14,0,0,0,0,761,0,9,770,0
75,637,23,0,0,0,0,5,0,0,0,0,665,0,5,670,0
76,435,15,0,1,0,0,12,0,0,1,0,464,0,5,469,0
77,626,28,0,2,1,0,19,1,0,0,0,677,0,11,688,0
78,609,12,1,0,1,0,9,0,2,0,0,634,0,4,638,0
79,476,4,0,0,1,0,8,0,0,0,0,489,0,4,493,0
80,422,10,1,1,0,1,14,0,1,0,1,451,0,3,454,0
81,481,37,1,1,1,0,17,0,0,0,1,539,0,9,548,0
82,525,13,1,1,2,2,9,2,0,0,0,555,0,4,559,0
83,622,17,0,0,0,0,10,0,0,0,0,649,0,8,657,0
84,516,12,0,1,2,0,4,0,0,0,1,536,0,3,539,0
85,588,14,1,0,0,0,13,2,0,1,0,619,0,3,622,0
86,537,32,1,1,1,1,20,0,0,0,1,594,0,4,598,0
87,672,22,0,2,1,0,27,0,0,1,0,725,0,7,732,0
88,651,28,0,1,0,0,10,0,0,0,0,690,0,9,699,0
89,539,15,0,2,1,0,23,1,1,1,0,583,0,2,585,0
90,453,18,0,0,0,1,10,0,0,0,0,482,0,3,485,0
91,496,5,0,0,0,0,12,0,1,1,0,515,0,12,527,0
92,254,9,1,2,2,0,13,0,0,0,0,281,0,2,283,0
93,407,7,2,0,0,0,7,0,0,0,0,423,0,7,430,0
94,247,15,0,0,2,0,9,1,0,0,0,274,0,6,280,0
95,315,366,2,1,8,0,11,0,1,1,4,709,0,9,718,0
96,12,397,4,0,0,0,1,2,0,0,4,420,0,5,425,0
97,92,383,6,1,1,0,5,0,0,1,3,492,0,6,498,0
98,7,143,3,0,1,1,0,1,0,1,0,157,0,1,158,0
99,162,468,5,2,2,1,8,1,0,3,8,660,0,6,666,0
100,302,165,3,1,1,0,7,0,0,0,0,479,0,11,490,0
101,39,467,4,0,0,0,3,1,1,0,2,517,0,18,535,0
102,45,449,2,0,0,0,8,0,0,0,0,504,0,14,518,0
103,29,370,1,0,0,0,7,1,0,0,1,409,0,23,432,0
104,36,624,1,2,1,0,12,1,1,0,1,679,0,20,699,0
105,55,597,2,0,2,0,6,0,0,1,4,667,0,24,691,0
106,14,127,0,0,0,0,3,1,0,2,1,148,0,1,149,0
107,92,530,2,0,1,1,7,1,0,0,4,638,0,27,665,0
108,39,342,0,0,2,2,9,0,0,0,2,396,0,14,410,0
109,41,545,3,0,1,1,10,0,0,0,1,602,0,25,627,0
110,33,467,0,2,1,0,5,1,0,0,1,510,0,18,528,0
111,54,655,2,0,0,1,7,0,0,1,0,720,0,20,740,0
112,54,381,2,0,2,1,12,0,1,0,0,453,0,13,466,0
113,28,247,0,1,1,0,2,0,0,0,0,279,0,6,285,0
114,85,431,0,0,1,0,9,0,0,1,2,529,0,7,536,0
115,70,656,2,2,2,0,6,1,0,0,1,740,0,16,756,0
116,67,523,0,0,3,0,6,0,0,0,2,601,0,6,607,0
117,28,332,2,0,0,0,5,0,1,0,0,368,0,7,375,0
118,54,441,0,1,0,0,6,0,0,0,1,503,0,22,525,0
119,27,469,2,1,1,1,6,3,1,2,1,514,0,12,526,0
120,44,649,4,2,0,1,19,1,1,5,2,728,0,24,752,0
121,59,384,1,1,0,0,1,0,0,1,3,450,0,12,462,0
122,155,576,12,1,2,0,1,0,1,3,16,767,0,9,776,0
123,76,608,4,0,2,0,17,1,0,0,3,711,0,21,732,0
124,83,453,3,2,1,3,5,1,0,1,1,553,0,32,585,0
125,81,701,2,1,0,0,8,0,0,2,2,797,0,21,818,0
126,48,704,2,2,3,0,10,0,0,1,4,774,0,36,810,0
127,47,575,1,1,1,1,17,1,0,0,1,645,0,16,661,0
128,36,338,1,0,1,0,4,,1,0,0,381,0,21,402,0
129,133,472,2,0,0,0,6,0,0,2,4,619,0,9,628,0
130,26,376,3,0,1,0,5,0,0,3,2,416,0,9,425,0
131,57,598,3,0,1,1,4,0,0,0,1,665,0,15,680,0
132,26,522,1,0,0,0,3,1,1,0,2,556,0,8,564,0
133,53,444,2,0,0,0,10,1,1,1,2,514,0,16,530,0
134,179,628,1,1,1,0,9,0,1,0,2,822,0,21,843,0
135,42,465,2,0,2,1,3,2,0,0,0,517,0,16,533,0
136,115,693,3,2,3,0,17,0,0,0,2,835,0,20,855,0
137,21,229,2,0,0,1,6,0,0,0,0,259,0,15,274,0
138,111,461,3,2,0,0,7,0,0,1,2,587,0,6,593,0
139,30,382,2,0,0,0,9,2,0,1,0,426,0,9,435,0
140,90,749,3,1,4,0,14,0,0,0,1,862,0,39,901,0
141,48,437,1,0,2,0,6,1,0,0,1,496,0,11,507,0
142,56,498,0,2,0,0,3,0,0,0,1,560,0,16,576,0
143,42,581,1,1,1,0,6,1,1,0,3,637,0,13,650,0
144,41,627,4,0,0,0,6,0,0,0,1,679,0,18,697,0
145,177,157,0,0,1,1,5,0,0,0,1,342,0,4,346,0
146,395,95,4,3,0,1,2,0,0,1,5,506,0,10,516,0
147,70,198,1,0,0,2,3,0,0,1,1,276,0,4,280,0
148,125,585,9,1,3,0,4,2,1,2,4,736,0,14,750,0
149,170,189,0,0,3,0,10,0,1,1,3,377,0,2,379,0
150,293,314,21,1,0,0,11,1,0,3,1,645,0,8,653,0
151,343,386,6,2,2,1,8,0,1,2,2,753,0,20,773,0
152,140,692,3,0,0,2,9,1,0,3,2,852,0,5,857,0
153,20,536,7,2,0,1,2,0,1,3,9,581,0,8,589,0
154,520,128,3,0,2,1,5,0,3,3,1,666,0,18,684,0
155,320,163,0,2,1,0,15,0,1,0,0,502,0,5,507,0
156,240,73,2,0,0,0,7,0,0,1,0,323,0,3,326,0
157,316,327,3,0,1,0,7,1,3,0,3,661,0,10,671,0
158,34,109,2,0,0,0,0,0,0,0,0,145,0,1,146,0
159,433,310,1,0,0,2,6,1,2,4,0,759,0,9,768,0
160,132,605,3,0,1,0,3,0,1,2,4,751,0,18,769,0
161,153,482,2,1,0,0,6,1,1,1,3,650,0,5,655,0
162,73,307,1,2,1,2,4,1,0,1,2,394,0,8,402,0
163,104,427,6,4,0,0,2,2,0,4,6,555,0,12,567,0
164,394,458,1,0,3,2,14,1,2,3,2,880,0,14,894,0
165,117,426,3,0,0,2,17,0,1,2,3,571,0,16,587,0
166,109,282,7,1,1,0,3,0,0,2,2,407,0,4,411,0
167,230,351,24,1,4,2,5,1,0,1,2,621,0,4,625,0
168,104,578,8,1,0,2,13,0,0,0,6,712,0,13,725,0
169,242,440,13,4,2,0,8,1,2,0,8,720,0,10,730,0
170,211,331,2,1,1,4,1,0,1,0,2,554,0,20,574,0
171,222,377,15,1,2,5,7,1,1,1,6,638,0,16,654,0
172,145,432,4,0,0,0,5,0,0,0,4,590,0,8,598,0
173,68,309,9,1,1,0,4,0,0,0,0,392,0,6,398,0
174,524,260,11,1,1,0,17,0,0,0,0,814,0,16,830,0
175,284,469,48,2,2,0,13,1,2,1,2,824,0,11,835,0
176,315,253,2,0,0,0,12,0,1,1,1,585,0,4,589,0
177,462,211,1,2,1,0,6,0,0,2,8,693,0,13,706,0
178,498,104,2,1,1,0,8,1,0,0,0,615,0,9,624,0
179,56,241,3,1,1,2,4,1,1,0,2,312,0,5,317,0
180,214,37,0,1,0,0,4,0,0,1,0,257,0,1,258,0
181,298,83,0,0,0,0,14,1,0,0,1,397,0,2,399,0
182,187,344,61,2,4,0,8,0,1,0,0,607,0,9,616,0
183,348,37,0,0,1,1,7,0,0,0,1,395,0,7,402,0
184,363,18,0,0,1,0,4,0,1,0,0,387,0,5,392,0
185,372,321,6,1,2,1,16,0,0,1,2,722,0,9,731,0
186,377,29,1,1,0,0,4,0,0,0,0,412,0,3,415,0
187,236,25,0,1,0,0,6,0,0,0,0,268,0,2,270,0
188,298,252,6,4,2,1,3,1,0,2,2,571,0,8,579,0
189,332,28,0,2,0,0,3,0,1,0,0,366,0,0,366,0
190,354,78,4,1,1,0,9,0,0,2,4,453,0,4,457,0
191,314,13,1,1,2,0,2,1,0,1,2,337,0,5,342,0
192,280,19,2,0,1,0,8,3,0,0,1,314,0,4,318,0
193,545,99,3,3,2,0,11,0,1,1,2,667,0,7,674,0
194,573,147,3,1,2,0,6,0,1,1,1,735,0,10,745,0
195,209,352,0,5,0,2,14,0,2,4,8,596,0,11,607,0
196,112,283,4,0,2,0,8,1,1,0,1,412,0,10,422,0
197,171,432,7,0,0,3,1,1,0,3,18,636,0,13,649,0
198,68,126,2,0,0,0,3,0,2,0,1,202,0,5,207,0
199,757,49,3,2,5,0,19,1,3,3,5,847,0,22,869,0
200,628,68,3,1,2,1,20,1,0,3,2,729,0,5,734,0
201,209,429,9,2,0,0,4,1,0,2,6,662,0,21,683,0
202,379,348,4,1,0,0,9,1,2,3,5,752,0,15,767,0
203,159,283,1,0,1,7,5,0,0,1,1,458,0,2,460,0
204,275,253,4,2,3,1,2,0,2,5,10,557,0,13,570,0
205,334,267,3,2,4,1,4,2,2,5,4,628,0,21,649,0
206,94,238,2,0,1,0,3,0,2,2,3,345,0,5,350,0
