No Polling St.,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
106,49,177,88,0,11,0,2,3,330,0,5,335,0
107,2,89,79,0,1,0,0,0,171,0,4,175,0
108,1,631,52,0,28,0,1,0,713,0,6,719,0
109,5,616,64,1,24,0,0,2,712,0,4,716,0
110,3,453,34,1,11,1,0,0,503,0,5,508,0
111,3,658,113,0,17,0,1,0,792,0,12,804,0
112,8,591,179,3,21,0,3,5,810,0,15,825,0
113,3,483,69,2,11,0,1,0,569,0,13,582,0
114,3,578,70,0,10,0,3,0,664,0,3,667,0
115,3,474,34,2,3,0,1,1,518,0,4,522,0
116,2,484,32,1,14,3,1,0,537,0,5,542,0
117,2,487,30,1,18,1,1,0,540,0,5,545,0
118,6,583,60,0,15,0,0,3,667,0,9,676,0
119,0,331,22,0,4,1,0,1,359,0,5,364,0
120,3,671,35,2,17,1,1,0,730,0,12,742,0
121,9,819,33,1,27,0,1,0,890,0,11,901,0
122,8,594,31,0,15,0,0,1,649,0,8,657,0
123,1,538,52,2,14,1,0,1,609,0,5,614,0
124,6,676,36,2,5,1,3,5,734,0,5,739,0
125,2,411,43,0,10,0,0,1,467,0,1,468,0
126,2,384,58,1,8,0,1,0,454,0,2,456,0
127,0,506,32,0,3,1,0,0,542,0,1,543,0
128,6,789,40,1,20,0,0,0,856,0,12,868,0
129,1,658,36,0,19,0,0,1,715,0,7,722,0
130,5,634,38,0,7,1,0,2,687,0,4,691,0
131,2,649,27,1,10,0,0,1,690,0,6,696,0
132,5,620,33,0,24,2,0,2,686,0,11,697,0
133,2,463,16,6,1,0,0,0,488,0,3,491,0
134,3,961,22,3,24,0,1,1,1015,0,5,1020,0
135,2,773,20,3,14,0,1,0,813,0,3,816,0
136,4,727,59,6,11,1,0,3,811,0,10,821,0
137,6,206,199,3,8,0,0,1,423,0,1,424,0
138,3,589,20,1,17,1,0,0,631,0,5,636,0
139,3,571,38,0,15,0,1,2,630,0,5,635,0
140,0,75,56,0,5,0,1,1,138,0,2,140,0
141,0,757,15,3,21,0,0,0,796,0,6,802,0
142,2,358,46,3,38,1,1,0,449,0,3,452,0
143,16,148,174,4,7,2,2,0,353,0,4,357,0
144,20,178,154,3,3,0,1,3,362,0,6,368,0
145,0,349,43,2,7,1,0,0,402,0,2,404,0
146,1,380,42,0,3,0,1,0,427,0,3,430,0
147,3,458,27,0,10,0,0,1,499,0,2,501,0
148,3,727,60,2,10,0,1,2,805,0,13,818,0
149,3,438,22,1,4,1,0,0,469,0,3,472,0
150,13,544,56,2,12,0,0,4,631,0,5,636,0
151,9,330,138,1,9,2,2,4,495,0,15,510,0
152,52,326,166,3,13,2,1,3,566,0,3,569,0
153,2,627,51,1,13,1,0,2,697,0,10,707,0
154,18,409,120,0,9,1,1,2,560,0,7,567,0
155,4,631,46,2,2,1,3,4,693,0,8,701,0
156,4,414,108,3,16,1,1,5,552,0,7,559,0
157,2,613,46,0,11,0,1,0,673,0,5,678,0
158,2,548,44,1,19,0,1,0,615,0,7,622,0
159,2,464,36,1,32,0,0,1,536,0,4,540,0
160,3,394,12,3,12,1,1,0,426,0,5,431,0
161,2,525,30,1,17,0,1,3,579,0,3,582,0
162,1,319,16,1,10,0,0,2,349,0,3,352,0
163,0,316,23,0,5,1,0,4,349,0,3,352,0
164,1,438,28,2,36,0,0,1,506,0,9,515,0
165,3,471,28,0,18,0,1,1,522,0,6,528,0
166,2,606,39,0,22,1,1,1,672,0,13,685,0
167,7,308,26,0,5,2,0,3,351,0,2,353,0
168,4,624,48,1,25,0,2,2,706,0,13,719,0
169,2,419,40,0,14,0,2,0,477,0,6,483,0
170,0,629,42,3,14,1,0,1,690,0,9,699,0
171,3,656,51,3,20,1,1,0,735,0,16,751,0
172,4,819,61,3,12,1,1,0,901,0,13,914,0
173,5,655,50,2,18,0,0,2,732,0,12,744,0
174,5,507,21,0,18,0,0,1,552,0,9,561,0
175,3,686,55,0,27,3,0,2,776,0,13,789,0
176,6,726,41,1,12,1,0,1,788,0,7,795,0
177,2,680,45,2,17,0,1,1,748,0,4,752,0
178,3,739,68,15,26,1,2,0,854,0,10,864,0
179,5,626,45,0,21,0,0,1,698,0,8,706,0
180,4,608,27,0,15,1,0,1,656,0,8,664,0
181,1,537,22,0,4,0,0,1,565,0,6,571,0
182,2,530,31,1,17,0,2,2,585,0,2,587,0
183,4,603,45,1,24,1,0,0,678,0,14,692,0
184,7,806,26,0,29,0,3,1,872,0,10,882,0
185,3,735,63,2,21,0,0,1,825,0,7,832,0
186,4,526,17,1,4,0,1,2,555,0,2,557,0
187,1,308,28,1,8,0,1,1,348,0,5,353,0
