Serial No.of Polling Station,,,,,,,,,,,,,,,,,,,,valid,No. of Rejected Votes,NOTA,Total,No. of Tendered votes
,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwiv,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
167,3,681,51,1,0,2,3,4,0,0,1,1,0,0,0,1,3,2,4,757,0,2,759,0
168,3,544,30,0,0,0,3,0,1,1,0,1,1,0,0,4,0,1,1,590,0,1,591,0
169,14,625,83,3,0,3,6,9,0,2,0,3,0,1,2,9,2,5,1,768,0,1,769,0
170,12,662,62,3,0,0,3,7,0,2,1,2,0,3,1,10,0,3,0,771,0,4,775,0
171,5,771,38,0,0,0,4,1,0,0,0,1,1,1,0,2,0,10,1,835,0,0,835,0
172,13,755,45,1,0,1,3,4,2,1,1,2,0,1,2,1,0,1,0,833,0,5,838,0
173,1,669,27,1,0,0,4,0,0,0,0,0,1,2,3,4,0,17,1,730,0,5,735,0
174,14,456,92,2,1,0,7,3,0,1,1,0,1,2,1,3,3,4,1,592,0,6,598,0
175,5,621,51,2,0,0,2,2,1,1,0,2,1,0,0,6,1,3,2,700,0,7,707,0
176,5,462,58,2,0,1,4,0,1,1,0,2,0,2,1,4,0,2,0,545,0,2,547,0
177,6,415,28,2,0,0,0,2,1,0,1,0,0,1,3,5,0,6,0,470,0,0,470,0
178,7,386,21,1,0,0,0,3,0,0,0,0,3,0,0,0,1,2,0,424,0,0,424,0
179,19,775,43,2,0,0,4,0,0,3,2,1,1,1,2,5,0,19,1,878,0,2,880,0
180,2,508,45,0,0,0,9,0,0,1,0,0,2,1,0,4,0,2,0,574,0,1,575,0
181,11,481,57,0,0,0,11,3,1,1,0,0,1,0,1,0,1,0,0,568,0,4,572,0
182,6,580,91,3,1,0,8,1,1,0,0,4,1,5,2,4,1,10,5,723,0,1,724,0
183,12,646,27,0,0,0,1,1,0,1,0,3,0,2,0,6,3,8,1,711,0,1,712,0
184,4,606,47,1,1,0,3,4,0,1,0,1,0,1,0,2,0,3,1,675,0,2,677,0
185,10,661,45,3,1,1,0,10,1,0,0,0,0,0,3,3,1,19,2,760,0,2,762,0
186,2,407,29,2,4,0,2,0,1,0,0,0,0,1,0,2,0,7,2,459,0,2,461,0
187,10,581,68,1,1,1,5,1,1,1,0,0,0,2,5,7,3,8,12,707,0,4,711,0
188,3,462,61,1,1,1,4,1,2,0,0,2,1,1,9,1,0,0,1,551,0,2,553,0
189,9,685,79,1,5,0,6,2,2,1,3,4,1,3,1,2,1,3,2,810,0,4,814,0
190,8,716,87,2,0,0,7,0,0,2,1,3,0,0,3,2,0,3,0,834,0,4,838,0
191,6,268,50,0,0,1,3,0,2,0,1,2,0,1,2,3,1,1,0,341,0,1,342,0
192,3,460,33,0,0,0,6,1,0,0,0,0,0,0,0,2,0,24,4,533,0,4,537,0
193,3,433,25,2,0,1,1,3,0,1,0,0,1,0,3,3,0,0,3,479,0,2,481,0
194,1,462,42,1,1,0,4,0,1,0,1,0,0,0,0,3,0,15,4,535,0,1,536,0
195,7,486,62,1,2,1,2,2,0,0,0,2,0,1,1,4,1,5,4,581,0,3,584,0
196,3,403,77,2,1,1,6,3,1,2,0,1,1,0,4,1,0,2,0,508,0,0,508,0
197,10,494,72,1,2,0,2,0,1,1,3,4,0,1,2,6,0,0,2,601,0,1,602,0
198,4,390,13,0,1,1,3,1,0,1,0,0,0,0,3,3,0,5,1,426,0,0,426,0
199,7,580,91,1,0,1,34,0,2,2,0,1,0,0,1,0,1,0,1,722,0,3,725,0
200,5,653,51,4,0,0,8,2,2,1,0,1,0,0,3,4,2,0,0,736,0,1,737,0
201,3,326,59,1,1,0,7,0,0,0,0,2,0,0,1,4,0,2,0,406,0,6,412,0
202,4,763,60,2,0,2,8,0,0,0,0,0,0,0,2,3,0,1,0,845,0,6,851,0
203,4,541,76,2,0,0,4,6,0,0,0,0,1,0,2,7,1,2,0,646,0,2,648,0
204,6,693,111,6,0,2,21,3,0,1,0,0,0,0,3,9,4,5,0,864,0,4,868,0
205,22,730,96,2,0,0,15,2,1,1,2,0,1,0,4,7,1,0,1,885,0,5,890,0
206,32,517,103,5,2,1,7,7,1,4,1,4,0,2,0,2,1,6,4,699,0,9,708,0
207,2,533,30,0,0,0,5,2,0,0,0,0,0,1,0,0,0,1,1,575,0,3,578,0
208,3,708,49,1,0,1,5,0,0,2,0,0,2,1,0,0,0,3,0,775,0,3,778,0
209,8,442,76,2,4,1,2,0,0,0,0,2,0,1,0,4,1,2,1,546,0,0,546,0
210,10,292,41,1,20,0,11,0,0,0,1,1,0,0,1,2,0,1,1,382,0,2,384,0
