Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,,,,,,
116,392,281,2,0,0,0,0,9,0,0,0,1,1,1,2,6,9,6,0,709,0,709,0,0
117,518,121,1,0,0,0,0,6,0,0,0,0,0,0,0,7,3,0,6,663,0,663,0,0
118,63,796,4,0,0,0,1,3,0,0,0,0,0,0,3,11,0,8,4,893,0,893,0,0
119,17,609,1,0,0,0,0,0,0,1,0,0,0,1,2,1,3,7,4,646,0,646,0,0
120,28,916,7,1,0,1,0,0,6,0,0,0,0,2,5,2,2,4,3,977,0,977,0,0
121,23,689,7,0,1,0,2,4,0,0,0,0,0,1,1,7,4,68,4,811,0,811,0,0
122,6,745,4,0,0,0,0,9,0,0,0,0,0,0,0,0,2,3,4,773,0,773,0,0
123,5,677,3,0,0,0,0,0,1,0,0,1,1,0,4,1,1,10,1,704,0,704,0,0
124,459,34,1,1,0,0,0,3,0,0,0,0,0,1,1,2,2,0,3,507,0,507,0,0
125,442,34,0,0,0,0,0,1,0,0,1,2,3,1,0,2,1,0,5,489,0,489,0,0
126,545,127,2,1,0,0,0,5,0,1,2,0,2,2,2,11,3,2,3,709,0,709,0,0
127,797,78,1,2,1,0,1,3,0,1,0,0,0,0,1,3,2,0,1,892,0,892,0,0
128,105,307,6,1,1,1,1,2,0,1,0,0,0,1,5,6,10,12,3,464,0,464,0,0
129,254,188,2,0,1,1,0,0,0,0,0,0,0,2,0,5,11,5,1,470,0,470,0,0
130,249,444,7,0,1,1,0,3,2,1,0,4,4,4,10,11,2,1,1,742,0,742,0,0
131,195,248,34,6,0,0,0,0,0,1,0,0,0,1,4,5,5,7,5,512,0,512,0,0
132,299,268,3,4,0,0,0,1,0,0,1,0,1,0,2,4,12,14,2,610,0,610,0,0
133,316,356,9,8,1,2,2,2,1,1,0,2,2,6,12,12,1,2,1,737,0,737,0,0
134,509,72,2,0,0,0,0,1,2,2,1,0,1,1,1,10,7,1,0,609,0,609,0,0
135,236,412,4,0,4,0,1,2,3,2,4,1,5,1,9,8,8,9,5,711,0,711,0,0
136,229,446,4,1,2,2,1,3,2,1,1,1,2,0,6,10,13,7,5,735,0,735,0,0
137,464,56,0,0,0,0,0,1,1,1,0,0,0,1,1,6,11,2,2,547,0,547,0,0
138,659,128,4,1,2,1,0,3,1,0,0,1,1,0,3,11,7,1,3,825,0,825,0,0
139,952,101,1,0,0,0,0,9,0,1,0,1,1,0,0,6,5,4,7,1087,0,1087,0,0
140,356,48,0,0,0,0,0,7,0,0,0,0,0,0,0,1,3,2,1,418,0,418,0,0
141,829,29,2,2,0,0,0,8,0,0,0,0,0,0,0,1,4,0,5,880,0,880,0,0
142,809,40,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,1,1,860,0,860,0,0
143,704,78,1,0,0,1,1,2,0,0,0,0,0,1,2,6,12,1,1,810,0,810,0,0
144,477,90,1,0,0,0,0,3,0,0,0,1,1,0,1,3,2,0,5,584,0,584,0,0
145,162,253,1,3,0,0,0,0,0,0,0,1,1,1,9,8,0,2,3,444,0,444,0,0
