polling station,No. of Valid Votes cast in favour of,,,,,,,,,,Total of  Valid  Votes,No.of  rejected  votes,Votes for  'NOTA'  option,Total  Votes,No.of       tendered  votes
100,4,202,86,6,0,0,0,3,1,4,306,0,4,310,0
101,1,143,95,3,2,1,1,0,5,4,255,0,3,258,0
102,7,216,171,4,5,2,0,0,5,8,418,0,14,432,0
103,4,228,28,0,0,0,0,1,0,1,262,0,2,264,0
104,13,323,168,6,3,1,0,3,4,7,528,0,15,543,0
105,11,179,165,6,4,0,3,0,3,4,375,0,3,378,0
106,19,132,195,5,4,3,3,0,1,0,362,0,9,371,0
107,6,229,113,6,2,2,1,2,1,13,375,0,13,388,0
108,28,372,289,8,2,3,6,2,8,5,723,0,10,733,0
109,16,312,182,9,5,6,5,5,7,12,559,0,16,575,0
110,18,345,259,14,4,6,4,3,9,10,672,0,21,693,0
111,34,427,169,3,2,1,3,3,2,4,648,0,9,657,0
112,8,135,97,1,1,0,2,1,1,5,251,0,3,254,0
,1335,30349,15769,605,223,216,367,214,382,594,50054,0,1336,51390,0
,1335,30349,15769,605,223,216,367,214,382,594,50054,0,1336,51390,0
113,16,280,307,13,3,6,2,5,10,16,658,0,33,691,0
114,8,188,124,7,0,0,0,0,0,5,332,0,4,336,0
115,14,167,113,3,1,5,0,1,0,4,308,0,5,313,0
116,6,186,182,8,0,3,2,1,2,8,398,0,10,408,0
117,15,134,247,4,2,3,1,1,4,4,415,0,19,434,0
118,18,198,288,15,3,2,7,2,2,3,538,0,13,551,0
119,19,193,125,7,0,0,0,1,0,7,352,0,11,363,0
120,23,224,265,3,2,2,2,4,2,10,537,0,15,552,0
121,8,213,145,2,1,1,1,2,3,5,381,0,14,395,0
122,45,218,389,23,4,6,11,3,6,11,716,0,48,764,0
123,24,363,394,15,1,6,8,7,10,19,847,0,38,885,0
124,28,312,233,16,4,3,5,6,8,9,624,0,25,649,0
125,19,255,250,9,2,2,3,0,2,4,546,0,1,547,0
126,13,191,136,5,3,1,3,2,9,12,375,0,24,399,0
,1591,33471,18967,735,249,256,412,249,440,711,57081,0,1596,58677,0
,1591,33471,18967,735,249,256,412,249,440,711,57081,0,1596,58677,0
127,36,237,292,16,6,9,6,5,13,27,647,0,41,688,0
128,29,162,205,9,7,4,6,7,7,5,441,0,18,459,0
129,42,354,217,15,8,6,6,3,5,14,670,0,22,692,0
130,23,468,204,6,4,5,3,4,10,10,737,0,16,753,0
131,11,204,277,13,7,3,2,2,4,3,526,0,10,536,0
132,13,250,213,11,2,2,2,5,4,8,510,0,13,523,0
133,19,160,263,7,2,3,0,3,4,9,470,0,10,480,0
134,13,208,200,4,1,5,4,1,2,3,441,0,14,455,0
135,20,237,299,7,1,3,6,3,11,9,596,0,14,610,0
136,16,271,312,4,3,5,6,7,13,10,647,0,17,664,0
137,23,276,176,13,3,7,6,6,9,11,530,0,31,561,0
138,18,209,270,12,3,12,5,3,6,18,556,0,23,579,0
139,20,234,385,9,7,2,10,7,6,13,693,0,34,727,0
140,23,165,308,6,1,5,3,3,5,6,525,0,8,533,0
,1897,36906,22588,867,304,327,477,308,539,857,65070,0,1867,66937,0
,1897,36906,22588,867,304,327,477,308,539,857,65070,0,1867,66937,0
141,20,219,232,7,4,2,1,2,2,8,497,0,14,511,0
142,12,175,257,7,1,2,2,3,3,7,469,0,17,486,0
143,5,232,249,5,4,2,0,3,5,2,507,0,18,525,0
144,20,300,263,10,5,6,2,6,8,13,633,0,37,670,0
145,39,326,262,9,4,5,6,3,8,11,673,0,43,716,0
146,20,172,393,8,4,6,2,8,2,8,623,0,17,640,0
147,20,200,312,14,3,5,5,4,4,9,576,0,30,606,0
148,10,146,102,6,2,2,0,0,2,6,276,0,6,282,0
149,6,281,127,3,1,3,3,2,5,2,433,0,3,436,0
150,5,154,251,6,3,1,4,0,1,0,425,0,13,438,0
151,6,291,69,1,1,0,1,0,0,2,371,0,7,378,0
152,15,310,184,8,1,2,1,4,3,4,532,0,13,545,0
153,10,156,116,6,2,2,3,3,1,5,304,0,12,316,0
154,17,527,142,9,2,2,2,1,4,15,721,0,21,742,0
,2102,40395,25547,966,341,367,509,347,587,949,72110,0,2118,74228,0
,2102,40395,25547,966,341,367,509,347,587,949,72110,0,2118,74228,0
155,7,233,109,5,1,1,2,0,0,7,365,0,5,370,0
156,13,139,181,8,0,1,5,3,4,4,358,0,16,374,0
157,22,214,194,8,2,4,2,2,2,4,454,0,22,476,0
158,24,189,158,8,4,2,6,2,1,15,409,0,26,435,0
159,17,325,331,11,2,2,5,3,3,9,708,0,14,722,0
160,15,145,246,5,2,1,3,2,4,8,431,0,15,446,0
161,13,174,153,2,3,1,0,3,1,4,354,0,20,374,0
162,5,43,160,3,3,0,6,2,6,3,231,0,13,244,0
163,31,266,173,8,2,6,6,5,4,12,513,0,24,537,0
164,1,75,229,5,0,1,0,0,2,1,314,0,0,314,0
165,5,357,83,10,2,4,2,3,5,9,480,0,15,495,0
166,11,421,83,5,0,2,1,0,2,7,532,0,14,546,0
167,4,122,98,4,0,0,2,3,3,6,242,0,7,249,0
168,8,140,215,3,2,6,1,3,3,8,389,0,14,403,0
,2278,43238,27960,1051,364,398,550,378,627,1046,77890,0,2323,80213,0
,2278,43238,27960,1051,364,398,550,378,627,1046,77890,0,2323,80213,0
169,23,239,258,7,3,6,4,2,5,4,551,0,7,558,0
170,12,189,274,7,3,1,2,6,12,1,507,0,9,516,0
171,4,160,183,5,2,0,4,0,3,5,366,0,7,373,0
172,8,123,384,14,3,0,1,3,10,2,548,0,6,554,0
173,1,855,5,0,0,0,0,0,1,0,862,0,0,862,0
174,20,211,307,6,2,5,6,5,5,2,569,0,32,601,0
175,35,303,233,6,5,5,1,4,13,13,618,0,47,665,0
176,8,85,61,3,1,1,3,0,3,10,175,0,13,188,0
177,12,270,112,5,4,1,1,1,3,9,418,0,25,443,0
178,2,74,266,13,3,2,0,1,0,2,363,0,10,373,0
179,16,267,232,9,4,3,4,8,3,7,553,0,16,569,0
180,11,373,141,7,1,2,2,3,3,2,545,0,15,560,0
181,4,343,177,5,0,2,3,0,8,2,544,0,7,551,0
182,13,319,192,10,5,4,4,2,4,1,554,0,10,564,0
,2447,47049,30785,1148,400,430,585,413,700,1106,85063,0,2527,87590,0
,2447,47049,30785,1148,400,430,585,413,700,1106,85063,0,2527,87590,0
183,11,215,91,1,1,1,1,1,1,3,326,0,8,334,0
184,11,497,208,10,3,4,3,3,7,10,756,0,18,774,0
185,17,348,147,10,3,3,3,4,6,7,548,0,21,569,0
186,7,140,168,11,2,2,2,2,2,6,342,0,15,357,0
187,0,333,26,0,2,1,0,0,0,1,363,0,1,364,0
188,6,208,73,0,0,0,0,0,2,4,293,0,9,302,0
189,12,237,157,3,3,2,1,2,9,7,433,0,11,444,0
190,19,318,85,5,0,0,2,1,2,7,439,0,12,451,0
191,5,617,74,1,0,0,1,2,0,2,702,0,7,709,0
192,20,361,202,7,1,4,3,1,2,13,614,0,19,633,0
193,10,260,133,5,0,2,2,1,3,5,421,0,14,435,0
194,8,133,389,9,4,1,3,6,3,5,561,0,16,577,0
195,35,447,223,8,6,3,2,4,4,8,740,0,16,756,0
196,1,340,9,0,0,0,0,0,0,0,350,0,0,350,0
,2609,51503,32770,1218,425,453,608,440,741,1184,91951,0,2694,94645,0
,2609,51503,32770,1218,425,453,608,440,741,1184,91951,0,2694,94645,0
197,29,330,153,10,3,2,4,1,2,8,542,0,20,562,0
198,27,531,102,3,4,1,6,2,6,11,693,0,17,710,0
199,8,263,137,2,1,1,2,2,2,10,428,0,11,439,0
200,12,185,230,8,2,4,1,0,3,8,453,0,15,468,0
201,12,215,170,1,3,3,1,0,2,2,409,0,2,411,0
202,14,153,171,10,1,1,4,3,10,16,383,0,55,438,0
203,1,428,47,1,0,0,0,0,0,0,477,0,1,478,0
204,18,352,183,7,1,2,2,1,6,9,581,0,16,597,0
205,10,207,171,4,4,3,0,3,3,6,411,0,15,426,0
206,5,152,425,1,2,2,0,1,1,0,589,0,3,592,0
207,1,96,429,4,1,0,1,1,3,2,538,0,3,541,0
208,2,138,66,1,1,2,0,0,0,0,210,0,5,215,0
209,13,518,66,2,4,5,1,0,1,7,617,0,13,630,0
210,1,362,284,0,0,1,0,0,2,0,650,0,4,654,0
,2762,55433,35404,1272,452,480,630,454,782,1263,98932,0,2874,101806,0
,2762,55433,35404,1272,452,480,630,454,782,1263,98932,0,2874,101806,0
211,2,235,508,3,1,6,0,0,0,0,755,0,3,758,0
212,12,592,167,4,1,3,1,0,2,4,786,0,3,789,0
213,7,477,81,3,0,0,1,0,1,2,572,0,7,579,0
214,16,494,268,0,1,2,1,0,1,1,784,0,10,794,0
215,5,603,88,1,1,4,2,0,2,3,709,0,4,713,0
216,17,168,427,7,0,5,0,1,3,1,629,0,10,639,0
217,4,147,59,0,1,2,0,0,0,0,213,0,1,214,0
218,0,303,352,3,1,2,0,0,2,0,663,0,0,663,0
219,6,250,182,2,1,0,0,3,0,4,448,0,6,454,0
220,11,285,119,2,2,1,0,0,2,1,423,0,8,431,0
221,11,500,88,9,6,2,3,6,7,7,639,0,10,649,0
222,2,447,21,0,0,0,0,0,1,1,472,0,1,473,0
223,20,249,180,7,1,2,1,2,4,7,473,0,16,489,0
224,3,337,66,3,4,1,3,0,0,6,423,0,2,425,0
,2878,60520,38010,1316,472,510,642,466,807,1300,106921,0,2955,109876,0
,2878,60520,38010,1316,472,510,642,466,807,1300,106921,0,2955,109876,0
225,2,284,75,1,0,0,1,0,2,2,367,0,3,370,0
226,11,232,50,2,3,1,2,2,2,4,309,0,1,310,0
227,9,286,189,2,0,2,4,1,3,4,500,0,8,508,0
228,13,201,195,6,2,4,3,1,4,3,432,0,11,443,0
229,3,300,30,4,2,2,1,0,2,2,346,0,1,347,0
230,8,390,103,2,0,0,0,0,1,5,509,0,4,513,0
231,10,286,213,3,1,2,1,0,6,5,527,0,4,531,0
232,5,230,75,2,1,2,1,0,5,4,325,0,9,334,0
233,6,205,47,4,0,1,1,0,1,4,269,0,6,275,0
234,2,318,93,3,0,0,0,2,1,0,419,0,2,421,0
235,14,334,97,1,1,1,2,2,4,7,463,0,8,471,0
236,16,360,268,3,4,6,1,0,6,3,667,0,9,676,0
237,11,241,131,4,3,0,1,1,2,5,399,0,3,402,0
238,5,241,29,0,2,0,1,0,1,3,282,0,2,284,0
,2993,64428,39605,1353,491,531,661,475,847,1351,112735,0,3026,115761,0
,2993,64428,39605,1353,491,531,661,475,847,1351,112735,0,3026,115761,0
239,7,310,85,3,1,1,2,1,3,0,413,0,4,417,0
240,6,131,216,6,4,1,2,1,6,3,376,0,8,384,0
241,13,178,229,11,3,5,1,1,7,5,453,0,5,458,0
242,6,110,107,2,1,0,4,1,2,6,239,0,4,243,0
243,8,191,105,6,2,0,0,0,4,5,321,0,10,331,0
244,5,249,175,6,3,1,4,2,5,17,467,0,15,482,0
245,3,256,123,8,0,1,4,6,1,8,410,0,16,426,0
246,17,361,70,4,0,6,5,0,5,10,478,0,18,496,0
