Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,,valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,"""None of the Above"" (NOTA)",,,,,
72,423,46,0,1,0,0,0,5,1,0,0,0,0,1,2,2,18,1,7,507,0,507,0,0
73,637,86,0,0,0,1,1,10,0,0,0,0,0,0,1,3,1,1,10,751,0,751,0,0
74,321,155,6,1,0,0,0,8,0,0,1,0,1,0,1,3,6,1,2,505,0,505,0,0
75,390,72,1,0,0,0,0,5,0,0,0,0,0,1,0,3,6,1,4,484,0,484,0,0
76,875,52,1,0,0,0,0,14,0,1,0,0,0,0,0,2,3,0,10,958,0,958,0,0
77,263,192,0,1,0,0,0,12,0,0,0,1,1,0,1,3,0,0,6,479,0,479,0,0
78,261,106,1,1,0,0,0,1,0,0,0,2,2,0,5,13,5,1,7,403,0,403,0,0
79,292,159,2,1,0,0,1,11,0,0,0,0,0,0,0,2,0,0,5,473,0,473,0,0
80,230,84,2,1,0,0,0,4,3,1,3,2,5,3,1,6,1,0,9,352,0,352,0,0
81,420,53,0,0,0,0,0,1,1,0,0,0,0,1,0,1,3,0,7,487,0,487,0,0
82,426,65,2,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,3,502,0,502,0,0
83,675,105,1,0,0,0,0,24,0,0,0,0,0,1,2,0,10,1,11,830,0,830,0,0
84,504,230,9,1,0,0,1,18,0,2,2,1,3,5,2,12,3,1,11,809,0,809,0,0
85,452,57,0,1,0,0,0,2,2,1,0,0,0,1,0,1,3,2,5,527,0,527,0,0
86,369,51,0,1,0,0,0,5,0,0,0,0,0,1,0,2,2,0,5,437,0,437,0,0
87,292,354,8,1,0,0,0,7,0,0,0,0,0,1,1,3,3,2,5,677,0,677,0,0
88,527,80,1,0,0,0,0,10,0,0,0,0,0,0,0,1,1,0,4,624,0,624,0,0
89,381,48,1,2,0,0,0,5,1,0,0,1,1,0,0,2,2,0,5,449,0,449,0,0
90,358,52,1,0,0,1,0,13,0,0,0,0,0,0,1,3,1,0,8,438,0,438,0,0
91,626,87,0,0,1,0,0,16,0,0,0,0,0,0,0,3,0,2,6,741,0,741,0,0
92,697,118,0,0,0,1,0,15,0,0,0,0,0,0,0,1,5,0,18,855,0,855,0,0
93,678,62,0,1,0,0,1,21,1,1,0,0,0,0,2,5,1,0,11,784,0,784,0,0
94,674,88,0,1,0,1,0,18,0,0,0,0,0,0,0,3,4,2,13,805,0,805,0,0
95,769,51,1,0,0,0,0,20,0,0,1,0,1,1,0,4,4,1,9,862,0,862,0,0
96,491,103,0,1,0,1,0,7,1,0,1,0,1,0,0,1,1,0,9,616,0,616,0,0
97,392,61,3,0,0,0,0,11,1,0,0,0,0,0,0,1,2,0,8,479,0,479,0,0
98,643,109,0,1,0,0,0,15,0,0,0,0,0,0,0,2,0,0,14,784,0,784,0,0
99,830,71,1,1,0,1,0,14,0,0,0,2,2,0,0,0,1,0,10,931,0,931,0,0
100,727,108,0,0,0,1,0,10,0,0,0,0,0,0,0,4,1,0,24,875,0,875,0,0
101,424,25,0,0,0,0,0,12,0,0,0,0,0,0,0,1,6,2,1,471,0,471,0,0
102,536,57,0,0,0,1,0,4,1,0,0,0,0,0,0,2,1,0,5,607,0,607,0,0
103,790,77,0,1,0,1,0,12,0,0,0,0,0,0,0,2,4,2,11,900,0,900,0,0
104,649,37,1,0,0,0,0,11,0,0,0,0,0,0,0,2,0,1,16,717,0,717,0,0
105,664,47,0,0,1,0,0,11,0,0,0,0,0,1,0,4,2,0,14,744,0,744,0,0
106,542,39,0,0,0,0,0,11,0,0,0,0,0,0,1,2,2,0,8,605,0,605,0,0
107,753,110,0,3,0,0,0,20,0,1,0,0,0,0,0,2,2,2,14,907,0,907,0,0
108,380,49,0,0,0,0,0,12,0,0,0,0,0,1,0,3,0,0,7,452,0,452,0,0
109,506,68,2,1,1,0,0,13,0,0,0,1,1,1,1,1,2,0,11,608,0,608,0,0
110,675,80,2,0,0,0,0,16,1,1,0,0,0,1,1,4,1,0,14,796,0,796,0,0
111,534,50,1,0,0,0,0,12,0,0,1,0,1,0,0,2,1,1,5,607,0,607,0,0
112,583,126,3,1,1,0,1,4,0,1,1,0,1,1,0,5,3,3,2,736,0,736,0,0
113,510,76,0,0,0,1,0,7,0,0,0,0,0,0,0,2,11,5,11,623,0,623,0,0
114,600,184,1,0,0,0,0,10,1,0,0,0,0,0,1,3,1,3,11,815,0,815,0,0
115,352,160,10,0,0,0,0,5,0,0,0,0,0,1,2,12,0,2,8,552,0,552,0,0
116,324,158,4,0,6,0,1,3,1,1,1,3,4,2,5,13,3,0,2,529,0,529,0,0
117,841,75,0,0,0,0,0,15,0,1,0,1,1,1,0,5,6,3,8,956,0,956,0,0
