polling station,,,,,,,,,,,,,,,,
,Ishvarbhai Dhanabhai Makwana,Dr. Kirit P. Solanki,Chavda Mansukhbh ai Nagarbhai,Amrut Sonara,Narendra Sankhaliya,Dr. J.G. Parmar,J. J. Mevada,Aayar Muljibhai Khanabhai,Parmar Harjivanbhai Kalabhai,Solanki Rameshbha i Danabhai,Solanki Vitthalbhai Maganbhai,Total Valid Votes,No. of Reject votes,NOTA,Total,No.of tender votes
68,342,391,14,1,0,50,44,1,0,0,0,843,0,16,859,0
69,309,460,14,0,0,1,9,1,0,2,5,801,0,27,828,0
70,669,39,0,1,0,2,18,1,0,2,0,732,0,3,735,0
71,308,87,9,0,0,3,10,0,0,0,2,419,0,3,422,0
72,333,232,2,0,1,141,8,3,1,2,1,724,0,17,741,0
73,302,268,20,1,1,70,8,1,0,2,1,674,0,11,685,0
74,233,582,4,2,2,13,15,0,2,3,2,858,0,19,877,0
75,372,254,1,0,1,19,5,0,0,0,2,654,0,15,669,0
76,490,34,2,1,0,4,5,1,0,1,1,539,0,3,542,0
77,338,371,12,0,2,25,9,0,2,0,3,762,0,17,779,0
78,363,335,6,1,1,32,6,0,4,2,2,752,0,13,765,0
79,164,267,5,0,1,5,14,0,2,0,2,460,0,3,463,0
80,416,157,2,0,1,54,1,0,1,2,1,635,0,6,641,0
81,621,106,15,0,0,1,15,1,0,0,1,760,0,7,767,0
82,280,215,87,2,3,5,10,0,0,5,6,613,0,12,625,0
83,299,183,70,0,1,5,10,1,0,1,1,571,0,18,589,0
84,339,225,33,0,0,9,11,0,0,0,1,618,0,15,633,0
85,323,378,11,1,0,82,8,1,1,0,4,809,0,15,824,0
86,339,295,3,3,1,121,5,1,1,1,0,770,0,13,783,0
87,657,120,3,1,0,28,32,2,3,0,0,846,0,11,857,0
88,340,131,4,0,1,8,8,1,1,0,0,494,0,6,500,0
89,267,193,1,2,0,1,5,0,0,2,1,472,0,9,481,0
90,327,291,10,0,1,11,54,5,1,0,6,706,0,14,720,0
91,227,184,3,0,0,1,9,0,0,1,2,427,0,6,433,0
92,811,54,5,0,0,0,42,0,0,0,2,914,0,8,922,0
93,238,200,10,0,2,95,10,0,1,0,0,556,0,7,563,0
94,356,308,13,2,0,76,10,0,0,1,4,770,0,11,781,0
95,97,192,4,2,1,0,4,0,0,1,0,301,0,5,306,0
96,270,103,0,1,0,1,7,0,1,1,1,385,0,9,394,0
97,488,50,0,1,1,0,12,0,1,2,3,558,0,9,567,0
98,515,23,0,1,1,0,17,0,0,0,1,558,0,4,562,0
99,292,264,6,1,4,1,7,0,0,3,2,580,0,8,588,0
100,455,87,7,1,2,0,6,1,0,0,0,559,0,4,563,0
101,98,245,5,0,1,1,3,1,2,2,3,361,0,6,367,0
102,143,529,20,1,0,2,4,2,0,10,6,717,0,16,733,0
103,78,215,21,0,0,0,6,0,0,0,3,323,0,7,330,0
104,271,500,6,0,4,3,31,1,0,2,3,821,0,29,850,0
105,345,231,7,0,0,5,10,0,0,0,2,600,0,6,606,0
106,319,345,9,0,0,2,44,1,2,0,3,725,0,10,735,0
107,332,139,2,0,2,2,7,0,2,0,0,486,0,15,501,0
108,645,112,3,3,1,0,14,0,1,0,0,779,0,13,792,0
109,611,22,0,1,0,0,21,0,0,0,0,655,0,3,658,0
110,569,127,2,0,1,0,22,0,0,1,2,724,0,16,740,0
111,421,40,1,0,1,0,21,0,0,0,0,484,0,9,493,0
112,427,16,0,0,0,0,8,0,0,1,0,452,0,7,459,0
113,492,18,0,0,0,0,21,2,0,0,1,534,0,1,535,0
114,652,28,0,0,1,0,14,0,1,1,1,698,0,8,706,0
115,590,21,0,0,1,0,22,0,0,0,1,635,0,5,640,0
116,520,25,0,0,0,0,10,0,0,0,1,556,0,8,564,0
117,551,26,0,1,3,0,4,0,1,0,0,586,0,7,593,0
118,574,27,0,0,1,0,6,0,0,0,1,609,0,6,615,0
119,559,134,2,1,3,0,21,1,2,0,1,724,0,6,730,0
120,453,28,0,0,0,0,6,0,1,0,1,489,0,5,494,0
121,301,441,5,0,3,7,10,1,0,3,2,773,0,10,783,0
122,151,287,33,0,8,12,54,1,0,2,0,548,0,16,564,0
123,339,209,12,0,3,2,17,1,0,0,2,585,0,5,590,0
124,547,96,2,0,1,8,20,1,0,1,1,677,0,8,685,0
125,107,129,3,0,0,1,8,1,0,1,3,253,0,5,258,0
126,222,102,1,0,0,1,20,0,3,1,0,350,0,11,361,0
127,591,98,0,0,1,0,21,0,0,1,0,712,0,17,729,0
128,493,36,0,0,1,2,26,2,1,0,1,562,0,9,571,0
129,346,18,0,0,0,1,14,1,0,0,1,381,0,4,385,0
130,653,27,0,0,0,0,20,0,2,0,2,704,0,8,712,0
131,266,335,2,0,0,1,2,1,1,2,1,611,0,14,625,0
132,280,352,8,0,1,3,18,0,0,0,3,665,0,13,678,0
133,307,553,11,2,1,5,11,1,1,1,1,894,0,17,911,0
134,592,40,0,1,1,1,24,0,0,0,0,659,0,12,671,0
135,568,121,6,1,0,1,11,1,1,8,4,722,0,20,742,0
136,577,21,0,1,0,1,17,0,0,0,2,619,0,5,624,0
137,595,16,0,0,0,0,14,1,0,0,0,626,0,9,635,0
138,533,28,0,0,2,0,10,2,0,0,0,575,0,13,588,0
139,385,35,0,1,1,1,4,1,0,0,1,429,0,6,435,0
140,629,54,1,1,1,1,11,1,2,2,4,707,0,18,725,0
141,533,126,4,1,3,2,9,2,4,3,1,688,0,10,698,0
142,551,15,1,0,0,0,5,0,2,0,0,574,0,4,578,0
143,585,20,0,0,1,0,15,0,1,0,0,622,0,9,631,0
144,519,23,1,0,0,0,13,0,2,0,0,558,0,8,566,0
145,248,477,10,0,1,4,4,0,0,1,2,747,0,10,757,0
146,259,359,8,1,2,3,13,0,1,1,1,648,0,18,666,0
147,356,42,0,0,3,0,52,0,0,0,0,453,0,5,458,0
148,507,13,0,0,0,0,21,0,0,0,0,541,0,6,547,0
149,524,23,0,0,1,1,26,0,1,0,1,577,0,7,584,0
150,577,61,1,1,0,2,14,0,1,0,1,658,0,6,664,0
151,359,206,6,0,0,0,10,0,0,0,0,581,0,7,588,0
152,596,137,3,1,3,0,12,1,0,2,3,758,0,6,764,0
153,514,45,2,2,0,0,16,1,3,2,3,588,0,12,600,0
154,578,45,7,1,1,3,21,3,2,5,1,667,0,19,686,0
155,686,53,2,1,0,3,8,1,1,1,6,762,0,15,777,0
156,261,326,5,1,2,3,4,2,1,6,11,622,0,17,639,0
157,39,682,2,0,1,0,9,0,0,0,2,735,0,11,746,0
158,16,641,0,1,2,0,8,0,0,0,1,669,0,12,681,0
159,24,788,0,0,1,1,6,0,0,0,0,820,0,11,831,0
160,47,673,2,0,0,0,9,1,0,1,1,734,0,5,739,0
161,44,706,1,0,0,0,17,1,0,0,0,769,0,11,780,0
162,59,807,1,0,1,0,4,0,0,1,2,875,0,14,889,0
163,63,733,1,1,1,0,15,1,0,1,3,819,0,14,833,0
164,79,708,4,3,0,2,10,3,1,0,3,813,0,8,821,0
165,30,476,1,1,0,1,7,0,1,0,0,517,0,5,522,0
166,41,692,2,0,0,0,19,0,0,0,0,754,0,17,771,0
167,38,700,2,0,0,0,7,0,0,1,1,749,0,8,757,0
168,44,796,0,1,1,0,15,0,0,1,0,858,0,14,872,0
169,26,504,1,1,2,0,8,0,0,1,0,543,0,9,552,0
170,682,43,2,0,0,1,14,0,0,2,1,745,0,11,756,0
171,389,32,0,1,0,1,10,0,1,0,1,435,0,8,443,0
172,567,103,1,0,0,0,7,0,0,2,2,682,0,6,688,0
173,857,51,1,1,0,0,23,1,1,1,1,937,0,7,944,0
174,690,34,1,2,1,0,12,1,0,1,1,743,0,8,751,0
175,761,53,2,0,0,0,23,3,0,0,1,843,0,4,847,0
176,282,24,1,1,1,0,12,0,0,0,0,321,0,5,326,0
177,753,41,1,2,1,2,27,1,2,1,1,832,0,7,839,0
178,426,30,2,0,2,0,14,0,0,2,0,476,0,3,479,0
179,423,35,1,1,0,1,11,1,2,2,2,479,0,4,483,0
180,616,30,2,1,0,3,9,0,2,1,0,664,0,6,670,0
181,670,47,3,1,4,3,17,2,2,2,1,752,0,11,763,0
182,447,31,0,0,0,1,7,0,0,0,0,486,0,10,496,0
183,683,34,1,1,1,1,32,0,2,1,0,756,0,6,762,0
184,674,35,0,0,2,0,14,1,1,1,1,729,0,8,737,0
185,647,49,1,0,2,1,23,2,1,1,4,731,0,9,740,0
186,48,578,7,1,1,1,6,0,2,2,4,650,0,13,663,0
187,604,23,1,0,0,0,20,0,1,0,1,650,0,8,658,0
188,33,667,2,1,0,0,5,1,0,0,2,711,0,16,727,0
189,38,685,1,0,1,0,9,0,0,0,0,734,0,8,742,0
190,68,531,1,1,0,0,18,0,0,0,0,619,0,8,627,0
191,248,485,2,1,1,0,9,3,2,5,13,769,0,34,803,0
192,204,360,10,0,2,1,1,1,0,1,6,586,0,19,605,0
193,128,572,6,2,4,0,4,2,0,2,8,728,0,16,744,0
194,75,657,4,2,0,0,1,2,3,1,12,757,0,14,771,0
195,475,29,0,0,0,1,20,0,1,0,0,526,0,5,531,0
196,499,22,1,0,0,0,28,0,0,1,1,552,0,8,560,0
197,54,365,3,1,0,0,2,2,1,2,2,432,0,5,437,0
198,564,20,0,1,0,1,31,2,0,0,0,619,0,7,626,0
199,530,15,1,0,1,0,49,0,0,0,0,596,0,16,612,0
200,198,325,5,0,1,0,6,1,0,2,2,540,0,14,554,0
201,36,248,3,0,1,0,1,1,3,2,9,304,0,11,315,0
202,29,301,3,0,1,0,1,1,1,2,8,347,0,3,350,0
203,130,361,9,3,2,1,4,2,2,5,13,532,0,12,544,0
204,57,383,4,0,0,0,5,0,2,6,6,463,0,15,478,0
205,45,230,0,1,0,1,0,1,0,1,2,281,0,2,283,0
206,61,250,1,0,0,1,4,2,0,0,2,321,0,9,330,0
