Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,Total of valid votes,No. of Rejected votes,Nota,Total,No. of Tendere d votes
70,285,1,208,3,1,1,1,1,1,0,0,1,1,0,1,505,0,22,527,0
71,128,5,239,2,2,1,0,1,5,2,0,0,5,11,0,401,0,8,409,0
72,159,1,245,3,0,2,0,0,1,0,1,0,2,5,0,419,0,6,425,0
73,75,6,340,6,0,1,0,1,0,0,0,1,2,14,3,449,0,6,455,0
74,235,2,300,1,0,1,1,0,0,0,0,0,1,10,1,552,0,10,562,0
75,104,5,386,4,0,2,0,1,1,0,0,3,5,14,2,527,0,6,533,0
76,307,5,212,2,0,1,2,0,3,0,1,1,1,1,4,540,0,8,548,0
77,157,9,428,7,0,4,0,3,3,0,2,1,2,5,2,623,0,13,636,0
78,207,2,388,7,1,0,4,1,3,2,0,3,2,16,6,642,0,16,658,0
79,564,5,188,2,0,1,5,0,0,0,0,3,1,3,2,774,0,16,790,0
80,469,6,201,2,0,0,1,0,0,4,0,1,3,0,1,688,0,16,704,0
81,547,1,134,2,0,1,1,0,0,1,0,1,0,1,1,690,0,4,694,0
82,324,0,459,1,1,1,0,0,1,1,1,0,0,2,3,794,0,20,814,0
83,641,2,110,1,0,1,1,0,1,2,0,0,0,2,0,761,0,2,763,0
84,265,4,177,2,0,3,1,1,0,0,1,0,2,2,0,458,0,8,466,0
85,309,3,123,1,1,0,6,0,0,1,0,1,0,1,0,446,0,3,449,0
86,309,1,396,1,0,0,1,3,2,1,0,0,4,6,2,726,0,12,738,0
87,68,2,285,1,0,0,0,1,0,0,0,0,1,9,0,367,0,3,370,0
88,236,3,177,6,0,0,0,2,2,1,1,0,0,9,1,438,0,9,447,0
89,214,2,133,0,0,0,3,0,0,2,0,0,0,2,0,356,0,3,359,0
90,167,5,306,3,0,0,1,2,4,1,2,2,2,4,4,503,0,9,512,0
91,430,4,372,4,0,0,0,3,2,1,2,1,3,7,2,831,0,21,852,0
92,547,4,238,1,0,0,2,0,1,1,0,1,2,5,2,804,0,15,819,0
93,335,9,555,4,1,1,1,3,3,0,0,1,12,10,5,940,0,14,954,0
94,307,4,445,4,0,1,0,0,0,1,0,0,1,6,5,774,0,8,782,0
95,430,6,148,2,0,1,1,1,0,1,0,2,3,3,2,600,0,18,618,0
96,241,0,146,3,0,1,0,0,2,1,0,0,1,4,4,403,0,18,421,0
97,321,4,182,2,0,7,1,0,0,2,0,3,1,5,2,530,0,10,540,0
98,288,8,295,1,0,6,0,2,0,0,2,0,3,10,6,621,0,12,633,0
99,151,7,678,6,0,1,1,9,1,0,2,3,5,11,3,878,0,12,890,0
100,274,2,287,3,0,3,1,1,0,0,0,0,3,4,2,580,0,20,600,0
101,266,5,366,6,0,1,0,0,1,1,0,2,4,4,1,657,0,14,671,0
102,76,6,489,7,0,1,0,2,1,0,0,0,3,5,5,595,0,6,601,0
103,55,2,519,4,2,0,0,2,1,0,0,2,5,10,5,607,0,11,618,0
104,141,0,375,1,0,0,0,1,0,2,0,0,5,8,3,536,0,5,541,0
105,238,6,292,3,0,0,0,0,1,0,0,0,0,6,3,549,0,7,556,0
106,220,5,304,2,9,1,0,1,2,0,1,1,4,8,4,562,0,6,568,0
107,302,14,371,2,0,1,3,1,0,1,2,0,1,2,0,700,0,12,712,0
108,381,5,344,6,0,2,0,0,0,0,1,1,2,9,3,754,0,15,769,0
109,410,4,416,3,0,2,1,2,0,2,0,0,4,8,5,857,0,19,876,0
110,255,7,358,2,2,0,0,1,0,1,0,2,3,11,0,642,0,13,655,0
111,241,5,463,9,0,0,0,2,1,2,0,3,8,16,5,755,0,18,773,0
112,249,11,428,5,2,3,1,1,2,2,3,5,3,13,7,735,0,22,757,0
113,357,2,163,3,0,1,0,0,1,0,0,0,2,1,2,532,0,9,541,0
114,297,1,260,0,0,1,0,0,1,0,0,0,0,2,0,562,0,4,566,0
115,68,11,429,9,4,0,0,0,0,0,0,1,3,10,2,537,0,13,550,0
116,26,4,735,6,3,3,0,0,2,0,1,1,8,9,4,802,0,5,807,0
117,504,4,196,35,1,0,8,0,2,0,1,1,3,9,3,767,0,34,801,0
118,342,7,226,1,0,1,0,0,1,1,2,1,5,10,3,600,0,16,616,0
119,182,5,277,12,1,0,0,0,0,0,0,0,1,3,0,481,0,11,492,0
120,476,5,175,5,1,2,0,1,1,0,1,1,1,7,8,684,0,25,709,0
121,143,6,242,2,0,0,1,3,0,2,0,1,2,1,3,406,0,11,417,0
122,349,6,437,4,4,0,0,0,0,0,0,1,2,5,7,815,0,13,828,0
123,326,2,247,4,3,1,0,1,0,0,0,1,4,6,2,597,0,25,622,0
124,256,12,309,0,1,0,2,2,1,0,1,3,5,12,3,607,0,17,624,0
125,238,5,393,6,2,0,7,0,3,1,0,1,6,12,1,675,0,22,697,0
126,418,3,272,3,0,2,1,2,1,0,0,0,0,1,5,708,0,16,724,0
127,155,2,378,3,1,1,0,3,0,1,0,0,2,1,4,551,0,9,560,0
128,142,3,343,0,0,1,2,0,1,0,1,0,2,12,4,511,0,10,521,0
129,110,2,296,3,1,0,3,1,0,0,2,0,1,2,1,422,0,4,426,0
130,74,2,379,3,0,0,0,1,0,1,1,3,2,9,5,480,0,10,490,0
131,356,2,114,4,0,0,2,1,2,0,1,0,1,0,0,483,0,3,486,0
132,223,6,372,8,0,4,0,0,1,0,1,0,3,4,4,626,0,8,634,0
133,170,4,255,2,0,2,0,1,0,0,1,1,2,10,1,449,0,7,456,0
134,196,4,152,1,0,0,1,1,0,0,0,0,0,5,0,360,0,9,369,0
135,347,7,207,3,0,1,0,0,0,1,2,0,3,3,2,576,0,8,584,0
136,195,3,303,1,0,4,0,1,2,0,0,1,1,1,2,514,0,9,523,0
137,114,3,539,1,1,1,3,0,0,0,0,1,1,5,6,675,0,24,699,0
138,595,3,157,0,0,1,2,2,0,0,0,1,0,0,1,762,0,5,767,0
139,514,2,124,1,0,0,3,0,0,0,0,0,1,2,0,647,0,5,652,0
140,351,4,205,3,0,1,0,0,1,0,1,0,0,1,2,569,0,9,578,0
141,527,2,30,0,0,0,0,0,0,0,0,0,0,0,0,559,0,5,564,0
142,506,4,289,8,0,0,0,1,0,0,1,3,2,13,5,832,0,19,851,0
143,98,3,601,5,1,1,0,0,0,0,0,1,4,13,1,728,0,14,742,0
144,91,5,570,6,1,1,1,0,0,0,1,1,1,5,7,690,0,7,697,0
145,339,8,312,5,0,0,2,8,3,1,0,0,1,0,2,681,0,8,689,0
146,458,4,165,1,0,0,2,4,1,0,0,1,1,2,5,644,0,35,679,0
147,119,3,512,4,0,1,3,1,0,2,2,0,2,14,6,669,0,19,688,0
148,233,3,729,5,2,3,0,2,3,0,5,1,11,18,2,1017,0,21,1038,0
149,579,2,126,0,0,1,1,1,0,1,0,0,2,2,4,719,0,23,742,0
150,242,2,421,2,0,0,1,2,2,1,1,0,3,11,2,690,0,23,713,0
151,265,14,649,8,0,4,1,1,0,1,0,3,7,11,1,965,0,15,980,0
152,273,9,269,1,0,0,0,0,2,1,0,1,0,15,5,576,0,12,588,0
153,265,7,174,3,0,1,0,0,0,0,0,1,1,6,3,461,0,15,476,0
154,259,7,311,7,2,0,3,1,1,1,0,1,1,10,6,610,0,32,642,0
155,193,7,500,4,0,0,0,0,1,1,1,1,5,12,1,726,0,24,750,0
156,311,5,375,3,0,0,6,2,1,1,2,1,1,7,4,719,0,15,734,0
157,111,1,342,3,1,0,1,0,0,0,0,0,2,1,5,467,0,8,475,0
158,240,2,223,3,0,0,0,0,0,0,0,0,0,2,1,471,0,12,483,0
159,249,5,214,0,0,1,0,1,1,0,0,0,1,2,2,476,0,10,486,0
160,347,4,339,5,2,2,0,2,3,0,0,0,1,6,1,712,0,19,731,0
161,189,2,329,3,0,0,0,2,0,0,1,4,2,4,2,538,0,4,542,0
162,224,6,365,1,0,1,0,1,0,2,2,1,3,12,4,622,0,21,643,0
163,126,2,301,2,2,0,0,0,2,0,1,0,0,8,0,444,0,3,447,0
164,273,2,142,2,1,1,2,1,0,1,0,2,2,6,3,438,0,14,452,0
165,290,3,246,3,1,2,0,0,3,0,1,1,5,6,8,569,0,15,584,0
166,216,5,416,2,1,0,0,0,1,1,0,1,5,10,6,664,0,9,673,0
167,169,4,367,2,1,3,1,1,1,0,2,0,2,11,8,572,0,22,594,0
168,162,3,458,8,0,3,0,1,1,1,6,5,4,13,9,674,0,22,696,0
169,175,1,190,1,0,0,0,0,0,0,0,1,1,2,1,372,0,5,377,0
170,345,3,292,5,1,1,1,0,1,0,1,0,4,1,4,659,0,16,675,0
171,292,1,199,4,0,0,0,0,0,0,0,0,1,0,1,498,0,4,502,0
172,225,1,75,0,0,1,0,0,1,0,0,0,1,0,0,304,0,1,305,0
173,174,1,393,0,0,1,0,1,0,2,1,2,3,13,4,595,0,9,604,0
174,33,3,426,4,1,0,0,0,1,0,0,1,2,6,3,480,0,2,482,0
175,224,0,144,1,0,0,0,0,0,0,0,0,0,8,4,381,0,10,391,0
176,282,3,223,2,1,1,1,3,3,0,0,2,5,8,10,544,0,19,563,0
177,252,7,398,2,0,2,0,2,7,0,0,0,4,6,3,683,0,15,698,0
178,224,2,142,1,0,0,1,0,2,1,0,1,2,1,1,378,0,13,391,0
179,343,5,415,6,0,1,1,0,2,1,0,1,8,8,3,794,0,13,807,0
180,118,1,393,0,1,0,1,4,1,1,0,2,5,16,4,547,0,14,561,0
181,149,6,358,0,1,3,2,1,0,0,1,0,3,11,5,540,0,15,555,0
182,234,3,215,4,0,0,0,1,0,0,1,0,1,4,2,465,0,9,474,0
183,166,3,267,1,0,0,0,0,1,0,0,0,2,10,3,453,0,8,461,0
184,95,1,318,4,0,1,0,0,1,0,2,3,0,4,2,431,0,8,439,0
185,112,8,647,3,1,2,1,0,1,0,0,0,3,10,3,791,0,10,801,0
186,298,4,400,3,0,0,1,0,1,1,0,0,4,13,5,730,0,16,746,0
187,135,4,353,2,2,1,1,0,0,0,0,0,0,1,3,502,0,5,507,0
188,252,3,134,0,0,1,0,0,1,0,0,2,4,3,3,403,0,7,410,0
189,153,5,525,5,1,3,2,0,2,1,1,3,3,12,5,721,0,8,729,0
190,485,5,265,2,0,2,0,0,1,0,1,0,5,5,3,774,0,18,792,0
191,373,5,160,1,3,1,0,0,0,2,1,0,0,7,3,556,0,12,568,0
192,198,4,438,6,1,0,0,0,3,1,0,1,1,13,11,677,0,13,690,0
193,94,3,377,2,0,0,0,0,0,1,0,1,3,9,1,491,0,3,494,0
194,114,5,242,5,0,0,0,0,0,0,0,1,0,3,1,371,0,4,375,0
195,204,10,331,4,4,0,0,2,1,1,0,1,4,8,4,574,0,12,586,0
196,158,5,317,2,0,0,0,1,2,2,0,1,2,3,6,499,0,3,502,0
197,204,8,423,6,1,0,0,10,1,1,3,3,5,7,7,679,0,18,697,0
198,202,0,158,2,0,0,0,0,2,0,2,0,1,3,2,372,0,13,385,0
199,109,5,247,2,0,0,2,2,0,0,0,1,1,3,2,374,0,3,377,0
200,181,2,191,1,1,1,0,1,1,0,0,0,1,1,0,381,0,9,390,0
201,83,8,314,1,1,1,0,4,2,0,3,0,2,5,8,432,0,8,440,0
202,67,3,139,2,0,0,0,0,0,0,1,0,0,1,1,214,0,5,219,0
203,157,8,403,2,0,2,1,1,2,0,0,1,4,2,1,584,0,9,593,0
204,501,1,68,0,0,0,1,0,1,0,0,0,1,2,2,577,0,5,582,0
205,227,1,312,0,2,3,1,2,0,0,1,0,2,4,2,557,0,14,571,0
206,162,3,297,5,0,0,0,0,0,0,0,1,1,3,0,472,0,15,487,0
207,127,2,360,5,3,5,1,0,2,1,0,0,2,7,2,517,0,9,526,0
208,117,2,269,1,0,0,0,0,0,0,0,0,1,3,0,393,0,6,399,0
