polling station,BHAMBHI CHANDUBHAI MULCHANDBHAI,RATHOD DIPSINH SHANKARSINH,SHANKERSINH VAGHELA BAPU,PATEL BHOGILAL HARIBHAI,SHEKH ARIF KHAN,PATEL ISHWARBHAI SAKRAJI ,PATEL PURUSOTTAMBHAI AMBALAL,BALUSINGH SOMANSINGH NARVE,VELANI SHANTILAL KARAMSHI,SOLANKI CHHAGANBHAI KEVALABHAI,NOTA,valid,Rejected Votes,Total Votes,Tender Votes
33,4,110,104,2,0,0,1,1,1,1,2,226,0,226,0
34,17,60,235,6,3,2,1,4,4,11,25,368,0,368,0
35,8,198,274,21,2,3,3,7,14,13,51,594,0,594,0
36,24,355,284,20,10,9,7,13,43,39,96,900,0,900,0
37,10,99,340,13,2,1,2,3,8,5,24,507,0,507,0
38,16,399,154,10,3,6,8,7,15,27,42,687,0,687,0
39,34,338,163,10,4,1,5,9,12,30,39,645,0,645,0
40,23,231,230,18,5,2,7,4,10,17,57,604,0,604,0
41,54,266,305,20,0,6,9,3,7,18,73,761,0,761,0
42,16,200,210,18,2,1,3,7,5,11,56,529,0,529,0
43,51,512,72,8,4,3,6,4,8,13,47,728,0,728,0
44,44,445,187,16,3,4,10,7,12,32,72,832,0,832,0
45,38,204,149,6,3,4,3,8,9,19,25,468,0,468,0
46,19,112,225,15,1,2,3,10,13,14,40,454,0,454,0
47,18,83,379,9,5,4,0,6,5,14,47,570,0,570,0
48,27,99,204,9,5,7,3,8,12,10,58,442,0,442,0
49,34,150,636,22,10,5,10,11,29,23,71,1001,0,1001,0
50,26,150,279,13,1,3,5,2,13,13,49,554,0,554,0
51,19,56,434,29,5,0,6,7,22,9,29,616,0,616,0
52,20,122,469,36,10,2,2,9,12,15,38,735,0,735,0
53,23,19,418,10,3,1,1,0,4,3,20,502,0,502,0
54,41,67,387,33,4,9,5,9,13,14,52,634,0,634,0
55,14,91,318,16,4,3,2,1,5,12,18,484,0,484,0
56,23,42,392,23,4,5,4,4,3,7,71,578,0,578,0
57,18,39,301,27,1,2,4,2,8,5,19,426,0,426,0
58,19,104,496,29,9,9,8,12,11,12,49,758,0,758,0
59,63,192,442,26,6,8,11,19,20,39,106,932,0,932,0
60,22,173,364,14,3,2,4,13,8,26,73,702,0,702,0
61,4,260,274,2,0,0,0,0,3,5,4,552,0,552,0
62,6,136,110,0,1,0,0,0,0,1,2,256,0,256,0
63,45,83,319,16,9,10,6,17,8,19,38,570,0,570,0
64,27,94,287,19,5,1,3,14,15,5,47,517,0,517,0
65,44,177,396,12,1,4,6,7,13,11,29,700,0,700,0
66,32,88,451,18,4,2,4,7,9,18,47,680,0,680,0
67,11,19,331,10,1,0,1,3,2,3,9,390,0,390,0
68,4,111,261,15,2,1,0,4,9,4,9,420,0,420,0
69,18,105,361,16,2,2,2,7,8,15,27,563,0,563,0
70,14,31,287,14,4,1,1,1,4,10,34,401,0,401,0
71,6,52,240,5,2,0,2,1,3,10,1,322,0,322,0
72,21,84,357,10,6,0,4,3,5,14,55,559,0,559,0
73,4,22,231,8,1,3,1,3,2,6,8,289,0,289,0
74,22,195,195,11,2,2,3,7,13,17,30,497,0,497,0
75,16,76,550,7,3,1,1,1,2,6,16,679,0,679,0
76,19,112,287,11,0,2,1,4,9,7,52,504,0,504,0
77,20,102,279,17,2,1,2,9,6,15,29,482,0,482,0
78,29,149,526,21,4,3,1,10,15,17,44,819,0,819,0
79,22,106,360,4,3,2,3,8,9,17,11,545,0,545,0
80,15,114,272,12,2,0,1,1,5,23,33,478,0,478,0
81,10,273,143,0,3,0,2,0,0,6,9,446,0,446,0
82,31,262,391,8,2,1,2,4,7,15,15,738,0,738,0
83,23,347,165,6,5,0,1,7,8,23,63,648,0,648,0
84,10,187,89,9,0,1,0,1,3,12,28,340,0,340,0
85,5,109,159,3,2,1,2,1,0,1,5,288,0,288,0
86,13,16,394,15,2,0,3,3,4,2,8,460,0,460,0
87,19,48,377,12,3,1,5,6,5,2,31,509,0,509,0
88,14,144,274,7,3,0,3,5,6,8,22,486,0,486,0
89,39,100,346,16,2,2,5,5,10,20,63,608,0,608,0
90,24,63,351,15,2,2,1,2,16,6,31,513,0,513,0
91,20,103,493,22,3,0,5,11,7,10,33,707,0,707,0
92,5,120,454,10,2,0,0,2,4,7,32,636,0,636,0
93,21,115,431,15,2,1,2,3,10,4,17,621,0,621,0
94,14,78,220,10,3,1,1,2,7,8,13,357,0,357,0
