Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Jadeja Kandhalbhai Saramanbhai,Radadiya Vithalbhai Hansrajbhai,Sadiya Vrajlal Pababhai,Irfanshah Habibshah Suhravardi,Mansukh Sundarji Dhokai,Aghera Dhirajlal Bhurabhai,Unadakat Prakash Vallabhadas,Khunti Bharatbhai Maldebhai,Khokhani Lalitaben Mansukhbhai,Joshi Harish Liladhar,Tukadia G.R.,Patel Butani Rajeshbhai Maganbhai,Rathod Chandulal Mohanbhai,Vakil Vinzuda Ranjit Naranbhai,,,,,
20,24,482,2,0,0,0,0,1,0,1,1,0,0,4,515,0,7,522,0
21,149,136,46,3,1,2,1,2,1,0,0,1,0,3,345,0,4,349,0
22,127,189,1,1,2,1,2,1,1,0,0,0,0,2,327,0,8,335,0
23,33,140,4,0,0,3,2,2,1,4,3,4,2,5,203,0,4,207,0
24,69,221,2,1,0,1,0,0,1,0,0,3,3,8,309,0,10,319,0
25,141,200,2,1,2,0,0,2,0,0,1,2,0,2,353,0,11,364,0
26,233,44,8,2,0,1,0,2,0,0,1,7,1,2,301,0,5,306,0
27,122,218,0,1,0,0,0,2,0,1,1,1,0,0,346,0,7,353,0
28,52,477,12,3,2,3,2,0,3,1,6,10,4,14,589,0,24,613,0
29,369,92,1,2,0,1,0,2,0,0,0,3,0,0,470,0,11,481,0
30,422,113,2,1,5,1,2,1,0,1,2,3,0,3,556,0,18,574,0
31,230,50,5,1,1,3,0,4,1,1,0,5,3,3,307,0,9,316,0
32,292,90,3,4,1,0,2,3,0,1,1,2,3,3,405,0,13,418,0
33,162,104,24,0,5,1,0,1,0,1,3,2,1,1,305,0,5,310,0
34,173,143,21,2,2,0,1,1,1,0,0,2,2,2,350,0,0,350,0
35,76,318,4,0,0,1,0,1,3,1,4,3,3,6,420,0,9,429,0
36,133,286,5,5,1,1,1,2,0,0,2,0,1,3,440,0,7,447,0
37,189,216,22,2,0,1,0,0,1,0,0,2,2,0,435,0,8,443,0
38,271,173,25,2,3,1,2,3,1,0,1,5,6,2,495,0,9,504,0
39,239,183,2,6,0,0,1,5,2,2,3,4,5,4,456,0,3,459,0
40,210,194,0,4,3,1,3,0,1,0,1,1,1,3,422,0,4,426,0
41,153,94,4,1,0,0,1,3,0,1,0,1,2,1,261,0,7,268,0
42,90,221,2,0,4,1,0,1,0,3,1,0,2,1,326,0,7,333,0
43,112,410,6,4,7,2,1,4,0,1,0,5,3,4,559,0,17,576,0
44,116,308,4,3,2,2,4,0,0,1,2,1,0,2,445,0,18,463,0
45,379,88,100,9,6,3,1,6,0,2,1,10,3,3,611,0,13,624,0
46,357,187,7,6,13,10,10,10,6,2,4,8,9,5,634,0,20,654,0
47,88,213,4,0,1,1,1,3,2,2,1,3,3,3,325,0,8,333,0
48,53,195,1,1,3,1,1,2,2,1,1,3,3,5,272,0,11,283,0
49,71,298,7,3,4,1,1,2,0,0,1,6,1,1,396,0,8,404,0
50,85,250,2,0,6,0,0,0,0,1,3,1,1,2,351,0,4,355,0
51,112,174,2,1,2,0,2,3,1,0,0,4,0,1,302,0,5,307,0
52,252,231,7,10,5,2,3,3,2,3,3,4,1,8,534,0,7,541,0
53,103,146,3,2,1,2,1,1,2,1,2,2,1,2,269,0,5,274,0
54,132,198,5,1,3,1,2,2,0,0,3,1,1,4,353,0,6,359,0
55,80,83,6,11,2,3,2,0,0,2,1,2,0,1,193,0,4,197,0
56,33,120,10,4,1,5,1,1,2,1,1,5,3,9,196,0,19,215,0
57,77,313,7,3,1,1,1,1,0,0,1,1,1,1,408,0,2,410,0
58,32,160,13,1,0,0,1,0,1,1,1,1,1,3,215,0,14,229,0
59,121,42,223,4,1,3,1,1,2,1,1,1,1,2,404,0,5,409,0
60,136,272,3,3,2,1,2,3,1,0,3,1,4,4,435,0,9,444,0
61,73,119,0,1,2,0,0,1,0,1,0,1,0,0,198,0,4,202,0
62,94,169,3,7,2,0,1,1,1,1,0,2,3,3,287,0,8,295,0
63,82,196,120,1,0,1,0,1,1,0,1,0,5,1,409,0,4,413,0
64,129,161,69,6,2,1,1,0,0,0,2,1,2,3,377,0,5,382,0
65,169,263,13,1,3,0,0,2,0,0,0,0,1,0,452,0,1,453,0
