Serial No. of Polling Station,Number of Valid Votes Cast in Favour of,,,,,,,,,,,,,,Total of valid votes,No. of Rejected Votes,NOTA,Total,Total No. of tendered votes
,Chaudhary Haribhai Parthibhai,Patel Joitabhai Kasnabhai,Mahant Parsotamgiri Turantgiri,Choudhary Adambhai Nasirbhai,Sanjaykumar Somnathbhai Raval,Gamar Vadhabhai Radhabhai,Thakor Bhupataji Ravaji,Dabhi Navajibhai Madhabhai,Babaji Thakor,Mahendrabhai Kesarabhai Bumbadia,Madhu Nirupaben Natvarlal,Shrimali Ashokbhai Balchndbhai,Solanki Dineshkumar Aljibhai,Solanki Saybabhai Nanabhai,,,,,
42,401,97,2,2,0,0,1,1,1,0,3,0,1,1,510,0,5,515,0
43,166,78,3,0,0,0,4,0,3,4,0,1,3,2,264,0,9,273,0
44,201,39,0,0,1,0,0,0,0,4,1,2,3,2,253,0,15,268,0
45,339,223,5,3,1,0,1,2,8,3,0,2,1,5,593,0,8,601,0
46,503,212,3,1,2,5,0,0,19,1,3,4,7,5,765,0,14,779,0
47,276,106,1,1,2,0,0,1,0,5,2,1,3,1,399,0,19,418,0
48,425,48,3,1,4,0,0,1,2,4,2,1,0,2,493,0,16,509,0
49,286,96,4,2,9,0,0,0,1,1,1,1,2,1,404,0,15,419,0
50,215,320,12,3,2,0,2,2,8,4,3,1,2,4,578,0,7,585,0
51,205,163,4,0,3,0,0,2,1,2,2,6,4,2,394,0,7,401,0
52,365,159,3,0,3,0,1,0,0,0,0,0,5,1,537,0,1,538,0
53,259,103,1,10,0,0,0,0,2,1,0,0,0,1,377,0,2,379,0
54,473,197,6,1,3,0,0,0,0,5,2,0,5,5,697,0,13,710,0
55,483,23,2,1,0,0,0,3,0,2,0,0,1,1,516,0,5,521,0
56,448,54,2,0,0,0,1,0,2,1,1,4,1,2,516,0,10,526,0
57,714,126,1,0,1,0,2,1,2,2,1,1,5,4,860,0,15,875,0
58,28,71,1,0,4,0,0,0,0,0,0,0,0,1,105,0,3,108,0
59,346,153,1,1,1,1,3,5,2,3,1,1,3,4,525,0,8,533,0
60,412,60,3,1,3,0,1,1,5,2,1,2,0,3,494,0,4,498,0
61,529,55,1,3,0,0,2,2,32,4,5,2,2,2,639,0,13,652,0
62,448,77,5,1,0,0,0,1,46,5,3,2,3,6,597,0,12,609,0
63,187,192,6,0,6,0,0,0,1,0,0,0,2,3,397,0,5,402,0
64,44,177,6,1,0,0,0,1,0,0,2,1,0,1,233,0,3,236,0
65,146,344,10,0,6,1,1,2,1,3,2,1,8,9,534,0,18,552,0
66,474,144,1,3,3,0,0,1,0,2,2,3,3,5,641,0,12,653,0
67,196,50,2,0,2,0,0,0,1,0,1,2,0,0,254,0,9,263,0
68,194,144,6,0,0,0,4,2,1,0,2,0,2,5,360,0,6,366,0
69,192,39,2,0,1,0,1,0,6,0,0,0,1,3,245,0,5,250,0
70,260,193,5,1,4,0,1,1,2,7,4,2,5,5,490,0,20,510,0
71,230,161,1,0,0,2,5,1,0,1,1,2,1,5,410,0,15,425,0
72,156,198,7,0,3,1,1,2,0,0,2,0,7,2,379,0,6,385,0
73,271,95,4,0,2,0,0,1,1,4,2,4,4,2,390,0,15,405,0
74,405,75,5,1,2,3,1,4,4,11,1,2,4,2,520,0,18,538,0
75,476,28,0,0,0,0,0,0,0,1,0,1,1,3,510,0,8,518,0
76,520,22,1,0,0,0,2,2,0,0,0,0,2,1,550,0,8,558,0
77,264,36,8,1,1,0,0,1,0,0,1,0,3,1,316,0,6,322,0
78,481,26,1,1,1,0,0,1,1,0,1,0,2,4,519,0,13,532,0
79,349,127,4,0,0,0,1,0,4,0,0,2,2,2,491,0,6,497,0
80,242,211,5,0,3,0,1,0,9,2,2,0,3,5,483,0,9,492,0
81,508,67,3,1,0,2,0,4,1,7,2,3,5,7,610,0,18,628,0
82,339,115,4,2,6,0,0,4,3,7,3,6,6,7,502,0,14,516,0
83,329,50,1,0,0,0,0,2,2,2,3,2,2,4,397,0,7,404,0
84,338,100,6,0,3,0,1,2,3,2,0,3,2,4,464,0,9,473,0
85,147,324,5,0,9,0,2,1,6,2,3,4,4,2,509,0,9,518,0
86,444,53,2,0,4,1,1,3,10,3,2,1,3,9,536,0,6,542,0
87,337,66,2,0,2,1,0,0,1,2,1,0,9,4,425,0,9,434,0
