polling station,,,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
39,7,285,6,366,9,1,4,5,7,10,700,0,11,711,0
40,11,388,9,261,5,2,8,1,6,5,696,0,23,719,0
41,14,330,10,195,2,0,3,1,1,5,561,0,29,590,0
42,6,228,11,514,12,0,4,3,1,4,783,0,6,789,0
43,2,189,3,139,0,2,1,1,1,1,339,0,5,344,0
44,7,165,6,303,11,3,2,2,7,1,507,0,6,513,0
45,3,179,6,465,9,1,3,1,2,3,672,0,6,678,0
46,8,76,11,518,13,2,1,3,3,2,637,0,12,649,0
47,5,145,7,256,4,1,3,2,3,8,434,0,7,441,0
48,1,342,0,59,1,0,0,2,0,0,405,0,1,406,0
49,0,253,0,104,3,0,28,1,1,3,393,0,11,404,0
50,7,58,5,321,5,1,11,3,2,7,420,0,21,441,0
51,5,276,5,62,0,0,4,2,1,3,358,0,4,362,0
52,4,210,3,361,15,0,3,6,2,3,607,0,7,614,0
53,2,141,1,177,3,0,1,2,1,4,332,0,6,338,0
54,1,17,3,255,4,1,1,1,1,3,287,0,1,288,0
55,4,492,2,41,0,0,0,1,2,2,544,0,7,551,0
56,8,296,5,178,3,0,5,0,2,8,505,0,4,509,0
57,4,123,7,394,3,0,3,4,4,14,556,0,17,573,0
58,7,222,8,577,9,2,12,6,3,10,856,0,9,865,0
59,3,29,5,349,7,2,2,5,3,2,407,0,3,410,0
60,6,39,3,369,7,2,70,1,1,1,499,0,12,511,0
61,7,208,4,323,5,1,0,1,1,4,554,0,4,558,0
62,8,141,5,396,5,0,2,1,2,2,562,0,16,578,0
63,4,312,4,204,5,0,0,2,1,3,535,0,7,542,0
64,3,158,9,287,6,0,4,3,3,6,479,0,12,491,0
65,4,142,3,343,2,0,9,4,1,6,514,0,4,518,0
66,5,167,7,401,7,1,1,1,6,8,604,0,8,612,0
67,4,201,2,152,6,2,4,1,0,2,374,0,3,377,0
68,7,86,6,318,6,3,23,5,7,6,467,0,4,471,0
69,6,514,3,303,10,1,1,4,3,2,847,0,15,862,0
70,10,778,12,80,10,2,1,2,1,3,899,0,5,904,0
71,6,431,6,186,10,0,0,1,0,1,641,0,11,652,0
72,6,395,7,261,3,1,2,3,6,10,694,0,10,704,0
73,3,500,3,194,6,1,0,2,0,1,710,0,7,717,0
74,1,178,3,187,4,0,1,1,0,0,375,0,3,378,0
75,3,312,6,200,3,0,2,1,2,2,531,0,13,544,0
76,2,431,1,295,4,0,1,2,1,0,737,0,3,740,0
77,0,397,0,215,7,0,0,0,2,2,623,0,5,628,0
78,2,529,4,113,6,2,0,2,0,1,659,0,2,661,0
79,3,274,1,185,4,1,1,0,0,1,470,0,4,474,0
80,8,189,10,563,11,2,4,1,1,3,792,0,11,803,0
81,3,45,1,466,4,1,1,0,1,0,522,0,6,528,0
82,1,58,1,466,8,0,1,0,1,0,536,0,9,545,0
83,3,95,6,422,4,1,0,2,0,1,534,0,4,538,0
84,3,54,0,501,6,0,1,0,0,0,565,0,0,565,0
85,0,70,1,379,7,0,0,0,0,0,457,0,1,458,0
86,0,75,3,419,7,0,0,0,0,0,504,0,2,506,0
87,2,169,1,587,5,0,0,1,0,2,767,0,10,777,0
88,5,61,7,557,8,6,0,2,3,2,651,0,12,663,3
89,7,216,3,644,15,1,0,1,1,2,890,0,15,905,0
90,1,393,8,79,2,0,3,0,0,3,489,0,4,493,0
91,7,395,2,113,1,0,0,0,0,3,521,0,2,523,0
92,1,112,1,398,8,1,1,0,0,0,522,0,11,533,0
93,6,124,1,704,2,1,0,2,0,0,840,0,8,848,0
94,7,98,3,628,8,1,9,0,0,1,755,0,5,760,0
95,4,157,5,825,10,2,6,5,4,7,1025,0,21,1046,0
96,11,775,9,211,2,0,0,1,2,1,1012,0,9,1021,0
97,3,200,2,673,17,0,2,0,0,0,897,0,12,909,0
98,2,169,2,387,10,2,0,0,1,0,573,0,5,578,0
99,3,27,1,211,3,0,0,0,0,0,245,0,1,246,0
100,7,179,3,427,7,0,6,2,1,5,637,0,10,647,0
101,1,366,9,475,14,6,1,8,4,5,889,0,5,894,0
102,11,175,3,475,11,2,3,5,4,11,700,0,5,705,0
103,2,46,3,270,2,0,1,1,2,4,331,0,1,332,0
104,0,270,6,254,6,1,2,6,3,5,553,0,7,560,0
105,6,447,8,185,3,1,86,2,1,3,742,0,7,749,0
106,5,185,4,115,2,1,13,1,1,2,329,0,5,334,0
107,1,66,2,590,2,1,4,0,0,0,666,0,2,668,0
108,7,72,7,281,10,2,31,3,7,1,421,0,6,427,0
109,1,66,7,485,5,0,1,2,1,0,568,0,1,569,0
110,4,91,4,248,5,2,8,5,1,4,372,0,9,381,0
111,0,49,1,489,4,2,2,1,1,2,551,0,6,557,0
112,8,436,2,239,5,0,0,3,1,1,695,0,8,703,0
113,2,240,2,286,6,0,8,3,1,2,550,0,4,554,0
114,3,236,5,223,3,0,4,0,2,6,482,0,8,490,0
115,4,287,10,555,8,2,4,0,1,5,876,0,11,887,0
116,1,109,4,352,1,0,4,1,0,1,473,0,0,473,0
117,0,35,2,493,6,0,3,2,0,1,542,0,1,543,0
118,11,659,3,127,1,0,0,2,0,3,806,0,3,809,0
119,7,378,8,134,5,1,4,0,0,2,539,0,3,542,0
120,7,179,7,149,5,0,1,6,4,5,363,0,12,375,0
121,2,30,1,235,1,0,0,1,2,5,277,0,5,282,0
122,4,99,3,330,4,1,6,3,2,4,456,0,5,461,0
123,1,47,6,258,1,0,2,2,0,2,319,0,3,322,0
124,4,193,9,478,13,1,4,3,2,4,711,0,16,727,0
125,8,154,17,275,9,2,1,3,4,12,485,0,28,513,0
126,0,133,7,393,3,0,5,4,1,5,551,0,6,557,0
127,7,177,4,231,5,2,36,2,7,5,476,0,9,485,0
128,4,167,4,225,4,3,16,1,2,5,431,0,7,438,0
129,3,141,3,378,3,2,76,1,4,2,613,0,15,628,0
130,2,484,5,69,2,0,1,1,0,3,567,0,5,572,0
131,0,301,4,59,0,0,0,2,1,3,370,0,4,374,0
132,3,55,6,323,4,2,8,4,9,10,424,0,24,448,0
133,5,97,4,446,7,3,11,1,2,3,579,0,8,587,0
134,7,99,5,385,3,1,4,1,3,3,511,0,13,524,0
135,8,200,4,502,6,1,2,3,1,4,731,0,9,740,0
136,13,264,16,504,7,5,11,2,7,17,846,0,27,873,0
137,1,260,5,230,3,2,0,3,0,4,508,0,10,518,0
138,10,96,8,491,7,0,7,7,3,6,635,0,22,657,0
139,2,79,0,214,4,0,4,2,0,1,306,0,0,306,0
140,9,333,12,388,3,4,4,3,10,9,775,0,14,789,0
141,15,279,8,239,6,1,6,3,3,7,567,0,14,581,0
142,4,38,3,275,8,2,16,2,1,2,351,0,2,353,0
143,2,128,10,283,1,0,2,2,2,1,431,0,9,440,0
144,11,272,9,366,6,2,3,4,4,5,682,0,7,689,0
145,8,179,8,509,10,1,13,7,5,8,748,0,18,766,0
146,5,260,11,330,7,2,5,5,6,10,641,0,23,664,0
147,10,268,15,588,13,1,6,2,6,5,914,0,10,924,0
148,15,262,17,330,8,3,6,12,7,19,679,0,13,692,0
149,11,405,9,425,2,0,7,10,4,7,880,0,21,901,0
150,11,191,3,313,3,1,10,3,1,5,541,0,14,555,0
151,5,145,1,281,2,0,5,2,0,3,444,0,7,451,0
152,11,301,7,267,7,0,2,1,4,4,604,0,10,614,0
153,8,182,3,341,4,1,4,3,1,4,551,0,22,573,0
154,7,273,13,305,6,2,4,3,5,5,623,0,16,639,0
155,9,266,9,129,2,2,5,0,3,3,428,0,14,442,0
156,22,382,12,482,15,5,28,4,1,6,957,0,17,974,0
157,1,86,1,143,2,1,0,0,4,2,240,0,4,244,0
158,11,238,9,279,6,2,4,5,4,5,563,0,11,574,0
159,8,256,5,153,2,0,3,1,2,2,432,0,8,440,0
160,22,300,18,364,6,3,8,4,5,1,731,0,12,743,0
161,9,347,10,306,6,2,1,9,4,12,706,0,20,726,0
162,6,288,10,373,6,1,13,6,4,4,711,0,6,717,0
163,1,87,8,449,13,4,74,6,1,7,650,0,16,666,0
164,2,122,13,520,14,1,53,4,4,15,748,0,15,763,0
165,6,81,7,773,16,1,170,7,8,6,1075,0,21,1096,0
166,4,142,3,207,2,0,47,0,1,5,411,0,6,417,0
167,3,134,2,201,4,2,3,1,2,6,358,0,14,372,0
168,2,40,3,437,5,0,13,4,1,3,508,0,10,518,0
169,9,98,2,451,16,3,59,6,2,6,652,0,15,667,0
170,4,85,5,322,7,1,52,0,1,1,478,0,6,484,0
171,5,252,16,396,6,2,60,3,1,8,749,0,16,765,0
172,12,156,6,288,14,3,9,4,5,6,503,0,11,514,0
173,7,339,7,195,3,0,7,0,1,6,565,0,11,576,0
174,10,153,5,398,5,1,23,7,2,6,610,0,10,620,0
175,3,81,4,350,11,3,71,4,3,6,536,0,6,542,0
176,6,218,8,453,21,3,19,5,5,9,747,0,35,782,0
177,8,211,14,468,15,4,16,3,9,7,755,0,25,780,0
178,3,109,9,214,5,4,52,2,6,5,409,0,6,415,0
179,4,151,13,234,7,5,127,2,3,3,549,0,15,564,0
180,6,274,9,404,17,1,22,3,4,9,749,0,11,760,0
181,4,168,12,534,14,3,51,3,7,5,801,0,15,816,0
182,7,71,7,453,6,2,72,5,0,3,626,0,12,638,0
183,5,122,12,525,14,2,13,10,6,7,716,0,22,738,0
184,6,49,11,353,4,1,4,1,9,7,445,0,12,457,0
185,5,53,6,458,3,0,4,3,5,2,539,0,3,542,0
186,9,145,8,364,10,5,2,4,1,8,556,0,15,571,0
187,7,83,3,536,4,1,6,3,7,7,657,0,12,669,0
188,0,30,2,344,4,1,24,0,3,3,411,0,6,417,0
189,4,102,12,555,7,1,0,1,1,6,689,0,11,700,0
190,6,83,9,616,13,1,2,6,7,8,751,0,14,765,0
191,5,198,17,742,13,3,9,12,14,6,1019,0,16,1035,0
192,9,311,12,757,15,1,5,6,3,2,1121,0,4,1125,0
193,8,122,13,860,9,1,1,5,13,3,1035,0,10,1045,0
194,13,275,14,553,8,1,4,5,8,8,889,0,33,922,0
195,2,65,2,396,16,2,3,2,1,6,495,0,11,506,0
196,3,154,5,655,15,4,11,3,7,6,863,0,12,875,0
197,6,71,10,606,13,4,9,8,2,17,746,0,24,770,0
198,2,116,9,449,7,3,18,1,4,3,612,0,12,624,0
199,5,63,8,300,3,3,9,2,4,7,404,0,15,419,0
200,11,234,8,393,8,4,10,6,2,4,680,0,7,687,0
201,11,138,8,801,10,0,8,4,6,11,997,0,16,1013,0
202,6,271,12,384,3,3,24,6,8,9,726,0,23,749,0
203,7,295,5,184,7,2,26,4,4,13,547,0,19,566,0
204,7,129,10,457,13,2,7,4,2,5,636,0,11,647,0
205,3,111,9,325,7,1,2,2,2,2,464,0,8,472,0
206,6,159,12,512,16,3,4,1,5,7,725,0,13,738,0
207,6,228,6,285,3,0,4,1,4,1,538,0,13,551,0
208,0,10,4,357,2,0,0,2,0,0,375,0,1,376,0
209,9,198,12,599,15,4,17,11,4,10,879,0,40,919,0
210,13,139,13,670,25,2,4,10,9,13,898,0,34,932,0
211,13,150,17,629,10,4,6,7,1,8,845,0,23,868,0
212,15,92,11,565,16,3,3,3,3,10,721,0,6,727,0
213,7,292,5,468,8,0,9,2,5,3,799,0,12,811,0
214,4,145,5,318,8,0,7,2,1,5,495,0,10,505,0
215,14,232,17,547,13,4,4,10,5,11,857,0,47,904,0
216,6,234,5,278,4,0,1,4,3,7,542,0,9,551,0
217,11,149,9,541,12,3,17,5,5,11,763,0,31,794,0
218,7,248,12,365,8,3,14,5,2,1,665,0,6,671,0
219,9,201,7,421,7,4,12,0,2,4,667,0,16,683,0
220,1,125,1,255,3,2,1,3,5,4,400,0,9,409,0
221,2,96,5,174,3,0,12,1,2,0,295,0,3,298,0
222,4,164,5,247,12,0,5,4,2,2,445,0,11,456,0
223,13,458,10,369,8,2,27,9,7,11,914,0,23,937,0
224,4,24,5,128,7,2,257,3,2,8,440,0,14,454,0
225,12,246,14,475,18,12,54,6,2,4,843,0,19,862,0
226,8,265,7,527,24,9,46,10,12,13,921,0,34,955,0
227,8,197,8,541,19,3,28,8,4,9,825,0,6,831,0
228,4,211,12,413,17,7,164,9,3,5,845,0,13,858,0
229,2,135,9,301,10,1,4,6,3,4,475,0,15,490,0
