polling station,Giri  Ramchandra  Vaijnath,Chauhan  Prabhatsinh  Pratapsinh,Ramsinh  Parmar,Piyushkumar  Dilipbhai  Parmar ,Shaikh  Kalim  Abdul  Latif,Shaikh  Majitmiya  Jivamiya,Gora  Shoeb  Mohmadh anif,S.N.  Chavada  (Chavada  Vakil),Chavada  Harishchandr asinh  Prabhatsinh,Patel  Pankajbhai  Ravjibhai,Mansuri  Mukhatyar  Mohammad   (Panter  M.Lala),Vankar  Manilal  Bhanabhai,Total of  Valid  Votes ,No of  rejected  Votes ,Votes for  'NOTA'  Option,Total  Votes,No of  tender  Votes 
39,8,310,39,3,0,0,1,2,3,3,7,6,382,0,22,404,0
40,9,248,68,2,0,0,0,2,2,6,7,5,349,0,17,366,0
41,10,258,119,4,2,0,2,3,5,3,18,9,433,0,10,443,0
42,5,317,79,1,0,0,0,0,0,1,4,7,414,0,4,418,0
43,11,200,64,6,1,0,2,6,1,3,4,5,303,0,23,326,0
44,7,169,74,2,1,0,0,1,3,2,5,9,273,0,8,281,0
45,2,300,103,1,0,1,1,1,2,3,4,5,423,0,13,436,0
46,7,200,47,1,1,1,1,0,2,5,4,3,272,0,5,277,0
47,2,253,41,4,0,0,0,0,0,0,3,2,305,0,5,310,0
48,4,145,130,3,1,0,1,2,7,3,3,3,302,0,14,316,0
49,10,196,237,3,1,2,2,2,3,5,1,0,462,0,12,474,0
50,3,200,126,4,0,0,0,1,2,7,1,2,346,0,8,354,0
51,6,177,122,1,0,0,1,1,0,3,5,5,321,0,12,333,0
52,4,314,74,3,1,0,0,0,1,4,3,3,407,0,2,409,0
53,4,284,20,0,0,0,0,0,1,1,3,2,315,0,3,318,0
54,5,369,89,1,1,0,0,1,3,5,12,13,499,0,28,527,0
55,11,367,58,1,1,2,2,1,1,0,12,8,464,0,14,478,0
56,3,349,134,0,1,0,1,2,1,4,1,5,501,0,7,508,0
57,4,277,67,3,1,1,2,0,1,5,1,12,374,0,15,389,0
58,10,380,82,0,0,0,0,2,1,12,10,6,503,0,18,521,0
59,11,183,184,4,1,0,2,2,2,7,6,6,408,0,13,421,0
60,10,124,180,1,1,0,0,0,4,4,15,5,344,0,32,376,0
61,17,192,165,1,2,0,0,1,1,2,4,1,386,0,8,394,0
62,5,79,19,3,0,0,0,2,1,0,2,2,113,0,7,120,0
63,0,28,584,3,1,0,2,2,1,1,2,1,625,0,1,626,0
64,3,183,70,2,0,0,0,0,3,1,3,1,266,0,5,271,0
65,2,249,38,1,0,0,0,1,0,0,5,3,299,0,4,303,0
66,1,174,43,1,0,0,0,0,0,1,4,1,225,0,2,227,0
67,7,330,64,4,0,1,0,1,1,2,5,5,420,0,6,426,0
68,3,181,68,3,0,0,0,0,3,5,4,9,276,0,2,278,0
69,7,306,76,3,1,0,0,1,0,1,1,1,397,0,4,401,0
70,2,272,74,2,1,3,2,1,3,0,2,2,364,0,2,366,0
71,3,117,164,6,0,1,0,3,1,2,9,3,309,0,4,313,0
72,6,181,58,3,1,0,1,0,1,4,9,8,272,0,11,283,0
73,4,96,12,2,0,0,0,0,0,1,1,1,117,0,5,122,0
74,3,177,33,0,0,0,0,0,0,0,3,1,217,0,2,219,0
75,2,210,26,1,0,1,0,1,0,0,3,1,245,0,3,248,0
76,2,121,121,0,0,0,0,2,1,1,4,5,257,0,2,259,0
77,3,212,175,1,0,0,0,0,3,2,2,6,404,0,7,411,0
78,6,185,89,1,0,0,1,0,2,3,7,5,299,0,6,305,0
79,0,86,18,1,1,0,0,0,0,0,0,4,110,0,0,110,0
80,1,167,87,1,0,0,0,1,1,3,0,4,265,0,5,270,0
81,2,212,91,1,0,0,0,1,4,0,2,3,316,0,4,320,0
82,3,237,44,2,1,0,2,0,0,1,2,4,296,0,4,300,0
83,3,206,198,2,1,0,0,0,2,4,6,3,425,0,8,433,0
84,0,223,155,3,1,0,0,4,1,2,8,5,402,0,8,410,0
85,5,202,90,1,1,0,0,2,2,5,2,2,312,0,12,324,0
86,16,476,147,3,3,3,2,5,4,4,12,7,682,0,15,697,0
87,4,233,31,5,1,0,2,1,1,5,3,3,289,0,3,292,0
88,7,286,82,6,3,0,1,2,2,0,5,3,397,0,8,405,0
89,8,170,160,8,1,0,2,1,0,1,3,1,355,0,6,361,0
90,8,296,97,8,0,1,2,1,1,2,4,1,421,0,14,435,0
91,5,237,86,2,1,0,2,1,1,3,3,2,343,0,8,351,0
92,8,189,64,0,0,2,0,2,1,1,6,3,276,0,9,285,0
93,3,250,159,7,3,2,0,3,3,1,9,3,443,0,7,450,0
94,4,346,138,2,2,2,0,2,1,3,2,12,514,0,15,529,0
95,3,125,33,0,0,0,1,0,2,3,0,2,169,0,11,180,0
96,4,166,36,2,1,1,0,0,2,0,8,6,226,0,7,233,0
97,5,210,52,1,0,1,0,1,2,1,4,3,280,0,6,286,0
98,1,192,148,4,0,1,0,0,0,1,5,3,355,0,7,362,0
99,15,151,157,5,0,0,0,0,1,2,0,4,335,0,5,340,0
100,0,115,81,1,0,0,0,0,0,1,3,1,202,0,1,203,0
101,8,426,149,3,3,1,2,4,4,6,19,15,640,0,30,670,0
102,2,190,170,4,1,0,0,0,0,0,6,2,375,0,9,384,0
103,2,234,121,1,0,0,0,1,0,2,4,5,370,0,2,372,0
104,6,258,127,1,0,0,2,0,2,7,5,2,410,0,6,416,0
105,6,167,128,4,1,0,1,4,1,5,4,3,324,0,14,338,0
106,3,103,220,7,0,1,1,0,1,1,3,2,342,0,6,348,0
107,0,86,141,7,0,0,0,0,0,3,3,2,242,0,9,251,0
108,2,113,97,4,0,0,1,1,0,0,3,3,224,0,5,229,0
109,2,201,84,2,1,1,1,0,2,2,1,10,307,0,12,319,0
110,5,195,161,2,0,0,1,1,4,0,4,3,376,0,11,387,0
111,10,120,224,3,1,1,0,2,4,5,2,2,374,0,6,380,0
112,12,414,266,4,2,1,0,4,2,4,9,6,724,0,10,734,0
113,8,436,89,3,3,2,2,0,3,2,9,2,559,0,10,569,0
114,4,186,116,3,0,0,0,0,5,1,3,6,324,0,6,330,0
115,3,182,86,1,0,0,0,0,1,2,3,2,280,0,5,285,0
116,3,190,57,2,1,0,0,1,0,1,2,0,257,0,3,260,0
117,2,68,110,4,0,0,1,0,1,1,3,4,194,0,3,197,0
118,5,140,238,3,1,0,0,0,1,1,4,4,397,0,4,401,0
119,2,409,68,1,0,0,0,0,0,1,1,1,483,0,4,487,0
120,17,352,254,7,1,3,1,0,1,1,4,2,643,0,13,656,0
121,4,168,156,3,0,0,0,0,1,2,5,3,342,0,4,346,0
122,2,114,134,4,0,0,0,1,3,1,4,2,265,0,6,271,0
123,4,357,155,4,1,0,2,0,3,1,5,3,535,0,4,539,0
124,3,153,166,3,1,1,3,2,3,4,3,3,345,0,11,356,0
125,8,233,317,4,0,2,2,1,2,1,9,5,584,0,17,601,0
126,11,257,185,5,2,1,1,2,2,8,9,8,491,0,21,512,0
127,0,170,121,4,1,0,1,2,1,3,6,7,316,0,9,325,0
128,4,407,141,1,0,0,1,2,0,1,4,4,565,0,7,572,0
129,1,196,99,3,1,0,1,5,0,3,5,3,317,0,5,322,0
130,0,106,40,0,0,0,0,0,0,1,0,0,147,0,2,149,0
131,4,206,200,7,1,0,1,4,6,6,13,8,456,0,11,467,0
132,5,219,163,5,0,0,0,0,2,3,4,1,402,0,8,410,0
133,2,170,56,1,0,0,2,1,0,12,8,4,256,0,10,266,0
134,6,220,141,1,1,0,0,4,4,2,5,6,390,0,5,395,0
135,2,164,130,11,0,1,2,1,4,1,1,6,323,0,6,329,0
136,2,326,163,1,0,0,0,2,2,3,7,3,509,0,13,522,0
137,5,214,247,3,0,1,0,3,2,5,6,4,490,0,12,502,0
138,3,202,140,3,2,1,1,4,2,2,0,5,365,0,6,371,0
139,2,89,110,0,0,1,0,2,3,1,2,7,217,0,3,220,0
140,2,241,105,1,0,0,1,2,0,4,7,2,365,0,5,370,0
141,3,196,127,3,0,1,0,1,1,2,1,5,340,0,1,341,0
142,17,268,302,5,2,2,1,1,4,3,7,6,618,0,12,630,0
143,6,109,86,4,0,0,1,0,5,1,7,10,229,0,14,243,0
144,3,129,141,4,0,1,0,4,2,1,4,4,293,0,6,299,0
145,2,253,56,1,0,0,1,0,0,2,0,1,316,0,4,320,0
146,0,106,155,2,4,1,2,0,0,2,2,4,278,0,3,281,0
147,0,75,104,1,1,1,0,0,0,3,4,0,189,0,3,192,0
148,4,246,220,1,1,0,1,2,0,2,11,5,493,0,8,501,0
149,5,226,101,3,3,1,0,1,1,0,6,4,351,0,6,357,0
150,4,222,296,3,2,0,0,1,4,3,4,7,546,0,7,553,0
