No. of Polling Station,,,,,,,,,,,,,,,,valid,No. of Rejected Votes (Test Votes),Votes for NOTA option,tendered,total
,PATEL HIMMATSINGH PRAHLADSIGH (INDIAN NATIONAL CONGRESS),PARESH RAVAL (BHARTIYA JANATA PARTY),ROHIT RAJUBHAI VIRJIBHAI URF MANOJ SONTARIYA (BAHUJAN SAMAJ PARTY),ADITYA RAVAL (VISHWA HINDUSTANI SANGTHAN),KHALIFA SAMSUDDIN NASIRUDDIN (JUGNU) (AKHIL BHARTIY CONGRESS DAL) (AMBEDKAR),DATT AKASH ADVOCATE (JANATA DAL (UNITED),DINESH VAGHELA (AAM AADMI PARTY ),NARANBHAI T SENGAL (Dr. N.T.SENGAL) (BAHUJAN SURAKSHA DAL),BUDDHPRIYA JASHVANT SOMABHAI (PRAJATANTRA AADHAR PARTY),VIJAYKUMAR M VADHER (HINDUSTAN NIRMAN DAL),ATIKBHAI MEV (INDEPENDENT),ANIL KUMAR SHARMA (INDEPENDENT),DASHRATHBHAI M DEVDA (INDEPENDENT),ROSHAN PRIYVADAN SHAH (INDEPENDENT),NOTA,,,,,
17,260,436,10,0,0,0,19,2,1,1,3,1,4,6,14,757,0,14,0,771
18,91,713,3,1,1,1,8,0,0,1,1,2,2,4,11,839,0,11,0,850
19,237,598,9,0,0,1,7,1,0,1,1,3,3,8,11,880,0,11,0,891
20,134,372,12,0,3,0,4,1,5,0,0,0,3,6,15,555,0,15,0,570
21,32,807,1,0,0,0,4,0,0,0,0,1,0,2,10,857,0,10,0,867
22,89,603,2,2,0,2,2,0,1,0,0,0,2,1,5,709,0,5,0,714
23,38,759,3,0,0,0,6,0,0,0,0,0,0,2,4,812,0,4,0,816
24,18,444,0,0,0,0,6,0,0,0,0,0,0,1,1,470,0,1,0,471
25,39,363,1,1,0,1,4,0,1,1,1,2,2,2,4,422,0,4,0,426
26,29,478,2,0,1,0,5,1,0,1,1,0,0,2,4,524,0,4,0,528
27,17,482,4,1,0,0,3,0,1,0,0,0,0,0,4,512,0,4,0,516
28,83,482,5,3,1,0,3,0,2,0,0,2,4,6,12,603,0,12,0,615
29,132,535,3,1,0,0,2,0,0,0,0,1,0,4,25,703,0,25,0,728
30,97,522,8,1,2,0,3,0,2,3,1,0,6,5,13,663,0,13,0,676
31,326,485,6,1,1,1,16,0,0,0,0,1,0,0,3,840,0,3,0,843
32,203,558,11,1,1,0,3,0,0,2,1,1,3,4,9,797,0,9,0,806
33,250,369,0,0,0,0,13,0,1,0,0,0,1,1,10,645,0,10,0,655
34,204,499,18,2,1,0,7,0,0,2,2,0,0,2,12,749,0,12,0,761
35,143,337,2,0,1,1,5,1,0,1,0,2,0,1,5,499,0,5,0,504
36,323,344,0,2,3,0,8,1,1,1,1,1,3,10,10,708,0,10,0,718
37,300,241,16,0,0,0,7,0,0,1,1,0,3,1,10,580,0,10,0,590
38,160,300,4,2,1,0,5,0,1,0,0,0,2,0,5,480,0,5,0,485
39,560,186,2,1,0,1,34,0,0,0,1,1,2,2,8,798,0,8,0,806
40,526,196,4,1,1,1,20,0,0,0,0,1,1,1,8,760,0,8,0,768
41,363,362,5,1,2,2,25,1,2,0,3,0,2,2,11,781,0,11,0,792
42,224,140,2,0,1,0,4,0,0,0,0,1,1,2,2,377,0,2,0,379
43,284,367,10,0,1,1,12,2,1,0,1,0,1,3,11,694,0,11,0,705
44,173,443,8,2,1,0,9,1,0,1,0,2,0,1,10,651,0,10,0,661
45,667,93,11,1,0,1,25,0,0,0,2,0,1,1,15,817,0,15,0,832
46,284,476,12,1,0,0,9,0,0,1,1,1,3,1,10,799,0,10,0,809
47,671,189,2,0,0,0,21,0,1,1,0,1,0,0,10,896,0,10,0,906
48,455,252,4,2,0,1,6,0,2,1,3,2,6,1,6,741,0,6,0,747
49,361,311,4,1,4,0,8,0,1,0,2,1,2,1,12,708,0,12,0,720
50,154,397,2,1,0,0,3,0,2,0,2,1,2,4,9,577,0,9,0,586
51,339,477,3,1,1,2,11,1,0,0,0,2,2,8,19,866,0,19,0,885
52,82,594,4,2,0,1,13,0,0,0,0,0,0,2,4,702,0,4,0,706
53,93,546,4,0,0,0,10,2,3,0,0,1,0,1,5,665,0,5,0,670
54,345,140,3,1,0,0,11,0,2,0,0,0,1,1,18,522,0,18,0,540
55,55,372,1,1,0,0,6,0,1,0,0,1,1,0,10,448,0,10,0,458
56,144,497,3,1,0,1,6,0,1,0,0,0,1,0,5,659,0,5,0,664
57,144,590,0,0,2,0,8,0,0,0,0,1,0,8,6,759,0,6,0,765
58,124,555,2,1,0,0,8,0,0,0,0,0,0,0,5,695,0,5,0,700
59,163,123,0,0,0,0,1,0,0,1,0,0,0,1,1,290,0,1,0,291
60,419,308,8,1,1,1,16,1,0,0,1,0,1,1,7,765,0,7,0,772
61,132,496,6,0,0,1,6,0,0,3,1,0,1,1,5,652,0,5,0,657
62,215,551,22,2,2,2,5,0,1,3,0,4,6,8,18,839,0,18,0,857
63,325,460,10,2,0,1,5,2,3,0,1,3,3,8,13,836,0,13,0,849
64,203,444,4,0,1,1,1,0,3,1,0,0,4,3,13,678,0,13,0,691
65,568,176,6,2,0,1,31,0,5,1,1,0,1,1,19,812,0,19,0,831
66,360,412,13,1,0,1,10,0,3,0,1,2,3,7,20,833,0,20,0,853
67,345,384,5,2,0,0,19,1,1,1,1,1,2,8,15,785,0,15,0,800
68,415,98,6,0,0,0,12,1,2,0,0,1,1,1,7,544,0,7,0,551
