Sr. No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,Votes for 'NOTA' Option,Total,No. of Tendered votes
,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
225,6,477,233,6,4,5,3,3,4,3,5,3,5,11,7,19,5,7,6,812,0,5,817,0
226,0,269,269,4,0,1,1,0,0,1,2,1,2,8,10,13,13,3,3,600,0,6,606,0
227,11,149,287,1,1,1,1,0,1,0,2,4,1,7,4,7,0,2,1,480,0,2,482,0
228,4,364,215,0,0,0,2,1,2,0,1,5,3,5,26,6,2,4,2,642,0,2,644,0
,982,86834,41228,512,157,109,1867,141,210,150,161,356,283,559,903,1204,416,687,529,137288,0,1658,138946,0
,982,86834,41228,512,157,109,1867,141,210,150,161,356,283,559,903,1204,416,687,529,137288,0,1658,138946,0
229,12,575,248,4,3,0,3,1,0,1,0,2,0,6,13,18,0,12,8,906,0,10,916,0
230,3,431,199,0,0,0,10,0,2,1,0,0,1,1,2,3,1,3,0,657,0,8,665,0
231,4,405,179,1,0,1,2,0,0,1,0,2,1,0,4,5,3,15,5,628,0,7,635,0
232,6,369,232,6,0,2,3,0,1,1,0,2,2,6,6,12,5,7,7,667,0,11,678,0
233,8,426,159,0,0,1,6,0,2,0,0,1,0,2,3,8,3,4,4,627,0,4,631,0
234,5,408,325,3,1,0,4,0,1,2,1,3,4,5,7,9,3,5,6,792,0,9,801,0
235,6,339,154,5,0,0,3,1,1,0,1,1,0,0,2,5,1,3,3,525,0,1,526,0
236,4,510,131,1,0,1,13,1,0,0,0,1,0,0,3,3,5,9,3,685,0,10,695,0
237,6,370,152,4,0,0,1,0,0,0,0,0,0,4,2,2,0,4,3,548,0,6,554,0
238,9,359,196,3,0,1,1,0,0,0,0,0,2,10,4,1,2,15,7,610,0,6,616,0
239,3,588,212,1,0,1,2,1,2,1,2,3,1,3,5,4,0,2,0,831,0,7,838,0
240,3,437,108,1,1,0,8,0,0,0,0,1,0,1,1,2,3,2,1,569,0,5,574,0
,1051,92051,43523,541,162,116,1923,145,219,157,165,372,294,597,955,1276,442,768,576,145333,0,1742,147075,0
,1051,92051,43523,541,162,116,1923,145,219,157,165,372,294,597,955,1276,442,768,576,145333,0,1742,147075,0
241,4,424,232,3,0,1,5,0,1,0,0,1,2,7,7,2,0,8,8,705,0,4,709,0
242,2,301,141,2,2,0,0,0,1,0,0,0,1,3,2,3,2,8,3,471,0,6,477,0
243,4,299,247,1,0,1,3,1,0,0,0,0,2,1,3,7,1,3,7,580,0,7,587,0
244,3,403,142,1,0,0,0,1,0,0,0,0,1,0,2,1,2,3,4,563,0,7,570,0
245,6,335,348,2,0,0,5,0,3,2,1,1,0,1,1,3,2,3,2,715,0,8,723,0
246,11,343,180,2,1,0,1,2,0,0,1,0,2,4,11,6,3,4,0,571,0,3,574,0
247,8,652,142,2,2,2,10,0,2,0,0,1,1,2,5,5,4,2,3,843,0,9,852,0
248,10,523,195,0,3,1,1,0,1,0,1,0,2,4,2,4,0,2,0,749,0,2,751,0
