,Serial No. & Name of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,Total Valid Votes,Rejected Votes,NOTA,Total Votes,No. of Tendered Votes
,,Jadeja Kandhalbhai Saramanbhai,Radadiya Vithalbhai Hansrajbhai,Sadiya Vrajlal Pababhai,Irfanshah Habibshah Suhravardi,Mansukh Sundarji Dhokai,Aghera Dhirajlal Bhurabhai,Unadakat Prakash Vallabhadas,Khunti Bharatbhai Maldebhai,Khokhani Lalitaben Mansukhbhai,Joshi Harish Liladhar,Tukadia G. R.,Patel Butani Rajeshbhai Maganbhai,Rathod Chandulal Mohanbhai,Vakil Vinzuda Ranjit Naranbhai,,,,,
,224,160,245,3,1,2,1,1,3,2,1,4,8,4,5,440,0,27,467,0
,225,195,157,27,3,3,2,2,2,1,0,1,3,2,4,402,0,8,410,0
,226,106,199,4,2,3,1,1,2,4,1,1,0,1,1,326,0,10,336,0
,227,276,243,7,0,2,0,3,2,0,1,0,1,3,2,540,0,4,544,0
,228,70,289,4,4,1,0,1,0,1,0,2,1,1,0,374,0,10,384,0
,229,247,189,14,3,7,0,1,2,1,1,2,2,2,2,473,0,8,481,0
,230,39,279,0,0,0,0,0,0,1,0,0,1,0,3,323,0,5,328,0
,231,77,363,3,2,8,0,0,1,0,0,1,1,3,2,461,0,8,469,0
,232,96,253,11,3,0,3,0,3,0,1,1,0,3,1,375,0,2,377,0
,233,95,332,10,4,7,1,1,0,2,0,1,3,2,5,463,0,10,473,0
,234,113,466,17,3,4,1,1,2,0,1,4,1,2,3,618,0,6,624,0
,235,93,225,26,3,4,2,0,0,0,0,0,1,2,1,357,0,11,368,0
,236,34,354,3,2,3,1,0,0,0,0,0,0,0,1,398,0,2,400,0
,237,114,269,9,2,4,0,1,1,3,0,2,1,4,5,415,0,10,425,0
,238,240,84,4,4,0,1,0,1,1,1,0,1,1,0,338,0,3,341,0
,239,83,306,2,3,1,0,0,0,0,0,3,1,1,0,400,0,9,409,0
,240,113,311,7,2,13,1,1,1,0,0,1,2,1,3,456,0,12,468,0
,241,133,225,3,2,1,1,0,2,2,0,1,6,1,1,378,0,3,381,0
,242,66,568,6,1,2,0,0,1,0,1,5,0,2,4,656,0,10,666,0
,243,68,299,7,5,2,1,0,0,1,3,2,0,2,2,392,0,3,395,0
,244,77,392,2,1,1,1,0,2,2,3,0,2,1,1,485,0,9,494,0
,245,115,251,21,3,4,0,2,4,0,0,0,2,1,2,405,0,10,415,0
,246,177,263,29,4,2,2,3,2,0,1,1,5,4,3,496,0,16,512,0
,247,61,459,3,2,4,0,2,0,0,0,0,0,0,0,531,0,4,535,0
,248,43,462,6,2,2,0,0,0,0,0,1,0,2,0,518,0,7,525,0
,249,34,553,8,1,1,0,0,1,1,0,1,0,2,1,603,0,5,608,0
,250,49,496,0,1,1,0,1,0,1,1,1,0,1,5,557,0,7,564,0
,251,342,304,10,4,1,1,1,1,2,1,0,0,1,5,673,0,23,696,0
,252,94,275,14,3,5,0,1,2,1,1,0,1,2,3,402,0,8,410,0
,253,45,449,1,1,3,1,1,0,0,0,1,3,0,2,507,0,7,514,0
,254,161,281,13,5,9,1,5,0,0,0,1,1,1,3,481,0,10,491,0
