polling station,,,,,,,,,,,,,,,,,Total  of  Valid  Votes,No.of  Rejecte d Votes,NOTA,Total,No. of  tendere d votes,
polling station,GITA  CHETAN  PAUNDA  (ADVOCA TE  GITABA  JADEJA),DR.BHARA TIBEN  DHIRUBH AI SHIYAL,RATHOD  PRAVINBH AI  JINABHAI,DR.KANU BHAI.V.KA LSARIYA,KAGADA  RAMESHB HAI  PUNABHA I,KHADRAN I  ASIMBHAI   PIRBHAI,GOHIL  PRAVINSI NH  DHIRUBH A,GOHEL  BHARATB HAI  BHIMABH AI,JAGDISHB HAI  AMARAB HAI  VEGAD,BHAVES  GHANSHY AMBHAI  RAJYAGU RU,MEHTA  YASHVAN TRAY  ODHAVJIB HAI,MARU  MANHAR BHAI  VALJIBHAI,RASIDKHA N  HASANKH AN  PATHAN,RATHOD  PRAVINSI NH  CHANDRA SINH,VAGHELA  NARENDR ABHAI  SAVAJIBH AI,VEGAD  NATHABH AI(PRAGN ACHAKHS U  CANDIDA TE),,,,,,
89,6,383,78,27,3,0,1,0,2,1,1,0,1,3,4,1,511,0,6,517,0,
90,10,410,39,45,3,1,2,0,2,1,1,0,3,3,7,9,536,0,7,543,0,
91,6,305,45,7,2,0,2,0,0,1,0,2,3,5,6,10,394,0,13,407,0,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,*
92,8,399,36,22,7,0,1,1,2,0,4,2,5,11,14,12,524,0,4,528,0,
93,8,523,90,23,1,1,1,0,1,1,1,1,1,9,3,10,674,0,0,674,0,
94,11,339,63,65,1,2,1,2,1,3,1,1,5,3,4,7,509,0,3,512,0,
95,6,323,79,116,2,1,1,0,1,4,4,5,3,6,6,11,568,0,2,570,0,
96,7,247,51,51,3,0,1,1,0,2,1,1,6,2,6,6,385,0,4,389,0,
97,7,169,30,122,2,2,4,5,4,1,1,4,5,8,2,8,374,0,9,383,0,
98,5,126,32,50,4,1,2,4,0,5,1,1,9,1,2,9,252,0,1,253,0,
99,2,36,4,49,1,1,2,1,1,0,0,0,1,3,1,0,102,0,1,103,0,
100,11,355,59,68,3,3,2,3,3,1,0,0,2,8,6,8,532,0,1,533,0,
101,7,326,45,52,0,1,1,3,1,0,4,3,1,3,4,6,457,0,0,457,0,
102,0,113,31,130,3,0,1,2,2,3,1,2,3,3,1,2,297,0,1,298,0,
