polling station,Giri  Ramchandra  Vaijnath,Chauhan  Prabhatsinh  Pratapsinh,Ramsinh  Parmar,Piyushkumar  Dilipbhai  Parmar ,Shaikh  Kalim  Abdul  Latif,Shaikh  Majitmiya  Jivamiya,Gora  Shoeb  Mohmadh anif,S.N.  Chavada  (Chavada  Vakil),Chavada  Harishchandr asinh  Prabhatsinh,Patel  Pankajbhai  Ravjibhai,Mansuri  Mukhatyar  Mohammad   (Panter  M.Lala),Vankar  Manilal  Bhanabhai,Total of  Valid  Votes ,No of  rejected  Votes ,Votes for  'NOTA'  Option,Total  Votes,No of  tender  Votes 
47,1,82,524,4,0,0,0,0,2,2,8,1,624,0,3,627,0
48,3,282,247,4,1,2,0,0,0,0,3,0,542,0,5,547,0
49,2,277,232,2,0,1,0,3,1,0,9,3,530,0,5,535,0
50,6,204,340,4,0,1,0,0,1,1,2,7,566,0,5,571,0
51,6,275,359,7,1,1,1,1,3,6,13,5,678,0,7,685,0
52,10,98,193,2,1,0,2,0,1,2,4,5,318,0,12,330,0
53,4,83,265,1,0,0,0,0,1,0,3,3,360,0,10,370,0
54,13,178,347,6,0,2,1,0,0,5,7,12,571,0,25,596,0
55,3,224,154,6,1,0,0,1,0,3,10,6,408,0,4,412,0
56,7,259,116,3,1,0,0,1,3,2,2,4,398,0,11,409,0
57,7,298,179,3,0,1,0,1,1,0,2,7,499,0,6,505,0
58,1,129,41,1,0,0,0,1,2,1,2,2,180,0,1,181,0
59,10,175,309,1,0,0,1,2,3,6,16,11,534,0,27,561,0
60,7,159,144,3,1,0,1,0,1,5,11,11,343,0,9,352,0
61,7,87,138,3,0,0,2,1,0,1,6,3,248,0,13,261,0
62,14,163,162,0,1,1,1,0,0,3,5,2,352,0,4,356,0
63,8,188,103,3,0,0,1,0,1,2,2,8,316,0,5,321,0
64,7,366,40,0,1,0,2,0,1,0,2,0,419,0,4,423,0
65,7,193,165,0,0,2,0,0,1,2,2,4,376,0,17,393,0
66,4,211,294,6,0,0,1,0,1,2,10,9,538,0,6,544,0
67,11,281,190,4,1,0,0,1,1,4,10,4,507,0,20,527,0
68,4,243,122,2,0,0,1,0,3,2,8,1,386,0,4,390,0
69,5,249,141,4,1,0,2,2,2,3,12,7,428,0,5,433,0
70,4,502,127,4,1,0,1,1,1,1,5,4,651,0,9,660,0
71,5,80,123,1,0,0,1,0,5,1,8,4,228,0,7,235,0
72,9,91,141,2,1,0,1,0,0,1,3,0,249,0,7,256,0
73,12,133,154,2,1,1,2,1,4,5,2,6,323,0,9,332,0
74,0,97,298,8,0,1,0,1,3,0,5,3,416,0,14,430,0
75,7,130,147,9,1,0,1,1,2,0,6,6,310,0,20,330,0
76,12,185,261,4,2,0,3,4,5,4,6,15,501,0,20,521,0
77,4,165,190,2,1,2,0,2,1,2,3,6,378,0,9,387,0
78,16,307,173,2,3,1,0,2,1,2,6,3,516,0,27,543,0
79,5,87,204,1,0,0,0,0,0,2,1,4,304,0,10,314,0
80,1,128,168,1,0,0,0,1,0,1,2,1,303,0,5,308,0
81,9,181,257,3,0,0,0,1,4,3,7,3,468,0,9,477,0
82,9,171,163,2,4,0,1,2,0,4,2,1,359,0,11,370,0
83,8,54,190,3,1,0,2,0,3,3,5,3,272,0,13,285,0
84,7,130,302,3,1,1,0,0,1,1,5,7,458,0,12,470,0
85,7,159,265,1,0,3,0,0,1,1,0,2,439,0,9,448,0
86,4,265,294,6,1,0,0,0,1,0,7,2,580,0,8,588,0
87,5,227,230,2,2,2,0,2,4,7,12,5,498,0,11,509,0
88,3,81,101,1,0,0,1,1,0,3,4,1,196,0,0,196,0
89,2,221,162,1,1,0,0,0,2,3,8,3,403,0,5,408,0
90,7,99,114,0,0,0,1,1,3,0,5,1,231,0,2,233,0
91,0,82,179,2,0,0,0,0,0,0,1,1,265,0,6,271,0
92,4,131,259,4,1,0,0,0,2,1,3,1,406,0,4,410,0
93,8,201,202,3,0,1,0,1,0,5,4,2,427,0,7,434,0
94,4,110,162,2,0,0,2,0,0,3,5,4,292,0,4,296,0
95,13,111,305,8,1,2,1,1,7,2,7,5,463,0,17,480,0
96,3,160,219,3,1,1,0,0,1,1,1,4,394,0,8,402,0
97,18,233,346,7,0,2,0,0,4,7,6,8,631,0,15,646,0
98,4,163,214,0,1,0,1,0,6,5,4,10,408,0,12,420,0
99,5,61,184,2,2,1,0,0,0,3,1,4,263,0,4,267,0
100,7,74,317,2,0,0,0,0,7,3,7,6,423,0,14,437,0
101,3,56,273,2,0,0,0,2,4,1,8,3,352,0,5,357,0
102,6,39,343,6,1,0,2,0,0,1,3,2,403,0,4,407,0
103,6,66,307,1,1,1,1,1,2,0,3,2,391,0,12,403,0
104,7,84,219,5,1,0,0,0,2,2,8,1,329,0,12,341,0
105,9,163,197,2,0,0,0,1,2,1,4,4,383,0,11,394,0
106,8,177,311,6,0,0,1,3,1,4,2,1,514,0,11,525,0
107,15,306,119,0,1,0,0,1,1,2,7,9,461,0,23,484,0
108,5,74,145,7,2,0,0,0,1,5,2,4,245,0,2,247,0
109,5,215,157,3,0,0,0,0,0,0,1,5,386,0,5,391,0
110,16,252,298,7,1,1,0,2,5,4,10,13,609,0,13,622,0
111,7,214,263,1,1,2,0,0,6,2,14,6,516,0,10,526,0
112,8,246,381,12,0,1,1,2,5,2,9,7,674,0,29,703,0
113,9,268,138,5,1,0,0,0,1,4,1,5,432,0,9,441,0
114,3,143,126,4,0,0,0,3,2,1,4,7,293,0,10,303,0
115,6,140,236,2,0,0,0,1,1,3,7,5,401,0,6,407,0
116,3,98,144,0,1,1,0,0,0,1,4,2,254,0,3,257,0
117,10,99,284,6,1,0,1,3,1,1,7,3,416,0,12,428,0
118,2,185,221,5,4,1,0,0,1,2,3,4,428,0,5,433,0
119,2,148,312,7,0,0,2,1,3,3,6,2,486,0,2,488,0
120,2,182,97,2,0,0,1,0,0,7,10,3,304,0,5,309,0
121,6,110,331,1,0,0,0,2,0,2,2,0,454,0,9,463,0
122,4,172,193,3,0,0,1,0,0,0,3,4,380,0,6,386,0
123,10,243,249,3,0,1,2,1,2,0,2,2,515,0,8,523,0
124,5,143,298,5,0,1,0,1,1,2,2,3,461,0,4,465,0
125,1,93,81,1,0,0,0,0,0,1,2,2,181,0,6,187,0
126,21,254,259,12,0,1,2,3,5,4,9,8,578,0,4,582,0
127,11,278,178,3,1,3,1,0,0,1,8,4,488,0,24,512,0
128,20,241,86,4,0,0,1,0,0,1,3,5,361,0,3,364,0
129,6,295,233,4,2,0,1,0,3,2,8,8,562,0,14,576,0
130,5,185,162,2,0,0,1,1,3,3,11,4,377,0,13,390,0
131,8,236,176,5,1,1,0,1,2,6,6,9,451,0,26,477,0
132,7,166,149,0,0,0,0,1,2,5,4,5,339,0,13,352,0
133,8,124,267,5,0,0,2,2,2,3,6,4,423,0,6,429,0
134,7,245,67,2,2,0,1,0,0,1,6,7,338,0,10,348,0
135,7,127,91,4,0,0,0,0,3,3,3,7,245,0,6,251,0
136,3,235,94,4,1,0,0,0,0,1,2,1,341,0,4,345,0
137,2,82,158,1,1,0,0,1,2,3,6,6,262,0,21,283,0
138,4,319,105,3,2,0,0,0,2,4,5,4,448,0,10,458,0
139,3,92,112,1,1,0,0,1,5,2,3,1,221,0,5,226,0
140,4,124,342,3,2,1,1,1,8,6,16,12,520,0,10,530,0
141,10,253,222,3,1,1,0,1,2,1,5,7,506,0,11,517,0
142,9,318,168,8,1,0,2,0,2,3,15,7,533,0,14,547,0
143,5,178,163,2,0,0,0,0,3,2,2,2,357,0,9,366,0
144,8,322,195,2,2,1,0,0,1,3,9,5,548,0,24,572,0
145,4,168,156,1,0,0,0,0,0,3,3,2,337,0,6,343,0
146,6,343,148,3,1,0,1,0,2,3,13,6,526,0,7,533,0
147,9,92,169,5,1,0,0,2,2,2,1,2,285,0,5,290,0
148,4,199,104,2,0,1,0,1,0,4,1,3,319,0,13,332,0
149,12,314,205,3,0,0,0,2,0,1,10,5,552,0,13,565,0
150,5,364,126,2,0,1,1,0,0,2,1,2,504,0,6,510,0
151,11,214,353,8,2,0,1,1,9,5,12,4,620,0,23,643,0
152,10,206,319,3,0,2,0,2,5,5,2,3,557,0,17,574,0
153,6,92,311,3,1,1,0,1,2,1,7,1,426,0,13,439,0
154,3,179,136,2,1,0,0,1,0,1,2,2,327,0,7,334,0
155,4,246,252,4,1,1,0,2,1,1,2,6,520,0,8,528,0
156,7,363,144,2,1,2,2,1,3,5,8,13,551,0,12,563,0
157,3,37,278,1,0,0,0,0,1,2,5,1,328,0,2,330,0
158,2,181,286,5,0,0,0,1,0,1,6,1,483,0,1,484,0
159,4,292,223,4,0,0,0,1,5,4,6,4,543,0,8,551,0
160,6,227,228,2,1,0,1,1,2,1,5,6,480,0,3,483,0
161,2,205,153,3,0,0,0,0,0,1,1,2,367,0,0,367,0
162,5,404,191,7,0,0,0,0,1,1,4,2,615,0,5,620,0
163,8,129,347,2,1,0,0,0,3,1,9,6,506,0,10,516,0
164,2,219,232,4,0,1,1,1,2,3,7,5,477,0,4,481,0
165,3,283,367,1,3,0,1,1,4,1,4,2,670,0,9,679,0
166,3,216,254,4,2,1,0,2,0,1,4,2,489,0,9,498,0
167,3,242,121,5,0,1,0,2,0,1,3,2,380,0,2,382,0
168,10,30,823,10,2,1,2,0,3,3,2,5,891,0,14,905,0
169,6,31,809,6,1,0,1,1,2,1,3,1,862,0,10,872,0
170,22,271,508,5,2,0,0,2,3,0,6,4,823,0,18,841,0
171,10,277,559,8,0,1,0,0,4,1,4,8,872,0,18,890,0
172,1,50,694,3,0,0,0,1,4,4,8,1,766,0,2,768,0
173,9,52,838,13,1,0,1,1,7,4,7,4,937,0,13,950,0
174,2,22,845,5,1,0,1,0,0,3,0,2,881,0,7,888,0
175,1,18,461,9,1,0,0,0,0,0,1,1,492,0,4,496,0
176,5,29,473,2,3,0,1,0,1,0,3,0,517,0,4,521,0
177,4,286,418,4,0,2,1,1,0,2,3,2,723,0,9,732,0
178,2,250,144,2,0,1,0,0,2,2,2,0,405,0,2,407,0
179,1,180,273,6,0,0,2,0,2,0,1,0,465,0,4,469,0
180,0,221,442,7,0,0,0,1,3,1,1,0,676,0,18,694,0
181,9,100,339,2,0,0,1,0,3,2,2,0,458,0,10,468,0
182,12,176,395,5,1,0,0,1,2,2,1,1,596,0,6,602,0
183,12,537,339,5,1,1,0,1,2,2,6,2,908,0,10,918,0
184,1,522,267,2,0,1,0,0,1,0,2,0,796,0,4,800,0
185,7,376,365,5,0,1,0,0,0,2,3,3,762,0,8,770,0
186,1,455,104,5,1,0,1,0,0,0,2,0,569,0,8,577,0
187,9,384,390,6,2,3,2,1,3,3,3,8,814,0,17,831,0
188,0,420,177,7,0,1,0,0,1,0,0,1,607,0,9,616,0
189,7,607,296,8,2,0,0,2,2,0,8,0,932,0,11,943,0
190,3,559,232,9,0,0,1,0,0,0,2,1,807,0,6,813,0
191,5,250,238,1,0,0,0,0,0,1,1,0,496,0,5,501,0
192,2,299,64,4,2,1,2,0,1,1,3,2,381,0,9,390,0
193,9,277,70,4,2,0,0,0,3,1,10,8,384,0,19,403,0
194,2,172,40,4,1,0,0,0,1,3,2,2,227,0,3,230,0
195,2,314,64,2,0,0,0,0,0,1,0,4,387,0,4,391,0
196,6,207,335,3,3,1,2,0,2,3,10,8,580,0,16,596,0
197,4,219,132,3,0,0,0,2,0,1,3,4,368,0,16,384,0
198,6,293,147,3,0,0,0,2,0,5,11,15,482,0,10,492,0
199,6,177,191,4,0,1,1,2,3,3,11,7,406,0,7,413,0
200,6,282,104,2,0,0,0,0,0,2,7,3,406,0,5,411,0
201,11,191,156,3,2,0,0,2,3,7,8,7,390,0,10,400,0
202,7,214,116,2,0,1,1,1,2,5,8,5,362,0,16,378,0
203,5,259,133,0,1,0,0,2,1,3,3,1,408,0,5,413,0
204,10,150,204,4,1,0,1,0,1,2,7,11,391,0,15,406,0
205,4,80,265,4,1,0,0,2,3,7,8,5,379,0,17,396,0
206,6,125,326,5,1,1,1,2,2,2,7,4,482,0,12,494,0
207,11,206,231,2,0,0,0,1,6,3,12,8,480,0,13,493,0
208,7,167,115,2,1,0,2,0,4,1,1,3,303,0,5,308,0
209,4,418,150,0,1,0,0,2,2,1,4,3,585,0,10,595,0
210,12,68,243,0,1,0,0,1,0,4,3,0,332,0,11,343,0
211,5,173,128,1,1,0,2,1,0,2,2,2,317,0,1,318,0
212,5,166,89,0,0,0,0,2,1,5,2,6,276,0,10,286,0
213,11,410,238,4,0,0,0,1,4,6,12,8,694,0,18,712,0
214,2,142,120,3,0,0,0,0,2,3,2,0,274,0,4,278,0
215,7,269,130,3,0,1,0,1,2,0,2,1,416,0,3,419,0
216,2,272,251,8,1,3,0,0,4,1,2,8,552,0,11,563,0
217,4,220,66,1,0,0,0,0,1,0,2,3,297,0,4,301,0
218,7,500,193,7,0,3,1,2,3,2,9,13,740,0,28,768,0
219,4,255,321,4,2,0,0,0,0,0,2,1,589,0,5,594,0
220,7,59,323,5,2,1,1,1,2,2,0,0,403,0,15,418,0
221,7,276,222,4,1,1,0,0,2,3,5,7,528,0,7,535,0
222,5,164,300,3,1,1,0,0,4,3,1,6,488,0,13,501,0
223,3,116,255,4,0,0,0,1,0,4,5,2,390,0,12,402,0
224,7,39,154,5,0,0,1,0,6,1,3,4,220,0,6,226,0
225,8,98,353,3,1,0,0,0,5,6,4,1,479,0,7,486,0
226,9,162,250,2,2,2,0,4,2,2,12,8,455,0,5,460,0
227,4,130,208,2,0,0,0,2,1,2,3,1,353,0,2,355,0
228,7,129,233,1,0,0,0,2,1,2,1,1,377,0,7,384,0
229,3,120,176,1,1,0,0,0,1,0,10,7,319,0,8,327,0
230,7,151,154,7,1,0,0,0,1,2,5,0,328,0,7,335,0
231,1,62,118,1,1,0,0,1,0,4,1,2,191,0,4,195,0
232,6,117,277,5,1,0,0,0,3,4,2,3,418,0,3,421,0
233,1,13,553,0,0,1,0,0,0,0,2,1,571,0,4,575,0
234,4,181,232,2,0,0,0,0,3,1,5,2,430,0,10,440,0
235,10,178,150,3,0,2,0,1,1,6,0,3,354,0,6,360,0
236,8,61,259,11,3,0,0,2,6,4,4,5,363,0,13,376,0
237,5,74,210,5,1,1,1,1,3,5,3,2,311,0,2,313,0
238,5,223,207,4,1,0,0,1,4,2,4,2,453,0,9,462,0
239,9,230,146,1,1,0,1,0,1,2,3,13,407,0,8,415,0
240,8,41,255,2,0,0,0,0,1,2,4,2,315,0,6,321,0
241,6,447,164,3,3,1,2,1,0,0,6,0,633,0,7,640,0
242,2,117,554,7,0,4,2,0,1,3,8,7,705,0,15,720,0
243,4,309,277,4,1,0,0,2,1,8,7,4,617,0,7,624,0
244,5,354,190,2,2,0,0,0,1,3,1,4,562,0,4,566,0
245,6,127,201,4,0,2,0,0,3,0,1,3,347,0,8,355,0
246,5,142,344,6,0,0,1,1,4,1,7,5,516,0,6,522,0
247,6,228,184,1,0,0,0,0,3,4,8,4,438,0,3,441,0
248,6,104,197,1,0,1,0,0,3,2,3,2,319,0,7,326,0
249,6,135,354,8,0,0,0,1,2,1,3,1,511,0,7,518,0
250,11,160,206,4,0,1,0,0,0,4,0,4,390,0,11,401,0
251,8,153,126,2,1,0,0,0,1,4,4,1,300,0,4,304,0
252,3,216,177,1,0,1,0,0,3,1,6,5,413,0,3,416,0
253,2,78,273,7,0,1,0,1,2,8,3,4,379,0,5,384,0
254,7,332,216,8,0,1,1,1,2,2,3,3,576,0,11,587,0
255,5,95,194,2,0,2,0,1,0,4,2,6,311,0,9,320,0
256,6,217,288,7,1,0,1,1,0,2,1,0,524,0,8,532,0
257,4,409,219,7,1,0,1,0,0,3,3,1,648,0,9,657,0
258,10,223,277,4,1,1,1,0,6,5,8,8,544,0,8,552,0
259,6,144,336,2,3,0,2,1,1,4,9,4,512,0,18,530,0
260,6,174,296,3,0,0,2,2,2,5,7,4,501,0,10,511,0
261,3,284,85,2,0,0,1,1,1,1,4,3,385,0,3,388,0
262,6,200,242,2,0,0,0,1,2,2,2,11,468,0,13,481,0
263,6,110,218,0,0,1,1,1,1,4,3,4,349,0,9,358,0
264,9,107,240,0,0,0,1,0,2,4,6,3,372,0,8,380,0
265,9,133,150,2,0,0,1,0,1,5,12,3,316,0,11,327,0
266,4,88,168,1,2,0,1,0,0,2,4,1,271,0,1,272,0
267,7,357,178,4,0,1,0,1,0,5,8,4,565,0,15,580,0
268,2,271,128,0,1,0,1,0,0,2,1,2,408,0,2,410,0
269,5,398,212,0,0,1,1,2,0,3,7,7,636,0,4,640,0
270,5,211,203,0,0,0,0,0,1,1,1,1,423,0,2,425,0
271,4,222,103,3,0,1,0,2,1,2,2,3,343,0,5,348,0
272,2,303,40,1,3,0,0,1,0,2,9,1,362,0,9,371,0
273,12,187,292,3,0,0,1,2,1,4,4,5,511,0,9,520,0
274,5,249,230,1,0,1,1,0,4,4,5,8,508,0,9,517,0
275,8,198,188,0,1,0,0,0,1,3,4,5,408,0,8,416,0
276,9,175,162,1,0,0,0,0,0,0,4,1,352,0,1,353,0
277,7,236,215,4,0,1,3,0,3,1,4,3,477,0,7,484,0
278,8,369,148,3,0,0,0,0,0,3,1,5,537,0,9,546,0
279,12,275,268,3,2,1,0,0,2,2,5,2,572,0,15,587,0
280,6,187,239,3,0,0,1,0,2,3,7,4,452,0,9,461,0
281,8,232,247,2,0,0,0,0,1,4,4,3,501,0,9,510,0
282,10,133,259,1,0,0,2,1,2,2,4,1,415,0,6,421,0
283,1,188,23,0,0,1,0,0,0,0,1,1,215,0,2,217,0
284,1,85,96,1,1,0,1,0,0,3,1,1,190,0,3,193,0
285,7,131,142,3,2,0,0,1,3,2,6,2,299,0,5,304,0
286,7,296,188,1,0,0,0,0,0,3,5,4,504,0,9,513,0
287,7,242,230,0,0,0,1,0,0,1,0,2,483,0,5,488,0
288,20,265,278,1,1,0,0,0,1,5,5,6,582,0,13,595,0
289,7,173,232,3,1,1,0,1,4,2,4,4,432,0,11,443,0
290,3,150,176,4,1,0,0,0,0,1,4,4,343,0,4,347,0
291,2,126,190,6,1,0,0,0,1,2,2,4,334,0,1,335,0
292,5,60,268,0,0,0,2,1,0,1,4,3,344,0,3,347,0
293,3,145,72,0,0,0,0,0,1,0,0,0,221,0,1,222,0
294,6,81,200,2,1,0,0,1,5,1,1,6,304,0,3,307,0
295,2,59,130,4,0,0,0,0,3,2,2,3,205,0,0,205,0
