polling station,,,,,,,,,,,,,,,,,,,
,Patel Himmatsingh Prahladsingh,Paresh Rawal ,Rohit Rajubhai Virjibhai  Alias Manojbhai Sontariya,Aditya Raval,Khalifa Samsuddin Nasiruddin (Jugnu),Dutt Aakash - Advocate,Dinesh Vaghela,Naranbhai T. Sengal (Dr. N.T. Sengal),Buddhpriya Jasvant Somabhai ,Vijaykumar M. Vadhel ,Atikbhai Mev ,Anilkumar Sharma,Dashrathbhai M. Devda,Roshan Priyavadan Shah,valid,No. of Rejected Votes,NOTA,Total,No. of Tendered Voters
51,2,173,0,0,0,0,1,0,0,1,0,0,0,0,177,0,0,177,
52,353,316,1,3,2,2,3,0,2,0,0,0,2,11,695,0,13,708,
53,133,309,0,0,0,0,0,0,0,0,0,0,2,4,448,0,3,451,
54,380,351,5,0,1,0,3,1,0,0,5,1,2,2,751,0,13,764,
55,352,355,5,1,3,0,3,1,0,1,0,2,3,12,738,0,15,753,
56,206,203,4,1,0,0,5,0,1,0,0,2,2,2,426,0,5,431,
57,177,286,4,1,2,0,2,1,1,0,0,3,0,5,482,0,6,488,
58,301,245,1,0,2,2,3,0,1,1,3,0,5,5,569,0,19,588,
59,113,43,3,0,1,0,5,0,0,1,0,1,1,0,168,0,3,171,
60,146,85,2,0,1,0,0,1,0,0,0,0,1,6,242,0,11,253,
61,354,300,3,5,0,1,5,2,0,0,4,5,8,7,694,0,18,712,
62,280,299,1,0,2,0,3,4,0,2,1,3,0,3,598,0,13,611,
63,310,322,5,2,4,0,2,1,2,0,1,5,3,7,664,0,17,681,
64,14,148,0,0,0,0,1,0,0,0,0,0,0,0,163,0,0,163,
65,170,197,1,1,0,0,0,1,1,1,0,1,0,7,380,0,16,396,
66,257,232,2,2,2,1,0,1,0,0,0,1,1,2,501,0,7,508,
67,210,257,4,1,1,0,3,0,1,0,0,0,0,3,480,0,3,483,
68,59,355,3,0,1,0,0,2,0,0,0,0,1,4,425,0,3,428,
69,264,80,1,0,0,2,0,1,0,0,1,0,3,3,355,0,5,360,
70,385,227,5,0,3,2,2,2,0,2,1,3,0,6,638,0,15,653,
71,304,361,1,1,2,0,2,0,0,2,3,3,5,8,692,0,22,714,
72,48,690,2,0,0,1,4,0,0,0,2,0,1,2,750,0,6,756,
73,232,192,3,1,1,0,1,1,0,0,1,1,2,1,436,0,17,453,
74,371,351,7,0,4,0,2,1,0,0,1,2,4,16,759,0,38,797,
75,391,356,3,2,2,0,1,0,0,2,1,0,3,7,768,0,33,801,
76,169,272,1,1,0,0,1,2,2,0,0,0,3,3,454,0,9,463,
