Serial No. of Polling Station,Number of Valid Votes Cast in Favour of,,,,,,,,,,,,,,Total of valid votes,No. of Rejected Votes,NOTA,Total,Total No. of tendered votes
82,289,69,3,0,2,0,0,0,0,2,1,0,0,2,368,0,6,374,0
83,243,69,5,0,0,0,0,0,1,2,0,0,1,0,321,0,3,324,0
84,182,254,2,8,0,0,2,0,0,1,0,1,4,1,455,0,4,459,0
85,558,77,0,0,2,0,1,2,1,1,0,2,0,6,650,0,17,667,0
86,248,168,7,1,0,0,0,0,1,0,0,0,4,4,433,0,9,442,0
87,484,158,10,1,1,0,0,2,1,1,1,4,5,4,672,0,11,683,0
88,146,137,4,1,0,1,10,0,34,1,0,1,2,1,338,0,1,339,0
89,98,141,1,1,3,1,2,3,14,0,1,0,3,4,272,0,1,273,0
90,363,100,4,2,2,1,2,4,2,2,0,1,4,5,492,0,7,499,0
91,278,258,10,2,2,0,0,2,1,1,1,0,1,5,561,0,10,571,0
92,341,77,5,2,5,1,0,1,2,5,0,1,6,2,448,0,7,455,0
93,356,190,11,1,3,2,2,3,1,3,2,2,10,3,589,0,9,598,0
94,176,297,50,3,7,1,1,5,0,3,2,5,14,6,570,0,14,584,0
95,276,110,2,2,0,1,1,3,11,6,3,4,9,6,434,0,7,441,0
96,212,106,4,0,3,0,1,1,16,5,0,0,4,1,353,0,0,353,0
97,294,279,13,2,13,2,0,0,1,3,2,3,2,1,615,0,3,618,0
98,298,180,24,1,18,2,2,0,1,5,2,0,1,1,535,0,5,540,0
99,254,108,4,1,9,0,0,0,1,0,1,5,1,3,387,0,4,391,0
100,124,277,7,0,16,1,0,1,1,3,0,2,6,2,440,0,6,446,0
101,331,154,6,0,5,0,0,2,6,3,7,0,5,12,531,0,9,540,0
102,131,298,10,3,4,0,1,3,4,4,3,4,8,2,475,0,15,490,0
103,305,215,1,1,1,1,1,2,4,0,0,0,1,1,533,0,2,535,0
104,428,220,10,1,0,0,1,2,16,3,0,0,1,0,682,0,3,685,0
105,472,234,3,4,3,2,2,5,2,3,3,1,3,4,741,0,19,760,0
106,465,213,11,2,1,1,3,8,0,3,2,5,8,6,728,0,15,743,0
107,251,271,27,1,2,1,1,2,2,7,1,3,4,3,576,0,16,592,0
108,184,156,3,2,1,2,1,1,3,1,4,1,4,3,366,0,17,383,0
109,335,169,2,1,5,1,1,0,3,2,2,1,0,0,522,0,8,530,0
110,231,187,9,0,4,0,2,0,3,2,1,3,3,3,448,0,4,452,0
111,335,21,1,0,0,1,0,0,16,2,0,0,1,1,378,0,2,380,0
112,143,332,13,5,1,1,4,0,4,2,2,2,3,2,514,0,5,519,0
113,579,116,4,3,3,1,5,2,21,2,2,4,8,3,753,0,13,766,0
114,323,71,4,0,7,0,2,1,1,0,3,0,1,5,418,0,13,431,0
115,234,17,0,0,8,0,0,2,0,0,0,0,1,0,262,0,5,267,0
116,98,172,12,0,2,0,0,4,4,1,2,2,3,6,306,0,9,315,0
117,386,23,2,1,2,0,0,2,1,4,2,2,2,3,430,0,12,442,0
118,183,31,0,0,5,0,2,0,1,0,0,2,1,1,226,0,0,226,0
119,504,66,1,1,3,0,2,1,1,2,1,2,2,5,591,0,9,600,0
120,282,133,14,3,4,0,2,2,0,0,1,0,2,6,449,0,12,461,0
121,193,216,2,0,2,1,1,2,0,3,3,1,3,5,432,0,11,443,0
122,199,204,9,3,1,1,7,2,3,1,3,4,5,7,449,0,18,467,0
123,633,261,6,0,3,0,2,1,0,3,0,2,3,3,917,0,2,919,0
124,375,288,8,0,5,4,0,3,3,4,1,1,9,10,711,0,11,722,0
125,275,150,8,4,4,0,3,2,10,1,1,1,9,6,474,0,7,481,0
126,225,115,5,2,5,2,3,1,15,1,1,1,2,2,380,0,6,386,0
127,278,68,2,1,6,0,0,1,0,2,2,3,2,4,369,0,17,386,0
128,245,183,3,0,0,0,0,2,3,1,2,2,3,1,445,0,12,457,0
129,403,78,3,2,1,0,1,2,16,0,2,0,4,2,514,0,4,518,0
130,194,122,7,0,1,1,1,0,74,4,0,3,6,1,414,0,8,422,0
131,360,97,6,0,2,1,2,2,41,2,1,1,4,4,523,0,5,528,0
132,265,160,5,2,1,1,8,3,21,1,3,2,1,3,476,0,12,488,0
133,271,105,3,0,1,0,1,0,2,0,3,0,1,3,390,0,6,396,0
134,143,158,21,4,1,0,0,3,2,3,6,5,5,3,354,0,6,360,0
135,205,143,9,2,0,0,4,6,29,4,5,3,3,6,419,0,11,430,0
136,163,77,3,1,3,1,2,2,6,2,0,0,3,2,265,0,7,272,0
137,158,57,6,1,0,0,7,3,95,0,4,2,2,7,342,0,9,351,0
138,167,57,4,0,2,0,0,1,84,4,2,5,1,2,329,0,10,339,0
139,259,209,10,2,1,2,4,6,85,3,3,3,5,5,597,0,13,610,0
140,374,152,3,3,4,0,0,5,90,4,3,1,7,4,650,0,0,650,0
141,582,123,3,0,2,0,1,1,1,2,1,2,2,4,724,0,10,734,0
142,354,125,6,2,2,0,6,2,1,2,1,5,2,0,508,0,18,526,0
143,406,97,7,2,5,1,2,0,12,4,0,2,1,6,545,0,9,554,0
144,287,67,3,0,1,2,0,1,31,5,3,4,4,13,421,0,8,429,0
145,644,42,6,3,4,0,1,0,8,2,2,0,2,4,718,0,9,727,0
146,337,227,5,1,7,2,0,1,30,4,2,3,6,3,628,0,17,645,0
147,465,68,1,0,2,0,0,0,0,0,0,0,1,3,540,0,5,545,0
148,281,10,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,291,0
149,419,214,5,1,4,1,0,0,1,0,1,3,1,5,655,0,7,662,0
150,308,136,10,3,2,0,5,1,0,0,0,0,0,1,466,0,6,472,0
151,103,376,16,1,1,3,3,1,10,3,1,4,13,3,538,0,10,548,0
152,609,58,2,2,1,1,0,0,2,0,1,2,4,4,686,0,6,692,0
153,348,157,25,1,3,0,1,1,23,3,0,1,3,5,571,0,5,576,0
154,223,297,20,1,12,3,1,1,2,4,2,1,6,4,577,0,10,587,0
155,88,182,8,0,7,0,1,0,1,1,1,4,0,8,301,0,6,307,0
156,111,133,3,0,9,1,2,1,0,0,1,1,1,0,263,0,4,267,0
157,416,331,4,2,5,1,0,3,1,1,1,3,7,4,779,0,12,791,0
158,576,147,6,3,1,1,0,2,0,5,1,1,2,3,748,0,18,766,0
159,330,294,3,1,1,2,0,0,1,0,1,0,3,2,638,0,6,644,0
160,229,28,1,1,0,0,2,1,85,3,2,1,1,6,360,0,12,372,0
161,315,78,4,0,1,1,1,0,10,2,3,2,4,5,426,0,11,437,0
162,357,9,3,0,1,0,0,4,6,4,0,1,2,1,388,0,3,391,0
163,155,57,3,1,1,0,2,2,5,0,3,2,3,5,239,0,9,248,0
164,322,203,4,0,6,0,1,2,1,3,2,3,4,2,553,0,15,568,0
165,182,192,8,0,1,0,2,3,2,0,2,1,6,4,403,0,11,414,0
166,311,67,2,1,6,1,1,0,1,8,0,4,7,7,416,0,11,427,0
167,249,90,4,1,1,0,1,1,3,2,2,1,0,3,358,0,8,366,0
168,407,104,4,0,0,0,0,0,2,1,0,0,1,1,520,0,5,525,0
169,238,9,2,0,0,0,0,2,50,4,0,2,1,1,309,0,4,313,0
170,193,42,1,0,1,0,2,1,91,3,1,2,4,2,343,0,3,346,0
171,372,94,4,1,4,0,2,4,21,7,2,2,6,11,530,0,9,539,0
172,169,85,2,1,1,3,13,2,17,5,0,1,1,4,304,0,4,308,0
173,199,25,1,1,0,1,5,1,46,1,0,1,1,0,282,0,3,285,0
174,220,246,14,1,4,0,1,5,84,8,1,3,0,15,602,0,13,615,0
175,402,39,4,3,0,2,0,2,46,8,2,4,5,10,527,0,9,536,0
176,398,159,4,0,0,1,0,1,0,0,0,5,1,3,572,0,8,580,0
177,206,82,2,4,1,1,1,3,57,2,1,1,1,5,367,0,5,372,0
178,471,188,6,3,4,0,3,4,3,2,5,5,5,13,712,0,41,753,0
179,340,182,1,1,3,0,4,3,34,1,0,3,0,4,576,0,3,579,0
180,575,130,2,6,1,2,2,6,1,1,2,1,3,5,737,0,7,744,0
181,227,167,8,0,3,0,0,1,3,2,3,2,6,6,428,0,25,453,0
182,380,319,7,0,9,1,0,0,1,2,2,1,6,2,730,0,14,744,0
183,338,383,8,1,5,2,2,0,0,1,0,2,2,2,746,0,21,767,0
184,234,157,11,4,5,0,0,1,0,2,1,1,1,2,419,0,11,430,0
185,237,228,10,0,1,0,0,1,0,0,0,1,6,2,486,0,7,493,0
186,291,84,0,0,5,0,0,1,0,0,0,0,0,1,382,0,8,390,0
187,408,341,4,1,11,1,1,0,5,1,1,6,0,10,790,0,12,802,0
188,297,101,3,0,5,0,1,0,0,0,1,1,2,1,412,0,7,419,0
189,268,276,1,0,2,0,0,2,3,0,1,1,6,3,563,0,5,568,0
190,228,640,8,3,5,0,1,1,0,2,1,1,7,8,905,0,27,932,0
191,254,289,3,0,1,0,1,2,1,1,0,2,3,6,563,0,15,578,0
192,163,726,14,2,10,2,1,0,1,1,1,3,6,14,944,0,12,956,0
193,125,248,10,2,0,0,1,1,0,0,3,3,2,9,404,0,13,417,0
194,97,331,8,0,1,0,0,0,0,0,0,0,2,2,441,0,12,453,0
195,125,512,13,1,16,0,1,2,6,0,0,1,6,12,695,0,15,710,0
196,177,363,6,1,27,0,0,1,1,1,0,1,2,1,581,0,7,588,0
197,317,212,6,0,6,1,0,2,0,0,1,1,4,5,555,0,26,581,0
198,275,267,13,2,82,0,2,0,5,1,0,1,3,11,662,0,22,684,0
199,275,125,12,0,3,0,1,1,6,3,0,2,3,4,435,0,11,446,0
200,183,210,11,1,0,3,1,0,22,4,2,5,2,9,453,0,14,467,0
201,151,358,9,3,4,0,1,2,0,2,2,1,6,10,549,0,19,568,0
202,377,166,5,0,5,2,0,1,2,2,0,0,1,3,564,0,8,572,0
203,142,97,1,0,5,0,0,1,0,1,1,4,4,3,259,0,4,263,0
204,474,185,4,2,6,1,1,1,0,2,0,1,2,3,682,0,3,685,0
205,239,131,9,2,3,0,1,2,14,0,0,3,0,10,414,0,14,428,0
206,262,256,8,2,1,0,1,2,6,2,2,2,5,3,552,0,11,563,0
207,197,178,10,1,8,0,3,2,2,0,0,3,1,5,410,0,11,421,0
208,548,199,3,0,3,1,0,2,2,1,4,3,4,9,779,0,22,801,0
209,503,339,13,3,8,2,0,3,2,2,1,1,8,4,889,0,16,905,0
210,288,222,7,1,2,0,0,0,2,3,1,2,4,11,543,0,19,562,0
211,326,86,3,0,4,0,1,0,10,3,0,0,2,2,437,0,10,447,0
212,668,42,3,0,2,1,1,1,8,1,3,0,3,1,734,0,7,741,0
213,478,169,5,0,2,2,2,4,3,2,1,4,5,2,679,0,14,693,0
214,265,176,6,0,2,1,1,2,20,1,2,0,2,2,480,0,10,490,0
215,224,165,4,1,1,0,0,1,3,1,0,3,4,2,409,0,11,420,0
216,273,197,8,0,3,1,2,2,16,1,0,3,4,2,512,0,11,523,0
217,199,153,3,0,1,0,0,1,2,3,0,0,2,3,367,0,4,371,0
218,186,193,4,0,4,0,0,0,0,0,0,4,0,0,391,0,11,402,0
219,641,23,0,0,2,0,0,0,0,0,1,2,2,1,672,0,8,680,0
220,417,50,2,0,2,0,0,0,1,1,1,1,1,1,477,0,7,484,0
221,387,46,3,1,15,1,0,1,1,3,0,1,0,1,460,0,4,464,0
222,176,183,5,1,3,0,0,4,0,0,0,0,4,3,379,0,5,384,0
223,402,94,0,0,2,0,2,1,1,5,5,2,3,8,525,0,14,539,0
224,101,318,3,0,0,1,3,4,2,0,0,1,4,6,443,0,11,454,0
225,586,192,6,2,6,1,1,5,0,3,0,1,2,6,811,0,8,819,0
226,407,96,3,0,6,0,3,1,6,4,3,2,2,5,538,0,12,550,0
227,599,201,13,1,1,0,0,1,2,0,6,1,5,11,841,0,16,857,0
228,410,256,18,2,4,2,0,1,2,5,2,4,5,3,714,0,6,720,0
229,147,217,4,1,1,1,1,1,0,2,0,0,0,1,376,0,2,378,0
230,348,142,2,2,1,1,2,2,5,8,0,1,3,5,522,0,2,524,0
231,38,173,7,0,4,1,1,0,7,2,0,0,6,7,246,0,5,251,0
232,120,323,3,0,0,1,1,7,3,3,3,2,6,6,478,0,8,486,0
233,126,288,9,0,3,0,1,0,0,1,1,0,1,3,433,0,7,440,0
234,219,64,3,1,0,0,1,2,195,4,0,1,2,4,496,0,7,503,0
235,66,52,1,1,0,0,1,3,76,2,1,0,1,3,207,0,3,210,0
