polling station,,,,,,,,,,,,,,,,valid,No. of Rejected Votes,Total,Number of tendered votes
,Parmar Maganbhai Amarabhai,Rathod Bhavsinhbhai Dahyabhai,Liladharbhai Khodaji Vaghela,Govindji Okhaji Thakor,Jakasiji Jogaji Thakor,Parmar Bhaichandbhai Somabhai,Babubhai Karshanbhai Rabari,Imrankhan Mahmadkhan Nagori,Chhaganbhai Naranbhai Prajapati,Jagrala Imran Mahemud,Desai Ishwarbhai Mahadevbhai,Bhoraniya Soyabbhai Hasambhai,Molapiya Abdulkudus Abdulmajid,Vaghda Jivabhai Devabhai,None Of The Above,,,,
184,4,232,204,0,0,1,0,3,0,0,0,1,3,0,1,448,0,449,0
185,1,115,84,2,0,0,1,0,0,1,1,0,3,3,2,211,0,213,0
186,0,29,231,3,0,0,0,0,0,1,0,0,2,3,1,269,0,270,0
187,10,590,73,3,1,2,0,1,0,1,0,0,1,3,9,685,0,694,0
188,13,334,178,8,2,1,2,2,1,2,6,5,4,8,10,566,0,576,0
189,10,241,185,5,1,0,0,0,1,1,0,0,1,0,3,445,0,448,0
190,4,145,87,4,0,1,0,0,1,1,0,1,2,1,4,247,0,251,0
191,3,207,122,1,2,0,0,1,0,3,0,2,4,5,4,350,0,354,0
192,2,150,82,2,0,0,0,0,0,1,2,2,0,2,3,243,0,246,0
193,3,80,78,2,0,0,0,1,1,0,0,0,1,3,2,169,0,171,0
194,2,49,323,3,0,0,0,1,0,0,1,0,9,3,3,391,0,394,0
195,4,75,263,4,1,0,0,0,0,0,1,0,5,5,6,358,0,364,0
196,2,82,150,3,0,0,0,1,3,1,0,0,2,4,14,248,0,262,0
197,19,169,342,7,3,1,1,0,1,0,1,3,6,4,8,557,0,565,0
198,9,160,336,5,0,1,0,3,1,2,1,2,4,3,6,527,0,533,0
199,14,410,155,2,1,0,0,3,3,2,2,3,1,4,3,600,0,603,0
200,4,169,103,4,0,1,0,1,0,1,1,1,0,4,3,289,0,292,0
201,5,188,125,2,0,0,3,0,3,0,0,2,1,0,4,329,0,333,0
202,6,346,263,6,0,0,2,2,6,4,0,2,6,5,15,648,0,663,0
203,9,168,72,3,0,0,0,0,1,1,0,1,2,6,2,263,0,265,0
204,3,117,68,2,0,0,1,1,2,0,1,1,2,0,10,198,0,208,0
205,3,296,230,4,1,1,0,4,1,1,1,4,9,7,4,562,0,566,0
206,12,222,284,1,0,1,4,0,3,2,2,2,15,7,17,555,0,572,0
207,7,86,138,1,0,0,1,2,1,1,1,0,0,2,9,240,0,249,0
208,4,204,119,5,1,1,0,4,2,1,0,0,2,6,6,349,0,355,0
209,3,108,292,5,2,0,1,1,3,1,1,2,2,4,9,425,0,434,0
210,6,236,211,7,2,1,2,1,0,1,1,1,3,8,9,480,0,489,0
211,6,134,97,2,0,0,0,0,1,0,0,0,0,2,2,242,0,244,0
212,7,335,190,1,0,0,0,3,2,0,5,2,3,2,11,550,0,561,0
213,8,261,217,6,1,1,0,1,1,2,0,2,6,6,8,512,0,520,0
214,5,190,232,3,2,0,0,0,6,2,0,2,4,4,6,450,0,456,0
215,8,282,77,2,0,0,0,1,0,1,1,1,2,2,3,377,0,380,0
216,7,276,225,8,3,1,0,0,4,2,4,2,4,6,15,542,0,557,0
217,0,63,26,1,0,0,0,0,0,0,1,0,0,0,2,91,0,93,0
218,1,162,60,2,0,0,0,1,0,0,1,0,1,2,8,230,0,238,0
219,3,141,384,2,1,1,0,0,6,0,1,2,12,7,6,560,0,566,0
220,11,253,146,5,1,1,0,2,2,2,2,2,3,8,9,438,0,447,0
221,1,114,228,1,0,0,0,0,0,0,0,0,2,3,1,349,0,350,0
222,7,143,339,3,1,1,0,1,0,1,0,1,3,4,5,504,0,509,0
223,3,28,529,6,2,2,1,1,1,3,0,1,6,8,7,591,0,598,0
224,1,78,208,2,1,1,1,1,1,3,0,0,4,1,5,302,0,307,0
225,1,123,177,4,1,0,0,0,0,1,1,2,2,1,3,313,0,316,0
226,7,315,157,3,0,0,0,0,1,2,2,2,2,8,20,499,0,519,0
227,4,81,148,2,1,0,1,2,0,0,0,0,3,3,3,245,0,248,0
228,3,121,192,4,1,1,2,1,0,0,0,2,2,1,3,330,0,333,0
229,6,157,109,5,1,0,1,0,0,0,0,0,0,0,3,279,0,282,0
230,3,56,396,10,1,3,1,0,0,3,1,0,2,3,6,479,0,485,0
231,5,179,291,7,1,2,2,0,1,1,0,3,3,5,13,500,0,513,0
232,9,155,333,4,1,1,5,5,2,3,3,1,7,3,4,532,0,536,0
233,0,25,313,5,2,1,0,2,1,2,1,0,1,0,5,353,0,358,0
234,6,106,67,0,0,0,2,2,1,1,0,0,0,2,2,187,0,189,0
235,3,87,262,3,0,0,1,2,5,1,1,3,2,5,1,375,0,376,0
236,0,64,322,6,1,2,10,3,1,3,2,4,7,6,8,431,0,439,0
237,12,325,148,0,1,0,1,2,5,3,2,1,1,7,8,508,0,516,0
238,5,110,399,3,0,0,0,1,1,2,0,0,2,1,2,524,0,526,0
239,3,156,122,0,1,0,0,2,1,0,0,1,3,0,1,289,0,290,0
240,3,216,182,3,0,0,1,2,3,1,1,0,2,2,4,416,0,420,0
241,4,223,114,2,2,0,0,5,2,1,1,1,5,6,6,366,0,372,0
242,1,62,103,0,0,0,1,1,0,0,2,0,1,1,4,172,0,176,0
243,0,56,241,2,0,1,0,0,0,1,0,0,1,1,4,303,0,307,0
244,0,87,162,2,0,2,1,1,4,1,1,3,3,1,1,268,0,269,0
245,1,23,291,3,1,0,0,0,1,1,2,2,1,2,2,328,0,330,0
246,13,222,433,4,5,2,0,2,7,2,4,1,4,6,8,705,0,713,0
247,3,237,380,4,1,0,0,2,1,3,3,2,7,4,11,647,0,658,0
248,4,412,111,0,0,0,4,0,1,1,2,1,1,5,9,542,0,551,0
249,2,275,38,0,0,1,0,0,1,0,0,1,2,2,3,322,0,325,0
250,0,15,420,1,0,0,0,0,1,0,0,0,1,0,0,438,0,438,0
251,2,40,168,2,3,1,9,1,4,2,2,2,6,4,7,246,0,253,0
252,1,19,293,4,0,0,3,1,2,1,0,0,1,4,3,329,0,332,0
253,2,179,131,2,1,1,1,1,2,1,1,2,2,8,7,334,0,341,0
254,2,168,107,2,0,0,0,1,0,0,1,1,1,3,4,286,0,290,0
255,2,68,220,3,0,0,4,0,0,0,0,1,1,3,5,302,0,307,0
256,1,271,81,0,0,2,5,5,2,0,3,0,2,7,5,379,0,384,0
257,3,52,521,7,3,0,1,0,4,0,1,3,8,2,8,605,0,613,0
258,3,117,290,3,0,0,14,1,1,0,2,0,2,7,6,440,0,446,0
259,3,210,62,2,1,1,8,1,0,2,1,0,1,2,4,294,0,298,0
260,0,32,24,0,0,0,1,0,0,1,0,0,1,0,1,59,0,60,0
261,7,192,238,4,5,1,1,2,1,0,4,3,0,3,13,461,0,474,0
262,4,168,155,2,0,0,0,0,2,2,0,1,5,5,8,344,0,352,0
263,1,61,498,6,2,0,2,2,1,2,1,6,7,5,7,594,0,601,0
264,8,134,407,5,2,0,3,1,4,0,4,3,8,10,10,589,0,599,0
265,9,265,283,1,0,2,1,2,0,0,0,0,7,3,10,573,0,583,0
266,6,224,451,4,3,0,2,0,2,3,3,1,7,4,12,710,0,722,0
267,2,178,283,1,0,1,1,0,3,1,2,4,6,5,11,487,0,498,0
268,0,58,102,1,0,0,1,0,4,0,2,1,0,1,1,170,0,171,0
269,2,13,492,8,3,0,3,0,5,0,0,3,0,8,7,537,0,544,0
270,8,159,349,5,0,0,3,2,1,1,5,0,3,3,5,539,0,544,0
271,4,142,66,0,1,0,0,1,0,3,0,0,1,2,2,220,0,222,0
272,5,201,98,3,0,0,0,0,1,0,2,1,2,2,9,315,0,324,0
273,7,34,223,1,0,0,0,0,3,1,1,1,0,1,0,272,0,272,0
274,3,75,233,5,3,0,0,1,2,1,0,0,0,1,3,324,0,327,0
275,4,194,257,2,0,1,5,1,4,0,0,0,2,2,4,472,0,476,0
276,4,140,211,3,0,0,0,0,0,1,1,0,0,1,1,361,0,362,0
277,4,221,234,3,1,0,0,1,4,2,2,2,4,8,4,486,0,490,0
278,0,35,347,1,2,0,0,0,0,3,0,0,2,1,0,391,0,391,0
279,0,73,70,0,0,0,8,2,0,1,0,0,0,3,1,157,0,158,0
280,4,37,383,4,1,0,2,1,0,0,1,1,0,0,1,434,0,435,0
281,2,31,332,3,2,0,1,0,0,0,1,0,0,0,0,372,0,372,0
