Sr.No. of Polling Station,,,,,,,,,,,,,,,,,valid,No. of reject ed Votes (Test Votes),Total,No. of tender ed votes
,Chauhan Devusinh Jesingbhai (Chauhan Devusinh),Dinsha Patel,Pandav Bhailalbhai Kalubhai,Abdul Razakkha n Pathan,Badhiwala Labhubhai Jivrajbhai,Ranveer Pranayraj Govindbhai,Khristi Adward Khushalbh ai,Chauhan Devusing Motishing,Pathan Amanullakha Sitabkha,Parikh Viral Hasmukhbh ai,Malek Yakubmiya Nabimiya,Malek Sadik Hushen Mahammd Hushen,Malek Sabirhusen Ismaelbhai,Ratansinh Udesinh Chauhan,Roshan Priyavada n Shah,NOTA,,,,
37,468,82,2,0,10,0,1,0,1,0,0,1,0,1,0,5,571,0,571,
38,462,51,1,0,9,1,0,0,0,0,0,0,0,1,0,3,528,0,528,
39,516,39,0,0,3,0,1,1,0,0,0,0,0,0,1,7,568,0,568,
40,676,62,1,0,7,0,0,0,0,0,0,0,0,0,0,4,750,0,750,
41,637,52,0,0,5,0,0,1,0,0,0,0,1,0,0,5,701,0,701,
42,703,43,0,0,16,0,0,1,0,0,0,0,1,0,0,4,768,0,768,
43,615,62,0,0,8,0,0,1,0,0,0,0,0,0,0,7,693,0,693,
44,655,53,0,0,4,3,0,2,0,0,0,0,0,0,0,4,721,0,721,
45,584,104,1,0,6,1,0,1,0,0,1,0,0,2,0,9,709,0,709,
46,558,94,3,0,13,0,0,0,0,0,0,0,0,1,0,7,676,0,676,
47,276,132,0,0,8,0,0,0,1,0,0,0,1,2,0,5,425,0,425,
48,353,109,1,0,11,0,0,0,1,0,0,0,3,0,0,7,485,0,485,
49,190,44,0,0,3,0,0,0,0,0,0,0,0,0,0,4,241,0,241,
50,669,131,0,0,14,0,2,1,0,0,0,0,0,0,0,7,824,0,824,
51,276,115,0,0,1,1,0,0,0,0,0,0,0,0,1,6,400,0,400,
52,384,159,5,0,16,0,0,0,1,1,0,0,1,1,2,10,580,0,580,
53,404,120,7,0,2,0,0,0,0,0,0,0,0,1,1,9,544,0,544,
54,379,337,4,1,22,0,0,1,0,0,0,1,0,0,1,10,756,0,756,
55,429,153,2,0,8,0,0,0,0,0,0,0,0,0,0,9,601,0,601,
56,351,75,1,1,15,1,0,0,0,1,0,0,0,0,0,11,456,0,456,
57,390,94,0,1,7,0,0,2,0,0,0,0,1,0,1,4,500,0,500,
58,401,72,0,0,4,0,0,0,0,0,0,0,0,0,0,5,482,0,482,
59,679,70,1,0,13,0,0,1,0,0,0,0,0,0,0,12,776,0,776,
60,523,170,7,1,18,1,1,0,0,0,0,0,0,1,1,10,733,0,733,
61,700,86,1,1,2,2,0,0,0,0,0,0,0,1,1,5,799,0,799,
62,474,69,3,0,5,1,0,0,0,0,1,1,2,0,2,10,568,0,568,
63,417,92,0,0,6,0,0,1,0,0,0,1,0,0,0,9,526,0,526,
64,348,13,0,0,1,0,0,0,0,0,0,0,0,0,0,4,366,0,366,
65,593,77,1,1,6,1,0,0,0,0,0,0,0,0,1,11,691,0,691,
66,463,31,0,1,7,0,0,0,0,0,0,0,1,0,0,13,516,0,516,
67,610,42,0,0,12,0,0,0,1,0,0,0,1,0,0,5,671,0,671,
68,573,120,4,0,8,1,1,1,0,0,0,0,0,0,1,12,721,0,721,
69,462,83,8,0,2,0,0,0,0,0,0,0,1,0,1,8,565,0,565,
