polling station,,,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
84,6,71,2,828,9,2,1,2,1,0,922,0,6,928,0
85,1,308,5,476,6,1,3,6,3,7,816,0,12,828,0
86,0,100,4,877,9,0,1,0,0,1,992,0,9,1001,0
87,2,873,5,48,11,0,0,0,0,0,939,0,2,941,0
88,9,634,5,94,4,0,0,0,1,4,751,0,12,763,0
89,2,496,1,29,14,0,0,1,0,2,545,0,4,549,0
90,2,526,3,24,12,1,0,0,0,0,568,0,1,569,0
91,3,150,3,635,2,3,1,6,7,4,814,0,23,837,0
92,6,647,8,150,11,1,0,0,1,3,827,0,6,833,0
93,8,359,9,296,3,2,2,5,2,5,691,0,11,702,0
94,4,282,7,244,5,0,0,4,0,2,548,0,8,556,0
95,6,274,4,475,8,2,0,6,2,3,780,0,14,794,0
96,11,590,10,213,4,2,1,2,0,7,840,0,12,852,0
97,1,371,2,485,7,0,1,0,0,0,867,0,7,874,0
98,10,357,13,310,4,0,1,5,2,4,706,0,21,727,0
99,1,64,5,126,2,2,1,0,0,4,205,0,6,211,0
100,2,214,11,354,6,0,3,2,4,1,597,0,9,606,0
101,3,496,19,61,0,2,0,6,3,13,603,0,28,631,0
102,5,231,8,243,4,1,3,4,0,9,508,0,17,525,0
103,3,178,2,215,0,1,3,3,3,9,417,0,7,424,0
104,1,314,10,239,1,1,2,1,3,4,576,0,6,582,0
105,4,169,2,76,1,1,0,1,0,0,254,0,2,256,0
106,4,250,6,264,5,5,2,9,5,7,557,0,13,570,0
107,3,254,5,254,0,1,2,2,6,3,530,0,5,535,0
108,7,190,6,247,4,1,4,1,3,6,469,0,13,482,0
109,1,256,5,520,1,0,1,1,1,1,787,0,5,792,0
110,12,423,14,239,5,1,1,2,8,15,720,0,14,734,0
111,4,405,13,82,3,1,1,4,2,10,525,0,6,531,0
112,4,171,11,182,4,3,2,5,2,7,391,0,11,402,0
113,5,299,9,388,6,0,1,5,3,2,718,0,2,720,0
114,5,268,16,233,1,0,0,2,2,8,535,0,3,538,0
115,7,347,14,299,6,1,1,0,3,9,687,0,5,692,0
116,4,207,7,280,13,1,5,10,2,2,531,0,8,539,0
117,2,65,1,451,2,2,1,1,2,2,529,0,7,536,0
118,9,276,8,129,5,4,4,8,8,12,463,0,15,478,0
119,3,116,5,270,4,0,0,3,6,4,411,0,6,417,0
120,6,247,9,255,4,0,3,5,7,10,546,0,21,567,0
121,6,334,9,214,5,1,0,7,2,7,585,0,8,593,0
122,2,51,5,151,1,0,0,0,2,1,213,0,1,214,0
123,2,281,4,424,5,1,0,1,4,4,726,0,8,734,0
124,3,92,5,192,3,0,1,1,1,2,300,0,6,306,0
125,0,182,1,313,1,2,2,0,0,1,502,0,5,507,0
126,3,166,6,315,5,2,1,1,4,4,507,0,7,514,0
127,6,307,9,452,1,0,2,0,1,3,781,0,5,786,0
128,1,162,2,305,3,0,0,5,1,0,479,0,7,486,0
129,2,109,1,438,11,3,2,3,4,3,576,0,0,576,0
130,9,89,5,429,4,0,1,0,1,2,540,0,1,541,0
131,0,76,0,429,5,0,0,0,1,0,511,0,1,512,0
132,2,200,4,422,11,1,6,4,3,6,659,0,7,666,0
133,7,397,17,408,5,1,8,4,4,16,867,0,8,875,0
134,4,263,3,454,10,1,1,4,0,2,742,0,5,747,0
135,4,162,3,479,5,0,0,0,0,0,653,0,1,654,0
136,7,85,0,338,4,0,1,0,0,0,435,0,3,438,0
137,1,88,0,370,4,0,0,1,0,0,464,0,3,467,0
138,4,153,5,295,2,0,0,0,0,0,459,0,1,460,0
139,2,155,6,405,4,1,0,5,2,10,590,0,2,592,0
140,9,215,9,280,2,1,1,3,1,5,526,0,7,533,0
141,1,74,1,298,8,0,0,0,1,1,384,0,7,391,0
142,7,52,1,462,12,0,1,0,2,1,538,0,2,540,0
143,9,230,5,594,8,3,1,0,0,4,854,0,6,860,0
144,6,165,5,267,4,4,4,3,6,8,472,0,15,487,0
145,4,103,4,503,5,1,1,0,1,3,625,0,3,628,0
146,3,169,2,484,8,0,0,1,0,1,668,0,3,671,0
147,5,132,4,328,1,1,1,1,0,2,475,0,5,480,0
148,2,99,3,288,2,0,0,1,0,3,398,0,3,401,0
149,3,165,2,317,3,1,1,3,2,5,502,0,6,508,0
150,2,96,2,162,0,0,1,1,3,6,273,0,2,275,0
151,7,303,6,286,8,0,1,6,0,18,635,0,6,641,0
152,2,260,5,473,5,0,2,0,3,7,757,0,9,766,0
153,6,192,6,385,5,0,3,8,7,11,623,0,24,647,0
154,0,71,1,494,2,0,0,1,1,1,571,0,6,577,0
155,3,201,5,346,3,1,1,2,2,2,566,0,8,574,0
156,4,126,3,373,7,0,1,2,1,3,520,0,2,522,0
157,1,37,3,274,5,0,1,0,2,0,323,0,0,323,0
158,4,84,2,604,3,0,0,4,1,0,702,0,1,703,0
159,1,99,4,288,1,1,0,1,0,0,395,0,2,397,0
160,2,121,4,328,2,0,0,3,0,1,461,0,4,465,0
161,4,255,6,390,13,1,1,3,3,10,686,0,18,704,0
162,8,102,1,443,5,1,0,1,1,3,565,0,5,570,0
163,1,72,5,437,2,0,1,0,1,1,520,0,2,522,0
164,5,76,3,518,2,1,3,4,2,3,617,0,6,623,0
165,4,122,1,675,6,0,0,1,1,1,811,0,2,813,0
166,3,130,2,774,8,0,0,0,0,1,918,0,4,922,0
167,3,248,6,270,4,0,2,2,3,3,541,0,21,562,0
168,2,159,3,233,2,0,0,0,0,0,399,0,5,404,0
169,6,129,7,640,8,1,0,3,1,2,797,0,8,805,0
170,9,306,5,282,4,2,5,16,12,24,665,0,22,687,0
171,6,439,9,334,4,1,2,6,5,11,817,0,18,835,0
172,5,266,6,626,13,1,0,2,4,4,927,0,19,946,0
173,7,263,13,224,2,0,0,4,3,8,524,0,8,532,0
174,3,167,4,286,10,1,0,2,1,4,478,0,6,484,0
175,3,171,8,49,1,2,3,0,2,3,242,0,8,250,0
176,0,121,1,103,1,0,0,0,1,5,232,0,5,237,0
177,3,463,16,356,3,0,3,2,3,11,860,0,8,868,0
178,8,127,4,339,1,1,0,2,2,7,491,0,15,506,0
179,9,383,10,136,4,2,2,6,5,7,564,0,15,579,0
180,12,470,11,125,5,0,0,1,3,15,642,0,33,675,0
181,3,461,7,215,3,0,1,2,1,0,693,0,3,696,0
182,7,596,8,156,5,1,0,1,2,11,787,0,6,793,0
183,8,142,8,369,11,6,3,8,6,18,579,0,37,616,0
184,2,160,7,169,8,1,4,8,4,4,367,0,7,374,0
185,5,268,8,90,3,1,0,0,2,9,386,0,5,391,0
186,9,350,13,172,3,0,0,1,8,5,561,0,6,567,0
187,5,142,1,335,5,1,1,0,1,4,495,0,5,500,0
188,7,48,6,609,14,1,0,1,2,0,688,0,6,694,0
189,14,438,16,173,2,3,2,7,7,10,672,0,16,688,0
190,8,114,0,269,11,0,0,11,6,4,423,0,14,437,0
191,6,158,5,242,2,1,3,3,5,5,430,0,9,439,0
192,5,217,7,466,5,1,1,6,1,4,713,0,23,736,0
193,7,297,9,411,17,2,1,6,9,7,766,0,16,782,0
194,2,122,5,447,6,3,3,10,2,5,605,0,14,619,0
195,17,491,15,241,3,2,3,9,8,33,822,0,68,890,0
196,4,240,9,190,6,1,2,9,11,10,482,0,20,502,0
197,3,142,7,308,2,0,2,1,2,4,471,0,14,485,0
198,15,348,12,400,7,1,3,7,5,8,806,0,18,824,0
199,3,163,2,212,2,1,0,0,0,1,384,0,4,388,0
200,2,190,2,381,9,0,11,2,0,1,598,0,3,601,0
201,8,265,8,276,10,2,2,2,6,11,590,0,15,605,0
202,6,178,3,384,5,1,1,1,2,1,582,0,4,586,0
203,3,64,2,845,5,0,0,0,1,1,921,0,4,925,0
204,7,237,5,591,8,0,0,5,0,4,857,0,16,873,0
205,1,238,4,69,0,0,0,6,0,8,326,0,9,335,0
206,5,154,5,429,8,2,2,5,2,2,614,0,3,617,0
207,11,227,15,120,2,3,1,5,8,8,400,0,13,413,0
208,13,555,21,112,1,0,0,1,5,7,715,0,12,727,0
209,6,501,7,70,3,1,1,2,6,9,606,0,8,614,0
210,7,353,3,216,3,1,0,1,1,3,588,0,4,592,0
211,7,464,11,266,2,0,4,6,8,24,792,0,20,812,0
212,13,562,8,304,1,1,1,4,3,16,913,0,20,933,0
213,5,293,3,88,3,2,1,6,4,4,409,0,4,413,0
214,22,304,13,459,12,2,3,2,7,19,843,0,40,883,0
215,4,102,3,193,4,1,0,3,4,5,319,0,4,323,0
216,3,123,4,329,11,0,3,3,4,1,481,0,23,504,0
217,1,36,0,281,4,0,1,0,2,1,326,0,2,328,0
218,16,461,7,231,1,2,1,3,5,10,737,0,23,760,0
219,2,109,6,772,6,1,1,1,0,4,902,0,1,903,0
220,6,125,10,840,8,1,0,0,1,1,992,0,14,1006,0
221,0,101,1,499,3,0,0,1,0,2,607,0,3,610,0
221,1,135,8,359,6,0,0,2,2,0,513,0,5,518,0
222,2,117,5,125,2,0,0,0,0,0,251,0,5,256,0
223,1,197,2,360,6,2,0,2,2,3,575,0,10,585,0
224,7,282,8,571,4,2,4,4,2,6,890,0,16,906,0
225,6,295,7,331,7,2,1,2,2,9,662,0,11,673,0
226,5,217,4,144,1,0,0,2,3,2,378,0,14,392,0
227,3,114,9,224,2,1,0,0,1,0,354,0,9,363,0
228,12,202,20,382,9,4,3,1,0,5,638,0,7,645,0
229,2,212,10,435,3,2,0,0,0,2,666,0,2,668,0
230,1,108,1,345,10,0,1,0,0,0,466,0,3,469,0
231,14,273,6,325,8,1,0,2,5,15,649,0,31,680,0
232,4,260,6,254,0,1,1,3,2,1,532,0,11,543,0
233,2,321,14,67,2,1,0,7,5,9,428,0,19,447,0
234,2,421,9,244,3,1,0,1,1,2,684,0,8,692,0
235,4,283,12,276,1,1,0,2,4,1,584,0,4,588,0
236,13,140,8,426,7,0,1,1,2,5,603,0,13,616,0
237,4,321,3,344,4,1,2,3,2,5,689,0,11,700,0
238,1,485,9,38,1,0,2,0,0,0,536,0,0,536,0
239,3,603,9,186,6,0,1,0,0,5,813,0,6,819,0
240,9,351,11,534,9,0,0,7,6,8,935,0,22,957,0
241,8,456,7,82,9,1,1,0,4,5,573,0,4,577,0
242,7,158,9,108,7,0,2,2,5,10,308,0,25,333,0
,1214,56797,1496,84304,1235,225,312,655,579,1312,148129,0,2514,150643,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1214,56797,1496,84304,1235,225,312,655,579,1312,148129,0,2514,150643,0
