Serial No. of Polling Station,No. Of Valid Votes Cast in favour of,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
137,143,267,2,0,1,0,0,0,1,0,0,1,0,1,3,3,4,3,0,0,0,1,1,0,0,431,0,0,431,
138,360,91,0,1,2,0,0,0,1,0,0,0,0,0,2,6,0,2,0,0,2,0,0,0,2,469,0,4,473,
139,395,141,6,1,3,1,1,0,0,0,0,0,2,1,1,10,2,5,1,1,0,0,1,2,2,576,0,1,577,
140,496,173,7,4,2,0,1,4,0,1,1,2,3,0,7,13,3,3,0,0,1,0,0,1,1,723,0,11,734,
141,430,157,4,0,3,1,2,0,1,1,1,1,0,1,3,9,3,1,1,2,0,0,0,0,0,621,0,2,623,
142,720,97,2,2,3,2,0,0,1,1,0,2,1,3,1,26,14,5,4,0,0,0,1,0,0,885,0,12,897,
143,439,69,5,1,8,4,1,0,1,1,0,1,0,2,1,7,5,0,0,1,0,1,1,0,0,548,0,7,555,
144,266,69,2,0,1,0,0,0,0,0,0,0,0,1,0,8,5,6,3,0,0,0,1,0,1,363,0,5,368,
145,603,151,7,1,4,0,0,4,0,1,1,2,2,3,5,23,13,2,4,1,2,2,0,2,2,835,0,12,847,
146,403,78,4,1,7,1,2,0,1,1,0,1,2,1,2,9,9,1,1,0,0,0,0,0,3,527,0,2,529,
147,94,390,6,0,1,0,0,0,0,1,0,0,0,0,1,4,2,0,1,0,0,0,0,0,1,501,0,4,505,
148,253,395,19,1,5,1,2,0,0,1,1,0,2,0,6,17,2,6,0,1,0,0,0,0,0,712,0,6,718,
149,198,510,4,2,3,1,0,0,0,0,2,2,1,1,4,6,5,3,2,0,0,0,0,0,1,745,0,10,755,
150,234,587,2,1,4,1,0,1,1,1,0,3,1,4,3,0,2,5,0,0,1,0,1,0,0,852,0,6,858,
151,159,386,3,0,12,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,565,0,7,572,
152,184,340,1,2,6,1,1,1,4,0,0,0,1,0,0,2,3,3,0,1,0,0,0,0,1,551,0,4,555,
153,321,154,14,1,2,0,1,0,1,0,1,1,1,2,0,10,6,3,1,0,0,0,0,0,2,521,0,1,522,
154,457,158,9,0,4,0,0,1,2,0,1,1,0,1,6,14,6,5,1,1,0,2,0,0,2,671,0,12,683,
155,123,420,1,1,2,0,1,0,0,0,0,1,0,0,0,0,2,1,2,0,0,0,2,0,0,556,0,5,561,
156,172,412,3,0,3,2,0,1,0,0,0,0,0,0,2,4,3,4,1,0,1,1,0,1,2,612,0,1,613,
157,157,273,2,1,6,2,0,0,0,2,1,2,0,1,3,3,4,3,1,0,0,0,2,1,0,464,0,4,468,
158,102,245,3,2,1,0,0,0,0,1,0,1,0,2,3,7,1,0,0,0,0,0,0,1,1,370,0,3,373,
159,90,335,8,0,5,1,1,1,0,0,0,0,1,0,0,3,1,1,0,0,1,0,1,0,0,449,0,1,450,
160,34,301,3,1,1,2,0,2,0,1,0,0,0,1,4,3,2,1,0,0,0,3,1,1,1,362,0,2,364,
161,36,398,3,1,2,1,0,0,0,0,1,2,0,2,0,3,1,4,1,0,0,1,0,1,0,457,0,1,458,
162,52,332,6,1,1,0,0,1,1,0,1,0,1,1,0,4,1,3,4,1,0,0,0,0,0,410,0,0,410,
163,50,408,7,0,2,2,1,0,0,0,1,0,1,2,3,2,0,0,4,0,0,0,0,0,2,485,0,8,493,
164,34,588,4,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,635,0,1,636,
165,40,706,0,0,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,758,0,2,760,
166,34,534,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,574,0,0,574,
167,25,318,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,353,0,4,357,
168,29,642,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,0,4,693,
169,21,314,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,1,346,
170,155,596,9,1,16,1,0,1,0,1,0,0,1,1,2,2,3,3,1,1,1,0,2,0,1,798,0,3,801,
171,67,342,5,1,3,1,0,0,3,1,0,1,0,2,2,5,2,0,1,1,1,0,1,0,1,440,0,1,441,
