polling station,,,,,,,,,,,,,,,valid,No. of Rejected Votes,NOTA,Total,Total No. of tendered votes
,Chaudhary Haribhai Parthibhai,Patel Joitabhai Kasnabhai,Mahant Parsotamgiri Turantgiri,Choudhary Adambhai Nasirbhai,Sanjaykumar Somnathbhai Raval,Gamar Vadhabhai Radhabhai,Thakor Bhupataji Ravaji,Dabhi Navajibhai Madhabhai,Babaji Thakor,Mahendrabhai Kesarabhai Bumbadia,Madhu Nirupaben Natvarlal,Shrimali Ashokbhai Balchndbhai,Solanki Dineshkumar Aljibhai,Solanki Saybabhai Nanabhai,,,,,
242,139,291,7,0,0,1,2,1,14,3,2,1,4,2,467,0,3,470,0
243,321,274,10,2,2,3,3,2,7,6,1,3,5,5,644,0,12,656,0
244,407,70,2,1,1,0,1,3,0,7,2,1,1,5,501,0,19,520,0
245,158,239,6,1,2,2,0,1,5,2,0,0,8,3,427,0,6,433,0
246,207,108,5,0,0,0,2,2,22,1,4,4,2,3,360,0,2,362,0
247,435,174,3,3,1,0,2,0,22,2,1,1,1,4,649,0,13,662,0
248,204,109,7,1,1,0,3,1,51,1,2,1,4,7,392,0,4,396,0
249,227,23,3,0,0,2,1,1,21,2,1,0,2,0,283,0,6,289,0
250,560,126,1,1,12,0,0,0,6,0,1,0,1,1,709,0,24,733,0
251,294,339,4,1,4,0,1,0,19,5,3,1,8,4,683,0,22,705,0
252,364,112,2,1,7,0,0,0,3,2,1,0,2,6,500,0,11,511,0
253,405,107,6,2,1,1,0,2,19,1,3,3,4,8,562,0,34,596,0
254,349,284,8,1,2,0,1,1,7,3,1,0,10,11,678,0,50,728,0
255,602,90,6,1,0,1,1,0,3,2,3,0,4,8,721,0,32,753,0
256,251,260,5,3,1,0,1,4,4,4,5,2,1,3,544,0,7,551,0
257,109,188,4,2,4,0,1,2,6,7,2,1,2,4,332,0,5,337,0
258,371,117,3,0,5,1,1,0,10,6,3,3,3,5,528,0,23,551,0
259,210,98,2,1,1,1,1,0,8,1,0,0,5,2,330,0,9,339,0
260,194,156,4,1,0,0,0,1,22,13,2,6,3,7,409,0,12,421,0
261,391,70,3,2,0,0,2,1,74,0,2,1,0,0,546,0,10,556,0
262,338,120,5,0,0,0,0,1,25,4,3,3,5,5,509,0,16,525,0
263,425,107,1,2,1,0,0,3,0,2,1,0,1,5,548,0,8,556,0
264,171,125,6,0,1,0,0,2,10,1,1,2,4,3,326,0,6,332,0
265,352,47,6,1,2,0,0,2,1,3,1,1,1,4,421,0,2,423,0
266,265,136,5,0,0,3,0,1,3,1,0,4,2,4,424,0,14,438,0
267,104,119,3,0,0,0,0,0,2,2,3,2,8,4,247,0,15,262,0
268,196,168,6,0,0,0,0,1,7,3,0,4,9,8,402,0,6,408,0
269,217,178,8,0,1,3,0,2,10,3,1,2,5,4,434,0,7,441,0
270,544,90,3,1,0,0,2,3,6,4,3,4,4,6,670,0,13,683,0
271,104,92,1,1,0,0,2,1,0,0,1,0,0,0,202,0,2,204,0
272,124,79,0,0,1,0,0,1,17,1,0,1,2,1,227,0,4,231,0
273,241,132,3,0,0,1,1,1,4,4,1,0,2,1,391,0,2,393,0
274,231,258,10,0,1,2,0,1,14,2,3,2,3,4,531,0,10,541,0
275,384,88,2,1,8,0,1,2,1,1,3,3,2,3,499,0,6,505,0
276,273,113,4,0,1,1,0,2,45,3,3,0,4,10,459,0,14,473,0
277,123,177,8,2,1,0,0,1,27,1,1,2,7,4,354,0,3,357,0
278,337,174,6,0,1,0,0,2,3,5,3,1,8,5,545,0,17,562,0
279,169,54,5,0,1,0,1,0,40,1,5,0,2,4,282,0,9,291,0
280,424,237,8,2,1,0,2,1,15,1,2,0,5,9,707,0,19,726,0
281,322,103,3,0,3,0,1,0,2,1,0,0,0,2,437,0,6,443,0
