polling station,No. Of Valid Votes Cast in favour of,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,Tendered Votes
26,214,275,1,3,3,2,1,0,0,1,0,2,2,3,507,0,9,516,0
27,116,183,0,5,2,0,0,0,0,3,0,0,2,1,312,0,6,318,0
28,360,226,5,128,3,4,2,1,5,4,7,6,13,21,785,0,34,819,0
29,180,212,5,227,2,4,4,0,4,4,4,5,2,15,668,0,14,682,0
30,249,295,7,97,3,2,1,0,3,3,2,1,2,3,668,0,6,674,0
31,189,78,1,118,6,0,0,2,2,0,0,0,0,1,397,0,7,404,0
32,74,514,9,37,0,3,0,2,4,1,1,3,5,15,668,0,11,679,0
33,199,247,3,14,2,1,0,0,1,3,1,1,5,1,478,0,8,486,0
34,130,380,1,9,0,1,0,0,0,0,1,0,0,4,526,0,5,531,0
35,63,235,1,85,8,4,0,0,1,0,0,1,4,2,404,0,7,411,0
36,93,154,2,84,4,0,0,1,0,3,5,1,5,3,355,0,14,369,0
37,269,206,0,4,1,0,0,0,0,0,0,0,0,4,484,0,7,491,0
38,271,248,5,90,5,0,2,3,3,2,2,1,5,8,645,0,19,664,0
39,175,179,2,21,1,1,2,0,3,1,0,1,1,1,388,0,9,397,0
40,314,381,5,84,3,3,3,5,10,3,12,2,13,12,850,0,25,875,0
41,147,115,3,30,1,1,1,1,0,1,1,5,3,7,316,0,9,325,0
42,71,79,5,85,2,2,1,0,1,0,0,3,3,1,253,0,6,259,0
43,155,365,4,47,0,0,0,0,3,0,1,1,3,6,585,0,3,588,0
44,155,63,3,148,5,1,0,3,3,0,3,0,7,7,398,0,12,410,0
45,111,138,1,370,14,1,1,1,4,1,8,12,3,9,674,0,3,677,0
46,406,188,4,15,1,0,0,0,1,0,1,1,2,4,623,0,15,638,0
47,315,223,2,10,3,0,0,1,1,0,1,2,1,2,561,0,9,570,0
48,258,152,2,14,0,1,0,0,3,0,0,2,0,3,435,0,9,444,0
49,424,101,9,56,8,1,1,2,3,4,4,6,11,10,640,0,31,671,0
50,192,53,4,40,1,0,1,1,0,0,0,0,0,0,292,0,8,300,0
51,228,206,11,81,1,3,1,1,2,5,2,4,4,7,556,0,20,576,0
52,65,290,2,110,3,0,1,0,3,2,1,0,1,1,479,0,4,483,0
53,300,199,8,93,4,0,3,1,5,2,2,5,10,9,641,0,27,668,0
54,145,352,1,4,2,0,0,0,0,0,0,0,1,3,508,0,4,512,0
55,164,394,3,8,1,1,0,0,0,2,1,5,2,4,585,0,16,601,0
56,369,354,5,10,1,0,1,0,4,1,4,3,4,5,761,0,12,773,0
57,128,187,5,177,2,0,1,0,2,2,5,12,5,7,533,0,13,546,0
58,369,316,6,36,4,0,0,4,3,4,4,3,8,10,767,0,29,796,0
59,262,578,4,32,0,1,1,0,3,1,0,0,1,3,886,0,18,904,0
60,227,286,4,30,2,3,0,2,1,4,3,3,3,6,574,0,18,592,0
61,267,111,8,116,2,4,1,1,3,2,3,5,11,15,549,0,33,582,0
62,260,401,3,15,1,0,1,1,3,1,1,2,2,5,696,0,17,713,0
63,102,462,3,11,2,0,0,0,0,0,0,2,0,1,583,0,6,589,0
64,200,336,9,32,4,0,2,1,1,3,2,6,5,14,615,0,28,643,0
65,300,257,12,127,9,3,1,3,8,4,2,3,5,5,739,0,31,770,0
66,165,304,2,21,1,0,1,2,2,4,2,2,3,14,523,0,11,534,0
67,212,303,7,21,0,3,0,3,2,4,3,4,3,11,576,0,25,601,0
68,231,299,9,8,3,0,2,1,4,1,2,0,11,5,576,0,14,590,0
69,205,67,1,118,7,1,0,2,2,4,4,2,3,8,424,0,13,437,0
70,263,92,5,201,6,0,0,1,1,5,4,5,5,6,594,0,11,605,0
71,21,8,0,451,1,0,0,0,1,0,1,1,0,1,485,0,1,486,0
72,269,201,8,117,2,0,0,2,3,3,7,4,4,8,628,0,14,642,0
73,143,221,9,24,4,1,1,3,1,6,0,3,1,9,426,0,27,453,0
74,251,43,5,103,1,5,2,5,4,2,1,3,1,2,428,0,8,436,0
75,177,37,3,135,4,1,0,2,3,0,1,2,3,4,372,0,13,385,0
76,498,109,7,260,10,5,2,5,7,4,5,1,14,10,937,0,13,950,0
77,345,114,2,72,7,2,1,2,8,8,4,8,15,4,592,0,28,620,0
78,218,84,4,66,4,3,2,2,1,7,11,6,12,9,429,0,36,465,0
79,111,617,1,10,0,0,0,1,0,0,0,1,0,0,741,0,6,747,0
80,199,612,3,14,1,3,0,0,1,1,2,2,0,2,840,0,6,846,0
81,217,474,8,15,0,2,0,2,1,2,4,3,8,43,779,0,35,814,0
82,273,169,5,7,1,1,2,0,0,1,0,1,1,3,464,0,25,489,0
83,257,205,6,9,0,1,0,0,3,1,3,2,2,5,494,0,26,520,0
84,437,165,3,29,1,1,1,1,1,1,3,6,3,7,659,0,18,677,0
85,187,173,4,23,6,1,0,2,4,1,4,4,15,8,432,0,20,452,0
86,303,62,8,316,13,3,3,8,8,6,3,5,19,21,778,0,16,794,0
87,226,49,6,445,13,1,1,2,3,6,9,7,11,6,785,0,29,814,0
88,302,151,5,47,5,0,0,4,3,5,8,3,14,9,556,0,17,573,0
89,121,161,13,45,2,0,2,2,5,1,1,7,2,7,369,0,10,379,0
90,362,215,6,97,6,1,3,6,6,7,1,13,2,15,740,0,31,771,0
91,258,85,6,112,4,2,3,3,13,2,6,4,9,6,513,0,34,547,0
92,179,37,1,87,9,2,2,0,3,0,3,3,7,3,336,0,20,356,0
93,214,74,2,88,0,1,1,1,4,10,1,4,8,9,417,0,22,439,0
94,125,94,6,179,3,3,1,2,2,2,3,8,19,16,463,0,31,494,0
95,155,44,5,525,17,4,6,4,10,9,8,16,15,10,828,0,14,842,0
96,306,165,8,52,5,3,2,3,4,4,11,6,10,20,599,0,67,666,0
97,398,425,6,21,2,1,4,0,1,0,2,2,2,6,870,0,11,881,0
98,295,397,1,5,2,0,1,2,3,4,2,1,2,6,721,0,17,738,0
99,226,333,5,35,2,0,2,0,0,1,2,3,3,9,621,0,13,634,0
100,180,309,1,4,5,2,0,0,1,3,0,1,7,6,519,0,8,527,0
101,238,306,3,9,1,0,2,1,1,1,1,0,0,2,565,0,7,572,0
102,324,220,6,36,1,1,1,1,1,0,0,2,5,10,608,0,17,625,0
103,87,543,3,20,0,0,1,0,2,0,0,1,1,5,663,0,8,671,0
104,125,279,1,92,3,0,1,1,4,1,1,3,3,7,521,0,10,531,0
105,227,473,5,50,2,0,3,0,4,2,3,5,4,8,786,0,22,808,0
106,123,420,5,27,4,0,0,2,0,1,1,1,2,3,589,0,7,596,0
107,187,363,8,147,4,6,3,2,2,1,2,6,6,2,739,0,5,744,0
108,123,599,6,30,5,0,1,2,3,6,3,9,10,18,815,0,26,841,0
109,48,52,3,260,2,0,0,1,1,0,1,6,1,1,376,0,9,385,0
110,87,123,2,31,0,0,1,4,4,6,2,0,3,4,267,0,10,277,0
111,125,46,4,118,6,2,1,2,7,6,12,11,8,10,358,0,25,383,0
112,124,98,4,228,2,0,1,2,5,1,2,3,6,7,483,0,11,494,0
113,153,92,4,332,3,1,2,2,4,7,2,8,8,10,628,0,22,650,0
114,297,84,9,410,5,3,1,3,2,2,4,9,7,10,846,0,19,865,0
115,221,56,5,123,5,2,0,2,2,5,0,2,4,3,430,0,12,442,0
116,157,154,2,37,0,0,3,1,1,2,1,3,2,3,366,0,17,383,0
117,147,41,0,125,1,2,0,1,2,1,3,3,1,3,330,0,3,333,0
118,154,188,5,7,2,0,0,1,0,1,1,0,1,10,370,0,10,380,0
119,280,521,12,79,2,5,9,7,8,4,7,11,18,33,996,0,32,1028,0
120,117,577,13,60,5,3,3,9,13,12,5,7,10,9,843,0,17,860,0
121,157,361,11,54,4,1,0,3,5,9,6,2,7,11,631,0,27,658,0
122,169,206,7,6,0,2,0,0,0,5,3,1,1,8,408,0,18,426,0
123,362,215,5,182,5,1,2,1,10,7,9,2,9,13,823,0,30,853,0
124,83,62,3,43,0,0,1,1,1,2,2,5,4,3,210,0,8,218,0
125,304,116,11,335,15,4,3,3,6,3,4,8,17,18,847,0,23,870,0
126,271,83,8,307,11,1,3,5,8,9,10,6,19,11,752,0,34,786,0
127,181,304,5,218,10,3,0,2,11,3,3,9,2,6,757,0,13,770,0
128,46,591,9,154,3,1,6,3,4,4,2,5,6,23,857,0,22,879,0
129,427,30,0,5,1,0,1,0,0,0,0,1,1,0,466,0,5,471,0
130,91,117,6,168,1,1,2,2,4,5,2,5,13,5,422,0,17,439,0
131,36,362,1,133,5,1,0,0,1,0,1,1,0,1,542,0,3,545,0
132,120,308,5,115,3,1,1,1,2,0,1,0,3,1,561,0,5,566,0
133,32,251,1,160,3,1,0,0,2,2,4,2,3,7,468,0,10,478,0
134,65,428,5,110,0,0,0,0,0,0,1,2,4,2,617,0,10,627,0
135,59,280,3,7,1,0,0,0,1,0,1,0,11,4,367,0,12,379,0
136,48,205,3,15,0,0,0,1,1,0,1,0,0,2,276,0,5,281,0
137,176,286,4,29,5,2,0,2,5,2,1,4,5,5,526,0,8,534,0
138,160,322,6,145,8,0,1,2,2,2,2,3,4,10,667,0,8,675,0
139,118,197,6,189,4,2,1,2,9,2,6,10,14,15,575,0,24,599,0
140,82,48,9,346,5,2,0,1,2,5,4,4,2,4,514,0,11,525,0
141,104,133,10,136,6,2,3,1,9,4,10,9,8,13,448,0,41,489,0
142,117,81,6,276,10,3,2,3,1,6,2,6,8,18,539,0,29,568,0
143,143,207,1,134,3,1,2,2,1,2,2,8,5,7,518,0,13,531,0
144,172,480,19,123,4,1,3,4,11,7,6,9,19,25,883,0,45,928,0
145,148,231,8,245,3,3,5,5,8,5,10,9,12,7,699,0,25,724,0
146,99,245,10,17,0,1,0,0,2,0,2,2,7,6,391,0,9,400,0
147,163,448,13,168,4,4,4,0,3,4,1,1,3,1,817,0,15,832,0
148,162,107,6,77,1,2,0,3,1,2,3,1,2,6,373,0,7,380,0
149,44,68,6,204,3,0,1,1,1,1,3,4,5,5,346,0,16,362,0
150,127,365,9,107,5,1,0,4,5,0,0,5,11,14,653,0,41,694,0
151,168,224,3,75,2,0,0,6,9,4,3,4,10,18,526,0,16,542,0
152,465,190,4,163,6,3,1,5,6,5,6,5,13,12,884,0,42,926,0
153,25,25,9,282,0,0,1,2,1,0,5,6,4,12,372,0,6,378,0
154,228,60,14,442,9,6,2,3,5,8,6,9,6,5,803,0,19,822,0
155,99,60,6,471,11,2,3,1,4,2,4,10,22,17,712,0,27,739,0
156,128,257,1,98,1,2,1,1,2,0,3,2,0,1,497,0,7,504,0
157,73,179,3,216,13,0,0,3,4,1,5,6,14,15,532,0,20,552,0
158,31,97,8,369,16,2,3,1,1,2,4,5,6,10,555,0,14,569,0
159,25,66,3,423,3,0,2,2,1,1,1,6,7,5,545,0,11,556,0
160,21,36,2,474,8,1,1,3,1,0,4,5,2,2,560,0,7,567,0
161,9,15,3,523,1,1,0,1,0,4,4,11,8,5,585,0,4,589,0
162,474,307,8,94,5,4,3,7,4,7,8,12,9,8,950,0,67,1017,0
163,98,160,3,33,2,0,1,2,1,2,2,4,4,6,318,0,20,338,0
164,245,185,4,109,7,1,1,3,1,4,3,11,6,14,594,0,32,626,0
165,137,167,6,71,5,1,3,2,5,2,1,4,8,9,421,0,32,453,0
166,31,30,4,440,11,3,0,4,4,1,7,10,5,4,554,0,13,567,0
167,67,27,3,260,2,0,0,5,0,3,2,2,2,9,382,0,6,388,0
168,42,307,15,64,2,2,3,4,9,7,7,7,6,17,492,0,30,522,0
169,320,233,5,218,1,0,0,0,1,2,1,0,3,3,787,0,15,802,0
170,322,95,1,66,7,1,0,0,1,0,2,0,0,2,497,0,8,505,0
171,160,381,7,233,7,1,2,5,2,1,2,1,3,9,814,0,31,845,0
172,276,204,5,290,10,1,2,1,3,3,4,7,5,6,817,0,8,825,0
173,113,218,1,43,2,2,0,1,1,0,1,0,0,3,385,0,2,387,0
174,87,101,5,247,4,1,0,1,1,4,3,3,5,5,467,0,12,479,0
175,279,379,11,205,11,3,2,5,6,6,5,11,15,11,949,0,25,974,0
176,114,576,6,104,10,2,2,1,3,1,0,0,4,3,826,0,11,837,0
177,100,445,3,97,4,0,0,1,0,0,0,2,2,1,655,0,8,663,0
178,101,547,5,116,9,0,0,0,3,5,4,2,1,7,800,0,12,812,0
179,78,226,1,102,8,0,0,0,2,1,1,3,7,1,430,0,4,434,0
180,96,277,1,113,7,0,0,2,2,2,1,2,5,3,511,0,12,523,0
181,211,82,6,200,9,0,2,1,1,2,4,1,7,13,539,0,20,559,0
182,58,118,13,514,21,3,5,4,7,9,13,17,10,23,815,0,34,849,0
183,87,152,7,247,6,1,2,3,3,0,7,4,4,14,537,0,13,550,0
184,78,67,6,302,3,1,0,3,5,5,5,6,4,10,495,0,23,518,0
185,343,58,5,372,8,1,2,1,3,0,1,4,2,13,813,0,10,823,0
186,26,69,1,4,4,0,0,0,0,0,0,1,0,1,106,0,4,110,0
187,35,20,4,136,2,0,0,1,2,0,1,3,1,2,207,0,5,212,0
188,35,104,2,105,2,0,2,3,0,3,5,0,3,4,268,0,4,272,0
189,29,141,6,378,11,2,1,0,4,5,5,10,4,10,606,0,19,625,0
190,52,64,2,276,5,3,0,2,2,2,2,7,2,3,422,0,11,433,0
191,1,1,2,104,1,0,0,0,2,2,1,3,3,1,121,0,4,125,0
192,15,73,3,184,9,1,2,2,1,0,5,6,0,7,308,0,7,315,0
193,115,178,4,255,10,2,3,5,10,12,11,20,30,20,675,0,49,724,0
194,47,231,3,397,13,2,2,5,7,3,8,9,12,28,767,0,39,806,0
195,121,131,2,123,11,0,1,4,13,3,2,3,9,14,437,0,17,454,0
196,86,215,11,268,7,0,4,3,2,2,3,0,5,5,611,0,11,622,0
197,92,261,3,87,3,0,2,7,4,4,4,3,12,8,490,0,24,514,0
198,12,70,1,62,5,1,0,2,2,1,3,1,1,5,166,0,0,166,0
199,15,173,1,5,1,1,0,0,1,0,1,0,5,1,204,0,0,204,0
200,50,164,5,71,6,2,0,1,5,1,6,7,5,5,328,0,12,340,0
201,21,156,1,233,4,3,1,1,3,1,7,1,7,6,445,0,8,453,0
202,75,419,8,187,6,2,8,0,3,2,7,6,9,50,782,0,35,817,0
203,115,581,13,72,3,6,4,0,1,4,1,4,6,8,818,0,11,829,0
204,67,538,6,13,1,0,3,2,0,1,1,0,0,0,632,0,6,638,0
205,266,481,4,8,2,0,1,0,0,1,1,2,1,1,768,0,6,774,0
206,77,480,4,18,5,1,1,3,4,5,4,2,3,5,612,0,10,622,0
207,264,254,2,4,0,0,1,0,1,0,0,0,0,1,527,0,10,537,0
208,284,294,2,15,1,1,1,1,0,1,2,1,4,7,614,0,12,626,0
209,306,459,8,60,8,5,5,9,2,5,5,7,10,16,905,0,26,931,0
210,72,251,5,147,6,0,0,3,3,1,4,6,5,9,512,0,20,532,0
211,48,63,2,118,3,2,0,0,1,2,1,0,0,2,242,0,7,249,0
212,157,402,4,88,5,1,1,3,3,3,5,2,5,15,694,0,20,714,0
213,92,144,6,43,8,0,0,1,2,1,5,3,8,11,324,0,22,346,0
214,252,396,10,47,6,0,1,1,1,1,1,1,3,4,724,0,11,735,0
215,83,351,18,127,3,2,2,0,3,1,2,7,4,13,616,0,25,641,0
216,89,107,4,86,6,2,2,3,3,3,4,1,5,5,320,0,14,334,0
217,13,123,5,46,2,0,0,1,0,2,0,0,1,0,193,0,1,194,0
218,19,47,0,45,0,0,0,0,0,0,1,0,2,3,117,0,4,121,0
219,66,175,4,335,4,3,0,1,5,2,1,8,5,3,612,0,4,616,0
220,122,31,1,146,4,0,0,0,2,3,0,0,2,1,312,0,7,319,0
221,52,145,5,78,1,0,0,0,1,0,1,2,2,3,290,0,5,295,0
222,191,318,6,97,2,2,2,5,2,1,1,13,3,8,651,0,20,671,0
223,107,211,3,69,5,0,0,1,3,1,4,11,3,7,425,0,8,433,0
224,304,165,11,443,4,4,4,0,3,3,3,2,2,8,956,0,15,971,0
225,133,119,1,233,4,4,2,1,5,2,6,1,6,6,523,0,23,546,0
226,163,131,4,193,7,1,0,2,7,0,4,7,12,17,548,0,29,577,0
227,96,265,7,137,4,0,3,5,2,5,5,4,12,12,557,0,21,578,0
228,101,475,9,44,3,0,1,0,3,2,3,4,10,16,671,0,47,718,0
229,147,327,5,12,1,0,1,1,3,2,2,3,3,19,526,0,22,548,0
230,115,319,6,93,3,0,2,1,2,1,2,3,8,12,567,0,10,577,0
231,234,205,5,170,8,0,3,1,10,0,2,2,2,9,651,0,12,663,0
232,339,248,6,108,3,3,4,5,4,4,5,4,3,6,742,0,19,761,0
233,196,118,3,26,3,0,0,0,0,0,1,2,1,3,353,0,14,367,0
234,396,263,5,126,1,1,1,3,7,1,4,4,5,7,824,0,23,847,0
235,129,173,2,18,3,1,1,1,4,5,4,2,7,5,355,0,14,369,0
236,44,501,11,138,8,2,0,1,1,2,5,5,5,15,738,0,14,752,0
237,40,61,2,58,0,0,0,3,1,0,0,4,2,5,176,0,2,178,0
238,100,274,8,323,11,0,1,6,6,3,10,9,12,21,784,0,23,807,0
239,125,103,6,213,0,1,0,4,2,4,5,3,8,5,479,0,11,490,0
240,107,391,7,51,2,2,0,1,1,0,3,0,0,5,570,0,9,579,0
241,38,188,1,43,5,1,0,0,2,0,3,2,3,7,293,0,10,303,0
242,108,414,13,324,7,1,2,3,7,6,5,3,13,10,916,0,13,929,0
243,97,194,1,84,2,0,1,0,3,0,0,2,1,5,390,0,12,402,0
244,169,229,6,139,4,0,1,1,2,3,4,4,3,4,569,0,9,578,0
245,131,398,3,26,3,1,2,2,3,1,5,3,2,11,591,0,27,618,0
246,215,378,7,50,3,1,0,1,1,3,0,2,14,8,683,0,17,700,0
247,278,421,11,46,3,6,2,2,4,5,1,10,4,14,807,0,39,846,0
248,207,256,6,244,6,0,1,2,5,7,9,5,5,7,760,0,30,790,0
249,123,284,5,103,2,0,1,2,2,3,1,1,4,8,539,0,17,556,0
250,53,281,5,274,9,1,0,3,5,5,4,6,5,12,663,0,9,672,0
251,117,234,2,128,6,1,1,2,0,0,0,3,2,9,505,0,13,518,0
252,33,134,1,294,11,3,1,0,2,1,1,3,2,4,490,0,1,491,0
253,193,73,3,149,3,0,0,1,1,0,2,0,4,7,436,0,10,446,0
254,283,212,6,292,4,4,1,3,3,1,2,7,4,7,829,0,12,841,0
255,11,228,2,62,0,0,0,1,1,0,0,1,1,5,312,0,4,316,0
256,406,303,6,158,6,1,4,1,3,2,1,10,6,10,917,0,23,940,0
257,18,227,3,36,8,0,0,0,0,0,0,3,3,0,298,0,7,305,0
258,14,30,4,78,1,0,0,0,0,0,0,0,0,0,127,0,3,130,0
259,59,262,5,331,3,3,1,2,8,3,2,6,6,12,703,0,21,724,0
260,72,307,9,307,12,1,0,3,0,2,2,7,7,9,738,0,22,760,0
261,185,123,2,141,6,0,2,2,5,1,4,3,3,7,484,0,18,502,0
262,69,166,5,205,5,1,0,0,3,3,4,3,4,11,479,0,11,490,0
263,74,266,4,194,4,3,1,2,2,2,2,4,3,12,573,0,14,587,0
264,26,118,5,340,6,1,3,3,7,1,2,3,2,6,523,0,11,534,0
265,126,45,4,157,4,4,0,2,2,4,0,1,1,0,350,0,2,352,0
266,133,150,2,116,4,1,0,2,1,0,0,0,2,3,414,0,2,416,0
267,127,304,1,58,3,0,0,4,0,2,2,1,1,8,511,0,8,519,0
268,130,296,4,30,0,0,1,2,0,0,2,2,5,15,487,0,22,509,0
269,114,108,8,408,7,4,6,3,9,9,2,10,10,13,711,0,28,739,0
270,124,204,2,96,3,0,3,1,1,4,1,0,4,12,455,0,11,466,0
271,90,118,2,38,0,0,0,0,0,1,1,0,2,1,253,0,6,259,0
272,94,227,4,161,2,0,0,4,1,2,2,2,3,3,505,0,10,515,0
273,65,205,3,105,3,3,0,0,1,5,3,5,4,5,407,0,11,418,0
274,54,60,1,126,7,3,0,1,3,2,2,4,3,4,270,0,5,275,0
275,51,173,1,2,1,1,0,0,0,0,0,0,0,1,230,0,0,230,0
276,76,357,1,57,1,0,0,0,2,3,0,1,4,1,503,0,7,510,0
277,37,422,9,287,7,1,1,0,2,2,0,2,3,8,781,0,9,790,0
278,188,191,6,104,1,0,1,2,5,6,2,6,5,5,522,0,11,533,0
279,91,242,12,111,3,2,1,3,3,0,1,1,0,4,474,0,4,478,0
280,271,232,7,57,2,1,2,1,5,3,4,4,5,6,600,0,10,610,0
281,199,260,7,275,13,5,1,1,4,4,0,5,5,20,799,0,29,828,0
282,459,328,1,58,4,1,3,2,7,2,4,4,9,13,895,0,35,930,0
283,183,268,1,206,6,0,6,4,9,4,3,8,10,20,728,0,32,760,0
284,135,295,3,55,5,3,3,4,1,2,6,3,3,6,524,0,10,534,0
285,132,262,8,78,3,3,3,2,4,3,2,2,3,7,512,0,8,520,0
286,132,194,6,90,5,1,1,1,4,2,1,5,2,7,451,0,15,466,0
287,214,102,7,110,8,2,0,2,3,2,2,3,5,5,465,0,18,483,0
288,240,154,5,216,17,3,3,10,2,3,5,2,3,4,667,0,20,687,0
289,178,316,6,49,2,0,2,0,2,2,5,0,3,6,571,0,10,581,0
290,266,88,7,72,5,2,1,2,7,4,2,8,6,6,476,0,18,494,0
291,367,140,8,150,5,3,3,2,12,5,10,6,12,16,739,0,55,794,0
292,278,80,5,105,7,1,3,6,2,7,3,2,5,11,515,0,27,542,0
293,298,228,6,72,5,0,0,4,4,7,3,8,6,16,657,0,36,693,0
294,397,116,12,67,8,2,1,3,4,4,0,0,5,5,624,0,22,646,0
295,262,230,4,249,5,3,4,4,13,7,3,0,2,4,790,0,8,798,0
296,143,198,5,145,6,1,3,4,1,5,4,2,3,4,524,0,10,534,0
297,538,215,4,29,2,1,2,4,3,1,6,1,8,6,820,0,20,840,0
298,437,298,10,44,8,1,2,3,6,4,7,4,3,16,843,0,36,879,0
299,332,152,3,153,12,0,3,4,10,6,7,5,12,11,710,0,20,730,0
300,329,194,7,151,8,2,1,2,5,4,7,11,11,14,746,0,38,784,0
301,367,274,12,352,19,2,4,8,14,13,8,6,12,14,1105,0,37,1142,0
,51326,67407,1511,37874,1292,376,377,553,901,756,860,1121,1522,2318,168194,0,4774,172968,0
