polling station,,,,,,,,,,,,,,,,,,,,valid votes,rejected votes,nota,total,tendered votes
,Chuhan Kesavbhai Malabhai (Master),C.R.Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakuma r Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
73,3,751,33,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,800,0,4,804,0
74,3,584,22,0,1,0,11,0,1,0,0,0,1,0,0,3,1,0,2,629,0,13,642,0
75,2,251,47,0,0,0,12,1,0,1,1,0,1,0,2,3,1,0,1,323,0,0,323,0
76,3,595,71,0,0,1,19,1,0,1,0,0,0,0,2,0,1,1,0,695,0,18,713,0
77,0,168,225,1,1,0,51,0,0,0,0,0,0,0,2,0,1,0,0,449,0,18,467,0
78,0,659,96,1,0,0,23,0,0,0,1,0,0,1,0,2,0,1,0,784,0,15,799,0
79,4,687,90,2,1,0,24,0,0,0,0,1,1,0,1,1,0,3,0,815,0,6,821,0
80,2,769,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,799,0,8,807,0
81,2,381,71,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,472,0,9,481,0
82,0,421,55,2,0,1,2,0,0,2,1,0,0,0,1,2,0,2,2,491,0,6,497,0
83,5,996,39,2,0,1,10,0,0,1,0,0,0,0,0,0,2,13,3,1072,0,8,1080,0
84,1,635,41,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,691,0,8,699,0
85,0,533,29,0,1,0,7,0,0,0,0,0,0,0,0,1,0,1,0,572,0,14,586,0
86,1,915,26,0,0,1,14,0,0,0,0,0,0,0,1,1,0,3,0,962,0,9,971,0
87,3,889,42,0,0,0,32,0,0,0,0,0,0,0,0,0,1,1,0,968,0,16,984,0
88,0,342,100,1,1,0,14,2,1,0,0,0,0,0,2,0,0,0,0,463,0,11,474,0
89,0,747,34,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,812,0,18,830,0
90,3,585,54,1,1,0,9,0,0,0,0,0,0,0,0,0,0,1,0,654,0,6,660,0
91,7,465,136,1,0,0,5,1,1,0,1,0,0,0,0,4,3,2,1,627,0,4,631,0
92,1,302,51,1,0,0,3,0,0,0,0,1,1,0,1,1,0,1,0,363,0,2,365,0
93,0,529,16,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,2,561,0,5,566,0
94,0,707,24,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,744,0,5,749,0
95,0,714,32,0,0,0,9,0,0,0,0,0,1,0,0,1,1,1,0,759,0,4,763,0
96,0,393,140,2,1,0,13,0,0,0,0,0,1,1,1,0,0,0,0,552,0,6,558,0
97,1,497,25,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,529,0,4,533,0
98,2,489,12,0,0,0,6,0,0,1,0,0,0,0,0,2,1,1,0,514,0,4,518,0
99,1,895,32,0,0,0,10,0,0,1,0,0,0,0,0,1,0,2,0,942,0,7,949,0
100,0,712,78,0,0,0,6,0,0,0,0,1,0,0,0,0,1,2,1,801,0,7,808,0
101,1,670,23,0,0,0,8,0,0,0,0,1,0,0,0,1,0,0,0,704,0,9,713,0
102,3,794,20,1,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,827,0,4,831,0
103,0,331,5,0,1,0,5,0,0,0,0,0,0,0,0,0,0,8,0,350,0,2,352,0
104,2,909,24,0,0,0,19,0,0,0,0,0,1,0,0,1,1,1,0,958,0,6,964,0
105,2,693,53,0,0,0,12,0,1,0,0,0,1,0,1,1,1,3,3,771,0,13,784,0
106,1,724,23,1,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,766,0,5,771,0
107,0,698,28,0,0,1,10,0,0,0,0,0,0,0,0,2,0,0,0,739,0,2,741,0
108,2,597,60,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,681,0,9,690,0
109,5,580,152,1,1,0,2,0,1,0,3,1,0,0,0,2,1,0,0,749,0,4,753,0
110,7,455,143,10,2,0,7,1,1,1,0,2,1,1,0,2,1,2,1,637,0,3,640,0
111,0,331,45,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,379,0,2,381,0
112,1,572,82,2,1,1,11,0,0,1,0,0,0,0,1,0,0,2,1,675,0,9,684,0
113,0,163,12,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,179,0,2,181,0
114,3,806,58,1,0,0,11,1,0,2,2,1,1,0,5,6,1,27,6,931,0,3,934,0
115,3,619,55,2,0,1,4,0,0,0,0,0,0,0,1,1,1,2,0,689,0,8,697,0
116,1,673,33,0,0,0,12,0,0,0,2,0,0,0,1,1,0,1,0,724,0,7,731,0
117,5,581,141,1,0,1,6,1,1,0,0,3,0,1,1,5,1,6,2,756,0,5,761,0
118,2,571,93,3,0,0,9,0,1,1,12,2,1,0,0,6,0,4,0,705,0,15,720,0
119,17,223,104,4,0,0,8,1,0,1,2,0,0,0,0,1,0,0,1,362,0,3,365,0
120,3,192,32,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,234,0,7,241,0
121,6,632,38,0,0,0,4,0,0,0,0,0,0,2,0,4,2,3,0,691,0,9,700,0
122,1,763,26,0,1,1,8,0,0,0,0,0,0,0,0,2,0,23,2,827,0,3,830,0
123,1,597,11,0,0,0,3,0,0,0,0,0,0,0,0,0,1,11,0,624,0,6,630,0
124,3,273,21,0,0,0,5,0,0,0,0,0,0,0,1,1,1,1,0,306,0,0,306,0
124,1,495,7,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,510,0,3,513,0
125,3,686,52,1,0,0,5,0,0,0,2,0,0,1,1,5,0,0,0,756,0,4,760,0
126,9,406,182,0,0,0,2,0,0,0,0,3,1,0,3,3,1,0,1,611,0,6,617,0
127,16,297,209,1,1,2,12,3,3,1,1,0,1,2,3,4,1,1,0,558,0,1,559,0
128,8,514,175,0,2,0,4,0,1,2,0,1,2,1,1,3,1,0,1,716,0,0,716,0
129,2,712,116,2,2,0,9,1,0,0,0,0,0,0,2,4,6,2,3,861,0,5,866,0
130,6,646,125,1,1,0,9,0,0,0,1,0,0,0,3,1,0,5,1,799,0,2,801,0
131,4,677,64,1,1,0,11,0,1,0,0,1,2,0,0,1,2,1,1,767,0,11,778,0
132,0,695,39,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,750,0,7,757,0
133,0,458,37,0,0,0,10,0,0,1,0,0,0,0,0,0,1,1,1,509,0,2,511,0
134,1,609,61,0,0,0,10,0,1,0,0,0,0,0,0,0,0,1,1,684,0,6,690,0
135,2,718,55,1,0,0,13,1,0,0,1,1,0,0,0,0,0,2,0,794,0,8,802,0
