Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA option,Total Votes,Total No. of Tendered Votes
44,228,103,7,4,0,0,2,1,0,0,1,0,2,0,348,0,9,357,0
45,160,143,6,27,1,0,1,2,0,1,13,3,3,6,366,0,7,373,0
46,81,71,3,29,1,0,4,1,0,2,4,2,6,6,210,0,16,226,0
47,155,117,9,166,2,4,4,0,0,2,10,3,5,5,482,0,11,493,0
48,163,76,5,93,0,2,2,1,0,0,0,4,3,3,352,0,10,362,0
49,66,198,4,4,1,0,0,1,1,0,0,0,4,9,288,0,1,289,0
50,81,193,1,3,1,0,0,0,0,0,0,1,4,11,295,0,3,298,0
51,157,87,2,8,0,2,3,0,1,1,0,0,3,3,267,0,15,282,0
52,288,203,7,0,0,0,1,0,1,0,0,3,2,2,507,0,10,517,0
53,62,120,3,0,1,1,6,1,2,0,1,1,7,6,211,0,3,214,0
54,262,201,4,6,2,1,2,0,1,2,1,4,4,8,498,0,15,513,0
55,226,127,2,2,0,0,4,1,0,0,0,0,5,2,369,0,11,380,0
56,115,186,4,4,2,0,2,0,1,0,0,0,4,9,327,0,15,342,0
57,120,70,1,1,0,2,1,1,0,0,0,1,1,2,200,0,7,207,0
58,111,81,7,12,1,0,4,1,0,1,2,0,5,5,230,0,16,246,0
59,166,116,0,11,0,3,1,0,1,0,1,1,2,4,306,0,12,318,0
60,92,134,4,22,0,3,4,2,1,1,2,1,3,2,271,0,19,290,0
61,158,300,6,0,0,4,9,1,0,1,2,1,6,9,497,0,15,512,0
62,271,102,3,2,1,4,1,0,0,2,3,0,5,6,400,0,22,422,0
63,202,166,4,0,0,2,1,0,4,0,0,1,2,3,385,0,11,396,0
64,198,115,7,2,0,2,4,1,2,1,4,3,4,9,352,0,16,368,0
65,227,105,4,1,1,1,8,0,0,0,0,3,2,1,353,0,8,361,0
66,240,124,4,1,0,0,0,0,0,1,0,1,4,2,377,0,19,396,0
67,340,220,7,2,0,3,3,1,2,2,1,4,13,18,616,0,33,649,0
68,178,39,1,6,1,1,1,1,1,0,0,0,1,1,231,0,4,235,0
69,126,49,0,11,0,1,2,0,0,0,2,0,0,1,192,0,5,197,0
70,212,182,7,9,0,1,0,1,3,0,3,4,6,9,437,0,21,458,0
71,246,55,3,0,1,0,0,2,2,0,0,0,0,4,313,0,7,320,0
72,256,54,3,15,2,4,3,1,3,2,4,5,6,7,365,0,17,382,0
73,309,62,9,6,2,1,2,2,0,1,2,2,2,12,412,0,29,441,0
74,121,157,5,19,1,1,10,1,2,6,1,2,6,5,337,0,5,342,0
75,123,170,6,28,2,4,5,1,1,3,3,3,4,2,355,0,8,363,0
76,358,146,1,42,0,0,2,1,3,2,3,4,2,6,570,0,13,583,0
77,257,96,6,24,0,3,0,0,3,5,4,6,3,8,415,0,22,437,0
78,159,170,4,12,1,1,2,2,0,1,3,0,5,2,362,0,12,374,0
79,451,167,9,10,1,1,3,2,1,1,3,1,8,5,663,0,23,686,0
80,148,96,4,21,2,1,2,1,0,1,11,8,5,9,309,0,9,318,0
81,183,92,6,33,2,3,4,3,0,2,6,2,9,4,349,0,16,365,0
82,317,93,6,18,3,2,4,4,2,4,8,7,6,12,486,0,29,515,0
83,320,60,1,13,1,2,4,0,3,3,5,3,4,3,422,0,17,439,0
84,551,115,3,0,0,0,0,1,0,0,0,0,2,5,677,0,6,683,0
85,5,280,0,0,1,0,0,0,0,0,0,0,0,4,290,0,0,290,0
86,476,74,0,6,5,3,3,4,1,2,4,3,5,12,598,0,29,627,0
87,363,51,0,1,0,0,3,0,0,2,2,4,5,5,436,0,30,466,0
88,287,200,6,7,1,1,5,4,6,12,6,8,17,26,586,0,32,618,0
89,255,83,2,9,0,2,2,4,1,2,12,3,6,7,388,0,22,410,0
90,396,47,2,19,1,1,1,0,0,1,4,0,1,3,476,0,16,492,0
91,73,68,0,1,0,1,0,1,0,0,0,2,1,0,147,0,5,152,0
92,192,221,4,21,2,0,4,3,1,0,2,1,4,5,460,0,17,477,0
93,238,205,5,19,2,1,7,0,1,5,5,4,10,8,510,0,15,525,0
94,267,151,4,2,1,0,1,1,2,1,3,1,3,7,444,0,11,455,0
95,191,170,12,52,4,2,8,3,6,9,11,9,9,11,497,0,15,512,0
96,250,118,4,21,1,1,5,2,1,1,3,2,5,3,417,0,10,427,0
97,190,71,1,30,1,1,5,1,2,2,8,4,8,7,331,0,11,342,0
98,143,36,2,6,1,1,1,1,0,0,0,1,2,2,196,0,4,200,0
99,143,56,1,21,0,1,1,3,0,0,0,0,3,4,233,0,5,238,0
100,186,205,3,6,0,0,5,0,0,2,4,4,4,11,430,0,15,445,0
101,281,68,1,1,0,2,4,2,1,0,2,0,2,2,366,0,8,374,0
102,203,153,8,79,1,1,7,2,2,3,4,4,6,6,479,0,20,499,0
103,301,135,3,3,0,0,1,2,0,1,1,1,2,5,455,0,10,465,0
104,91,235,5,0,0,1,2,1,0,0,3,0,4,5,347,0,9,356,0
105,103,133,1,1,0,1,3,0,0,0,0,1,1,2,246,0,5,251,0
106,226,42,1,0,0,0,1,0,0,1,1,2,4,3,281,0,10,291,0
107,240,82,7,0,2,0,2,0,1,0,1,0,3,3,341,0,11,352,0
108,193,69,1,0,2,1,1,2,0,1,0,2,3,6,281,0,7,288,0
109,257,208,9,3,0,0,1,2,3,2,2,2,6,12,507,0,20,527,0
110,209,138,3,2,0,2,1,1,2,1,3,1,4,6,373,0,11,384,0
111,162,156,9,2,2,0,1,0,0,0,0,2,0,3,337,0,7,344,0
112,181,184,4,1,1,1,4,1,1,1,2,1,3,5,390,0,10,400,0
113,182,123,7,0,0,0,5,3,2,0,0,2,2,3,329,0,6,335,0
114,437,98,0,8,0,0,7,1,2,0,3,4,4,3,567,0,16,583,0
115,268,103,3,12,0,1,7,2,1,1,2,0,7,1,408,0,2,410,0
116,281,97,2,5,0,0,11,3,0,2,0,1,9,4,415,0,11,426,0
117,330,69,2,22,0,1,13,1,0,0,0,0,2,5,445,0,9,454,0
118,332,173,1,6,0,2,7,0,1,1,1,3,7,3,537,0,13,550,0
119,247,142,6,49,0,1,4,1,0,1,5,4,6,4,470,0,12,482,0
120,288,42,0,0,0,0,1,1,0,1,0,0,2,1,336,0,9,345,0
121,382,102,4,0,2,0,5,1,0,0,1,2,9,3,511,0,9,520,0
122,572,104,1,6,0,0,10,1,3,2,1,0,1,3,704,0,13,717,0
123,359,79,1,0,0,0,9,2,0,3,2,1,3,0,459,0,11,470,0
124,264,499,2,0,1,0,4,0,5,0,0,0,3,3,781,0,10,791,0
125,193,667,8,0,3,1,0,0,0,1,0,3,8,14,898,0,12,910,0
126,203,95,2,2,2,0,2,2,1,1,0,1,2,7,320,0,8,328,0
127,601,125,2,3,2,0,3,0,0,1,1,1,3,6,748,0,22,770,0
128,476,171,1,2,1,1,7,3,2,1,1,4,5,9,684,0,13,697,0
129,576,224,6,17,3,0,8,3,1,8,4,8,13,7,878,0,28,906,0
130,447,104,1,0,0,0,10,0,2,0,0,1,1,1,567,0,14,581,0
131,415,64,2,0,0,1,3,0,0,3,1,0,1,4,494,0,9,503,0
132,162,148,1,1,3,0,8,0,0,0,2,1,1,3,330,0,10,340,0
133,306,299,14,8,3,1,21,2,1,4,8,2,15,9,693,0,43,736,0
134,267,189,7,5,0,0,16,3,1,3,3,3,5,3,505,0,12,517,0
135,391,197,6,5,2,2,7,1,0,2,1,2,4,0,620,0,34,654,0
136,404,119,5,0,1,3,5,4,0,2,1,1,2,8,555,0,14,569,0
137,360,90,3,0,0,1,5,1,3,2,5,2,5,12,489,0,38,527,0
138,385,278,3,0,0,1,6,1,0,2,1,4,7,13,701,0,31,732,0
139,485,48,1,4,2,0,4,1,0,3,0,1,2,2,553,0,17,570,0
140,304,37,0,0,0,0,5,0,0,0,0,0,0,2,348,0,3,351,0
141,510,67,1,1,2,1,4,2,0,2,0,1,4,3,598,0,9,607,0
142,429,79,3,2,0,1,3,0,0,0,0,0,0,1,518,0,17,535,0
143,359,36,1,0,0,0,0,1,0,1,0,0,1,1,400,0,7,407,0
144,327,179,1,1,0,0,1,0,1,0,2,0,3,5,520,0,8,528,0
145,462,104,0,1,1,0,1,0,1,0,0,0,0,3,573,0,10,583,0
146,125,184,3,0,0,0,1,0,0,0,3,1,0,0,317,0,4,321,0
147,335,58,0,0,0,0,4,0,0,0,1,1,1,0,400,0,6,406,0
148,216,29,0,0,0,0,2,0,0,0,0,0,0,0,247,0,7,254,0
149,211,17,2,0,0,0,1,0,0,0,0,0,0,1,232,0,7,239,0
150,166,218,2,1,1,0,2,0,0,0,1,0,3,3,397,0,5,402,0
151,168,184,0,1,0,0,1,0,0,0,0,0,0,2,356,0,9,365,0
152,326,100,0,0,1,0,10,0,0,1,0,1,0,0,439,0,15,454,0
153,313,254,4,1,1,0,4,0,0,0,2,1,2,11,593,0,23,616,0
154,463,103,1,10,0,0,2,0,0,0,0,2,2,1,584,0,6,590,0
155,367,37,2,3,1,2,2,2,0,0,1,1,0,2,420,0,10,430,0
156,283,246,8,1,0,1,4,0,1,1,1,1,3,15,565,0,19,584,0
157,449,101,2,0,0,0,6,0,0,0,1,0,1,2,562,0,12,574,0
158,559,84,4,1,0,0,2,1,0,0,0,1,5,7,664,0,27,691,0
159,554,107,0,1,0,0,4,0,0,1,0,1,1,3,672,0,12,684,0
160,212,115,2,0,1,0,0,0,0,0,1,1,1,2,335,0,4,339,0
161,299,172,3,3,0,0,6,1,3,1,2,3,2,9,504,0,15,519,0
162,249,127,3,4,1,0,5,0,0,1,1,0,5,4,400,0,14,414,0
163,383,189,12,2,1,0,8,1,1,0,3,0,4,5,609,0,14,623,0
164,303,186,18,2,0,1,2,0,1,0,3,3,3,13,535,0,18,553,0
165,169,498,17,2,2,1,6,1,1,3,0,0,6,24,730,0,16,746,0
166,511,170,4,1,1,1,2,0,1,2,31,1,8,10,743,0,18,761,0
167,453,288,2,0,0,0,3,0,1,0,0,0,2,4,753,0,8,761,0
168,287,269,1,0,1,1,3,0,0,1,0,0,2,3,568,0,7,575,0
169,122,524,5,2,1,1,4,1,4,3,16,3,8,10,704,0,11,715,0
170,320,219,2,0,2,1,5,1,2,2,4,4,5,6,573,0,13,586,0
171,148,582,5,6,1,0,2,1,11,1,4,2,10,10,783,0,26,809,0
172,288,439,6,8,1,3,3,0,4,1,1,2,5,7,768,0,10,778,0
173,279,301,1,0,1,0,9,1,2,0,0,1,1,5,601,0,8,609,0
174,65,339,4,1,1,1,5,2,0,3,0,2,4,19,446,0,10,456,0
175,312,350,3,0,3,1,2,1,3,1,4,4,4,7,695,0,24,719,0
176,106,405,4,0,1,1,2,1,1,0,0,0,6,3,530,0,14,544,0
177,391,184,2,1,1,0,14,0,2,0,0,1,2,1,599,0,15,614,0
178,238,160,4,8,2,0,3,2,1,3,5,6,10,9,451,0,13,464,0
179,213,92,5,4,4,0,4,4,2,2,48,6,8,4,396,0,12,408,0
180,302,173,9,0,1,2,5,3,1,4,4,3,4,3,514,0,7,521,0
181,302,224,8,15,4,5,4,2,1,9,6,3,6,10,599,0,12,611,0
182,408,138,4,13,2,1,4,1,2,2,4,4,6,5,594,0,23,617,0
183,129,177,11,1,3,1,2,0,1,2,5,5,10,9,356,0,6,362,0
184,165,101,2,2,0,0,1,1,0,1,0,1,2,0,276,0,7,283,0
185,252,161,6,5,0,4,1,2,0,5,9,4,8,3,460,0,10,470,0
186,216,67,0,28,2,0,1,2,2,0,2,0,3,0,323,0,10,333,0
187,177,88,3,50,1,1,2,0,0,2,3,4,3,3,337,0,7,344,0
188,103,47,4,2,0,0,0,1,0,1,0,2,0,1,161,0,11,172,0
189,228,106,2,11,1,1,4,3,0,1,0,0,3,9,369,0,8,377,0
190,290,245,10,10,0,0,2,0,0,2,3,1,10,8,581,0,16,597,0
191,278,215,27,84,4,3,9,2,4,4,11,4,6,4,655,0,6,661,0
192,279,229,9,8,2,2,2,0,0,4,3,3,18,8,567,0,21,588,0
193,307,100,5,13,1,0,3,0,0,2,0,2,2,4,439,0,8,447,0
194,424,103,2,4,0,1,5,0,1,0,1,3,5,6,555,0,17,572,0
195,446,76,4,6,2,0,1,0,0,2,0,3,9,2,551,0,16,567,0
196,172,93,9,6,11,0,3,3,0,3,17,2,3,3,325,0,8,333,0
197,160,57,3,1,0,1,1,0,0,2,2,2,1,0,230,0,4,234,0
198,218,93,0,0,0,0,3,0,0,2,4,4,2,6,332,0,18,350,0
199,284,66,1,0,2,0,6,0,1,0,4,4,4,1,373,0,2,375,0
200,337,69,7,8,0,2,3,4,1,1,8,5,6,10,461,0,14,475,0
201,186,148,5,2,0,0,3,2,0,0,0,0,1,4,351,0,2,353,0
202,219,88,5,1,0,0,3,2,1,2,9,1,5,0,336,0,5,341,0
203,189,84,21,3,1,0,2,0,0,0,0,0,1,2,303,0,4,307,0
204,95,30,4,2,0,1,1,0,0,0,0,1,0,4,138,0,5,143,0
205,185,82,6,3,1,1,5,4,1,5,1,2,5,3,304,0,15,319,0
206,124,100,0,0,1,0,2,0,0,1,0,0,2,1,231,0,3,234,0
207,360,156,10,10,3,2,3,0,1,1,1,3,4,9,563,0,16,579,0
208,383,188,6,3,4,0,5,2,0,0,1,2,7,6,607,0,15,622,0
209,327,163,5,6,1,0,4,1,2,4,1,2,9,6,531,0,12,543,0
210,164,44,2,0,1,1,0,1,0,0,0,0,1,3,217,0,11,228,0
211,334,225,6,1,4,0,2,2,0,2,0,1,2,9,588,0,18,606,0
212,321,180,7,3,2,1,0,2,2,1,0,4,6,8,537,0,14,551,0
213,322,221,9,9,1,1,1,3,0,0,6,0,5,9,587,0,25,612,0
214,201,96,5,31,0,0,0,1,2,0,5,3,2,4,350,0,14,364,0
215,229,233,10,28,9,0,2,0,2,1,12,3,9,8,546,0,20,566,0
216,287,58,1,1,0,1,0,1,1,0,2,0,4,3,359,0,7,366,0
217,150,54,3,1,0,1,1,0,0,0,1,3,1,1,216,0,9,225,0
218,244,143,1,2,3,2,6,5,1,3,2,3,4,1,420,0,12,432,0
219,285,129,4,0,1,0,9,2,0,0,1,1,3,2,437,0,9,446,0
220,383,67,3,1,1,0,9,0,1,3,0,1,12,3,484,0,22,506,0
221,392,110,1,2,1,0,7,3,0,1,1,1,2,7,528,0,9,537,0
222,132,304,2,0,0,0,9,1,0,1,1,1,7,3,461,0,8,469,0
223,106,346,6,4,0,2,5,1,2,0,0,2,7,9,490,0,10,500,0
224,155,135,6,3,1,3,3,0,1,1,27,2,1,7,345,0,9,354,0
225,135,88,12,9,0,1,4,1,2,1,1,2,3,4,263,0,8,271,0
226,310,147,4,2,1,0,1,2,1,0,6,3,4,1,482,0,13,495,0
227,202,239,3,11,0,0,1,0,5,1,2,4,3,2,473,0,10,483,0
228,300,117,2,0,0,0,3,3,2,0,3,2,5,4,441,0,10,451,0
229,417,160,3,4,1,1,19,3,0,2,0,1,4,1,616,0,9,625,0
230,461,86,2,2,0,1,4,3,1,1,1,1,2,4,569,0,12,581,0
231,316,228,1,1,0,0,3,0,0,0,1,2,4,3,559,0,11,570,0
232,237,27,2,1,1,1,1,0,0,0,0,0,1,2,273,0,4,277,0
233,180,332,7,0,0,2,5,4,0,2,4,4,13,10,563,0,16,579,0
234,413,219,6,2,0,1,4,2,0,3,0,1,3,3,657,0,25,682,0
235,297,109,5,7,2,0,1,1,1,2,0,2,4,10,441,0,4,445,0
236,426,97,4,21,3,0,0,2,0,0,5,5,3,5,571,0,33,604,0
237,550,38,0,0,0,0,1,0,0,0,0,3,2,6,600,0,27,627,0
238,160,66,4,0,2,1,1,0,1,4,0,0,2,3,244,0,9,253,0
239,96,70,1,2,0,0,0,0,0,0,1,0,4,2,176,0,3,179,0
240,304,170,7,1,0,1,9,1,0,1,0,1,6,1,502,0,9,511,0
241,190,91,2,7,1,0,1,0,0,3,0,1,6,1,303,0,7,310,0
242,225,134,0,0,0,1,3,2,0,1,0,2,3,2,373,0,8,381,0
243,258,293,5,5,3,3,5,1,1,0,0,0,6,10,590,0,12,602,0
244,198,252,8,7,2,0,3,1,0,1,0,0,4,5,481,0,12,493,0
245,261,246,21,1,1,0,2,0,2,2,2,2,2,11,553,0,24,577,0
246,197,177,1,1,0,0,3,1,0,0,2,0,0,2,384,0,5,389,0
247,286,179,3,1,1,1,12,0,1,2,3,1,5,6,501,0,8,509,0
248,191,71,3,1,4,2,3,0,0,0,5,0,1,0,281,0,3,284,0
249,274,116,18,6,0,1,4,1,2,1,3,0,6,5,437,0,19,456,0
250,309,164,9,9,0,2,2,4,0,1,3,6,6,1,516,0,8,524,0
251,157,160,6,3,1,2,2,0,0,1,2,0,2,5,341,0,6,347,0
252,112,177,6,0,3,0,1,0,0,1,1,2,1,2,306,0,6,312,0
253,258,190,6,4,0,1,6,0,0,2,2,1,0,1,471,0,15,486,0
254,164,192,3,5,1,2,2,0,0,1,1,1,2,2,376,0,5,381,0
255,347,28,0,0,0,0,0,0,0,0,0,0,0,0,375,0,2,377,0
256,238,98,3,0,0,0,0,0,1,0,2,1,2,3,348,0,15,363,0
257,146,57,2,0,2,0,4,0,0,1,2,2,2,1,219,0,8,227,0
258,215,31,3,1,1,1,5,1,2,3,5,5,8,4,285,0,17,302,0
