Serial  No.of  Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,Total of valid  votes,No. of  Rejected  Votes,NOTA,Total,No. of  tendered  votes
72,0,837,99,3,0,0,0,0,8,1,0,0,1,0,949,0,7,956,
73,2,665,122,1,0,0,0,0,13,1,0,0,1,0,805,0,8,813,
74,2,299,69,0,0,0,0,0,0,0,0,0,2,1,373,0,5,378,
75,3,538,80,1,0,0,0,1,6,0,0,0,0,0,629,0,8,637,
76,2,367,135,3,0,0,0,0,5,0,1,2,1,3,519,0,10,529,
77,4,454,103,3,1,0,1,0,7,0,2,0,0,1,576,0,8,584,
78,2,784,205,2,1,0,1,0,4,0,0,1,0,1,1001,0,7,1008,
79,2,403,134,10,0,0,0,1,6,1,0,1,2,1,561,0,13,574,
80,7,644,260,7,0,0,4,0,12,0,1,2,5,5,947,0,29,976,
81,1,898,96,1,0,0,1,2,3,0,1,0,0,0,1003,0,3,1006,
82,5,745,101,0,0,0,1,0,6,0,0,0,2,1,861,0,13,874,
83,1,568,90,1,0,0,0,0,4,1,0,1,0,1,667,0,6,673,
84,3,818,175,3,0,0,1,1,11,0,0,2,5,5,1024,0,18,1042,
85,5,117,673,6,1,2,0,0,2,1,1,3,5,4,820,0,5,825,
86,8,418,365,4,3,0,0,0,6,1,1,1,3,6,816,0,9,825,
87,6,404,287,2,0,0,0,1,15,0,0,1,2,3,721,0,14,735,
88,2,431,444,5,1,0,0,1,5,0,0,0,5,3,897,0,8,905,
89,13,335,388,5,1,2,1,1,9,3,0,0,4,5,767,0,10,777,
90,4,813,162,3,0,0,0,3,12,0,0,4,0,1,1002,0,22,1024,
91,1,416,64,2,0,0,1,0,5,0,0,1,0,0,490,0,4,494,
92,1,521,48,0,0,1,0,0,4,0,0,1,0,0,576,0,2,578,
93,10,565,157,2,1,0,1,0,3,3,0,0,2,9,753,0,11,764,
94,13,541,154,3,1,1,1,2,8,2,1,3,4,7,741,0,11,752,
95,3,573,131,0,0,0,0,1,5,0,0,1,1,0,715,0,10,725,
96,3,445,224,4,0,1,2,0,3,1,0,1,0,1,685,0,9,694,
97,3,520,203,3,0,0,0,0,5,2,0,1,1,2,740,0,13,753,
98,1,546,233,1,0,0,0,1,8,3,0,0,2,2,797,0,8,805,
99,10,333,418,4,0,1,1,1,1,1,1,2,1,3,777,0,13,790,
100,0,495,285,4,0,1,1,2,16,1,0,1,1,4,811,0,10,821,
101,3,676,80,0,0,1,1,0,3,0,1,0,4,6,775,0,5,780,
102,3,725,82,1,0,0,0,0,6,0,0,1,0,1,819,0,5,824,
103,5,102,415,2,0,0,0,0,2,0,0,0,3,1,530,0,3,533,
104,6,138,385,1,1,1,1,1,1,0,0,2,1,3,541,0,2,543,
105,1,623,87,1,0,1,0,0,15,0,1,1,0,3,733,0,6,739,
106,1,563,42,0,0,0,0,0,4,0,0,1,0,1,612,0,4,616,
107,5,470,113,1,0,0,1,0,8,0,2,0,1,0,601,0,6,607,
108,3,812,77,3,0,3,0,1,7,0,0,0,4,0,910,0,6,916,
109,1,803,124,1,1,0,0,0,1,0,0,0,0,2,933,0,3,936,
110,1,409,79,0,0,1,1,0,5,1,0,0,1,1,499,0,3,502,
111,0,520,50,0,0,0,0,0,8,1,0,0,0,2,581,0,7,588,
112,3,690,98,1,0,0,0,0,2,0,0,0,1,1,796,0,8,804,
113,2,591,78,0,0,0,0,0,15,0,0,0,0,0,686,0,5,691,
114,1,656,68,0,0,0,0,0,2,0,0,0,2,0,729,0,6,735,
115,2,611,119,3,0,0,1,0,11,0,0,0,1,1,749,0,9,758,
116,2,532,83,0,0,0,0,0,3,0,0,0,0,0,620,0,7,627,
117,1,686,135,1,0,1,0,0,13,1,1,0,1,0,840,0,7,847,
118,6,585,97,0,0,0,1,0,1,1,1,0,1,0,693,0,3,696,
119,0,634,87,2,0,0,0,0,6,0,0,0,0,0,729,0,9,738,
120,2,581,131,1,0,0,0,0,8,0,1,0,0,3,727,0,6,733,
121,3,660,121,0,0,0,2,0,13,0,1,0,1,0,801,0,13,814,
122,2,653,153,1,2,1,0,0,3,0,0,3,1,0,819,0,13,832,
123,1,686,123,2,0,0,1,0,4,0,0,0,0,2,819,0,10,829,
124,1,557,93,20,0,0,0,0,6,0,3,0,2,5,687,0,11,698,
125,5,541,213,3,2,2,1,1,6,1,2,1,1,3,782,0,8,790,
126,5,447,53,0,0,0,1,0,5,0,0,1,0,0,512,0,9,521,
127,1,956,63,0,1,0,0,0,8,0,1,0,0,0,1030,0,10,1040,
128,2,139,83,0,0,1,0,0,0,0,1,0,1,1,228,0,2,230,
129,3,488,234,4,1,0,0,0,11,7,1,3,7,6,765,0,19,784,
130,12,559,317,3,2,0,2,0,2,1,0,0,2,7,907,0,11,918,
131,8,792,248,0,0,0,1,0,7,0,0,0,1,3,1060,0,17,1077,
132,6,413,83,0,0,0,1,0,5,0,0,1,0,1,510,0,9,519,
133,4,392,171,1,2,0,0,0,6,2,0,4,1,5,588,0,9,597,
134,5,393,93,1,6,0,0,0,0,0,0,0,2,0,500,0,4,504,
135,7,441,275,5,2,0,0,1,3,2,1,5,9,8,759,0,15,774,
136,10,414,353,7,1,0,0,0,2,1,4,0,7,11,810,0,4,814,
137,1,419,128,0,0,0,0,0,0,0,0,0,1,0,549,0,3,552,
138,2,316,50,1,0,0,0,0,1,0,1,2,0,3,376,0,3,379,
139,6,368,405,9,2,2,0,2,1,3,6,5,10,4,823,0,19,842,
140,10,503,223,2,1,1,2,2,4,2,1,0,1,0,752,0,1,753,
141,3,318,204,3,0,1,2,0,2,1,0,1,2,5,542,0,12,554,
142,3,241,186,0,0,0,0,0,1,1,2,0,1,1,436,0,1,437,
143,5,587,216,2,0,2,0,0,2,0,1,0,1,3,819,0,7,826,
144,3,281,194,5,1,2,2,0,2,3,0,4,1,0,498,0,10,508,
145,4,307,110,2,3,1,0,0,2,0,1,2,1,2,435,0,5,440,
146,7,446,240,3,0,0,1,0,2,1,1,2,5,8,716,0,8,724,
147,4,610,206,4,1,1,0,1,5,1,1,0,1,8,843,0,11,854,
148,6,416,95,0,2,0,0,0,21,0,0,0,0,1,541,0,7,548,
149,13,481,308,5,1,1,3,1,20,1,2,3,5,5,849,0,14,863,
150,2,424,155,1,1,0,0,0,1,0,0,0,3,0,587,0,3,590,
151,4,402,145,2,2,0,0,0,1,1,2,0,1,5,565,0,3,568,
152,5,524,417,4,0,0,1,1,1,1,1,4,9,5,973,0,5,978,
153,5,565,278,3,2,0,3,0,3,1,1,2,0,4,867,0,4,871,
154,13,298,450,9,1,3,1,2,4,3,3,7,16,11,821,0,30,851,
155,5,334,333,1,0,0,1,0,2,0,1,1,6,3,687,0,10,697,
156,4,442,287,2,0,1,0,0,3,0,1,1,4,5,750,0,5,755,
157,17,181,458,4,1,1,1,3,2,0,6,15,16,6,711,0,28,739,
158,2,658,157,1,0,0,0,0,0,1,0,1,2,2,824,0,2,826,
159,9,410,265,1,2,2,0,1,1,2,1,2,4,6,706,0,8,714,
160,12,396,411,10,0,0,1,1,3,0,1,2,10,12,859,0,9,868,
161,1,398,215,3,0,0,0,0,0,0,4,2,10,10,643,0,14,657,
162,6,455,345,14,1,3,4,2,2,1,4,6,9,3,855,0,10,865,
163,3,154,208,0,0,0,0,3,0,3,2,0,3,2,378,0,4,382,
164,6,246,221,8,2,2,8,2,7,9,6,7,6,8,538,0,16,554,
165,1,346,26,1,0,0,0,0,1,0,1,1,1,3,381,0,2,383,
166,4,133,482,5,1,1,3,2,0,2,5,3,8,7,656,0,16,672,
167,2,236,293,0,1,4,0,1,2,0,1,0,10,9,559,0,12,571,
168,2,149,452,4,0,1,1,1,0,0,1,1,2,2,616,0,12,628,
169,9,292,390,6,2,1,3,0,2,5,1,1,9,8,729,0,18,747,
170,5,236,210,6,3,1,0,1,0,3,3,1,5,2,476,0,17,493,
171,7,390,149,2,2,1,1,1,1,2,1,0,1,5,563,0,3,566,
172,1,213,191,4,0,1,1,0,0,0,2,4,2,11,430,0,15,445,
173,9,176,416,3,0,0,0,0,2,0,3,0,1,0,610,0,10,620,
174,13,292,360,11,3,1,0,1,3,2,3,2,4,9,704,0,7,711,
175,1,371,109,2,0,0,0,1,0,0,1,0,1,1,487,0,7,494,
176,8,293,290,3,2,0,4,1,6,3,1,1,2,1,615,0,9,624,
177,4,225,227,5,0,1,1,1,0,1,0,4,5,5,479,0,5,484,
178,11,334,199,2,1,1,1,0,5,1,0,2,3,7,567,0,21,588,
179,4,453,40,2,0,0,0,0,3,0,0,0,1,0,503,0,1,504,
180,1,547,33,1,0,0,0,0,0,0,0,0,0,1,583,0,3,586,
181,5,524,292,2,2,1,1,0,4,3,4,2,4,1,845,0,10,855,
182,4,513,328,3,1,1,2,3,1,1,2,3,9,5,876,0,21,897,
183,8,105,725,7,0,2,2,1,1,2,4,4,20,6,887,0,11,898,
184,11,65,644,12,2,2,3,3,7,3,3,10,16,13,794,0,26,820,
185,5,58,631,5,2,1,1,2,2,5,3,7,8,11,741,0,23,764,
186,1,409,203,5,1,2,0,1,1,1,2,2,14,6,648,0,3,651,
187,9,264,476,5,1,2,2,2,0,1,3,2,4,10,781,0,13,794,
188,2,134,143,1,0,6,1,2,0,0,0,1,4,1,295,0,3,298,
189,2,75,214,4,0,5,1,0,1,1,1,1,3,3,311,0,3,314,
190,5,210,361,10,0,3,2,0,0,1,2,3,3,7,607,0,12,619,
191,3,173,288,4,1,14,0,1,2,3,3,2,5,9,508,0,17,525,
192,7,404,220,1,0,1,2,0,1,1,3,3,4,3,650,0,8,658,
193,2,237,158,2,0,0,0,0,0,0,1,0,1,1,402,0,2,404,
194,6,148,489,7,4,1,1,0,1,4,1,0,8,4,674,0,4,678,
195,3,170,201,2,1,1,0,1,2,1,0,2,1,2,387,0,7,394,
196,1,307,191,0,0,0,0,0,0,0,1,2,1,3,506,0,2,508,
197,6,306,316,6,1,1,0,4,2,0,3,1,5,3,654,0,5,659,
198,9,181,450,9,1,1,1,1,3,1,1,2,8,2,670,0,12,682,
199,11,408,193,1,1,1,0,2,0,1,2,0,7,1,628,0,5,633,
200,4,326,258,4,1,2,0,0,1,1,3,1,3,0,604,0,9,613,
201,1,350,148,1,1,1,0,0,3,1,0,2,1,8,517,0,2,519,
202,1,405,87,4,0,0,0,1,1,0,2,1,4,4,510,0,2,512,
203,3,232,221,4,2,1,1,1,1,0,1,3,7,3,480,0,14,494,
204,2,343,83,1,0,1,1,0,2,1,0,0,2,3,439,0,1,440,
205,7,159,373,4,1,2,1,0,0,0,1,3,6,5,562,0,3,565,
206,0,378,55,2,0,0,0,0,0,0,0,0,0,1,436,0,2,438,
207,4,406,254,1,0,0,0,2,2,2,1,2,9,6,689,0,6,695,
208,8,207,347,8,1,1,0,0,1,4,7,5,11,10,610,0,19,629,
209,5,248,194,3,1,0,3,0,1,1,0,0,6,3,465,0,2,467,
210,6,58,511,11,1,1,1,0,0,2,2,4,14,5,616,0,16,632,
211,2,34,584,6,2,1,3,1,0,1,0,0,5,5,644,0,7,651,
212,7,65,571,13,2,3,2,3,1,2,1,9,15,4,698,0,19,717,
213,12,55,706,16,1,4,0,0,1,3,14,3,6,7,828,0,13,841,
214,2,157,160,1,0,1,0,0,0,0,0,1,1,0,323,0,3,326,
215,6,339,308,2,0,1,1,0,2,1,0,0,4,4,668,0,9,677,
216,11,488,332,0,0,2,0,1,1,0,1,1,5,6,848,0,5,853,
217,5,309,491,6,0,0,0,3,3,0,1,3,7,5,833,0,6,839,
218,9,388,301,4,1,1,0,1,0,1,4,1,9,7,727,0,9,736,
219,4,192,325,3,1,2,0,0,1,0,2,2,7,5,544,0,6,550,
220,3,339,295,7,1,4,1,0,2,2,4,4,14,4,680,0,1,681,
221,14,333,298,6,1,2,4,1,1,2,6,6,14,6,694,0,16,710,
222,4,329,241,1,2,2,1,1,0,1,4,1,7,4,598,0,6,604,
223,4,455,121,3,4,1,0,0,1,4,0,0,3,4,600,0,10,610,
224,3,252,281,6,1,0,1,0,0,3,1,2,1,3,554,0,13,567,
225,8,175,680,10,1,1,2,1,0,2,0,0,5,6,891,0,7,898,
226,13,258,553,4,3,2,1,4,1,2,4,5,14,5,869,0,16,885,
227,8,373,296,3,1,1,0,1,1,1,5,2,9,8,709,0,19,728,
228,7,242,203,4,2,2,2,0,2,4,4,3,6,2,483,0,5,488,
229,10,550,152,2,1,0,0,0,2,0,3,2,5,3,730,0,6,736,
230,3,349,209,2,0,2,4,0,3,1,5,0,0,5,583,0,12,595,
