polling station,,,,,,,,,,,,,,,Valid Votes,Rejected Votes,of NOTA Options,Tendered Votes,total
,Jadeja Kandhalbhai Saramanbhai,Radadiya Vithalbhai Hansrajbhai,Sadiya Vrajlal Pababhai,Irfanshah Habibshah Suhravardi,Mansukh Sundarji Dhokai,Aghera Dhirajlal Bhurabhai,Unadakat Prakash Vallabhadas,Khunti Bharatbhai Maldebhai,Khokhani Lalitaben Mansukhbhai,Joshi Harish Liladhar,Tukadia G.R.,Patel Butani Rajeshbhai Maganbhai,Rathod Chandulal Mohanbhai,Vakil Vinzuda Ranjit Naranbhai,,,,,
122,244,169,2,4,4,0,1,2,3,0,0,1,2,3,435,0,9,0,444
123,318,181,3,3,4,1,3,5,0,0,0,1,4,2,525,0,25,0,550
124,180,229,5,4,3,0,1,2,1,0,0,1,0,6,432,0,7,0,439
125,142,185,4,1,5,1,0,1,1,0,2,3,3,3,351,0,13,0,364
126,47,156,0,1,5,0,0,2,0,1,0,0,0,0,212,0,9,0,221
127,41,221,1,0,0,1,2,0,1,0,1,0,0,1,269,0,4,0,273
128,192,389,7,2,3,2,1,1,1,0,1,2,2,7,610,0,13,0,623
129,135,311,4,2,1,0,1,2,0,0,1,0,0,0,457,0,13,0,470
130,150,489,12,11,9,2,7,0,2,2,0,0,5,3,692,0,6,0,698
131,167,218,7,4,6,0,1,1,0,0,1,1,1,1,408,0,11,0,419
132,165,66,19,6,6,1,1,4,0,2,2,1,3,1,277,0,3,0,280
133,224,288,5,5,5,1,1,7,4,1,2,3,2,8,556,0,13,0,569
134,115,281,8,2,0,1,0,1,3,0,3,1,1,1,417,0,4,0,421
135,126,143,3,1,3,3,2,0,0,0,0,1,1,3,286,0,4,0,290
136,171,294,6,5,0,3,1,1,2,0,1,1,3,0,488,0,4,0,492
137,244,263,9,6,1,4,0,1,1,1,0,0,4,5,539,0,1,0,540
138,129,138,8,4,4,2,1,1,0,3,0,2,2,3,297,0,6,0,303
139,143,175,5,1,3,2,0,0,0,0,2,0,1,1,333,0,8,0,341
140,29,449,3,2,3,1,0,0,1,0,2,1,2,2,495,0,6,0,501
141,118,105,4,0,4,1,1,0,0,0,0,0,1,1,235,0,8,0,243
142,159,436,8,1,3,2,2,0,0,1,2,3,3,1,621,0,5,0,626
143,223,274,3,4,6,1,1,6,2,3,3,0,4,5,535,0,33,0,568
144,31,288,6,1,7,0,0,0,0,2,0,0,1,1,337,0,2,0,339
145,71,581,4,0,7,1,0,1,0,2,0,0,0,4,671,0,13,0,684
146,21,612,2,2,13,1,1,0,0,1,0,1,2,2,658,0,16,0,674
147,25,598,2,0,18,2,0,0,0,0,1,0,0,2,648,0,15,0,663
148,29,563,2,1,5,2,0,0,1,0,1,1,0,4,609,0,9,0,618
149,37,689,1,1,6,1,0,0,1,0,2,3,2,3,746,0,4,0,750
150,28,621,2,0,7,0,0,0,0,0,0,1,0,1,660,0,6,1,666
151,31,705,2,0,14,0,1,0,1,1,0,2,1,1,759,0,18,0,777
152,30,457,1,1,9,0,1,0,0,0,0,1,0,1,501,0,6,0,507
153,46,620,3,3,9,11,0,3,1,0,1,1,2,1,701,0,15,0,716
154,43,537,0,0,10,1,0,1,0,0,0,0,3,3,598,0,5,0,603
155,103,354,1,5,16,1,0,1,1,1,1,0,0,1,485,0,24,0,509
156,48,378,2,1,9,1,0,0,0,0,1,0,0,0,440,0,11,0,451
157,38,187,1,1,1,0,0,1,0,1,0,0,0,0,230,0,11,0,241
158,114,436,8,1,7,0,0,0,0,0,0,3,1,0,570,0,23,0,593
159,25,167,1,1,1,0,1,0,0,1,0,0,0,0,197,0,7,0,204
160,341,315,5,1,4,3,1,2,1,3,1,3,2,2,684,0,8,0,692
161,198,177,1,3,11,2,0,7,0,0,0,3,0,0,402,0,18,0,420
162,214,235,2,5,8,0,0,1,4,0,0,1,0,0,470,0,5,0,475
163,83,317,0,0,16,1,0,1,0,0,0,0,0,2,420,0,8,0,428
164,40,684,3,0,18,0,0,0,0,1,1,2,2,0,751,0,19,0,770
165,78,498,0,1,10,2,0,1,0,1,1,0,0,2,594,0,11,0,605
166,250,250,8,4,11,2,2,2,0,1,0,2,3,3,538,0,15,0,553
167,101,570,4,2,11,1,1,1,1,1,2,1,1,2,699,0,7,0,706
168,271,279,10,7,15,1,2,5,4,0,4,2,1,4,605,0,20,0,625
169,114,366,2,1,2,1,2,1,0,1,2,0,2,0,494,0,6,0,500
170,175,295,4,1,17,2,0,1,1,0,1,2,3,8,510,0,18,0,528
171,219,247,2,4,5,1,0,1,0,1,0,1,1,4,486,0,18,0,504
172,68,257,1,4,1,0,0,1,1,0,1,2,1,7,344,0,8,0,352
173,124,377,4,1,2,0,1,0,0,1,0,0,1,7,518,0,9,0,527
174,85,219,3,0,9,0,0,0,0,0,0,1,0,0,317,0,12,0,329
175,221,395,11,3,10,1,4,4,0,1,1,2,1,4,658,0,24,0,682
176,198,146,5,0,6,1,0,3,1,0,1,0,2,4,367,0,17,0,384
177,168,174,5,0,5,0,0,1,0,0,2,0,2,14,371,0,29,0,400
178,272,227,11,7,11,0,2,1,3,0,0,2,2,4,542,0,23,0,565
179,229,213,15,1,23,0,0,2,0,0,0,2,0,1,486,0,24,0,510
180,314,259,17,3,5,1,2,5,1,1,1,1,2,6,618,0,27,0,645
181,326,119,10,7,9,3,1,9,1,1,1,2,1,0,490,0,24,0,514
182,386,183,8,1,10,1,2,2,1,0,2,2,2,3,603,0,18,0,621
183,30,250,1,2,14,1,0,1,0,1,1,1,1,0,303,0,3,0,306
184,105,405,4,2,6,1,0,1,0,0,1,3,0,2,530,0,16,0,546
185,26,477,0,0,8,0,1,0,1,0,0,0,0,1,514,0,19,0,533
186,23,390,2,2,14,0,0,1,0,0,1,0,1,0,434,0,5,0,439
187,4,393,4,0,2,0,0,0,1,0,1,0,0,1,406,0,3,0,409
