polling station,No. of Valid Votes cast in favour of,,,,,,,,,,Total of  Valid  Votes,No.of  rejected  votes,Votes for  'NOTA'  option,Total  Votes,No.of       tendered  votes
91,24,562,172,1,0,7,1,0,1,4,772,0,8,780,0
92,10,224,445,5,0,0,2,0,3,2,691,0,5,696,0
93,11,447,373,4,2,2,0,1,2,0,842,0,8,850,0
94,8,283,195,2,2,0,2,0,1,3,496,0,16,512,0
95,14,499,91,8,3,0,2,2,4,11,634,0,32,666,0
96,11,433,62,5,1,2,3,0,0,6,523,0,9,532,0
97,14,204,64,2,2,1,5,1,8,6,307,0,27,334,0
98,20,424,43,6,7,1,2,2,5,6,516,0,8,524,0
99,16,376,110,10,3,4,0,3,6,17,545,0,48,593,0
100,17,314,37,4,2,5,3,1,4,7,394,0,21,415,0
101,30,260,62,4,2,6,1,3,5,9,382,0,25,407,0
102,17,287,149,5,4,3,2,1,2,5,475,0,5,480,0
103,20,273,62,7,4,3,4,2,11,20,406,0,45,451,0
104,25,276,98,6,3,0,3,3,5,3,422,0,15,437,0
105,21,592,54,6,3,2,2,2,5,7,694,0,31,725,0
106,28,330,87,1,1,3,7,6,6,18,487,0,61,548,0
107,19,201,25,4,2,2,3,2,2,3,263,0,14,277,0
108,16,289,79,2,4,0,2,3,3,14,412,0,53,465,0
109,30,408,59,4,3,2,2,2,0,10,520,0,33,553,0
110,20,372,80,5,3,5,4,6,7,18,520,0,41,561,0
111,27,248,80,9,1,1,6,5,19,20,416,0,70,486,0
112,22,441,45,3,2,2,0,2,3,8,528,0,13,541,0
113,36,622,62,8,6,1,4,5,6,21,771,0,36,807,0
114,24,508,76,4,0,4,4,4,4,4,632,0,10,642,0
115,25,188,55,3,0,2,4,4,7,16,304,0,71,375,0
116,32,388,62,5,0,0,2,3,1,12,505,0,15,520,0
117,19,337,236,17,8,2,4,3,4,12,642,0,28,670,0
118,11,261,180,7,2,3,1,2,2,7,476,0,25,501,0
119,16,230,150,5,3,3,2,2,10,14,435,0,39,474,0
120,8,287,68,8,3,0,4,1,3,7,389,0,22,411,0
121,47,457,90,5,3,4,7,5,4,7,629,0,31,660,0
122,43,532,139,9,8,4,8,5,15,20,783,0,43,826,0
123,17,258,109,5,2,3,3,0,0,4,401,0,26,427,0
124,23,495,75,6,3,1,2,2,2,5,614,0,16,630,0
125,20,348,138,9,1,0,5,4,4,5,534,0,27,561,0
126,15,426,85,3,3,1,2,5,4,4,548,0,51,599,0
127,12,438,34,4,1,1,1,1,0,4,496,0,4,500,0
128,22,401,54,3,3,1,0,2,4,5,495,0,14,509,0
129,26,384,161,10,5,1,3,1,3,10,604,0,13,617,0
130,22,321,111,1,2,2,2,2,0,2,465,0,9,474,0
131,18,291,150,9,6,2,3,5,5,9,498,0,25,523,0
132,14,421,80,3,1,0,3,1,0,2,525,0,6,531,0
133,29,381,131,11,4,1,7,3,3,13,583,0,45,628,0
134,11,297,151,4,2,0,2,0,1,9,477,0,12,489,0
135,33,487,122,12,4,2,4,2,4,15,685,0,40,725,0
136,30,693,105,8,3,0,2,3,6,8,858,0,27,885,0
137,31,479,138,10,5,10,12,5,16,21,727,0,91,818,0
138,28,430,179,3,1,2,6,4,2,9,664,0,48,712,0
139,23,446,53,12,1,0,8,3,4,17,567,0,20,587,0
140,34,320,42,3,1,1,4,1,5,17,428,0,23,451,0
141,15,714,98,6,2,4,2,3,4,10,858,0,13,871,0
142,10,247,162,4,2,0,6,4,3,10,448,0,6,454,0
143,18,356,112,2,1,4,0,2,6,12,513,0,14,527,0
144,15,309,297,12,4,8,11,8,9,12,685,0,27,712,0
145,28,331,73,3,0,2,2,5,1,4,449,0,30,479,0
146,20,524,222,9,2,3,6,2,6,12,806,0,29,835,0
147,4,194,28,1,0,1,1,0,1,4,234,0,7,241,0
148,9,130,6,1,0,0,2,0,1,0,149,0,5,154,0
149,38,380,40,9,5,5,6,1,5,2,491,0,17,508,0
150,11,359,109,6,0,2,3,0,5,7,502,0,14,516,0
151,53,323,109,8,11,5,11,10,11,23,564,0,83,647,0
152,4,159,41,7,2,0,3,4,4,7,231,0,24,255,0
153,19,427,40,2,4,2,1,0,2,4,501,0,20,521,0
154,19,412,45,1,2,1,4,0,4,1,489,0,12,501,0
155,35,521,136,12,7,1,17,7,12,14,762,0,62,824,0
156,58,763,86,9,9,3,7,6,14,16,971,0,30,1001,0
157,47,417,161,12,16,3,11,4,11,17,699,0,58,757,0
158,46,482,98,14,3,5,6,4,2,12,672,0,20,692,0
159,34,431,107,9,1,6,9,9,5,12,623,0,42,665,0
160,21,579,51,4,2,1,0,1,1,8,668,0,14,682,0
161,24,468,39,5,2,4,1,4,5,6,558,0,34,592,0
162,11,144,12,1,0,0,2,1,0,4,175,0,5,180,0
163,28,256,111,8,1,0,2,1,1,13,421,0,15,436,0
164,43,770,28,4,3,0,3,4,7,6,868,0,22,890,0
165,56,544,229,8,4,1,8,4,6,9,869,0,51,920,0
166,2,964,3,0,0,0,0,0,0,0,969,0,0,969,0
167,53,461,75,6,3,2,4,5,8,30,647,0,76,723,0
168,37,427,84,9,8,2,6,3,4,11,591,0,32,623,0
169,28,596,148,16,6,1,6,4,2,16,823,0,37,860,0
170,9,329,79,8,2,0,1,1,3,6,438,0,13,451,0
171,10,773,79,1,1,1,1,4,0,3,873,0,3,876,0
172,26,386,246,6,6,4,11,2,3,7,697,0,26,723,0
173,39,339,155,3,6,1,3,4,9,13,572,0,34,606,0
174,31,263,70,7,1,2,1,2,4,10,391,0,47,438,0
175,35,595,150,12,3,7,6,5,12,12,837,0,24,861,0
176,65,412,270,12,6,2,11,3,15,10,806,0,24,830,0
177,22,450,119,7,3,4,6,4,8,14,637,0,42,679,0
178,30,303,143,11,2,5,2,3,3,16,518,0,28,546,0
179,45,246,128,9,4,2,2,5,3,14,458,0,56,514,0
180,19,203,87,11,4,3,3,1,5,16,352,0,20,372,0
181,23,175,159,9,2,3,2,1,9,16,399,0,29,428,0
182,18,109,190,5,7,5,7,2,6,7,356,0,27,383,0
183,14,108,135,7,2,5,1,3,2,8,285,0,25,310,0
184,9,473,33,2,1,0,0,0,0,0,518,0,1,519,0
185,35,459,121,15,4,8,0,2,2,8,654,0,30,684,0
186,24,176,21,6,3,0,4,2,0,1,237,0,20,257,0
187,21,445,86,9,2,2,6,3,7,3,584,0,26,610,0
188,21,221,170,6,2,4,6,2,8,11,451,0,30,481,0
189,22,626,57,4,3,3,2,1,1,3,722,0,13,735,0
190,32,168,325,16,5,5,11,7,11,17,597,0,39,636,0
191,30,409,105,15,8,2,11,3,4,6,593,0,24,617,0
192,35,201,254,11,4,4,13,6,8,9,545,0,55,600,0
193,33,380,96,18,5,2,2,7,4,25,572,0,57,629,0
194,9,187,10,1,0,2,2,0,2,5,218,0,12,230,0
195,26,300,28,2,3,4,0,3,7,18,391,0,53,444,0
196,43,416,104,0,4,0,5,2,8,15,597,0,87,684,0
197,31,481,68,1,1,6,4,4,6,18,620,0,59,679,0
198,14,827,35,1,0,1,2,0,3,3,886,0,19,905,0
199,1,697,10,2,0,0,0,0,0,0,710,0,1,711,0
200,19,183,195,11,5,5,4,5,5,9,441,0,25,466,0
201,4,905,32,1,0,2,0,0,0,2,946,0,5,951,0
202,47,394,139,8,4,3,1,5,1,13,615,0,37,652,0
203,38,519,111,5,0,0,1,1,1,3,679,0,15,694,0
204,49,344,137,8,13,6,8,7,6,15,593,0,54,647,0
205,48,381,66,0,0,3,8,5,5,14,530,0,50,580,0
206,93,369,18,3,3,2,5,2,2,11,508,0,68,576,0
207,48,321,80,9,5,0,5,3,9,10,490,0,73,563,0
208,111,281,94,11,1,2,3,3,8,13,527,0,17,544,0
209,33,722,122,8,4,1,2,3,2,1,898,0,17,915,0
210,33,505,144,8,2,0,1,3,6,13,715,0,10,725,0
211,15,214,66,3,0,1,3,2,9,11,324,0,16,340,0
212,16,321,55,1,3,3,0,1,2,3,405,0,9,414,0
213,5,146,72,1,0,1,2,0,1,4,232,0,8,240,0
214,46,330,207,11,2,1,10,2,3,9,621,0,25,646,0
215,32,367,92,4,3,5,4,6,4,18,535,0,31,566,0
216,28,445,73,5,5,5,4,2,3,7,577,0,8,585,0
217,50,379,87,6,3,4,4,2,6,11,552,0,27,579,0
218,39,301,32,7,3,0,3,2,2,8,397,0,51,448,0
219,2,581,23,1,0,2,1,0,0,0,610,0,4,614,0
220,27,765,11,1,0,1,3,0,0,0,808,0,2,810,0
221,29,593,83,9,3,3,4,6,8,28,766,0,41,807,0
222,20,249,44,2,0,0,3,2,4,4,328,0,10,338,0
223,47,659,91,7,9,2,7,13,6,14,855,0,45,900,0
224,48,260,302,15,2,3,1,6,10,16,663,0,100,763,0
225,57,276,152,20,6,4,4,11,8,21,559,0,78,637,0
226,68,324,145,11,2,6,8,5,6,10,585,0,67,652,0
227,33,127,173,10,2,12,7,8,13,19,404,0,58,462,0
228,58,251,60,7,5,4,3,5,8,23,424,0,75,499,0
229,30,248,105,1,5,2,3,2,2,7,405,0,40,445,0
230,18,301,122,5,0,3,0,0,1,3,453,0,3,456,0
231,26,382,170,3,2,2,2,5,4,13,609,0,32,641,0
232,23,251,67,3,0,1,1,0,4,7,357,0,12,369,0
233,13,387,69,5,1,3,0,0,5,11,494,0,32,526,0
234,17,236,66,4,2,1,6,4,0,2,338,0,17,355,0
235,15,395,171,6,1,2,3,2,3,4,602,0,33,635,0
236,56,552,52,6,3,4,3,2,5,9,692,0,12,704,0
237,18,551,104,5,0,2,5,2,2,9,698,0,17,715,0
238,49,358,84,4,3,1,5,5,3,10,522,0,56,578,0
239,32,261,91,9,1,0,11,3,7,15,430,0,33,463,0
240,16,191,77,9,4,0,5,5,7,9,323,0,36,359,0
241,28,932,51,1,3,0,0,0,2,1,1018,0,8,1026,0
242,24,548,220,9,1,4,4,2,4,11,827,0,48,875,0
243,11,328,60,4,1,2,2,0,0,4,412,0,18,430,0
244,17,234,39,7,1,2,2,5,5,10,322,0,11,333,0
245,36,523,204,4,1,4,1,2,3,19,797,0,30,827,0
246,31,207,373,17,9,4,5,3,9,17,675,0,64,739,0
247,21,235,197,3,0,4,2,1,8,10,481,0,16,497,0
248,29,314,70,2,3,2,1,2,3,6,432,0,28,460,0
249,40,426,65,2,0,2,0,1,2,2,540,0,10,550,0
250,25,349,37,3,2,1,1,1,3,3,425,0,12,437,0
251,7,145,27,0,0,1,0,2,0,1,183,0,5,188,0
