polling station,,,,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Gamit Movaliyabhai Nopariyabhai.,Chaudhari Tusharbhai Amarsinhbhai.,Chaudhari Revaben Shankarbhai.,Vasava Parbhubhai Nagarbhai.,Chaudhari Chandubhai Machalabhai.,Chaudhari Reniyabhai Shankarbhai.,Jagatsinh Laljibhai Vasava,Bhailalbhai Chhanabhai Rathod,Gamit Surendrabhai Simabhai.,Rathod Rameshbhai Bhikhabhai.,,,,,
232,11,520,12,189,2,1,2,0,2,2,741,0,1,742,0
233,9,515,16,169,3,1,0,6,5,5,729,0,19,748,0
234,8,652,19,80,5,5,3,11,5,3,791,0,20,811,0
235,3,241,12,183,6,0,9,3,5,3,465,0,4,469,0
236,2,393,22,13,2,0,1,0,6,3,442,0,9,451,0
237,4,404,7,35,0,2,0,0,4,5,461,0,12,473,0
238,9,612,13,37,2,1,15,5,5,6,705,0,22,727,0
239,8,346,6,147,2,0,2,6,3,6,526,0,18,544,0
240,5,317,6,159,3,1,2,8,4,11,516,0,18,534,0
241,13,527,13,94,2,3,2,11,9,1,675,0,13,688,0
242,4,316,7,100,1,1,3,3,3,6,444,0,14,458,0
243,22,374,20,249,8,1,0,1,0,7,682,0,14,696,0
244,6,339,12,73,0,2,1,3,7,12,455,0,1,456,0
245,15,372,11,328,10,1,0,2,2,3,744,0,9,753,0
246,8,597,12,165,3,4,1,3,5,11,809,0,18,827,0
247,16,414,20,403,5,0,3,5,4,2,872,0,14,886,0
248,4,506,10,306,4,4,0,5,6,2,847,0,12,859,0
249,15,362,9,180,5,0,0,1,4,2,578,0,6,584,0
250,21,496,19,88,4,0,2,3,6,7,646,0,39,685,0
251,4,287,2,35,4,0,0,1,1,3,337,0,2,339,0
252,5,205,3,150,4,0,1,2,0,1,371,0,6,377,0
253,11,527,13,71,3,1,2,3,11,6,648,0,26,674,0
254,9,549,13,103,1,0,1,1,2,1,680,0,4,684,0
255,6,296,9,318,8,0,5,7,8,8,665,0,17,682,0
256,8,440,11,253,5,0,0,1,4,4,726,0,11,737,0
257,4,250,9,298,8,2,2,4,2,4,583,0,10,593,0
258,11,263,19,283,14,4,1,4,3,3,605,0,15,620,0
259,1,96,3,105,4,0,1,0,0,5,215,0,5,220,0
260,0,43,3,57,2,0,0,0,2,0,107,0,1,108,0
261,4,352,10,122,4,0,1,1,3,1,498,0,3,501,0
262,15,606,25,179,3,2,2,6,1,7,846,0,22,868,0
263,12,757,15,122,4,5,3,11,3,4,936,0,23,959,0
264,12,762,12,143,2,7,1,9,3,5,956,0,23,979,0
265,14,340,9,296,1,2,2,2,1,3,670,0,4,674,0
266,19,609,15,120,7,2,2,9,9,4,796,0,22,818,0
267,8,447,16,63,2,1,2,4,3,8,554,0,9,563,0
268,12,564,15,162,7,1,2,2,8,6,779,0,21,800,0
269,14,342,15,301,13,1,5,6,2,8,707,0,23,730,0
270,6,340,9,140,2,4,1,6,7,5,520,0,9,529,0
271,7,411,5,186,4,2,0,4,8,6,633,0,14,647,0
272,3,90,5,313,5,2,2,2,2,1,425,0,4,429,0
273,8,204,8,59,3,1,0,4,6,1,294,0,14,308,0
274,5,437,7,25,0,0,0,0,1,0,475,0,7,482,0
275,18,664,14,99,1,3,3,4,7,8,821,0,22,843,0
276,11,386,8,120,2,0,0,0,1,2,530,0,0,530,0
277,4,328,7,117,2,1,0,2,3,1,465,0,4,469,0
278,15,279,4,126,4,0,0,5,2,6,441,0,21,462,0
279,6,266,12,214,3,1,2,2,8,2,516,0,10,526,0
280,4,365,5,157,2,1,1,2,2,4,543,0,10,553,0
281,8,480,12,179,5,2,0,6,8,6,706,0,18,724,0
282,14,515,11,81,3,2,1,2,1,0,630,0,2,632,0
283,12,540,10,121,13,7,8,3,0,5,719,0,12,731,0
284,22,168,12,220,12,3,2,2,2,0,443,0,11,454,0
285,6,297,5,119,2,0,3,6,3,4,445,0,9,454,0
286,4,170,6,164,6,4,1,5,6,2,368,0,7,375,0
287,32,248,6,133,5,1,1,0,0,3,429,0,8,437,0
288,8,324,14,407,12,2,1,8,2,8,786,0,4,790,0
289,9,345,20,103,7,5,2,8,4,8,511,0,10,521,0
290,3,396,8,34,1,2,0,3,0,2,449,0,2,451,0
291,8,288,6,96,3,1,0,1,2,2,407,0,3,410,0
292,5,245,11,215,7,3,2,4,4,1,497,0,15,512,0
293,16,560,15,247,7,2,2,2,3,8,862,0,12,874,0
294,14,618,16,177,3,1,1,4,4,5,843,0,9,852,0
295,3,278,10,63,4,0,2,1,3,0,364,0,4,368,0
296,4,470,11,89,6,1,1,4,2,4,592,0,8,600,0
297,7,427,11,96,1,1,1,2,3,6,555,0,5,560,0
298,5,677,17,56,4,2,1,6,4,4,776,0,8,784,0
299,12,131,22,477,11,2,5,4,9,9,682,0,21,703,0
300,8,114,12,307,4,3,3,9,3,5,468,0,9,477,0
301,9,113,3,336,8,3,5,4,2,6,489,0,14,503,0
302,20,386,4,28,1,0,0,5,2,0,446,0,10,456,0
303,5,352,11,108,1,1,0,3,2,0,483,0,3,486,0
304,4,279,8,80,1,0,0,3,1,5,381,0,3,384,0
305,15,298,19,286,11,2,2,5,11,11,660,0,37,697,0
306,19,253,19,260,8,2,0,7,9,22,599,0,32,631,0
307,29,213,8,253,15,2,2,12,9,15,558,0,28,586,0
308,17,236,7,156,4,1,2,3,0,1,427,0,3,430,0
309,8,225,6,145,7,1,2,2,3,5,404,0,14,418,0
310,14,115,10,187,9,1,5,0,5,4,350,0,6,356,0
311,14,257,22,300,24,4,1,7,14,20,663,0,38,701,0
312,13,190,20,72,1,2,0,2,4,7,311,0,7,318,0
313,19,258,19,198,12,4,0,3,7,6,526,0,23,549,0
,2631,102603,3177,82603,1523,442,577,1105,1203,1555,197419,10,3673,201092,1
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2631,102603,3177,82603,1523,442,577,1105,1203,1555,197419,10,3673,201092,1
