Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,Total of valid votes,No.of rejected votes,NOTA,Total,No of tendered votes
93,1,204,80,5,0,290,0,2,292,0
94,6,382,210,16,1,615,0,6,621,0
95,1,143,38,1,1,184,0,5,189,0
96,2,312,67,3,0,384,0,4,388,0
97,6,363,112,2,0,483,0,0,483,0
98,3,235,50,4,0,292,0,5,297,0
Total,71,3145,1140,62,28,4446,0,68,4514,0
99,8,452,144,4,2,610,0,8,618,0
100,6,870,47,9,1,933,0,7,940,0
101,10,455,131,12,4,612,0,5,617,0
102,12,213,192,2,2,421,0,4,425,0
103,5,201,54,3,2,265,0,8,273,0
104,4,219,27,3,0,253,0,1,254,0
105,2,131,42,5,4,184,0,2,186,0
106,5,253,42,2,0,302,0,5,307,0
107,5,348,62,2,0,417,0,4,421,0
108,10,404,116,3,2,535,0,5,540,0
109,11,181,329,7,4,532,0,17,549,0
110,5,303,95,7,1,411,0,4,415,0
111,8,300,88,8,2,406,0,3,409,0
112,15,301,221,3,0,540,0,3,543,0
Total,106,4631,1590,70,24,6421,0,76,6497,0
113,15,454,308,4,3,784,0,12,796,0
114,8,290,161,15,3,477,0,4,481,0
115,12,450,279,12,3,756,0,8,764,0
116,10,571,259,9,3,852,0,3,855,0
117,13,470,158,9,0,650,0,7,657,0
118,4,483,101,4,0,592,0,8,600,0
119,27,446,263,13,6,755,0,25,780,0
120,22,260,168,11,6,467,0,11,478,0
121,7,479,178,13,4,681,0,9,690,0
122,31,207,503,15,7,763,0,13,776,0
123,24,177,640,9,6,856,0,16,872,0
124,26,219,271,6,2,524,0,8,532,0
125,10,344,308,21,7,690,0,14,704,0
126,9,269,229,6,4,517,0,13,530,0
Total,218,5119,3826,147,54,9364,0,151,9515,0
127,9,500,88,9,2,608,0,5,613,0
128,15,335,372,9,9,740,0,14,754,0
129,23,346,410,23,14,816,0,19,835,0
130,27,404,271,5,3,710,0,29,739,0
131,52,154,297,18,10,531,0,7,538,0
132,51,122,206,4,4,387,0,2,389,0
133,5,592,106,11,2,716,0,8,724,0
134,5,523,156,13,5,702,0,9,711,0
135,9,289,140,1,3,442,0,6,448,0
136,4,415,229,8,4,660,0,4,664,0
137,4,325,93,14,6,442,0,5,447,0
138,21,346,463,17,16,863,0,30,893,0
139,15,462,263,5,6,751,0,19,770,0
140,7,221,127,4,6,365,0,1,366,0
Total,247,5034,3221,141,90,8733,0,158,8891,0
141,1,549,68,7,1,626,0,4,630,0
142,8,462,66,6,1,543,0,11,554,0
143,5,650,81,6,5,747,0,9,756,0
144,6,438,381,10,0,835,0,6,841,0
145,7,419,133,10,2,571,0,10,581,0
146,6,539,155,13,2,715,0,22,737,0
147,12,484,171,6,1,674,0,10,684,0
148,4,559,160,7,5,735,0,16,751,0
149,11,445,116,12,1,585,0,8,593,0
150,10,267,378,5,7,667,0,16,683,0
151,6,180,63,5,0,254,0,11,265,0
152,8,300,208,11,2,529,0,5,534,0
153,3,95,600,14,4,716,0,11,727,0
154,9,283,318,16,11,637,0,16,653,0
Total,96,5670,2898,128,42,8834,0,155,8989,0
155,8,631,134,8,0,781,0,7,788,0
156,8,461,86,9,0,564,0,3,567,0
157,3,181,175,6,3,368,0,8,376,0
158,16,74,689,23,6,808,0,7,815,0
159,15,73,560,16,2,666,0,6,672,0
160,38,89,407,16,1,551,0,3,554,0
161,9,202,210,7,1,429,0,3,432,0
162,164,267,514,14,3,962,0,17,979,0
163,30,714,156,11,8,919,0,21,940,0
164,5,345,320,14,14,698,0,9,707,0
165,86,306,357,7,4,760,0,8,768,0
166,6,297,104,4,1,412,0,3,415,0
167,6,462,227,10,4,709,0,8,717,0
168,11,355,248,13,0,627,0,6,633,0
Total,405,4457,4187,158,47,9254,0,109,9363,0
169,4,563,126,7,4,704,0,10,714,0
170,7,408,166,9,0,590,0,4,594,0
171,4,531,122,12,1,670,0,14,684,0
172,5,516,166,14,2,703,0,13,716,0
173,6,296,397,19,1,719,0,25,744,0
174,4,714,129,11,0,858,0,15,873,0
175,11,115,602,18,6,752,0,17,769,0
176,9,280,332,6,2,629,0,6,635,0
177,5,520,122,8,1,656,0,15,671,0
178,1,483,87,9,0,580,0,13,593,0
179,0,460,124,10,2,596,0,16,612,0
180,8,513,141,10,2,674,0,16,690,0
181,2,349,50,8,0,409,0,12,421,0
182,2,419,51,3,1,476,0,19,495,0
Total,68,6167,2615,144,22,9016,0,195,9211,0
183,2,277,60,8,0,347,0,14,361,0
184,6,545,159,10,0,720,0,24,744,0
185,6,362,421,14,2,805,0,6,811,0
186,4,487,214,17,3,725,0,15,740,0
187,5,290,292,4,1,592,0,10,602,0
188,5,317,341,35,3,701,0,13,714,0
189,1,374,85,7,3,470,0,12,482,0
190,10,469,245,13,2,739,0,10,749,0
191,10,397,324,22,3,756,0,10,766,0
192,2,217,578,21,8,826,0,15,841,0
193,31,321,171,5,13,541,0,11,552,0
194,6,280,123,8,1,418,0,6,424,0
195,21,316,578,17,7,939,0,14,953,0
196,18,289,495,13,5,820,0,12,832,0
Total,127,4941,4086,194,51,9399,0,172,9571,0
197,9,526,145,12,9,701,0,11,712,0
198,13,457,125,7,1,603,0,9,612,0
199,11,429,132,11,5,588,0,12,600,0
200,22,404,307,11,14,758,0,20,778,0
201,2,249,200,7,1,459,0,4,463,0
202,2,583,25,7,0,617,0,5,622,0
203,5,512,99,4,1,621,0,18,639,0
204,7,674,61,14,0,756,0,16,772,0
205,5,541,128,5,2,681,0,20,701,0
206,5,333,180,6,5,529,0,10,539,0
207,7,533,193,15,1,749,0,20,769,0
208,2,738,77,10,1,828,0,15,843,0
209,4,668,90,13,0,775,0,19,794,0
210,2,594,71,8,0,675,0,14,689,0
Total,96,7241,1833,130,40,9340,0,193,9533,0
211,3,890,121,13,2,1029,0,30,1059,0
212,4,701,86,5,2,798,0,17,815,0
213,3,260,27,7,0,297,0,8,305,0
214,7,331,137,12,1,488,0,15,503,0
215,1,511,57,14,1,584,0,16,600,0
216,4,782,101,8,0,895,0,15,910,0
217,15,684,122,7,1,829,0,23,852,0
218,10,793,81,12,0,896,0,6,902,0
219,3,754,87,10,0,854,0,23,877,0
220,5,714,72,10,0,801,0,12,813,0
221,5,443,19,3,2,472,0,3,475,0
222,5,620,175,10,1,811,0,13,824,0
223,3,271,83,7,1,365,0,7,372,0
224,19,398,217,13,8,655,0,18,673,0
Total,87,8152,1385,131,19,9774,0,206,9980,0
225,5,332,124,2,3,466,0,13,479,0
226,3,384,143,5,1,536,0,8,544,0
227,1,306,67,2,1,377,0,9,386,0
228,3,421,41,5,1,471,0,7,478,0
229,8,545,123,17,0,693,0,18,711,0
230,6,752,96,15,1,870,0,17,887,0
231,3,409,64,11,0,487,0,7,494,0
232,3,524,59,3,1,590,0,6,596,0
233,4,307,126,13,0,450,0,7,457,0
234,5,354,188,10,2,559,0,14,573,0
235,9,236,248,14,7,514,0,15,529,0
236,11,308,280,8,5,612,0,22,634,0
237,8,316,204,11,1,540,0,9,549,0
238,8,586,210,10,0,814,0,17,831,0
Total,77,5780,1973,126,23,7979,0,169,8148,0
239,7,719,103,7,2,838,0,19,857,0
240,13,463,302,13,6,797,0,11,808,0
241,14,268,252,13,6,553,0,10,563,0
242,10,580,90,5,1,686,0,10,696,0
243,5,413,90,5,0,513,0,19,532,0
244,7,480,51,6,1,545,0,8,553,0
245,6,768,147,20,4,945,0,24,969,0
246,7,672,80,21,2,782,0,16,798,0
247,22,293,479,7,4,805,0,7,812,0
248,8,392,367,10,7,784,0,18,802,0
249,32,355,398,11,6,802,0,18,820,0
250,33,106,424,15,5,583,0,12,595,0
251,12,267,383,11,2,675,0,10,685,0
