polling station,No. of Valid Votes cast in favour of,,,,,,,,,,Total of  Valid  Votes,No.of  rejected  votes,Votes for  'NOTA'  option,Total  Votes,No.of       tendered  votes
,Katara  Singjibhai  Jaljibhai,Jasvantsinh  Sumanbhai  Bhabhor,Taviyad  Dr.Prabhaben  Kishorsinh,Bamaniya  Jyotishkumar  Bapubhai,Bhabhor  Mavjibhai  Titubhai,K. C. MUNIA  Advocate,Meda  Jagdishbhai  Manilal,Ramsingbhai  Nanjibhai  Kalara,Kumari  Induben  Nathubhai  Sangada,Bhura  Navalbhai  Manabhai,,,,,
168,5,346,98,3,4,1,3,3,3,5,471,0,14,485,0
,2524,74797,19064,889,347,384,476,399,601,1041,100522,0,2567,103089,0
,2524,74797,19064,889,347,384,476,399,601,1041,100522,0,2567,103089,0
169,9,241,41,5,2,1,0,0,0,4,303,0,8,311,0
170,8,376,99,3,4,9,4,4,7,8,522,0,18,540,0
171,17,267,294,6,6,1,5,3,12,16,627,0,63,690,0
172,27,332,187,12,4,3,4,4,10,22,605,0,46,651,0
173,8,686,131,6,3,0,7,3,6,11,861,0,11,872,0
174,11,485,96,9,1,2,1,3,5,11,624,0,27,651,0
175,22,491,62,3,0,2,3,1,3,9,596,0,21,617,0
176,15,320,58,1,0,0,3,0,4,3,404,0,7,411,0
177,5,107,117,2,2,2,2,2,2,4,245,0,10,255,0
178,30,281,355,12,11,11,5,1,13,6,725,0,13,738,0
179,8,529,140,15,6,3,14,4,8,7,734,0,22,756,0
180,40,528,55,7,5,2,8,3,6,15,669,0,48,717,0
181,4,469,51,1,1,0,1,0,0,4,531,0,5,536,0
182,7,607,50,1,1,0,1,1,0,2,670,0,1,671,0
,2735,80516,20800,972,393,420,534,428,677,1163,108638,0,2867,111505,0
,2735,80516,20800,972,393,420,534,428,677,1163,108638,0,2867,111505,0
183,5,678,67,3,2,0,0,0,0,1,756,0,7,763,0
184,15,498,267,8,1,1,6,5,7,6,814,0,20,834,0
185,12,306,95,6,2,1,2,0,2,3,429,0,4,433,0
186,14,378,129,9,7,2,4,5,6,7,561,0,29,590,0
187,21,248,280,6,3,3,1,5,5,6,578,0,18,596,0
188,30,528,202,13,7,8,8,5,5,7,813,0,36,849,0
189,28,438,95,5,7,5,12,5,2,10,607,0,34,641,0
190,15,482,125,11,7,4,6,3,1,12,666,0,37,703,0
191,20,393,284,13,4,3,8,7,8,17,757,0,60,817,0
192,30,405,64,6,3,1,4,4,2,13,532,0,49,581,0
193,23,508,153,2,3,3,5,3,7,13,720,0,27,747,0
194,30,314,73,1,2,4,3,2,3,1,433,0,9,442,0
195,23,392,115,6,4,0,5,3,3,9,560,0,30,590,0
196,11,256,87,6,0,2,2,0,2,3,369,0,11,380,0
,3012,86340,22836,1067,445,457,600,475,730,1271,117233,0,3238,120471,0
,3012,86340,22836,1067,445,457,600,475,730,1271,117233,0,3238,120471,0
197,31,448,94,4,3,4,5,7,9,18,623,0,36,659,0
198,25,602,120,9,2,2,4,3,4,7,778,0,11,789,0
199,11,87,291,9,5,3,3,4,8,4,425,0,23,448,0
200,18,139,214,15,3,5,5,3,7,9,418,0,26,444,0
201,10,318,180,8,2,0,0,0,2,1,521,0,7,528,0
202,22,178,170,6,4,6,4,1,4,7,402,0,13,415,0
203,18,144,299,10,1,6,5,3,8,5,499,0,24,523,0
204,56,217,238,18,8,9,15,8,11,20,600,0,67,667,0
205,24,374,139,8,3,5,7,8,8,7,583,0,17,600,0
206,16,219,259,9,1,4,5,2,7,10,532,0,32,564,0
207,18,239,290,12,0,3,5,1,6,14,588,0,44,632,0
208,20,543,165,5,5,8,2,2,1,2,753,0,12,765,0
209,43,351,75,9,7,4,8,4,9,18,528,0,61,589,0
210,37,280,142,4,4,1,3,0,1,6,478,0,17,495,0
