NO. OF VALID VOTES CAST IN FAVOUR OF CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial No. of Polling Station,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHA SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
100,545,106,1,0,7,0,0,3,0,0,1,0,0,0,0,6,10,1,0,0,0,0,0,1,0,681,0,4,685,0
101,744,42,2,0,3,0,1,0,1,0,1,2,1,1,0,7,8,0,0,0,0,0,0,0,0,813,0,2,815,0
102,497,165,2,1,2,0,0,0,0,0,1,1,0,0,0,2,2,2,1,0,0,0,0,0,0,676,0,3,679,0
103,465,218,1,1,4,3,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,697,0,4,701,0
104,40,499,5,2,0,1,2,0,0,0,0,0,0,2,4,9,4,6,1,0,1,0,6,0,4,586,0,3,589,0
105,23,180,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,2,207,0
106,46,432,2,0,4,0,1,0,0,0,1,0,1,0,2,3,1,3,0,0,0,0,0,0,0,496,0,4,500,0
107,67,577,2,1,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,656,0,10,666,0
108,595,134,3,1,1,0,2,0,1,1,0,0,1,1,1,6,6,1,1,0,0,0,0,1,2,758,0,4,762,0
109,97,582,1,0,6,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,692,0,17,709,0
110,120,684,3,1,7,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,821,0,9,830,0
111,68,570,2,1,4,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,648,0,12,660,0
112,70,781,3,0,11,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,870,0,19,889,0
113,72,507,1,0,5,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,591,0,11,602,0
114,68,449,1,0,3,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,531,0,11,542,0
115,98,672,2,1,10,0,1,0,0,0,0,0,1,0,0,3,0,0,0,1,2,1,2,1,1,796,0,13,809,0
116,14,247,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,4,268,0
117,68,568,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,643,0,6,649,0
118,103,707,9,2,4,0,0,2,1,1,2,0,2,0,3,7,1,1,0,0,1,0,0,0,1,847,0,7,854,0
119,260,541,8,1,1,0,0,0,0,0,0,0,0,1,9,16,1,8,0,0,0,1,0,1,3,851,0,3,854,0
120,301,66,107,0,2,0,0,0,0,0,0,0,1,0,1,5,2,1,0,0,0,0,0,0,0,486,0,8,494,0
121,272,103,59,0,0,1,0,1,0,0,0,0,0,0,2,4,1,2,2,2,0,0,0,0,0,449,0,4,453,0
122,415,96,61,0,0,0,1,2,1,0,1,1,1,2,14,9,7,1,0,0,0,0,0,0,2,614,0,10,624,0
123,253,508,9,1,6,2,3,1,3,0,2,2,1,5,14,22,11,7,0,1,1,0,0,0,9,861,0,12,873,0
124,230,97,154,2,0,0,0,0,0,1,0,0,0,1,0,5,2,6,4,0,0,0,0,1,0,503,0,6,509,0
125,269,207,5,0,5,0,0,0,0,0,0,0,1,0,4,10,3,1,0,0,1,0,0,1,0,507,0,6,513,0
126,145,127,69,0,0,0,0,0,0,0,0,0,0,2,3,1,2,3,1,0,0,0,0,0,1,354,0,0,354,0
127,165,564,1,0,3,1,0,0,1,0,0,0,2,2,0,7,3,4,0,0,0,0,0,1,0,754,0,4,758,0
128,301,499,18,3,1,1,0,1,0,2,1,4,3,4,9,17,7,6,1,1,2,0,0,3,0,884,0,6,890,0
129,403,332,37,4,2,0,1,2,0,0,0,4,0,4,5,23,1,1,3,2,0,0,0,0,1,825,0,7,832,0
130,280,459,11,0,4,0,0,1,1,0,0,1,3,1,3,1,6,7,1,1,1,1,2,0,5,789,0,4,793,0
131,526,335,2,1,1,0,0,0,1,2,0,0,1,0,3,14,8,4,1,0,1,1,1,0,5,907,0,7,914,0
132,502,123,165,4,4,1,0,0,1,0,1,0,1,0,3,2,4,0,0,0,0,0,1,0,2,814,0,3,817,0
133,203,137,3,0,2,0,2,0,0,1,0,0,0,0,1,6,1,1,0,0,0,0,0,0,0,357,0,2,359,0
134,278,380,4,1,2,0,0,0,1,1,1,0,1,1,0,5,2,1,0,0,0,0,0,0,1,679,0,3,682,0
135,244,267,15,1,6,1,0,0,0,0,0,0,0,1,1,7,1,2,1,0,0,0,1,0,0,548,0,1,549,0
136,569,29,7,2,4,0,0,1,2,0,0,1,1,1,0,15,7,1,0,0,0,0,0,0,0,640,0,8,648,0
137,398,342,4,0,5,1,0,2,0,0,0,2,0,0,0,5,4,7,0,0,0,0,0,3,0,773,0,12,785,0
138,63,438,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,509,0,5,514,0
139,126,466,3,1,4,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,608,0,4,612,0
140,116,619,1,0,5,0,0,0,0,0,1,1,1,0,4,2,1,1,0,0,0,0,0,0,2,754,0,6,760,0
141,244,286,2,0,5,1,1,0,1,1,0,0,0,0,0,2,3,2,0,0,0,0,0,1,0,549,0,9,558,0
142,246,414,1,1,4,0,0,1,0,0,0,0,0,1,5,3,3,4,1,0,0,0,0,0,0,684,0,7,691,0
143,332,405,4,0,1,1,0,2,2,1,0,2,0,0,1,6,3,5,1,0,0,0,0,0,0,766,0,3,769,0
144,72,533,1,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,613,0,6,619,0
145,442,315,2,0,1,1,2,0,0,0,1,0,0,1,3,8,0,0,0,0,0,0,0,1,3,780,0,13,793,0
146,229,328,1,0,4,0,2,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,570,0,2,572,0
