polling station,No. of valid votes cast in favour of,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Narendra Modi,Mistri Madhusudan Devram,Rohit Madhusu dan Mohanb hai,Jadav Ambalal Kanabhai,Tapan Dasgup ta,Pathan Mahemudk han Razakkhan,Pathan Sahebkhan Aasifkhan,Sunil Digambar Kulkarni,,,,,
55,481,36,0,0,1,0,1,4,536,0,13,536,0
56,380,34,1,0,1,0,0,1,422,0,5,422,0
57,844,191,1,1,1,1,1,3,1061,0,18,1061,0
58,464,41,1,3,1,0,0,6,525,0,9,525,0
59,689,172,5,1,3,1,1,11,895,0,12,895,0
60,550,56,0,0,0,0,0,6,619,0,7,619,0
61,480,44,0,0,0,0,0,6,533,0,3,533,0
62,498,76,3,1,2,0,0,10,602,0,12,602,0
63,423,57,0,3,0,0,0,8,500,0,9,500,0
64,720,111,1,1,3,1,0,5,856,0,14,856,0
65,701,78,0,0,0,0,0,14,801,0,8,801,0
66,575,182,5,1,2,1,3,1,782,0,12,782,0
67,369,43,0,0,0,2,0,2,428,0,12,428,0
68,864,69,3,0,1,0,1,13,963,0,12,963,
69,426,35,0,0,0,0,0,2,470,0,7,470,0
70,729,94,1,1,1,0,1,8,853,0,18,853,0
71,726,63,1,1,2,0,0,7,807,0,7,807,0
72,641,262,2,2,6,3,2,15,942,0,9,942,0
73,414,39,2,0,0,1,0,4,466,0,6,466,0
74,488,38,0,0,1,0,0,2,537,0,8,537,0
75,552,32,0,0,0,0,0,7,599,0,8,599,0
76,494,58,1,0,1,0,0,4,560,0,2,560,0
77,560,136,4,0,1,0,1,9,719,0,8,719,0
78,708,143,1,0,1,1,0,4,874,0,16,874,0
79,864,58,0,0,1,0,0,4,935,0,8,935,0
80,850,84,3,0,2,0,0,10,952,0,3,952,0
81,843,96,1,0,2,0,1,9,966,0,14,966,0
82,511,67,1,0,1,0,0,4,595,0,11,595,0
83,440,35,1,0,1,0,0,9,495,0,9,495,0
84,637,61,2,0,1,0,0,16,737,0,20,737,0
85,326,52,1,1,2,0,0,5,393,0,6,393,0
86,475,26,0,0,0,0,0,9,520,0,10,520,0
87,534,48,1,1,2,0,0,8,606,0,12,606,0
88,461,27,0,0,0,0,0,3,494,0,3,494,0
89,702,244,7,2,4,1,0,6,986,0,20,986,0
90,769,44,1,1,1,0,0,2,826,0,8,826,0
91,495,159,5,1,3,0,1,7,688,0,17,688,0
92,853,42,1,0,0,0,2,11,925,0,16,925,0
93,853,92,1,0,1,0,0,7,969,0,15,969,0
94,350,29,0,0,0,0,0,13,399,0,7,399,0
95,584,133,3,1,2,0,2,3,736,0,8,736,0
96,480,364,1,0,0,2,0,15,877,0,15,877,0
97,551,43,1,0,0,0,0,7,613,0,11,613,0
98,481,35,0,1,0,0,1,3,531,0,10,531,0
99,523,36,0,0,0,0,0,8,576,0,9,576,0
100,440,20,2,0,0,0,0,3,467,0,2,467,0
101,537,392,8,2,5,2,0,9,957,0,2,957,0
102,148,541,2,1,3,0,1,6,708,0,6,708,0
103,299,391,6,0,1,1,1,3,709,0,7,709,0
104,68,529,5,0,0,0,1,0,609,0,6,609,0
105,193,585,5,0,0,0,1,6,809,0,19,809,0
106,670,201,3,0,2,0,0,8,894,0,10,894,0
107,853,71,0,0,0,0,1,12,949,0,12,949,0
108,690,45,0,0,1,0,0,10,751,0,5,751,0
109,328,29,0,0,0,0,0,6,368,0,5,368,0
110,659,94,3,1,0,0,0,12,778,0,9,778,0
111,263,20,0,0,1,0,0,3,290,0,3,290,0
112,536,212,1,0,1,0,0,2,762,0,10,762,0
113,710,93,1,0,0,0,1,12,828,0,11,828,0
114,742,48,1,0,0,1,0,4,805,0,9,805,0
115,596,45,4,0,0,0,0,9,657,0,3,657,0
116,432,33,0,1,0,0,0,5,478,0,7,478,0
117,404,19,2,0,0,0,0,3,431,0,3,431,0
118,545,78,1,0,0,0,1,11,647,0,11,647,0
119,261,582,5,0,0,0,7,8,869,0,6,869,0
119,535,302,7,0,2,1,5,2,861,0,7,861,0
120,643,218,2,10,0,0,0,10,896,0,13,896,0
121,370,51,2,0,1,0,0,6,435,0,5,435,0
122,563,200,0,1,0,1,4,11,789,0,9,789,0
123,419,522,1,0,0,1,2,9,960,0,6,960,0
124,107,516,1,1,6,2,1,2,642,0,6,642,0
125,62,901,3,1,1,2,5,5,983,0,3,983,0
126,23,450,3,0,2,0,0,20,501,0,3,501,0
127,95,461,2,0,0,0,0,9,578,0,11,578,0
128,26,657,0,0,2,1,0,21,721,0,14,721,0
129,14,645,4,1,2,1,5,33,712,0,7,712,0
130,71,814,5,0,2,4,4,14,923,0,9,923,0
131,316,647,6,2,2,0,1,11,997,0,12,997,0
132,306,639,4,0,1,1,10,1,972,0,10,972,0
133,397,518,5,2,1,0,11,6,951,0,11,951,0
134,187,841,5,0,3,0,3,9,1059,0,11,1059,0
135,130,566,1,1,3,0,2,3,713,0,7,713,0
136,22,665,6,1,0,0,3,7,714,0,10,714,0
137,50,509,4,0,5,0,1,33,605,0,3,605,0
138,316,588,1,0,1,2,3,17,941,0,13,941,0
139,266,149,1,1,0,1,0,12,444,0,14,444,0
140,41,589,4,1,2,1,4,29,680,0,9,680,0
141,324,432,3,0,2,0,0,19,791,0,11,791,0
142,247,742,8,1,0,0,2,22,1034,0,12,1034,0
143,126,401,5,0,1,1,3,5,550,0,8,550,0
143,365,96,2,1,0,0,0,2,472,0,6,472,0
144,718,151,1,0,0,0,0,6,886,0,10,886,0
145,730,69,1,0,0,0,0,8,815,0,7,815,0
146,606,50,1,0,0,0,0,7,673,0,9,673,0
147,534,126,3,1,2,1,2,4,682,0,9,682,0
148,639,129,6,1,10,2,2,5,797,0,3,797,0
149,782,104,1,2,3,1,5,8,928,0,22,928,0
150,679,80,1,0,0,0,0,5,773,0,8,773,0
151,750,74,3,0,0,0,1,7,847,0,12,847,0
152,606,62,3,0,0,0,0,8,768,0,89,768,0
153,407,244,3,2,0,2,2,5,673,0,8,673,0
154,516,149,9,0,5,2,7,4,706,0,14,706,0
