Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,Total of valid votes,No. of Rejected votes,Nota,Total,No. of Tendere d votes
25,469,7,184,5,1,1,1,1,4,1,1,2,8,8,6,699,0,40,739,0
26,532,13,210,6,3,1,4,2,2,3,1,2,3,7,5,794,0,33,827,0
27,347,2,94,5,0,1,0,0,3,2,2,2,0,1,2,461,0,10,471,0
28,169,3,93,2,0,1,0,0,0,1,2,0,1,1,0,273,0,1,274,0
29,150,4,108,1,0,1,0,0,0,1,1,1,3,2,2,274,0,11,285,0
30,383,7,183,5,0,3,2,0,2,0,1,0,4,5,2,597,0,6,603,0
31,344,5,284,1,0,2,1,1,1,2,0,4,0,6,1,652,0,4,656,0
32,451,8,234,5,0,0,3,1,1,0,1,1,3,4,7,719,0,11,730,0
33,249,5,284,2,0,1,3,0,0,0,0,1,0,1,0,546,0,5,551,0
34,316,5,208,2,2,0,1,1,0,1,0,0,4,5,2,547,0,14,561,0
35,343,3,208,1,0,0,1,1,0,1,0,0,2,2,3,565,0,11,576,0
36,261,2,75,0,0,0,0,0,0,0,0,1,0,0,0,339,0,6,345,0
37,174,3,22,0,0,0,1,0,1,0,1,0,1,0,0,203,0,6,209,0
38,326,4,125,3,0,0,1,1,0,0,0,0,0,0,3,463,0,15,478,0
39,134,10,291,2,1,0,2,0,0,0,0,0,2,1,4,447,0,1,448,0
40,427,6,147,4,0,0,0,2,4,2,1,0,0,0,0,593,0,8,601,0
41,342,4,304,4,1,0,2,5,2,3,1,0,1,7,0,676,0,7,683,0
42,244,8,365,0,2,7,1,0,6,2,2,5,10,0,3,655,0,14,669,0
43,319,5,184,0,0,0,0,2,2,0,1,1,1,4,0,519,0,1,520,0
44,402,3,67,0,0,1,1,1,1,0,0,0,1,0,1,478,0,6,484,0
45,267,4,213,1,1,0,0,2,3,2,6,2,3,4,4,512,0,24,536,0
46,361,24,143,0,0,0,0,3,1,3,2,0,1,1,5,544,0,16,560,0
47,251,3,285,0,1,4,0,0,2,1,1,0,0,4,0,552,0,4,556,0
48,460,1,83,1,0,0,1,1,0,0,0,0,3,1,0,551,0,1,552,0
49,155,1,130,3,0,1,0,0,0,0,0,1,3,3,2,299,0,7,306,0
50,611,2,269,5,0,0,1,0,0,1,0,2,1,4,2,898,0,2,900,0
51,232,8,480,6,0,1,0,1,1,1,1,0,5,3,1,740,0,9,749,0
52,491,5,318,2,0,3,1,2,4,2,2,1,7,18,9,865,0,27,892,0
53,462,6,247,4,0,0,2,3,1,1,0,1,4,2,0,733,0,10,743,0
54,522,17,295,3,1,0,1,0,1,2,0,2,6,13,5,868,0,21,889,0
55,323,7,177,3,2,1,1,0,0,1,0,0,2,4,3,524,0,9,533,0
56,458,6,138,2,0,0,1,0,1,0,0,3,6,5,7,627,0,13,640,0
57,397,3,71,2,0,0,0,1,2,0,3,2,2,2,3,488,0,21,509,0
58,342,4,113,1,0,2,0,3,0,0,0,2,1,5,8,481,0,19,500,0
59,382,6,197,1,0,3,1,0,0,0,0,1,1,4,4,600,0,7,607,0
60,330,16,357,1,0,0,1,1,2,0,0,0,2,1,3,714,0,6,720,0
61,425,3,47,0,0,0,0,0,0,1,0,0,0,1,0,477,0,6,483,0
62,209,7,326,6,1,0,1,3,1,1,1,0,0,8,7,571,0,16,587,0
63,132,5,222,3,0,0,2,1,3,1,0,1,2,5,4,381,0,6,387,0
64,377,8,168,2,0,0,1,0,0,1,0,0,3,4,1,565,0,9,574,0
65,495,2,148,2,2,0,0,1,1,1,1,2,0,1,1,657,0,6,663,0
66,219,9,345,9,1,1,2,2,0,0,0,0,1,4,3,596,0,14,610,0
67,131,2,320,4,1,0,0,0,3,0,1,2,2,9,3,478,0,10,488,0
68,261,0,74,0,0,0,0,0,0,0,0,0,0,0,1,336,0,7,343,0
69,415,6,223,3,0,1,1,1,2,0,1,1,0,1,0,655,0,13,668,0
70,32,3,774,4,0,1,0,0,0,0,1,0,5,5,1,826,0,6,832,0
71,283,1,73,0,0,0,0,0,2,0,0,0,0,1,0,360,0,4,364,0
72,411,4,76,1,0,2,0,0,1,0,2,0,2,6,4,509,0,21,530,0
73,535,10,300,8,0,2,0,1,0,2,0,0,2,4,3,867,0,11,878,0
74,315,23,300,0,0,1,0,1,3,1,1,4,1,7,4,661,0,16,677,0
75,304,9,249,2,0,1,1,0,0,0,0,0,0,10,6,582,0,14,596,0
76,494,7,181,0,0,1,1,0,0,0,2,0,6,7,5,704,0,12,716,0
77,457,10,271,5,0,2,4,2,1,1,1,3,4,14,5,780,0,14,794,0
78,700,4,67,1,0,0,0,0,0,2,1,0,1,3,4,783,0,21,804,0
79,485,5,237,2,0,0,1,1,1,0,2,0,1,2,8,745,0,17,762,0
80,335,3,244,5,0,1,1,0,1,2,5,2,7,8,5,619,0,26,645,0
81,334,8,260,1,0,0,0,0,2,0,0,0,1,0,1,607,0,3,610,0
82,328,9,443,8,0,3,2,1,3,2,1,1,4,8,9,822,0,10,832,0
83,684,1,75,1,0,0,4,0,0,0,0,0,1,2,0,768,0,15,783,0
84,271,8,308,1,0,0,5,0,1,0,0,1,0,3,1,599,0,4,603,0
85,530,6,61,1,0,1,0,0,0,1,3,2,2,4,5,616,0,13,629,0
86,254,4,328,1,1,0,3,0,0,1,2,0,1,1,2,598,0,9,607,0
87,473,5,412,5,0,1,6,0,0,0,0,0,2,6,4,914,0,16,930,0
88,319,4,356,0,0,1,2,0,1,0,0,0,0,1,4,688,0,5,693,0
89,336,11,225,0,0,1,5,0,1,0,0,0,1,3,1,584,0,9,593,0
90,337,13,167,0,0,0,1,2,2,0,1,2,5,9,4,543,0,16,559,0
91,718,1,87,0,0,0,1,0,1,0,0,1,0,1,1,811,0,4,815,0
92,825,6,121,0,1,1,0,1,1,0,1,0,0,0,0,957,0,17,974,0
93,20,0,562,2,0,4,1,1,1,2,0,0,2,7,2,604,0,5,609,0
94,14,2,631,3,0,1,4,0,1,1,0,0,0,1,0,658,0,2,660,0
95,794,16,158,2,1,0,0,0,1,1,1,2,0,1,2,979,0,18,997,0
96,645,8,155,2,1,0,3,1,0,0,2,1,2,7,1,828,0,5,833,0
97,470,58,286,5,0,0,0,0,1,1,0,2,2,5,0,830,0,14,844,0
98,365,10,370,2,1,1,6,0,0,1,0,16,2,2,2,778,0,12,790,0
99,586,72,294,3,0,0,4,0,0,0,0,4,1,2,3,969,0,12,981,0
100,29,1,664,6,0,0,2,0,0,0,0,0,0,8,1,711,0,4,715,0
101,42,1,685,0,0,0,0,0,1,0,0,0,1,2,1,733,0,7,740,0
102,688,2,248,0,2,0,0,0,0,1,0,0,0,0,0,941,0,5,946,0
103,248,1,641,3,1,0,1,0,2,1,1,0,0,1,2,902,0,6,908,0
104,466,1,208,3,0,2,0,0,0,0,0,0,1,4,2,687,0,13,700,0
105,46,2,445,1,0,0,4,1,0,1,0,0,0,1,0,501,0,5,506,0
106,171,1,649,2,0,7,4,0,0,0,0,0,2,3,0,839,0,6,845,0
107,288,1,345,6,0,1,0,0,0,0,0,1,0,1,0,643,0,8,651,0
108,275,2,370,3,0,2,1,1,0,0,0,1,2,1,0,658,0,1,659,0
109,516,5,293,3,1,1,3,1,0,0,0,0,1,2,2,828,0,10,838,0
110,370,0,253,1,0,0,4,0,1,0,1,1,0,0,0,631,0,11,642,0
111,556,1,86,1,1,0,6,1,2,0,0,0,0,0,0,654,0,15,669,0
112,393,1,68,4,0,0,0,0,0,0,0,0,0,1,0,467,0,7,474,0
113,467,1,66,0,0,1,0,0,0,0,0,0,0,0,0,535,0,2,537,0
114,547,0,107,0,0,0,6,0,0,0,0,0,0,1,1,662,0,10,672,0
115,520,3,183,1,0,0,1,1,1,1,1,0,3,6,2,723,0,8,731,0
116,388,1,105,0,0,0,0,0,0,0,0,0,1,0,0,495,0,12,507,0
117,584,1,98,0,0,0,2,0,0,0,0,0,1,0,0,686,0,8,694,0
118,339,1,105,2,0,0,5,0,1,1,0,0,0,1,0,455,0,4,459,0
119,141,1,305,1,0,1,3,0,0,1,0,0,0,1,0,454,0,4,458,0
120,41,4,715,5,1,0,3,0,0,0,0,0,1,3,2,775,0,1,776,0
121,809,7,113,0,0,0,1,0,1,0,0,0,0,3,1,935,0,19,954,0
122,735,8,279,1,3,1,1,0,0,1,1,2,1,7,4,1044,0,13,1057,0
123,280,2,234,2,0,1,0,0,0,0,0,1,1,0,0,521,0,3,524,0
124,217,0,639,5,1,0,4,2,0,0,0,0,0,2,0,870,0,5,875,0
125,186,1,502,0,0,1,3,1,0,2,2,1,0,9,1,709,0,7,716,0
126,296,3,297,2,0,0,2,0,1,1,0,1,0,1,1,605,0,5,610,0
127,484,2,256,0,1,0,0,0,1,1,3,0,1,1,0,750,0,8,758,0
128,388,3,229,1,1,0,0,0,1,0,0,0,1,0,0,624,0,4,628,0
129,280,2,48,0,0,0,0,0,0,1,0,0,0,0,3,334,0,5,339,0
130,605,5,125,1,0,0,2,0,2,1,1,0,0,0,1,743,0,7,750,0
131,664,5,185,0,0,0,2,0,3,1,0,0,1,2,0,863,0,8,871,0
132,465,10,252,2,2,2,4,0,1,2,3,1,1,2,6,753,0,17,770,0
133,497,3,141,0,0,1,4,0,0,2,0,0,0,1,1,650,0,11,661,0
134,446,3,171,1,0,1,3,0,0,0,0,0,0,1,3,629,0,4,633,0
135,754,3,154,1,0,1,4,1,0,0,0,0,0,3,1,922,0,17,939,0
136,434,0,63,0,0,0,2,0,0,0,1,0,0,0,0,500,0,4,504,0
137,396,2,76,0,0,0,0,0,1,0,0,0,0,0,0,475,0,4,479,0
138,305,2,55,1,0,0,3,0,0,0,2,1,0,0,0,369,0,4,373,0
139,218,0,36,0,0,0,0,0,0,0,0,0,0,0,0,254,0,3,257,0
140,469,3,151,0,0,0,2,1,0,1,1,2,1,0,1,632,0,6,638,0
141,398,6,220,1,1,1,1,0,0,1,0,0,1,4,2,636,0,14,650,0
142,526,4,131,5,0,0,1,0,1,0,0,2,2,1,2,675,0,15,690,0
143,564,4,131,3,1,0,2,1,1,1,0,1,0,1,2,712,0,2,714,0
144,607,21,170,0,1,0,2,1,1,1,1,0,1,0,1,807,0,10,817,0
145,299,8,490,3,0,0,3,0,2,2,0,2,2,3,2,816,0,7,823,0
146,906,7,81,0,1,0,4,1,0,2,0,1,0,1,1,1005,0,11,1016,0
147,934,2,108,2,1,2,1,0,0,1,0,1,5,5,6,1068,0,35,1103,0
148,985,10,107,3,1,1,0,1,0,1,0,0,1,1,1,1112,0,8,1120,0
149,286,2,164,0,0,0,1,0,0,0,1,0,0,1,0,455,0,1,456,0
150,317,2,193,3,0,0,0,0,3,0,0,0,2,3,0,523,0,12,535,0
151,415,1,129,0,0,1,8,1,1,0,0,0,0,2,2,560,0,3,563,0
152,409,8,106,2,0,1,1,0,2,0,1,1,1,0,8,540,0,21,561,0
153,265,1,456,3,1,1,1,0,0,0,0,1,0,7,1,737,0,16,753,0
154,345,28,211,2,0,0,4,1,2,1,0,0,1,2,2,599,0,13,612,0
155,494,3,265,1,0,2,1,5,0,1,2,2,3,8,7,794,0,36,830,0
156,543,7,199,3,0,2,1,2,0,1,0,0,1,0,1,760,0,5,765,0
157,416,3,254,2,0,1,1,0,0,0,0,1,2,3,2,685,0,3,688,0
158,449,2,182,2,0,1,5,0,0,1,0,0,2,6,4,654,0,6,660,0
159,137,7,494,1,0,0,1,1,0,1,1,2,2,10,2,659,0,11,670,0
160,470,3,163,0,0,0,2,2,0,2,0,1,4,4,1,652,0,10,662,0
161,297,5,314,11,1,0,0,0,2,0,1,0,1,6,2,640,0,6,646,0
162,272,8,392,9,1,3,1,2,4,1,0,0,2,6,10,711,0,43,754,0
163,323,15,169,1,1,4,0,2,1,1,2,1,4,5,5,534,0,10,544,0
164,241,10,248,9,1,0,0,0,0,1,1,1,0,5,1,518,0,13,531,0
165,402,2,200,0,0,0,0,0,2,0,0,0,2,2,3,613,0,16,629,0
166,549,4,101,0,0,1,2,0,0,1,0,1,0,0,1,660,0,7,667,0
167,454,8,190,4,0,1,0,0,0,1,1,2,4,4,2,671,0,17,688,0
168,385,20,264,7,1,0,1,0,1,1,1,4,1,11,8,705,0,22,727,0
169,334,10,88,1,1,0,1,1,2,0,0,0,4,5,12,459,0,20,479,0
170,388,7,83,1,0,1,1,0,0,1,2,2,1,1,4,492,0,16,508,0
171,333,4,220,2,1,0,0,0,0,0,0,1,0,2,2,565,0,5,570,0
172,371,9,285,8,1,0,1,1,0,2,0,2,4,3,2,689,0,2,691,0
173,248,3,280,5,0,2,0,0,0,0,0,0,1,1,3,543,0,2,545,0
174,493,2,157,2,0,1,0,1,0,1,1,0,1,2,1,662,0,10,672,0
175,213,3,250,0,0,0,1,0,0,0,0,0,4,5,5,481,0,10,491,0
176,362,3,164,3,1,0,0,1,1,2,1,0,2,8,4,552,0,19,571,0
177,259,6,250,2,1,1,0,0,4,3,2,2,8,13,8,559,0,19,578,0
178,439,4,148,6,0,0,0,1,1,2,2,0,1,3,3,610,0,19,629,0
179,406,7,73,1,0,0,0,0,0,0,1,1,1,1,2,493,0,4,497,0
180,238,13,189,1,0,0,0,1,1,0,0,2,0,0,3,448,0,9,457,0
181,658,2,62,0,2,0,0,0,1,0,0,0,1,2,1,729,0,8,737,0
182,302,17,408,2,1,2,3,2,3,1,1,1,6,4,2,755,0,15,770,0
183,373,8,171,2,0,1,0,0,1,1,0,0,0,5,2,564,0,14,578,0
184,412,3,103,1,0,0,1,1,1,0,3,1,1,0,3,530,0,14,544,0
185,319,4,195,0,0,2,0,1,1,1,2,2,1,10,3,541,0,16,557,0
186,267,4,164,5,0,0,0,4,1,0,2,0,5,2,4,458,0,7,465,0
187,341,2,194,2,1,0,1,3,3,2,0,1,2,6,2,560,0,12,572,0
188,233,21,264,1,1,0,0,1,0,0,1,0,3,5,1,531,0,12,543,0
189,164,1,69,0,1,1,0,1,1,0,0,1,1,1,1,242,0,6,248,0
190,453,3,166,1,1,3,0,0,2,2,0,0,4,4,5,644,0,27,671,0
191,392,7,268,3,0,2,0,2,0,0,0,1,1,3,4,683,0,14,697,0
192,359,7,126,0,0,2,0,1,3,0,0,0,1,4,4,507,0,9,516,0
193,310,8,250,5,2,4,4,2,1,0,7,1,9,7,9,619,0,25,644,0
194,130,1,508,2,0,0,1,0,1,1,0,0,2,9,1,656,0,9,665,0
195,214,8,278,3,1,2,1,0,1,0,1,0,1,3,7,520,0,21,541,0
196,246,6,184,3,0,0,2,1,1,1,2,3,1,12,2,464,0,12,476,0
197,325,2,166,2,1,0,0,1,2,0,0,1,2,3,3,508,0,32,540,0
198,213,3,129,0,0,0,0,0,1,1,0,0,3,4,3,357,0,19,376,0
199,358,5,171,5,0,0,2,3,1,2,0,0,4,5,4,560,0,16,576,0
200,281,6,195,2,0,1,1,0,0,2,1,1,3,9,7,509,0,26,535,0
201,354,1,45,1,0,0,2,0,0,0,0,0,1,2,0,406,0,12,418,0
202,428,3,179,1,0,1,0,0,2,0,1,1,5,7,4,632,0,16,648,0
203,397,6,187,2,0,1,1,2,1,3,4,1,3,6,5,619,0,19,638,0
204,373,8,145,5,0,0,0,1,0,0,0,0,1,4,2,539,0,13,552,0
205,388,4,108,1,0,0,0,0,1,1,1,0,4,5,2,515,0,13,528,0
206,449,4,71,0,0,0,2,0,2,0,1,3,0,2,5,539,0,8,547,0
207,221,6,173,0,1,0,1,0,1,1,1,0,2,6,6,419,0,5,424,0
208,487,5,165,0,0,1,4,1,1,1,0,1,3,7,3,679,0,16,695,0
209,315,0,93,1,0,1,1,0,0,1,1,0,1,1,3,418,0,6,424,0
210,124,0,59,0,0,0,3,0,1,2,1,0,0,0,0,190,0,2,192,0
