,Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,Total of valid votes,No.of rejected votes,NOTA,Total,No of tendered votes,
,,Kamalbhai Matang,Chavda Vinod Lakhamashi,Dr. Dinesh Parmar,Danicha Govindbhai Punamchand,Hirji Punjabhai Siju,,,,,,
,267,17,517,269,9,23,835,0,9,844,0,
,268,48,396,324,9,44,821,0,21,842,0,
,269,4,701,114,3,2,824,0,5,829,0,
,270,5,383,85,4,1,478,0,7,485,0,
,271,8,506,156,9,10,689,0,10,699,0,
,272,9,378,318,4,2,711,0,8,719,0,
,273,6,594,18,2,2,622,0,3,625,0,
,total,97,3475,1284,40,84,4980,0,63,5043,0,
,10 01-ABADASA,,,,,,,,,,,
,274,2,573,47,2,1,625,0,1,626,0,
,275,16,521,136,3,61,737,0,14,751,0,
,276,5,558,69,5,10,647,0,4,651,0,
,277,12,544,35,3,2,596,0,7,603,0,
,278,21,326,349,7,3,706,0,35,741,0,
,279,25,253,461,8,20,767,0,15,782,0,
,280,10,253,293,8,18,582,0,14,596,0,
,total,91,3028,1390,36,115,4660,0,90,4750,0,
,281,20,163,186,4,44,417,0,19,436,0,
,282,21,234,186,3,56,500,0,17,517,0,
,283,15,47,42,4,200,308,0,14,322,0,
,284,11,134,82,4,114,345,0,19,364,0,
,285,8,229,210,5,45,497,0,14,511,0,
,286,7,249,62,5,50,373,0,11,384,0,
,287,8,563,126,3,8,708,0,5,713,0,
,total,90,1619,894,28,517,3148,0,99,3247,0,
,288,13,377,71,3,13,477,0,5,482,0,
,289,2,244,83,3,6,338,0,2,340,0,
,290,16,182,101,1,1,301,0,6,307,0,
,291,25,375,133,12,5,550,0,20,570,0,
,292,4,570,43,0,1,618,0,2,620,0,
,293,12,550,101,1,41,705,0,5,710,0,
,294,2,414,46,1,2,465,0,1,466,0,
,total,74,2712,578,21,69,3454,0,41,3495,0,
,295,18,344,329,15,118,824,0,19,843,0,
,296,11,356,89,3,67,526,0,9,535,0,
,297,21,499,238,2,6,766,0,11,777,0,
,298,20,274,248,1,12,555,0,13,568,0,
,299,9,404,85,7,89,594,0,15,609,0,
,300,18,580,245,12,4,859,0,10,869,0,
,301,19,485,184,9,10,707,0,14,721,0,
,total,116,2942,1418,49,306,4831,0,91,4922,0,
,11 01-ABADASA,,,,,,,,,,,
,302,11,371,219,3,54,658,0,14,672,0,
,303,2,491,32,1,5,531,0,8,539,0,
,304,7,189,235,4,12,447,0,8,455,0,
,305,2,369,27,2,1,401,0,3,404,0,
,306,12,152,124,2,6,296,0,3,299,0,
