,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,,,,,
Serial No. Of Polling Station,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,Total of Valid Votes,No. of Rejected Votes,Votes for 'NOTA' Option,Total,No. of Tendered votes
102,2,450,60,0,0,0,11,0,0,0,0,0,0,0,1,0,0,1,0,525,0,14,539,0
103,3,515,140,1,1,0,12,1,0,0,0,0,0,1,0,2,1,2,0,679,0,20,699,0
104,8,518,324,6,0,0,11,0,0,1,1,1,3,1,3,7,0,3,2,889,0,6,895,0
105,7,533,116,2,0,0,8,1,0,1,0,0,0,3,0,4,0,0,1,676,0,5,681,0
106,5,412,70,0,0,0,3,0,1,0,0,1,1,2,1,1,1,3,0,501,0,4,505,0
107,4,528,49,2,0,2,5,0,0,0,0,0,0,4,3,1,1,3,1,603,0,6,609,0
108,8,310,43,3,0,0,2,0,0,0,0,1,2,0,1,0,1,0,1,372,0,2,374,0
,629,43299,16502,255,68,64,805,68,60,47,90,200,160,283,400,569,232,497,288,64516,0,642,65158,0
,629,43299,16502,255,68,64,805,68,60,47,90,200,160,283,400,569,232,497,288,64516,0,642,65158,0
109,6,376,186,2,0,0,7,1,1,0,0,1,1,2,2,3,5,8,1,602,0,9,611,0
110,4,558,123,3,0,1,18,0,1,0,1,0,0,3,2,3,0,4,1,722,0,6,728,0
111,2,553,229,3,0,0,9,0,0,0,2,1,2,0,4,3,3,4,4,819,0,1,820,0
112,4,650,134,1,1,0,24,0,0,0,0,1,0,2,0,1,1,1,0,820,0,22,842,0
113,12,627,174,1,0,0,7,0,1,2,0,1,2,10,0,7,0,5,3,852,0,6,858,0
