Polling Station,,Number of Valid votes cast in favour of,,,,,,,,Total of Valid Votes,Total of Rejected Votes,NOTA (NONE OF THE ABOVE),Total,No of Tendered Votes
,Name,Chudasama Rajeshbhai Naranbhai,Punjabhai Bhimabhai Vainsh,Atul Govindbhai Shekhda,Kadri Ibrahim saiyad Husen,Solanki Haribhai Boghabhai,Gadhiya Soyeb Husenbhai,Saiyad Altafhusen Abdulahmiya,Harilal Ranchhodbhai Chauhan,,,,,
34,RAMRECHI-2,346,58,3,1,0,0,1,0,409,0,3,412,0
35,RAMRECHI-3,147,191,6,1,0,0,1,3,349,0,6,355,0
36,BHOJDE,155,672,8,4,3,3,8,11,864,0,15,879,0
37,GABHA-1,174,383,9,2,1,2,1,3,575,0,7,582,0
38,GABHA-2,194,294,6,3,2,0,0,1,500,0,6,506,0
39,TALALA-1,339,168,4,0,0,1,0,3,515,0,4,519,0
40,TALALA-2,207,182,7,2,1,1,1,1,402,0,6,408,0
41,TALALA-3,344,140,3,0,0,2,1,4,494,0,11,505,0
42,TALALA-4,256,170,4,1,2,0,0,0,433,0,5,438,0
43,TALALA-5,457,173,6,0,0,0,1,0,637,0,15,652,0
44,TALALA-6,561,125,10,0,0,1,0,0,697,0,6,703,0
45,TALALA-7,294,88,6,0,0,0,0,0,388,0,1,389,0
46,TALALA-8,320,66,6,0,0,0,0,0,392,0,2,394,0
47,TALALA-9,420,164,6,0,0,0,0,1,591,0,10,601,0
48,TALALA-10,372,120,12,0,0,0,1,0,505,0,4,509,0
49,TALALA-11,479,88,7,0,0,1,0,5,580,0,8,588,0
50,TALALA-12,140,343,6,0,1,0,1,7,498,0,12,510,0
51,TALALA-13,145,183,8,0,0,0,1,2,339,0,7,346,0
52,TALALA-14,269,449,9,1,1,1,1,8,739,0,10,749,0
53,TALALA-15,265,104,10,0,0,0,0,1,380,0,3,383,0
54,TALALA-16,345,60,6,0,0,0,2,0,413,0,9,422,0
55,TALALA-17,208,157,9,0,2,1,3,0,380,0,10,390,0
56,TALALA-18,299,89,2,0,1,0,2,1,394,0,4,398,0
57,BORVAV-1,238,86,26,2,1,1,0,2,356,0,5,361,0
58,BORVAV-2,192,102,33,0,0,0,1,2,330,0,13,343,0
59,BORVAV-3,232,237,49,3,4,2,0,5,532,0,16,548,0
60,BORVAV-4,184,58,27,1,0,1,1,4,276,0,9,285,0
61,BORVAV-5,196,182,22,2,1,0,0,8,411,0,14,425,0
62,VIRPUR-1,323,85,3,1,0,0,0,1,413,0,5,418,0
63,VIRPUR-2,308,172,7,0,0,0,3,3,493,0,7,500,0
64,DRAMANVA,524,335,16,2,1,2,2,2,884,0,28,912,0
65,PIPALVA-1,160,388,8,1,1,3,0,8,569,0,4,573,0
66,PIPALVA-2,134,337,6,1,2,2,0,3,485,0,7,492,0
67,GUNDRAN-1,335,238,3,0,1,1,2,3,583,0,12,595,0
68,GUNDRAN-2,163,187,1,1,0,0,1,6,359,0,13,372,0
69,GUNDRAN-3,308,308,6,0,2,1,0,2,627,0,7,634,0
70,LUSHALA,75,91,6,1,1,1,0,4,179,0,16,195,0
71,AMRUTVEL,78,121,0,1,0,0,3,1,204,0,6,210,0
72,DHAVA-1,458,190,31,2,1,3,0,1,686,0,9,695,0
73,DHAVA-2,400,192,26,1,0,0,2,3,624,0,3,627,0
74,DHAVA-3,228,224,28,5,0,2,0,6,493,0,2,495,0
75,DHAVA-4,146,206,7,1,1,1,2,5,369,0,12,381,0
76,AMBLASH-1,393,173,13,0,0,1,0,3,583,0,7,590,0
77,AMBLASH-2,408,270,10,1,1,1,4,10,705,0,11,716,0
