Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,Total of valid votes,No. of Rejected votes,Nota,Total,No. of Tendere d votes
45,225,7,210,3,1,4,1,0,2,0,1,0,1,6,2,463,0,7,470,0
46,77,4,520,2,1,3,0,0,2,2,0,2,5,20,2,640,0,13,653,0
47,171,11,546,2,3,4,1,2,4,1,1,3,8,19,7,783,0,16,799,0
48,373,6,320,2,0,2,3,0,2,0,2,0,8,7,3,728,0,17,745,0
49,172,8,398,4,1,2,1,0,2,0,1,3,2,14,7,615,0,12,627,0
50,141,4,579,3,2,2,1,2,1,1,2,0,10,40,7,795,0,17,812,0
51,389,0,78,1,0,1,0,0,0,1,0,2,0,2,0,474,0,3,477,0
52,184,2,420,3,0,2,0,2,1,0,0,0,6,7,2,629,0,15,644,0
53,257,4,492,8,1,5,2,3,1,0,1,1,5,13,9,802,0,24,826,0
54,616,2,82,0,0,2,1,1,0,0,1,0,0,0,1,706,0,2,708,0
55,469,2,327,2,1,0,3,0,1,2,2,0,0,5,2,816,0,3,819,0
56,509,2,122,5,0,1,5,0,0,1,0,0,0,1,3,649,0,3,652,0
57,167,5,289,2,0,0,2,0,1,1,2,0,4,2,5,480,0,10,490,0
58,103,5,172,2,1,0,0,0,2,1,1,2,1,2,1,293,0,5,298,0
59,182,1,627,7,1,2,1,1,1,2,2,0,1,4,0,832,0,4,836,0
60,207,6,461,1,0,4,4,0,0,0,2,2,1,4,0,692,0,18,710,0
61,448,6,333,5,0,0,0,1,1,0,1,1,3,14,2,815,0,14,829,0
62,193,4,490,2,0,2,2,0,2,1,2,1,9,14,2,724,0,14,738,0
63,373,5,412,8,1,1,0,0,2,3,3,0,5,21,3,837,0,20,857,0
64,332,5,389,5,0,0,2,0,0,0,1,0,2,6,1,743,0,2,745,0
65,175,4,491,1,1,2,0,5,0,1,2,2,6,6,2,698,0,8,706,0
66,151,3,419,8,3,2,1,1,3,1,1,2,2,8,4,609,0,12,621,0
67,414,2,148,2,0,0,0,0,2,1,0,0,0,1,5,575,0,8,583,0
68,267,7,418,8,1,0,0,1,3,1,0,2,5,5,4,722,0,18,740,0
69,507,3,82,1,0,0,0,0,0,0,0,0,0,0,1,594,0,7,601,0
70,98,5,392,4,1,0,1,1,0,2,2,0,2,9,3,520,0,10,530,0
71,175,4,299,2,2,0,0,0,1,1,1,1,6,1,3,496,0,5,501,0
72,204,6,294,4,0,3,1,4,0,2,0,0,2,4,5,529,0,9,538,0
73,124,3,498,8,1,1,3,2,2,1,2,2,1,10,3,661,0,5,666,0
74,118,7,528,6,1,2,1,2,1,5,2,2,3,8,1,687,0,10,697,0
75,142,5,491,2,1,2,1,0,4,1,1,2,4,3,5,664,0,9,673,0
76,370,4,124,1,0,1,0,1,1,0,0,0,2,1,2,507,0,7,514,0
77,334,3,221,0,0,3,0,0,2,1,0,1,1,3,0,569,0,9,578,0
78,592,3,368,5,1,2,0,2,0,3,2,1,1,1,2,983,0,14,997,0
79,319,3,349,3,0,2,2,0,0,0,1,0,0,0,0,679,0,3,682,0
80,406,1,184,1,0,2,0,1,1,1,0,1,0,0,0,598,0,5,603,0
81,355,1,152,0,0,0,0,1,0,1,0,0,0,0,1,511,0,4,515,0
82,268,4,437,0,2,1,0,0,1,1,0,1,0,0,1,716,0,10,726,0
83,164,4,529,1,0,0,8,0,1,0,0,0,0,2,2,711,0,5,716,0
84,526,6,257,0,1,1,1,0,0,0,1,3,2,1,2,801,0,4,805,0
85,409,4,265,6,0,3,2,2,1,2,0,1,3,6,2,706,0,32,738,0
86,296,0,223,2,0,0,1,0,0,0,0,0,0,1,2,525,0,7,532,0
87,385,6,197,5,0,0,0,0,1,1,0,1,0,3,2,601,0,19,620,0
88,599,5,122,0,1,2,2,0,1,0,1,1,0,2,5,741,0,30,771,0
89,496,6,189,0,0,1,2,0,0,0,0,0,0,4,2,700,0,11,711,0
90,316,0,94,0,0,0,1,0,0,1,0,0,0,0,0,412,0,0,412,0
91,460,2,348,2,3,3,1,0,0,0,0,0,1,3,0,823,0,22,845,0
92,385,6,461,2,0,0,3,0,1,0,0,0,2,1,1,862,0,11,873,0
93,404,3,404,0,1,3,1,0,1,2,2,0,1,3,2,827,0,13,840,0
94,625,4,271,2,0,0,2,1,0,1,2,0,0,4,4,916,0,14,930,0
95,895,8,107,1,0,2,0,0,1,1,4,0,0,0,6,1025,0,18,1043,0
96,414,4,410,4,0,1,0,0,0,1,1,0,0,0,3,838,0,11,849,0
97,993,1,65,0,0,0,0,0,0,1,0,0,0,2,2,1064,0,7,1071,0
98,643,0,104,0,0,2,0,0,3,1,0,1,1,0,1,756,0,3,759,0
99,727,2,102,1,0,0,4,0,2,1,0,0,1,0,0,840,0,11,851,0
100,433,5,517,0,0,0,4,0,1,2,0,0,0,1,0,963,0,1,964,0
101,522,11,330,2,1,3,0,1,1,0,2,0,1,2,0,876,0,13,889,0
102,589,2,134,2,0,1,0,2,1,2,0,0,1,3,0,737,0,11,748,0
103,467,3,484,5,1,0,2,0,0,0,2,0,2,6,0,972,0,5,977,0
104,21,2,614,5,0,1,3,0,0,0,0,0,3,2,0,651,0,1,652,0
105,273,1,418,2,0,1,2,0,0,0,0,0,1,6,0,704,0,3,707,0
106,648,3,99,0,1,0,1,0,3,2,0,0,1,0,2,760,0,5,765,0
107,55,1,493,3,0,1,0,0,1,1,0,0,1,2,0,558,0,0,558,0
108,310,0,196,1,1,0,1,0,0,0,0,0,0,4,0,513,0,0,513,0
109,285,3,281,4,1,0,0,1,0,0,0,0,2,4,0,581,0,6,587,0
110,32,1,879,9,1,5,2,0,2,0,0,5,4,8,0,948,0,16,964,0
111,206,9,726,4,1,0,4,2,2,0,1,0,2,5,1,963,0,17,980,0
112,17,2,846,7,0,1,0,0,1,2,0,0,7,9,0,892,0,5,897,0
113,271,3,304,6,1,0,0,3,0,0,0,1,1,4,2,596,0,13,609,0
114,391,4,310,2,1,0,0,0,0,0,0,0,1,1,2,712,0,9,721,0
115,57,2,701,8,0,0,0,0,1,0,0,1,2,4,0,776,0,2,778,0
116,680,5,134,3,1,1,0,1,2,0,0,0,2,5,4,838,0,8,846,0
117,340,9,84,2,0,0,0,2,0,0,1,1,0,5,1,445,0,9,454,0
118,758,9,170,0,1,0,0,0,0,0,0,1,1,5,2,947,0,15,962,0
119,277,0,399,3,1,0,0,0,0,0,0,2,2,6,1,691,0,12,703,0
120,494,2,216,0,0,1,3,0,0,1,0,1,0,1,0,719,0,8,727,0
121,31,2,997,3,0,0,1,0,0,0,0,0,1,0,0,1035,0,3,1038,0
122,53,2,682,1,1,1,0,0,1,0,0,0,0,1,0,742,0,1,743,0
123,522,0,84,1,1,0,0,0,0,2,0,0,0,0,1,611,0,3,614,0
124,316,1,284,3,0,1,1,0,1,1,0,0,0,1,1,610,0,3,613,0
125,627,0,100,1,1,1,3,0,0,2,0,0,0,1,1,737,0,4,741,0
126,639,3,84,0,0,0,0,0,1,2,0,0,2,0,0,731,0,3,734,0
127,539,3,88,1,1,1,3,1,0,2,0,0,1,0,0,640,0,10,650,0
128,439,6,80,1,0,1,2,1,0,0,1,0,0,0,0,531,0,6,537,0
129,298,4,100,0,0,0,0,1,0,1,0,0,2,0,0,406,0,8,414,0
130,558,4,199,1,0,1,0,1,0,0,2,0,0,4,0,770,0,18,788,0
131,408,12,298,3,2,5,0,1,4,1,1,1,2,12,3,753,0,16,769,0
132,419,2,229,2,1,0,0,0,0,0,1,0,0,2,1,657,0,6,663,0
133,296,4,212,2,0,0,2,0,2,1,0,0,2,1,3,525,0,10,535,0
134,253,2,264,3,0,1,2,1,1,0,0,2,2,9,1,541,0,10,551,0
135,296,5,206,4,0,0,1,1,0,0,0,0,7,2,0,522,0,12,534,0
136,584,3,244,7,1,1,0,1,3,3,2,3,5,5,5,867,0,18,885,0
137,407,2,156,0,0,0,0,0,0,0,0,0,1,1,1,568,0,5,573,0
138,380,5,181,1,1,0,1,0,1,1,0,1,1,1,0,574,0,6,580,0
139,383,4,128,2,0,4,0,1,2,0,1,0,2,0,3,530,0,5,535,0
140,261,5,229,1,1,0,2,0,1,0,0,0,1,3,6,510,0,21,531,0
141,187,3,397,3,1,1,0,1,1,0,0,3,3,4,3,607,0,3,610,0
142,394,1,197,2,0,1,1,1,0,1,0,0,1,0,8,607,0,9,616,0
143,99,0,404,2,0,1,0,1,1,2,2,1,1,8,2,524,0,5,529,0
144,303,8,442,4,0,2,3,1,2,1,1,2,2,11,7,789,0,7,796,0
145,302,6,346,2,0,2,1,0,0,0,0,0,0,2,1,662,0,4,666,0
146,274,6,434,4,1,0,2,0,0,1,1,3,3,9,2,740,0,9,749,0
147,521,3,177,4,0,0,1,1,2,1,0,0,1,1,1,713,0,3,716,0
148,295,3,251,4,0,0,0,2,1,2,0,1,1,7,1,568,0,19,587,0
149,168,5,467,4,1,0,0,4,5,1,0,0,3,10,6,674,0,27,701,0
150,368,6,269,4,0,0,1,0,0,2,0,2,1,5,0,658,0,8,666,0
151,330,10,302,2,0,1,0,0,2,2,2,1,0,2,2,656,0,10,666,0
152,387,1,197,3,0,1,2,1,0,1,3,3,2,9,1,611,0,8,619,0
153,288,1,266,2,1,2,4,1,1,0,1,0,2,2,1,572,0,7,579,0
154,432,1,146,0,0,0,0,0,1,1,1,2,4,4,4,596,0,10,606,0
155,342,4,206,1,0,3,1,1,0,1,2,1,4,3,5,574,0,26,600,0
156,623,8,102,3,1,0,0,0,2,1,1,1,0,0,1,743,0,7,750,0
157,167,7,334,0,0,3,0,0,1,0,0,1,4,4,0,521,0,11,532,0
158,244,1,147,0,2,2,0,0,1,2,1,3,1,2,6,412,0,12,424,0
159,268,4,215,6,0,0,3,0,1,0,1,0,4,12,7,521,0,14,535,0
160,352,19,320,2,2,4,0,0,1,0,0,0,2,0,0,702,0,8,710,0
161,309,3,189,0,0,0,1,0,0,1,0,1,0,1,1,506,0,2,508,0
162,177,2,439,2,0,1,0,0,0,0,0,0,0,1,0,622,0,11,633,0
163,500,10,137,1,0,2,0,0,0,0,0,1,1,3,1,656,0,14,670,0
164,149,8,390,0,2,1,1,0,0,1,0,2,3,5,0,562,0,2,564,0
165,90,2,574,1,1,1,0,0,1,0,0,0,1,1,3,675,0,4,679,0
166,95,3,343,1,0,1,0,1,0,1,1,1,0,3,0,450,0,1,451,0
167,289,2,220,1,0,0,0,0,2,0,0,2,1,5,4,526,0,17,543,0
168,419,6,255,3,2,2,0,1,0,0,0,1,1,4,5,699,0,30,729,0
169,17,2,423,2,1,1,1,2,0,2,0,0,2,0,0,453,0,2,455,0
170,41,2,474,3,0,0,1,0,1,0,1,0,3,7,3,536,0,12,548,0
171,116,1,455,1,1,2,2,1,3,1,0,0,0,1,4,588,0,9,597,0
172,15,3,525,3,0,1,2,1,0,0,0,0,0,3,1,554,0,4,558,0
173,59,2,486,4,0,0,4,1,0,0,0,3,1,3,1,564,0,8,572,0
174,262,4,83,3,0,1,0,1,0,0,0,1,4,3,3,365,0,19,384,0
175,194,2,179,0,1,1,0,1,1,1,0,0,2,4,0,386,0,10,396,0
176,127,2,76,2,0,1,1,0,0,0,0,2,2,2,1,216,0,6,222,0
177,351,3,38,1,0,1,1,0,0,0,1,0,0,1,0,397,0,11,408,0
178,110,0,162,2,0,1,2,1,7,0,2,1,4,3,5,300,0,4,304,0
179,220,4,206,1,0,4,0,0,0,0,1,0,0,3,2,441,0,20,461,0
180,200,3,70,0,0,1,1,1,0,0,0,2,0,3,1,282,0,6,288,0
181,266,3,296,1,0,0,1,0,1,0,0,2,2,2,4,578,0,15,593,0
182,214,0,496,4,1,1,0,0,0,1,1,1,1,3,1,724,0,11,735,0
183,385,4,161,4,1,2,1,0,1,0,2,3,1,6,4,575,0,13,588,0
184,207,4,480,5,0,2,0,1,0,0,1,1,5,8,5,719,0,12,731,0
185,293,2,212,3,1,2,1,1,1,0,0,0,0,2,0,518,0,3,521,0
186,372,7,372,2,0,4,0,4,1,0,1,4,1,5,4,777,0,20,797,0
187,322,15,422,3,2,3,2,0,0,2,0,1,5,11,3,791,0,15,806,0
188,269,13,588,3,1,6,6,0,0,0,5,2,7,3,5,908,0,10,918,0
189,231,5,243,1,0,1,0,0,0,2,0,2,0,1,1,487,0,5,492,0
190,165,3,373,3,0,6,0,0,1,1,0,3,2,3,3,563,0,9,572,0
191,536,8,295,5,0,2,0,0,1,1,0,2,3,7,2,862,0,19,881,0
192,325,8,297,2,2,5,1,1,0,0,0,1,4,3,2,651,0,14,665,0
193,318,1,224,2,0,1,0,2,0,0,0,1,2,3,1,555,0,5,560,0
194,529,1,37,0,0,0,0,0,0,0,0,0,0,0,0,567,0,4,571,0
195,291,11,246,0,0,0,0,0,1,0,2,0,2,3,1,557,0,10,567,0
196,251,11,279,5,1,6,6,0,1,1,0,1,2,2,2,568,0,6,574,0
197,320,2,142,1,0,0,0,1,0,0,0,0,1,2,1,470,0,1,471,0
198,186,2,327,2,0,1,0,0,0,0,2,1,3,21,4,549,0,2,551,0
199,479,2,210,2,0,2,2,0,0,0,0,0,1,0,2,700,0,4,704,0
200,257,3,216,2,0,1,1,1,1,0,0,1,1,2,5,491,0,14,505,0
201,331,3,199,6,1,3,4,1,2,0,0,1,1,4,1,557,0,18,575,0
202,292,8,340,6,1,2,0,0,0,0,1,1,5,2,3,661,0,10,671,0
203,142,2,249,3,1,2,2,0,1,0,0,2,1,4,0,409,0,9,418,0
204,144,3,238,2,0,1,0,0,1,1,1,2,4,12,5,414,0,10,424,0
205,322,2,112,0,1,0,0,0,0,1,0,1,1,2,1,443,0,9,452,0
206,122,0,260,2,0,1,1,0,0,0,0,1,1,4,3,395,0,5,400,0
207,178,5,355,2,1,2,1,0,0,1,1,0,0,2,2,550,0,8,558,0
208,69,9,449,3,0,1,1,1,1,1,0,0,2,0,2,539,0,7,546,0
209,428,15,285,1,2,3,1,0,2,0,0,1,3,1,1,743,0,5,748,0
210,414,1,44,0,0,0,1,1,0,2,0,0,0,0,0,463,0,2,465,0
211,165,1,142,2,0,0,0,1,0,4,0,2,1,5,1,324,0,4,328,0
212,49,6,326,0,0,0,1,0,1,0,0,0,3,14,2,402,0,3,405,0
213,91,4,349,3,2,2,1,0,1,1,0,0,4,4,0,462,0,1,463,0
214,48,4,293,2,1,0,0,0,0,0,0,2,1,4,1,356,0,2,358,0
