Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,Total of valid votes,No. of Rejected votes,Nota,Total,No. of Tendere d votes
101,165,7,257,5,1,1,0,0,2,0,0,0,1,0,2,441,0,3,444,0
102,221,11,177,2,1,2,1,0,0,0,1,0,0,1,1,418,0,10,428,0
103,533,8,246,5,2,0,5,0,2,1,1,1,4,0,3,811,0,11,822,0
104,255,4,301,2,2,1,20,1,4,0,2,0,2,4,3,601,0,10,611,0
105,518,7,207,1,0,0,0,1,2,0,1,0,1,1,3,742,0,15,757,0
106,333,5,219,6,0,1,8,1,0,0,0,4,4,9,3,593,0,5,598,0
107,382,10,315,4,2,1,2,0,3,0,3,2,3,7,9,743,0,23,766,0
108,457,9,352,2,0,0,1,0,1,1,0,0,3,5,4,835,0,18,853,0
109,392,1,74,2,0,1,4,1,1,0,0,0,0,2,3,481,0,1,482,0
110,160,7,277,4,0,2,1,0,2,0,1,0,3,9,2,468,0,7,475,0
111,247,9,96,3,0,2,1,0,0,1,0,0,2,3,2,366,0,9,375,0
112,362,5,192,2,1,4,0,0,1,0,1,1,2,2,7,580,0,26,606,0
113,320,3,341,3,2,2,0,0,0,0,0,1,2,5,4,683,0,8,691,0
114,270,3,354,4,0,4,0,1,1,0,0,1,1,2,0,641,0,4,645,0
115,302,7,216,2,0,4,1,0,5,0,2,3,2,5,6,555,0,8,563,0
116,511,3,223,5,1,1,0,2,0,1,2,1,4,5,5,764,0,24,788,0
117,477,9,277,4,0,0,1,2,1,0,2,3,1,13,3,793,0,35,828,0
118,342,5,220,3,0,0,0,0,0,0,0,0,0,2,1,573,0,17,590,0
119,203,4,153,1,1,0,0,0,0,0,0,2,2,5,8,379,0,11,390,0
120,583,12,275,7,1,1,1,0,1,2,3,2,2,9,1,900,0,24,924,0
121,363,6,172,1,1,6,1,1,0,2,0,0,1,7,6,567,0,11,578,0
122,205,4,172,5,0,1,0,0,0,1,0,2,0,3,5,398,0,11,409,0
123,413,4,213,0,0,3,0,1,1,0,0,1,1,6,2,645,0,13,658,0
124,148,5,122,1,0,1,0,0,1,1,1,1,2,0,2,285,0,2,287,0
125,444,4,136,4,0,1,3,2,1,0,0,0,1,1,5,602,0,11,613,0
126,73,1,562,14,1,1,0,1,6,2,1,2,1,3,2,670,0,6,676,0
127,522,5,272,0,1,2,0,1,1,0,0,0,1,2,2,809,0,13,822,0
128,471,3,186,1,1,0,0,0,0,2,0,0,1,1,2,668,0,9,677,0
129,285,4,315,4,2,1,2,0,2,0,0,0,1,5,8,629,0,11,640,0
130,428,2,232,4,0,0,1,2,0,1,0,0,0,0,2,672,0,7,679,0
131,378,1,201,1,1,0,1,1,1,1,0,0,0,2,1,589,0,4,593,0
132,520,2,203,2,0,0,0,0,0,1,2,0,3,4,2,739,0,20,759,0
133,560,6,179,4,0,0,2,1,1,0,1,0,1,1,0,756,0,10,766,0
134,250,4,625,3,0,0,0,1,2,0,0,0,1,0,1,887,0,7,894,0
135,434,6,247,0,0,0,0,0,3,3,1,3,3,2,1,703,0,16,719,0
136,555,3,189,1,0,0,3,2,0,1,0,1,3,2,2,762,0,11,773,0
137,535,1,128,0,0,1,4,1,0,0,2,2,0,1,1,676,0,9,685,0
138,199,4,304,5,1,1,5,1,0,0,0,2,4,9,10,545,0,19,564,0
139,264,8,318,4,0,3,1,4,2,0,2,1,3,9,5,624,0,13,637,0
140,350,6,161,1,1,3,0,1,0,1,0,0,1,4,3,532,0,13,545,0
141,260,4,115,0,0,0,1,0,2,2,2,0,5,1,1,393,0,11,404,0
142,152,4,183,3,1,1,2,2,0,1,0,1,0,0,2,352,0,3,355,0
143,35,5,354,4,0,0,0,0,1,1,0,1,0,2,3,406,0,8,414,0
144,193,4,174,2,0,1,0,0,0,1,0,0,2,3,1,381,0,20,401,0
145,483,2,100,0,0,0,0,0,0,0,1,0,0,0,0,586,0,11,597,0
146,227,3,245,2,0,1,0,1,0,2,1,1,1,3,4,491,0,18,509,0
147,335,8,258,4,0,2,1,0,0,0,0,1,1,1,3,614,0,15,629,0
148,715,6,126,1,0,0,1,1,0,0,0,1,2,3,3,859,0,12,871,0
149,392,5,45,2,0,0,0,0,0,1,2,0,4,3,2,456,0,7,463,0
150,118,4,158,4,2,0,2,0,0,1,2,0,1,3,2,297,0,5,302,0
151,316,2,141,1,0,2,0,1,1,1,0,1,1,6,3,476,0,29,505,0
152,299,10,349,8,0,1,1,1,0,0,1,0,1,0,3,674,0,14,688,0
153,328,7,317,6,0,0,4,0,1,3,0,3,2,8,2,681,0,11,692,0
154,204,6,311,2,0,1,0,0,1,2,1,2,2,1,2,535,0,3,538,0
155,74,11,515,12,3,1,1,0,1,1,0,1,2,4,4,630,0,9,639,0
156,16,0,324,1,1,0,1,1,0,1,1,0,2,5,1,354,0,9,363,0
157,129,10,400,3,1,0,3,2,2,0,1,2,11,24,5,593,0,22,615,0
158,173,8,246,3,1,1,0,0,4,2,3,3,6,7,11,468,0,14,482,0
159,362,3,203,0,1,2,1,4,1,3,5,2,3,8,7,605,0,24,629,0
160,430,4,109,0,0,0,2,0,1,0,0,0,0,1,0,547,0,7,554,0
161,242,9,290,7,0,1,1,2,4,1,1,2,4,11,4,579,0,10,589,0
162,290,14,388,6,0,2,1,2,0,0,1,3,1,5,2,715,0,22,737,0
163,446,4,89,1,0,0,1,0,0,1,1,0,0,5,3,551,0,12,563,0
164,456,0,116,0,1,1,1,0,0,2,0,0,0,4,2,583,0,4,587,0
165,634,6,142,2,0,0,1,1,1,1,0,0,1,4,3,796,0,19,815,0
166,516,6,276,4,0,0,0,0,0,0,0,0,2,4,2,810,0,14,824,0
167,372,9,360,5,3,0,1,1,1,3,2,2,3,3,7,772,0,14,786,0
168,304,3,115,2,1,0,1,0,2,0,0,0,1,1,2,432,0,4,436,0
169,203,8,288,0,0,1,0,0,1,3,2,2,4,7,4,523,0,9,532,0
170,295,2,205,1,0,1,0,0,0,0,3,1,0,2,0,510,0,9,519,0
171,279,12,181,3,0,2,2,2,2,0,3,0,5,5,4,500,0,11,511,0
172,304,2,175,3,1,0,0,0,0,1,0,0,4,3,4,497,0,11,508,0
173,207,6,304,3,1,2,0,0,0,0,1,0,0,7,3,534,0,6,540,0
174,239,4,255,1,0,1,0,1,3,0,0,0,2,3,2,511,0,5,516,0
175,402,3,311,4,2,0,1,1,2,1,0,3,0,2,3,735,0,7,742,0
176,156,4,465,8,4,2,2,2,3,1,2,2,7,18,8,684,0,16,700,0
177,529,6,305,6,2,1,1,1,1,2,1,1,3,0,1,860,0,18,878,0
178,307,3,291,5,1,0,0,0,0,0,1,2,4,4,3,621,0,9,630,0
179,201,4,376,4,3,6,1,2,3,4,3,3,1,6,4,621,0,18,639,0
180,395,2,236,4,3,1,2,0,1,1,2,3,11,0,7,668,0,7,675,0
181,264,5,311,2,1,2,0,1,0,2,1,4,3,11,4,611,0,11,622,0
182,238,4,256,5,1,0,1,1,0,0,0,1,8,4,2,521,0,2,523,0
183,237,7,195,0,0,0,0,0,0,2,2,0,1,5,7,456,0,7,463,0
184,73,2,315,2,0,0,0,1,2,0,0,0,3,4,1,403,0,5,408,0
185,162,1,275,2,0,0,0,2,0,2,0,0,4,2,3,453,0,11,464,0
186,391,16,338,2,0,2,0,0,2,1,0,0,4,7,5,768,0,16,784,0
187,377,5,255,3,0,1,0,0,1,0,0,0,3,7,7,659,0,14,673,0
188,219,4,325,3,1,1,1,0,0,0,0,0,3,5,3,565,0,8,573,0
189,154,4,408,4,2,0,0,2,0,0,1,3,8,8,3,597,0,14,611,0
190,771,5,53,2,0,2,1,0,0,1,0,0,1,0,1,837,0,3,840,0
191,497,4,91,2,1,0,2,0,2,1,0,0,3,3,0,606,0,9,615,0
192,643,0,27,1,0,0,0,0,0,0,2,0,0,1,0,674,0,0,674,0
193,585,9,65,1,1,1,1,0,0,2,2,0,0,0,1,668,0,18,686,0
194,632,1,54,0,0,0,1,0,0,0,0,0,0,0,0,688,0,3,691,0
195,457,51,127,0,0,0,1,0,2,2,0,1,2,4,7,654,0,6,660,0
196,333,65,175,0,0,0,1,1,1,0,0,0,0,4,5,585,0,16,601,0
197,279,4,91,2,1,0,1,2,3,1,0,2,3,5,8,402,0,30,432,0
