No & name of polling station,No. of Valid Votes Cast in Favours of,,,,,,,,,,,,,,,Total of Valid Votes,No. of  vote Rejected votes  (test Votes),"Votes for ""NOTA"" option",total
,Chauhan Devusinh  Jesingbhai (Chauhan  Devusinh),Dinsha Patel,Pandav Bhailalbhai  Kalubhai,Abdul Razakkhan  Pathan,Badhiwala Labhubhai  Jivrajbhai,Ranveer Pranayraj  Govindbhai,Khristi Adward  Khushalbhai,Chauhan Devusing  Motishing,Pathan Amanullakhan  Sitabkhan,Parikh Viral  Hasmukbhai,Malek Yakubmiya  Nabimiya,Malek Sadik Hushen  Mahammd Hushen,Malek Sabirhusen  Ismaelbhai,Ratansinh Udesinh  Chauhan,Roshan Priyavadan  Shah,,,,
107,260,241,0,0,4,0,0,2,0,0,0,0,0,0,1,508,0,11,519
108,612,163,0,1,4,0,0,2,0,0,0,0,0,2,4,788,0,12,800
109,716,114,1,0,6,0,0,0,0,0,0,1,0,1,4,843,0,12,855
110,536,122,0,0,10,0,1,3,1,0,1,0,1,4,2,681,0,7,688
111,557,119,2,1,6,0,0,0,0,0,0,0,0,1,1,687,0,20,707
112,302,78,0,0,2,0,0,0,0,0,0,0,0,0,2,384,0,6,390
113,685,148,2,1,6,0,1,1,0,4,0,2,0,3,5,858,0,24,882
114,624,131,2,3,7,1,0,3,0,0,0,0,4,7,1,783,0,14,797
115,381,247,1,0,11,0,2,0,0,1,1,1,0,0,0,645,0,6,651
116,621,130,1,1,2,1,1,2,0,0,0,1,0,0,4,764,0,7,771
117,519,193,1,0,5,0,0,0,0,1,0,1,0,1,1,722,0,14,736
118,394,227,6,1,1,0,1,2,1,2,2,4,5,6,9,661,0,23,684
119,581,186,7,1,3,0,1,2,1,0,0,0,1,1,7,791,0,16,807
120,588,138,1,0,4,0,0,2,0,0,0,0,0,0,4,737,0,17,754
121,401,273,3,0,8,0,0,0,1,0,0,0,1,1,4,692,0,5,697
122,527,114,2,3,1,1,2,1,0,0,0,0,0,0,3,654,0,12,666
123,478,76,1,1,5,0,0,0,0,0,0,0,0,0,2,563,0,12,575
124,435,67,1,1,3,0,0,0,0,1,2,0,1,0,1,512,0,8,520
125,497,86,2,1,2,0,0,3,1,0,0,0,0,0,0,592,0,11,603
126,569,110,0,0,3,2,0,1,0,0,0,0,1,1,0,687,0,11,698
127,422,175,6,0,2,1,0,1,1,1,1,1,2,0,5,618,0,12,630
128,366,293,4,0,3,0,0,1,0,1,1,1,2,2,9,683,0,20,703
129,519,241,4,0,4,0,0,2,0,0,1,0,2,1,2,776,0,15,791
130,689,142,4,0,6,0,0,3,0,1,0,2,0,1,0,848,0,8,856
131,592,206,1,0,3,1,1,2,2,0,0,0,1,1,3,813,0,9,822
132,228,360,3,0,5,0,1,0,0,0,0,0,0,0,0,597,0,14,611
133,343,241,2,2,3,1,0,4,1,0,0,1,0,2,0,600,0,10,610
134,508,161,4,0,8,0,0,3,0,1,0,0,0,2,10,697,0,14,711
135,714,128,1,0,7,0,0,2,0,0,0,0,0,0,6,858,0,7,865
136,301,400,5,2,3,0,1,1,0,2,0,2,3,5,13,738,0,7,745
137,497,135,0,0,2,0,0,2,0,0,0,0,1,0,3,640,0,13,653
138,441,190,2,0,6,0,0,2,0,0,1,1,0,0,10,653,0,13,666
139,268,219,1,1,0,0,0,2,0,2,0,2,2,3,6,506,0,10,516
140,471,234,1,0,4,0,1,2,0,0,0,0,1,0,2,716,0,9,725
141,343,419,5,2,5,1,0,1,1,1,2,3,5,7,16,811,0,23,834
142,469,140,0,0,3,0,1,3,0,1,0,0,0,1,2,620,0,6,626
143,456,140,0,1,3,0,0,3,0,1,0,0,0,1,1,606,0,6,612
144,458,130,1,0,8,1,0,1,0,0,0,0,0,0,1,600,0,14,614
145,582,119,0,0,6,1,0,0,0,0,0,0,0,1,1,710,0,12,722
146,594,121,1,0,7,0,0,1,0,0,0,0,0,0,5,729,0,7,736
147,319,159,1,0,5,0,0,3,1,0,0,0,0,0,1,489,0,8,497
148,250,88,1,0,3,0,0,0,0,0,0,0,0,0,2,344,0,3,347
149,387,113,2,0,3,0,0,2,1,0,0,0,0,0,2,510,0,6,516
150,304,367,1,1,6,0,2,1,1,1,0,2,5,7,22,720,0,16,736
151,362,65,1,0,6,0,0,0,0,0,0,1,1,0,0,436,0,15,451
152,208,140,3,1,5,0,0,1,0,0,3,0,1,2,8,372,0,16,388
153,482,134,0,0,2,0,0,1,0,0,0,0,0,0,1,620,0,4,624
154,232,165,1,0,1,0,0,2,0,0,0,0,0,1,7,409,0,10,419
155,270,46,1,0,2,0,0,0,0,0,0,0,0,0,2,321,0,2,323
156,388,203,0,0,3,0,0,0,0,0,0,2,0,0,1,597,0,15,612
157,500,238,2,0,5,0,0,2,0,0,0,0,0,1,6,754,0,10,764
158,336,287,3,0,0,0,0,2,0,0,1,1,1,0,6,637,0,11,648
159,476,253,1,1,1,1,1,2,0,1,2,1,1,2,7,750,0,16,766
160,349,86,0,0,2,0,0,2,0,0,0,0,1,0,2,442,0,7,449
161,554,339,0,0,4,0,2,0,0,0,0,0,1,0,7,907,0,6,913
162,612,125,3,0,5,0,1,0,0,0,0,0,1,0,4,751,0,15,766
163,192,185,3,0,0,0,0,0,1,0,0,1,1,2,9,394,0,15,409
164,200,145,3,0,1,0,1,0,0,0,0,2,1,1,2,356,0,7,363
165,128,77,0,0,0,1,0,2,1,0,0,0,1,3,4,217,0,16,233
166,147,201,5,1,3,1,1,1,0,1,2,0,3,3,7,376,0,15,391
167,525,285,2,1,2,0,2,1,0,3,0,1,0,6,4,832,0,21,853
168,273,357,1,0,3,0,2,2,0,1,3,0,2,5,22,671,0,35,706
169,619,130,0,0,6,0,0,1,0,0,1,1,0,1,2,761,0,5,766
170,225,411,2,0,1,1,0,1,0,1,0,1,2,3,11,659,0,16,675
171,287,334,10,2,3,3,1,0,1,2,1,1,6,6,20,677,0,16,693
172,440,205,2,1,1,0,3,3,1,1,0,0,2,4,7,670,0,5,675
173,250,254,2,0,2,0,0,2,1,0,3,3,3,3,5,528,0,23,551
174,469,85,1,1,1,0,0,2,0,1,0,0,1,0,0,561,0,5,566
175,384,157,2,0,3,0,0,0,0,0,1,0,0,5,14,566,0,17,583
