Sr.No of Polling Station,No.of Valid Votes Cast Favour of,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,NOTA,Total,No.Tendred Votes
,KOLIPATEL SOMABHAI GANDABHAI,PARMAR MINAXIBEN VIJAYBHAI,FATEPARA DEVJIBHAI GOVINDBHAI,PATEL JETHABHAI MANJIBHAI,BAR AJAMALBHAI KARMANBHAI,MAJETHIYA SAMARATBHAI JERAMBHAI,CHAVADA PALABHAI NANJIBHAI,PARMAR PARBHUBHAI GOKABHAI,PARMARVASHARAMBHAI BAVALBHAI,MAKWANA UKABHAI AMRATBHAI,MAKWANA VASHARAMBHAI KARSHANBHAI,ZALA MANSINH SHIVUBHA,VADALIYA KALUBHAI MALUBHAI,VAGEHLA PRAKASHBHAI BACHUBHAI,VORA BHAVABHAI DEVABHAI,SAPARA VIPULBHAI RAMESHBHAI,SANKALIYA GANGARAMBHAI TAPUBHAI,,,,,
158,9,1,116,1,0,0,0,0,0,0,0,0,0,1,0,0,0,128,0,2,130,0
159,194,7,167,3,1,0,0,2,0,0,1,0,4,4,8,16,6,413,0,3,416,0
160,95,4,138,1,1,0,0,0,0,0,1,0,1,4,3,7,7,262,0,5,267,0
161,93,1,408,10,5,0,0,0,1,2,1,2,0,5,2,8,1,539,0,7,546,0
162,116,3,209,1,0,1,0,1,0,0,0,1,2,0,1,4,9,348,0,2,350,0
163,131,6,337,3,0,0,1,0,1,0,0,1,1,2,3,9,1,496,0,2,498,0
164,59,1,93,0,0,0,0,2,0,0,0,0,0,0,0,0,2,157,0,0,157,0
165,63,3,118,2,0,0,0,0,0,0,1,0,1,3,0,6,3,200,0,0,200,0
166,402,8,154,8,3,0,0,1,0,0,2,0,0,7,4,9,7,605,0,4,609,0
167,96,1,107,0,0,0,1,0,0,0,0,1,1,3,2,4,2,218,0,3,221,0
168,137,3,268,5,1,2,0,1,2,0,1,1,0,2,1,6,16,446,0,7,453,0
169,107,4,285,5,0,0,0,1,0,0,0,0,0,2,0,2,3,409,0,0,409,0
170,67,4,302,26,0,2,0,0,0,0,0,0,2,0,0,6,2,411,0,2,413,0
171,58,2,187,2,0,0,0,0,0,0,0,0,0,0,1,1,4,255,0,4,259,0
172,225,7,150,3,1,0,0,0,0,2,0,1,1,1,3,11,14,419,0,6,425,0
173,62,1,168,3,0,0,0,0,0,0,0,2,1,2,0,4,4,247,0,1,248,0
174,144,3,406,7,1,0,0,1,0,0,0,0,1,1,1,5,1,571,0,2,573,0
175,107,5,164,1,0,0,0,1,0,0,1,0,0,1,1,6,2,289,0,7,296,0
176,103,6,157,5,0,0,0,0,0,0,0,0,0,2,1,5,3,282,0,0,282,0
177,229,5,415,8,1,2,2,0,3,1,3,1,3,2,5,12,3,695,0,3,698,0
178,23,4,266,3,2,1,0,1,0,0,0,1,1,4,3,4,2,315,0,2,317,0
179,119,2,368,10,1,0,1,1,0,0,1,1,2,4,1,7,2,520,0,2,522,0
180,154,3,83,67,1,1,0,1,1,1,1,0,0,1,3,1,1,319,0,0,319,0
181,188,2,371,6,1,0,2,0,1,0,0,2,1,5,2,6,4,591,0,2,593,0
182,82,5,460,4,1,0,0,1,1,2,0,0,3,6,0,7,4,576,0,2,578,0
183,213,2,93,4,3,1,0,2,0,0,0,0,2,0,0,6,10,336,0,6,342,0
184,198,4,241,2,2,0,0,0,0,1,0,0,0,3,6,11,4,472,0,5,477,0
185,84,7,513,7,0,1,0,0,2,1,0,0,0,4,0,5,5,629,0,6,635,0
186,214,6,340,2,0,1,1,1,1,1,0,1,0,2,5,13,1,589,0,8,597,0
187,121,6,313,1,0,0,1,1,1,0,2,1,0,9,8,11,4,479,0,5,484,0
188,170,5,310,8,0,0,0,0,0,1,0,0,0,2,0,8,4,508,0,5,513,0
189,95,3,375,8,0,1,2,1,0,0,0,2,1,2,2,3,3,498,0,2,500,0
190,98,3,201,2,0,0,2,0,1,1,2,1,1,2,2,7,5,328,0,2,330,0
191,193,3,134,5,0,0,1,1,0,3,1,1,2,2,1,8,0,355,0,4,359,0
192,62,1,385,2,1,0,1,0,0,0,0,0,1,7,3,6,12,481,0,9,490,0
193,249,4,252,6,1,1,1,1,1,1,2,0,0,1,5,8,27,560,0,20,580,0
194,144,5,267,1,0,0,0,0,2,0,0,1,1,1,1,5,9,437,0,10,447,0
195,98,0,259,20,1,0,0,0,0,1,0,1,0,1,1,1,4,387,0,2,389,0
196,237,9,224,6,0,0,1,0,1,0,0,0,3,2,5,17,2,507,0,8,515,0
197,72,0,371,4,0,0,0,0,0,1,0,0,0,0,0,4,2,454,0,5,459,0
198,56,1,336,2,0,0,0,0,0,0,0,0,0,0,0,1,1,397,0,6,403,0
