polling station,Giri  Ramchandra  Vaijnath,Chauhan  Prabhatsinh  Pratapsinh,Ramsinh  Parmar,Piyushkumar  Dilipbhai  Parmar ,Shaikh  Kalim  Abdul  Latif,Shaikh  Majitmiya  Jivamiya,Gora  Shoeb  Mohmadh anif,S.N.  Chavada  (Chavada  Vakil),Chavada  Harishchandr asinh  Prabhatsinh,Patel  Pankajbhai  Ravjibhai,Mansuri  Mukhatyar  Mohammad   (Panter  M.Lala),Vankar  Manilal  Bhanabhai,Total of  Valid  Votes ,No of  rejected  Votes ,Votes for  'NOTA'  Option,Total  Votes,No of  tender  Votes 
36,14,293,160,4,3,1,3,5,5,4,14,13,519,0,28,547,0
37,9,363,164,3,2,1,1,2,1,5,10,7,568,0,23,591,0
38,7,317,90,1,0,0,1,1,1,5,8,8,439,0,11,450,0
39,9,221,204,5,1,2,1,2,4,5,5,7,466,0,38,504,0
40,6,214,221,7,2,0,2,2,3,7,4,10,478,0,15,493,0
41,11,352,116,5,3,2,2,1,4,8,15,11,530,0,25,555,0
42,8,404,138,4,2,0,1,3,2,6,10,11,589,0,26,615,0
43,13,206,146,6,0,2,1,5,3,2,5,4,393,0,8,401,0
44,5,240,107,1,0,0,0,0,1,4,9,1,368,0,17,385,0
45,9,191,187,10,1,4,0,0,3,7,19,12,443,0,22,465,0
46,0,201,104,0,1,0,1,3,3,4,4,2,323,0,14,337,0
47,14,245,145,7,0,2,0,3,1,5,11,9,442,0,36,478,0
48,18,413,109,8,1,0,1,2,1,4,11,12,580,0,29,609,0
49,15,324,169,3,2,1,2,2,8,6,2,12,546,0,33,579,0
50,7,321,184,6,1,0,1,1,4,4,17,8,554,0,24,578,0
51,12,384,202,3,2,1,1,1,1,2,3,2,614,0,8,622,0
52,14,377,154,4,0,1,1,2,0,5,5,5,568,0,12,580,0
53,11,219,101,4,4,3,0,0,1,3,11,3,360,0,19,379,0
54,5,282,181,2,2,1,0,2,4,5,17,12,513,0,24,537,0
55,8,197,230,12,1,2,1,0,3,7,15,11,487,0,9,496,0
56,13,235,194,5,3,2,2,5,1,9,14,8,491,0,48,539,0
57,7,203,262,9,2,0,2,3,5,5,13,6,517,0,11,528,0
58,6,277,83,1,1,0,1,4,2,4,13,5,397,0,14,411,0
59,7,382,63,3,1,0,0,2,2,1,9,11,481,0,13,494,0
60,11,581,118,15,8,2,2,1,0,2,4,12,756,0,6,762,0
61,8,455,109,4,2,0,0,2,3,2,4,8,597,0,20,617,0
62,5,236,188,2,2,1,1,2,2,2,9,7,457,0,27,484,0
63,6,226,130,6,2,1,1,0,1,4,4,6,387,0,20,407,0
64,4,89,123,2,0,0,0,0,2,1,1,5,227,0,8,235,0
65,4,271,181,4,3,2,2,0,2,3,8,10,490,0,18,508,0
66,6,231,208,5,2,0,0,0,1,5,3,6,467,0,15,482,0
67,16,428,211,12,0,2,5,3,5,4,7,8,701,0,28,729,0
68,6,327,236,5,1,1,3,2,4,2,9,6,602,0,34,636,0
69,9,328,115,3,3,0,1,1,1,1,3,9,474,0,31,505,0
70,32,288,162,2,7,0,2,2,2,2,2,2,503,0,10,513,0
71,5,241,85,1,0,1,1,3,0,4,8,12,361,0,19,380,0
72,10,318,64,2,1,0,0,3,0,3,6,9,416,0,43,459,0
73,21,373,145,9,3,2,1,5,7,5,13,14,598,0,39,637,0
74,5,188,71,1,2,0,1,1,3,3,8,4,287,0,19,306,0
75,10,292,220,9,2,1,1,7,2,4,9,11,568,0,15,583,0
76,9,147,219,5,1,3,0,1,6,5,4,4,404,0,18,422,0
77,3,494,165,8,0,0,1,0,0,2,0,2,675,0,16,691,0
78,1,581,101,3,0,0,0,2,0,0,2,0,690,0,16,706,0
79,2,605,119,10,0,0,0,0,0,0,1,0,737,0,11,748,0
80,4,506,178,5,0,0,0,1,1,0,6,4,705,0,16,721,0
81,32,400,115,8,4,2,4,3,5,8,13,17,611,0,57,668,0
82,36,248,79,2,1,0,0,3,2,5,5,8,389,0,31,420,0
83,3,243,120,1,0,1,0,0,2,4,2,11,387,0,4,391,0
84,5,175,40,3,1,0,2,5,0,4,5,45,285,0,23,308,0
85,2,78,14,0,0,0,0,1,0,0,9,4,108,0,10,118,0
86,2,201,335,13,3,0,1,0,3,2,7,2,569,0,16,585,0
87,8,300,30,1,2,0,0,0,0,0,1,0,342,0,3,345,0
88,25,266,85,12,4,6,3,8,6,6,6,7,434,0,28,462,0
89,11,315,112,3,2,0,2,2,3,4,13,19,486,0,22,508,0
90,12,225,53,1,2,0,0,3,2,2,2,4,306,0,20,326,0
91,5,107,242,3,3,0,1,4,5,7,9,11,397,0,15,412,0
92,8,147,159,6,0,0,1,1,0,6,6,6,340,0,11,351,0
93,3,188,200,2,0,1,1,1,0,3,7,8,414,0,11,425,0
94,7,360,195,7,0,1,1,2,2,5,4,4,588,0,12,600,0
95,16,244,25,4,0,1,1,4,1,2,15,11,324,0,15,339,0
96,6,196,66,3,2,1,3,2,1,1,3,3,287,0,13,300,0
97,15,327,63,1,5,1,3,7,5,7,16,22,472,0,40,512,0
98,11,300,175,2,0,0,0,0,3,6,7,10,514,0,7,521,0
99,6,272,77,1,0,0,0,2,2,3,4,6,373,0,6,379,0
100,2,212,58,0,0,1,0,1,0,0,4,3,281,0,7,288,0
101,3,335,24,2,1,2,1,0,0,0,0,8,376,0,5,381,0
102,5,443,28,0,0,0,0,0,2,1,1,3,483,0,7,490,0
103,23,208,218,13,1,2,1,5,2,2,19,13,507,0,23,530,0
104,11,253,259,7,2,0,0,2,10,5,14,14,577,0,32,609,0
105,8,365,191,3,1,0,0,2,1,3,4,8,586,0,23,609,0
106,8,380,190,2,3,0,0,2,3,1,5,9,603,0,11,614,0
107,8,397,36,1,0,0,0,1,1,0,7,4,455,0,31,486,0
108,7,224,41,2,0,0,0,0,4,2,8,7,295,0,30,325,0
109,10,705,22,1,0,0,0,1,0,1,3,3,746,0,8,754,0
110,10,386,12,3,1,0,0,0,1,1,1,1,416,0,2,418,0
111,2,639,71,1,1,0,0,0,0,0,1,0,715,0,1,716,0
112,4,597,19,0,0,0,0,0,1,2,1,3,627,0,10,637,0
113,9,261,20,2,1,0,0,0,1,1,3,5,303,0,8,311,0
114,14,370,234,5,1,1,3,0,1,8,12,11,660,0,20,680,0
115,16,502,69,2,0,2,1,1,1,1,3,6,604,0,12,616,0
116,18,474,85,3,0,2,0,3,2,2,2,4,595,0,18,613,0
117,0,291,24,0,0,0,0,0,0,0,0,2,317,0,1,318,0
118,19,798,24,1,0,0,1,1,1,4,7,7,863,0,21,884,0
119,2,303,159,9,0,1,1,0,1,0,0,1,477,0,10,487,0
120,3,276,161,4,4,0,0,0,1,1,1,1,452,0,9,461,0
121,0,427,70,6,0,0,0,0,0,0,0,1,504,0,4,508,0
122,5,418,140,15,0,0,3,0,1,0,1,1,584,0,13,597,0
123,8,588,136,13,1,1,0,1,1,0,5,5,759,0,13,772,0
124,8,421,129,6,0,0,0,3,0,0,1,3,571,0,3,574,0
125,3,504,135,4,0,0,1,0,0,2,3,3,655,0,8,663,0
126,5,470,136,3,0,0,0,0,0,5,3,3,625,0,12,637,0
127,2,581,54,2,0,0,0,1,0,0,1,3,644,0,11,655,0
128,5,369,188,7,1,1,0,1,2,0,2,5,581,0,5,586,0
129,13,273,197,10,4,3,6,7,10,10,23,31,587,0,39,626,0
130,7,495,311,7,0,1,0,0,0,1,4,2,828,0,13,841,0
131,3,204,377,4,0,2,0,0,1,1,3,2,597,0,10,607,0
132,3,463,186,2,1,0,1,0,1,0,5,2,664,0,2,666,0
133,5,469,141,2,1,0,0,0,1,1,2,3,625,0,6,631,0
134,2,228,219,1,0,0,0,0,0,0,0,1,451,0,6,457,0
135,3,274,229,1,0,0,0,0,1,1,1,1,511,0,1,512,0
136,0,49,49,1,0,0,0,0,0,0,0,0,99,0,3,102,0
137,2,707,43,2,0,0,0,1,0,0,1,0,756,0,7,763,0
138,9,553,285,9,3,4,3,1,4,5,5,10,891,0,16,907,0
139,2,54,58,2,0,0,0,0,0,0,1,1,118,0,0,118,0
140,8,452,150,7,2,0,0,0,1,0,2,1,623,0,8,631,0
141,2,489,110,1,0,0,0,1,0,0,0,1,604,0,14,618,0
142,6,451,88,2,0,1,0,1,0,1,0,1,551,0,8,559,0
143,3,403,100,3,0,0,0,1,1,1,0,1,513,0,9,522,0
144,3,578,103,4,1,1,0,1,0,1,2,1,695,0,9,704,0
145,7,433,249,6,2,1,0,0,0,1,1,2,702,0,16,718,0
146,1,412,134,12,0,0,0,0,0,0,0,0,559,0,6,565,0
147,4,390,122,3,1,0,0,1,0,0,0,2,523,0,10,533,0
148,2,605,142,4,0,0,0,0,0,0,0,3,756,0,12,768,0
149,3,702,56,2,0,0,1,0,1,0,1,1,767,0,4,771,0
150,5,584,108,4,1,0,0,0,0,1,1,3,707,0,10,717,0
151,1,554,42,2,1,0,0,0,0,0,0,0,600,0,6,606,0
152,2,820,58,1,0,0,0,1,0,0,0,0,882,0,10,892,0
153,1,667,70,5,0,0,0,0,1,0,1,0,745,0,19,764,0
154,1,381,233,48,3,0,1,1,3,2,0,0,673,0,20,693,0
155,2,558,85,5,0,1,0,0,0,1,0,1,653,0,16,669,0
156,1,457,57,3,0,0,0,0,0,0,1,0,519,0,11,530,0
157,4,322,431,26,0,1,0,0,2,3,9,4,802,0,16,818,0
158,9,383,294,12,1,0,0,0,0,2,2,8,711,0,8,719,0
159,1,737,122,8,0,0,1,3,1,3,0,1,877,0,22,899,0
160,5,522,142,6,0,2,0,0,1,0,10,5,693,0,26,719,0
161,3,390,150,9,1,2,0,0,1,1,2,2,561,0,5,566,0
162,2,299,147,3,0,0,1,0,0,1,0,2,455,0,7,462,0
163,5,344,408,49,1,1,0,1,2,2,2,2,817,0,8,825,0
164,1,15,665,6,1,0,0,0,0,0,2,0,690,0,4,694,0
165,1,50,519,4,0,0,1,0,1,0,1,1,578,0,4,582,0
166,0,64,400,5,1,0,0,0,1,2,0,0,473,0,5,478,0
167,0,131,204,5,0,0,1,0,0,0,2,0,343,0,3,346,0
168,0,163,480,2,0,1,1,0,0,1,5,2,655,0,5,660,0
169,0,16,593,6,2,0,1,0,1,1,3,0,623,0,4,627,0
170,1,11,269,4,0,1,0,0,1,1,3,2,293,0,7,300,0
171,2,124,492,6,0,0,0,0,0,1,1,1,627,0,4,631,0
172,3,4,329,6,0,0,0,1,4,1,3,0,351,0,4,355,0
173,3,44,602,2,0,0,1,0,0,0,3,1,656,0,3,659,0
174,0,57,395,1,1,0,0,0,3,0,0,1,458,0,1,459,0
175,4,369,56,3,0,0,1,0,0,0,2,3,438,0,8,446,0
176,0,43,710,3,1,0,0,1,4,0,0,0,762,0,3,765,0
177,4,37,841,8,0,0,0,0,1,0,0,2,893,0,3,896,0
178,1,20,917,5,0,0,0,0,1,0,0,0,944,0,1,945,0
179,1,67,480,7,1,0,0,0,1,1,0,2,560,0,7,567,0
180,1,31,879,6,2,0,1,0,1,0,2,1,924,0,2,926,0
181,1,33,481,8,0,0,1,1,0,0,0,0,525,0,5,530,0
182,2,18,1068,7,0,0,0,1,1,0,1,5,1103,0,1,1104,0
183,0,10,960,3,1,0,0,0,2,0,3,1,980,0,0,980,0
184,0,5,826,3,0,0,0,1,0,1,1,0,837,0,1,838,0
185,2,18,822,3,1,0,1,1,2,1,3,0,854,0,3,857,0
186,0,21,703,2,0,0,1,0,0,0,0,0,727,0,4,731,0
187,0,10,643,0,0,0,0,0,0,0,1,0,654,0,1,655,0
188,0,16,686,2,0,0,0,0,0,0,1,0,705,0,2,707,0
189,0,23,979,11,4,0,0,0,0,1,1,0,1019,0,0,1019,0
190,4,26,769,8,1,0,3,0,0,2,0,0,813,0,3,816,0
191,1,13,881,7,0,0,1,3,0,2,2,0,910,0,3,913,0
192,2,24,912,10,2,0,2,2,4,2,2,0,962,0,9,971,0
193,1,9,861,4,0,0,1,0,0,0,0,0,876,0,1,877,0
194,0,8,738,1,0,0,0,0,0,0,0,0,747,0,0,747,0
195,0,12,954,2,0,0,0,0,0,0,0,0,968,0,2,970,0
196,1,34,728,5,2,1,0,1,0,1,3,0,776,0,4,780,0
197,0,5,313,1,0,0,1,0,1,0,1,1,323,0,3,326,0
198,2,25,857,6,2,0,9,0,2,0,3,2,908,0,4,912,0
199,4,19,962,11,0,0,5,0,2,3,5,0,1011,0,2,1013,0
200,0,32,709,1,0,0,0,0,0,0,2,1,745,0,5,750,0
201,3,27,831,3,0,0,3,0,3,0,3,0,873,0,4,877,0
202,2,20,957,3,0,0,0,0,2,2,1,0,987,0,5,992,0
203,1,9,682,1,0,0,1,0,0,0,1,1,696,0,1,697,0
204,1,11,1103,13,2,0,2,0,0,1,0,0,1133,0,4,1137,0
205,1,7,796,3,0,0,2,0,0,0,2,1,812,0,2,814,0
206,1,8,935,9,0,0,0,0,0,0,0,0,953,0,1,954,0
207,0,10,508,3,0,0,0,0,2,1,1,1,526,0,1,527,0
208,0,9,571,1,0,0,1,2,0,0,3,0,587,0,3,590,0
209,1,115,103,5,0,0,1,0,0,0,0,0,225,0,1,226,0
210,0,298,15,0,0,0,0,0,0,0,0,0,313,0,0,313,0
211,2,840,36,4,0,0,0,0,1,0,0,0,883,0,3,886,0
212,2,524,254,5,1,0,0,1,1,1,4,1,794,0,11,805,0
213,4,105,780,7,0,1,0,0,0,1,4,3,905,0,6,911,0
214,1,205,452,2,1,0,0,0,0,3,4,0,668,0,9,677,0
215,6,594,209,7,0,0,0,0,0,0,0,0,816,0,14,830,0
216,1,441,177,10,0,0,1,1,0,0,0,0,631,0,12,643,0
217,1,292,71,3,1,0,0,0,1,0,1,0,370,0,7,377,0
218,4,328,208,12,0,0,0,1,0,1,0,0,554,0,15,569,0
219,3,313,123,3,1,1,0,2,1,2,6,6,461,0,9,470,0
220,11,257,373,10,3,1,1,4,2,6,10,14,692,0,41,733,0
221,19,459,251,7,4,3,3,2,2,14,18,11,793,0,20,813,0
222,22,354,266,10,5,4,0,4,5,5,10,12,697,0,29,726,0
223,5,172,120,6,1,1,0,1,2,2,0,5,315,0,9,324,0
224,4,148,219,5,2,3,0,0,1,4,8,8,402,0,20,422,0
225,6,274,233,3,0,3,3,7,4,9,10,5,557,0,29,586,0
226,16,178,283,12,2,4,6,6,3,9,16,19,554,0,37,591,0
227,3,123,186,2,3,0,5,4,1,5,5,2,339,0,16,355,0
228,16,206,250,9,4,2,0,3,2,13,6,13,524,0,34,558,0
229,9,160,56,2,1,0,3,2,1,4,5,5,248,0,16,264,0
230,15,200,246,6,4,4,1,5,6,9,9,7,512,0,33,545,0
231,5,96,82,4,1,0,1,0,2,1,8,2,202,0,8,210,0
232,11,235,240,6,2,0,3,5,2,12,3,6,525,0,27,552,0
233,11,190,274,5,4,3,5,5,9,8,23,18,555,0,43,598,0
234,8,117,66,5,0,1,0,2,1,0,2,6,208,0,10,218,0
235,19,358,209,9,1,3,6,12,6,7,7,6,643,0,24,667,0
236,11,371,134,3,1,3,3,4,4,6,11,7,558,0,15,573,0
237,5,312,34,1,0,1,1,1,0,1,1,1,358,0,3,361,0
238,2,40,581,8,3,1,0,3,2,3,8,5,656,0,8,664,0
239,21,134,90,3,0,0,1,1,0,4,2,5,261,0,23,284,0
240,9,365,106,3,2,2,1,0,3,1,15,10,517,0,17,534,0
241,12,316,346,3,3,1,13,2,5,4,6,6,717,0,35,752,0
242,7,100,169,2,1,0,1,0,3,3,6,4,296,0,11,307,0
243,5,103,537,5,2,0,2,0,2,0,2,2,660,0,7,667,0
244,12,478,96,4,0,0,0,1,0,4,6,5,606,0,21,627,0
245,7,459,75,1,0,0,0,2,1,3,6,9,563,0,31,594,0
246,9,464,93,1,1,0,0,0,0,3,6,8,585,0,12,597,0
247,7,281,118,1,0,0,0,1,1,0,7,5,421,0,7,428,0
248,15,786,25,1,1,1,1,1,2,2,6,17,858,0,24,882,0
249,7,512,101,2,0,1,0,0,0,0,4,5,632,0,9,641,0
250,8,288,139,1,1,0,0,1,0,2,2,5,447,0,8,455,0
251,6,860,44,2,0,0,0,1,1,1,3,5,923,0,9,932,0
252,7,331,92,4,1,0,1,0,0,2,2,8,448,0,4,452,0
253,24,370,143,4,1,0,1,2,0,0,7,13,565,0,16,581,0
254,31,494,30,1,1,1,0,0,0,2,6,10,576,0,3,579,0
255,1,322,5,0,0,0,0,0,0,0,3,6,337,0,10,347,0
256,8,415,85,4,0,0,1,0,1,1,0,7,522,0,8,530,0
257,2,598,65,1,0,0,1,1,0,0,4,8,680,0,8,688,0
258,8,258,30,3,0,1,1,0,1,0,4,6,312,0,14,326,0
259,22,661,19,1,1,1,0,0,1,1,3,10,720,0,15,735,0
260,13,589,44,2,1,2,1,3,1,3,10,9,678,0,20,698,0
261,11,269,164,2,3,0,2,1,1,2,13,13,481,0,10,491,0
262,6,223,60,2,1,1,0,1,0,2,3,6,305,0,14,319,0
263,6,192,22,3,0,0,0,0,1,2,7,8,241,0,11,252,0
264,9,220,171,1,1,1,2,0,3,6,4,15,433,0,16,449,0
265,12,322,124,1,1,0,1,0,0,2,8,7,478,0,2,480,0
266,8,357,182,3,1,0,0,0,0,2,5,4,562,0,9,571,0
